Date,Transaction Id,Symbol,Qty,B/S,Commission,Price,Principal,Net Amt
10/1/2020,29195040685,WKHS Nov 20 2020 20.0 Put,1,Sold,0.7,3.2,320,319.28
10/5/2020,29253542578,SQQQ Nov 20 2020 21.0 Put,1,Sold,0.7,2.16,216,215.29
10/12/2020,29383943648,SQQQ Dec 18 2020 20.0 Put,1,Sold,0.7,3.06,306,305.28
10/12/2020,29383950203,SQQQ Nov 20 2020 21.0 Put,1,Bought,0.7,2.85,285,285.71
10/12/2020,29385668497,SQQQ Dec 18 2020 20.0 Put,1,Bought,0.7,3.35,335,335.71
10/12/2020,29385668535,SQQQ Mar 19 2021 18.0 Put,1,Sold,0.7,3.75,375,374.28
10/15/2020,29461182953,SQQQ Mar 19 2021 18.0 Put,1,Bought,0.7,3.8,380,380.71
10/19/2020,29510166213,GOLD Nov 20 2020 26.0 Put,1,Sold,0.7,0.61,61,60.29
10/21/2020,29555326934,WKHS Dec 18 2020 18.0 Put,1,Sold,0.7,3.18,318,317.28
10/21/2020,29555327655,WKHS Nov 20 2020 20.0 Put,1,Bought,0.7,2.97,297,297.71
10/27/2020,29645389765,GOLD Nov 20 2020 26.0 Put,1,Bought,0.7,0.81,81,81.71
10/29/2020,29687116222,TWTR Nov 20 2020 35.0 Put,1,Bought,0.7,0.26,26,26.71
10/29/2020,29687116254,TWTR Nov 20 2020 65.0 Call,1,Bought,0.7,0.86,86,86.71
10/29/2020,29687116383,TWTR Nov 20 2020 40.0 Put,1,Sold,0.7,0.68,68,67.29
10/29/2020,29687116428,TWTR Nov 20 2020 60.0 Call,1,Sold,0.7,1.6,160,159.29
10/30/2020,29713212341,TWTR Nov 20 2020 60.0 Call,1,Bought,0.7,0.19,19,19.71
10/30/2020,29713223499,TWTR Nov 20 2020 65.0 Call,1,Sold,0.7,0.1,10,9.29
10/30/2020,29713246095,TWTR Nov 20 2020 40.0 Put,1,Bought,0.7,1.13,113,113.71
10/30/2020,29713246530,TWTR Nov 20 2020 35.0 Put,1,Sold,0.7,0.27,27,26.29
11/10/2020,29932161595,WKHS Dec 18 2020 18.0 Put,1,Bought,0.7,3.3,330,330.71
11/10/2020,29932659445,T Dec 18 2020 27.0 Put,1,Sold,0.7,0.28,28,27.29
11/12/2020,29980689761,M Nov 20 2020 6.0 Put,1,Sold,0.7,0.09,9,8.29
11/16/2020,30044654782,M Nov 20 2020 6.0 Put,1,Bought,0,0.04,4,4.01
11/16/2020,30044660694,T Dec 18 2020 27.0 Put,1,Bought,0.7,0.14,14,14.71
11/16/2020,30045376312,SLV Dec 18 2020 21.0 Put,1,Sold,0.7,0.32,32,31.29
12/7/2020,30506610213,SLV Dec 18 2020 21.0 Put,1,Bought,0.7,0.15,15,15.71
12/10/2020,30610246882,STMP Jan 15 2021 190.0 Put,1,Sold,0.7,11.24,"1,124.00","1,123.27"
12/10/2020,30610268778,STMP Jan 15 2021 185.0 Put,1,Bought,0.7,9.38,938,938.71
12/10/2020,30611731564,AMD Jan 21 2022 80.0 Call,1,Bought,0.7,25.71,"2,571.00","2,571.71"
12/10/2020,30611731786,AMD Jan 15 2021 105.0 Call,1,Sold,0.7,2.18,218,217.29
12/23/2020,30934942349,STMP Jan 15 2021 185.0 Put,1,Sold,0.7,2.6,260,259.28
12/23/2020,30934944891,STMP Jan 15 2021 190.0 Put,1,Bought,0.7,3.5,350,350.71
12/30/2020,31079157308,XPEV,5,Bought,0,42.4295,212.15,212.15
12/30/2020,31079159109,NIO,5,Bought,0,46.35,231.75,231.75
1/7/2021,31290802389,NET Feb 19 2021 65.0 Put,1,Sold,0.7,2.62,262,261.28
1/7/2021,31290810080,NET Feb 19 2021 60.0 Put,1,Bought,0.7,1.43,143,143.71
01/13/2021,31434649487,AMD Jan 29 2021 100.0 Call,1,Sold,0.7,2.09,209,208.29
01/13/2021,31436105938,AMD Jan 15 2021 105.0 Call,1,Bought,0,0.04,4,4.01
01/14/2021,31469530002,DKNG Jan 22 2021 59.0 Call,1,Sold,0.7,1.09,109,108.29
01/14/2021,31469530848,DKNG Jan 21 2022 50.0 Call,1,Bought,0.7,17.67,"1,767.00","1,767.71"
01/22/2021,31658853208,DKNG Jan 22 2021 59.0 Call,1,Bought,0,0.03,3,3.01
01/22/2021,31658924128,DKNG Feb 19 2021 59.0 Call,1,Sold,0.7,1.64,164,163.29
01/25/2021,31687522336,GME,5,Bought,0,91.13,455.65,455.65
01/26/2021,31733794005,GME,1,Bought,0,88,88,88
01/26/2021,31742517239,GME,1,Sold,0,145,145,145
01/28/2021,31831776096,BA Feb 19 2021 187.5 Put,1,Sold,0.7,5.93,593,592.28
01/28/2021,31831856526,BA Feb 19 2021 185.0 Put,1,Bought,0.7,5.13,513,513.71
01/29/2021,31892668861,AMD Jan 29 2021 100.0 Call,1,Bought,0,0.01,1,1.01
2/1/2021,31961273881,AMD Feb 19 2021 90.5 Call,1,Sold,0.7,2.07,207,206.29
2/1/2021,31963394370,GME,2,Sold,0,312.33,624.66,624.65
2/2/2021,32010204928,NET Feb 19 2021 65.0 Put,1,Bought,0.7,0.92,92,92.71
2/2/2021,32010205479,NET Feb 19 2021 60.0 Put,1,Sold,0.7,0.46,46,45.29
2/2/2021,32011829494,PTON Mar 19 2021 125.0 Put,1,Sold,0.7,6.45,645,644.28
2/2/2021,32011842914,PTON Mar 19 2021 120.0 Put,1,Bought,0.7,5.05,505,505.71
2/2/2021,32012366325,SQ Feb 19 2021 210.0 Put,1,Bought,0.7,4.8,480,480.71
2/2/2021,32012366590,SQ Feb 19 2021 212.5 Put,1,Sold,0.7,5.6,560,559.28
2/2/2021,32012793671,GME,3,Sold,0,93,279,278.99
2/4/2021,32095516757,BA Feb 19 2021 187.5 Put,1,Bought,0.7,0.85,85,85.71
2/4/2021,32095519015,BA Feb 19 2021 185.0 Put,1,Sold,0.7,0.7,70,69.29
2/8/2021,32187380355,SQ Feb 19 2021 212.5 Put,1,Bought,0.7,0.49,49,49.71
2/8/2021,32187381222,SQ Feb 19 2021 210.0 Put,1,Sold,0.7,0.39,39,38.29
2/8/2021,32188963327,RKT Mar 19 2021 16.0 Put,1,Sold,0.7,0.3,30,29.29
2/8/2021,32190795508,AAPL Mar 19 2021 130.0 Put,1,Sold,0.7,3.12,312,311.28
2/8/2021,32190796704,AAPL Mar 19 2021 127.5 Put,1,Bought,0.7,2.37,237,237.71
2/8/2021,32191492686,FB Mar 19 2021 250.0 Put,1,Bought,0.7,4.62,462,462.71
2/8/2021,32191496629,FB Mar 19 2021 255.0 Put,1,Sold,0.7,6.07,607,606.28
