Ticker,Date,Strategy,DTE,P/L
NET,1/7/2021,Vertical,43,117.57
STMP,12/11/2020,Vertical,35,93.13
ATVI,12/3/2020,Vertical,43,90
JD,13/11/2020,Iron Condor (E),7,46.82
UNG,9/10/2020,Iron Condor,49,22.05
WKHS,1/10/2020,CSP,50,21.57
SLV,16/11/2020,CSP,32,15.58
TWTR,29/10/2020,Iron Condor (E),22,15.31
T,10/11/2020,CSP,38,12.58
AMD,28/10/2020,Iron Condor (E),23,11.8
UNG,21/9/2020,Iron Condor,25,10.12
M,10/11/2020,CSP,10,4.28
FTCH,21/9/2020,CSP,25,1.7
AMD,12/11/2020,PMCC,,0
SQQQ,12/10/2020,CSP,158,-6.43
WKHS,21/10/2020,CSP,58,-13.43
GOLD,19/10/2020,CSP,32,-21.42
SQQQ,12/10/2020,CSP,67,-30.43
SQQQ,5/10/2020,CSP,46,-70.42
FXI,7/10/2020,Iron Condor,44,-137.89
