date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,inSPY
2000-01-03,111.94,112.5,101.69,104.87,4783900,0.8620814216,0.8663941391,0.7831432889,0.8076333632,535797335,0.0,1.0,1
2000-01-04,102.5,110.62,101.19,108.25,4574800,0.7893813267,0.8519157303,0.7792926483,0.8336636938,512378112,0.0,1.0,1
2000-01-05,104.0,110.56,103.0,103.75,6949300,0.8009332485,0.8514536535,0.7932319673,0.7990079282,778322378,0.0,1.0,1
2000-01-06,95.0,107.0,95.0,106.12,6856900,0.7316217174,0.8240370923,0.7316217174,0.8172599648,767973567,0.0,1.0,1
2000-01-07,99.5,101.0,95.5,96.5,4113700,0.766277483,0.7778294048,0.735472358,0.7431736393,460734860,0.0,1.0,1
2000-01-10,97.75,102.25,94.75,102.0,4509500,0.7528002408,0.7874560064,0.7296963971,0.7855306861,505064505,0.0,1.0,1
2000-01-11,92.75,99.37,90.5,95.94,3942400,0.7142938346,0.7652763164,0.6969659519,0.7388609218,441549241,0.0,1.0,1
2000-01-12,87.19,95.5,86.5,95.0,8714900,0.671474711,0.735472358,0.6661608269,0.7316217174,976069776,0.0,1.0,1
2000-01-13,96.75,98.75,92.5,94.48,9220400,0.7450989596,0.7605015221,0.7123685143,0.7276170512,1032685832,0.0,1.0,1
2000-01-14,100.44,102.25,99.37,100.0,3485500,0.7735166873,0.7874560064,0.7652763164,0.7701281236,390376390,0.0,1.0,1
2000-01-18,103.94,106.0,100.44,101.0,4099800,0.8004711717,0.816335811,0.7735166873,0.7778294048,459178059,0.0,1.0,1
2000-01-19,106.56,108.75,103.37,105.62,5336100,0.8206485285,0.8375143344,0.7960814414,0.8134093242,597643797,0.0,1.0,1
2000-01-20,113.5,121.5,113.5,115.5,16349400,0.8740954203,0.9357056702,0.8740954203,0.8894979828,1831134631,0.0,1.0,1
2000-01-21,111.31,114.25,110.19,114.25,4427900,0.8572296144,0.8798713812,0.8486041794,0.8798713812,495925295,0.0,1.0,1
2000-01-24,106.25,112.75,105.12,108.44,3936400,0.8182611313,0.8683194594,0.8095586835,0.8351269372,440877240,0.0,1.0,1
2000-01-25,112.25,113.12,102.37,105.0,4438800,0.8644688187,0.8711689334,0.7883801601,0.8086345298,497146097,0.0,1.0,1
2000-01-26,110.19,114.19,109.75,110.0,3278200,0.8486041794,0.8794093043,0.8452156157,0.847140936,367158767,0.0,1.0,1
2000-01-27,110.0,113.0,107.0,108.81,3037000,0.847140936,0.8702447797,0.8240370923,0.8379764113,340144340,0.0,1.0,1
2000-01-28,101.62,110.87,100.62,108.19,3779900,0.7826041992,0.8538410506,0.774902918,0.8332016169,423349223,0.0,1.0,1
2000-01-31,103.75,103.87,94.5,101.0,6265000,0.7990079282,0.799932082,0.7277710768,0.7778294048,701680701,0.0,1.0,1
2000-02-01,100.25,105.0,100.0,104.0,2839600,0.7720534439,0.8086345298,0.7701281236,0.8009332485,318035518,0.0,1.0,1
2000-02-02,98.81,102.12,97.0,100.75,4144600,0.7609635989,0.7864548398,0.7470242799,0.7759040845,464195664,0.0,1.0,1
2000-02-03,103.31,104.25,100.25,100.31,4242800,0.7956193645,0.8028585689,0.7720534439,0.7725155208,475194075,0.0,1.0,1
2000-02-04,108.0,110.0,103.62,103.94,3797500,0.8317383735,0.847140936,0.7980067617,0.8004711717,425320425,0.0,1.0,1
2000-02-07,114.06,114.25,105.94,108.0,3938100,0.8784081378,0.8798713812,0.8158737341,0.8317383735,441067641,0.0,1.0,1
2000-02-08,114.87,116.12,111.25,114.0,3648600,0.8846461756,0.8942727771,0.8567675375,0.8779460609,408643608,0.0,1.0,1
