date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,inSPY
2000-01-03,65.56,67.5,64.25,67.25,1846100,16.2776067217,16.7592808681,15.95235253,16.6972094575,7384400,0.0,1.0,1
2000-01-04,60.06,65.81,59.94,63.0,1953300,14.912035688,16.3396781323,14.8822414109,15.6419954769,7813200,0.0,1.0,1
2000-01-05,61.13,62.75,58.25,58.25,3731800,15.1777013255,15.5799240663,14.4626386751,14.4626386751,14927200,0.0,1.0,1
2000-01-06,61.75,62.63,60.63,61.44,2555300,15.3316384238,15.5501297892,15.0535585042,15.2546698746,10221200,0.0,1.0,1
2000-01-07,64.75,64.75,60.88,61.56,2063300,16.0764953513,16.0764953513,15.1156299148,15.2844641517,8253200,0.0,1.0,1
2000-01-10,67.25,67.25,63.63,65.38,2746800,16.6972094575,16.6972094575,15.7984154317,16.232915306,10987200,0.0,1.0,1
2000-01-11,62.63,67.25,62.38,67.19,2404000,15.5501297892,16.6972094575,15.4880583786,16.682312319,9616000,0.0,1.0,1
2000-01-12,62.31,63.38,61.75,62.75,2012800,15.4706783836,15.7363440211,15.3316384238,15.5799240663,8051200,0.0,1.0,1
2000-01-13,65.63,66.0,62.75,62.81,1381800,16.2949867167,16.3868524044,15.5799240663,15.5948212048,5527200,0.0,1.0,1
2000-01-14,66.31,67.38,65.63,66.63,1284200,16.4638209536,16.729486591,16.2949867167,16.5432723592,5136800,0.0,1.0,1
2000-01-18,64.0,65.88,64.0,65.06,1300400,15.8902811194,16.3570581273,15.8902811194,16.1534639005,5201600,0.0,1.0,1
2000-01-19,63.13,64.38,62.5,63.72,1139800,15.6742726104,15.9846296636,15.5178526557,15.8207611395,4559200,0.0,1.0,1
2000-01-20,63.81,64.63,61.5,63.63,1062200,15.8431068473,16.0467010742,15.2695670132,15.7984154317,4248800,0.0,1.0,1
2000-01-21,62.88,64.88,62.0,64.5,1725000,15.6122011998,16.1087724848,15.3937098344,16.0144239407,6900000,0.0,1.0,1
2000-01-24,60.56,63.5,60.13,63.09,1473900,15.0361785092,15.7661382982,14.929415683,15.6643411847,5895600,0.0,1.0,1
2000-01-25,63.0,63.38,58.88,60.16,1891500,15.6419954769,15.7363440211,14.6190586299,14.9368642522,7566000,0.0,1.0,1
2000-01-26,61.19,64.25,60.94,63.13,1116500,15.192598464,15.95235253,15.1305270534,15.6742726104,4466000,0.0,1.0,1
2000-01-27,62.69,64.0,60.81,60.81,1466100,15.5650269277,15.8902811194,15.0982499199,15.0982499199,5864400,0.0,1.0,1
2000-01-28,57.56,61.88,56.63,61.19,1428000,14.2913215818,15.3639155573,14.0604159343,15.192598464,5712000,0.0,1.0,1
2000-01-31,55.06,58.13,53.44,57.13,4114800,13.6706074755,14.432844398,13.2683847347,14.1845587555,16459200,0.0,1.0,1
2000-02-01,55.88,56.88,55.13,55.88,1691400,13.8742017024,14.1224873449,13.6879874705,13.8742017024,6765600,0.0,1.0,1
2000-02-02,61.31,61.63,55.63,55.94,3352400,15.2223927411,15.3018441467,13.8121302918,13.8890988409,13409600,0.0,1.0,1
2000-02-03,69.06,69.13,63.38,63.81,4936800,17.1466064704,17.1639864654,15.7363440211,15.8431068473,19747200,0.0,1.0,1
2000-02-04,74.0,74.5,67.75,68.72,3379200,18.3731375443,18.4972803656,16.8213522788,17.062189352,13516800,0.0,1.0,1
