date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,inSPY
2000-01-03,327.6,327.6,327.6,327.6,285600,327.6,327.6,327.6,327.6,285600,0.0,1.0,0
2000-01-04,300.0,321.5,300.0,320.0,215900,300.0,321.5,300.0,320.0,215900,0.0,1.0,0
2000-01-05,276.8,290.5,262.0,282.5,1183500,276.8,290.5,262.0,282.5,1183500,0.0,1.0,0
2000-01-06,236.1,278.1,235.3,272.0,797500,236.1,278.1,235.3,272.0,797500,0.0,1.0,0
2000-01-07,248.4,254.5,238.0,248.4,729100,248.4,254.5,238.0,248.4,729100,0.0,1.0,0
2000-01-10,285.5,286.3,249.6,259.1,1143200,285.5,286.3,249.6,259.1,1143200,0.0,1.0,0
2000-01-11,278.4,298.0,267.3,295.1,481000,278.4,298.0,267.3,295.1,481000,0.0,1.0,0
2000-01-12,254.0,289.3,250.0,288.0,1011300,254.0,289.3,250.0,288.0,1011300,0.0,1.0,0
2000-01-13,232.8,260.5,218.4,260.4,1031300,232.8,260.5,218.4,260.4,1031300,0.0,1.0,0
2000-01-14,230.0,254.6,229.0,248.3,641500,230.0,254.6,229.0,248.3,641500,0.0,1.0,0
2000-01-18,211.5,229.1,207.5,229.1,822200,211.5,229.1,207.5,229.1,822200,0.0,1.0,0
2000-01-19,224.8,233.0,212.0,212.0,1367500,224.8,233.0,212.0,212.0,1367500,0.0,1.0,0
2000-01-20,234.0,235.8,220.0,229.5,916400,234.0,235.8,220.0,229.5,916400,0.0,1.0,0
2000-01-21,269.0,275.0,229.8,235.0,1232100,269.0,275.0,229.8,235.0,1232100,0.0,1.0,0
2000-01-24,262.1,284.4,258.6,271.9,886600,262.1,284.4,258.6,271.9,886600,0.0,1.0,0
2000-01-25,279.3,282.0,254.6,264.0,369800,279.3,282.0,254.6,264.0,369800,0.0,1.0,0
2000-01-26,277.5,288.0,274.1,278.0,596900,277.5,288.0,274.1,278.0,596900,0.0,1.0,0
2000-01-27,281.1,290.0,264.0,270.0,544100,281.1,290.0,264.0,270.0,544100,0.0,1.0,0
2000-01-28,270.1,285.1,255.0,266.1,418300,270.1,285.1,255.0,266.1,418300,0.0,1.0,0
2000-01-31,249.1,267.0,235.1,264.1,675900,249.1,267.0,235.1,264.1,675900,0.0,1.0,0
2000-02-01,239.1,256.5,235.4,255.3,328100,239.1,256.5,235.4,255.3,328100,0.0,1.0,0
2000-02-02,233.6,245.0,233.5,239.1,314400,233.6,245.0,233.5,239.1,314400,0.0,1.0,0
2000-02-03,245.4,252.0,239.9,240.0,479800,245.4,252.0,239.9,240.0,479800,0.0,1.0,0
2000-02-04,235.0,251.0,230.4,247.6,330200,235.0,251.0,230.4,247.6,330200,0.0,1.0,0
