date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,inSPY
2000-01-03,29.5,30.25,29.5,30.25,100600,7.375,7.5625,7.375,7.5625,402400,0.0,1.0,0
2000-01-04,27.75,30.0,27.75,28.47,154800,6.9375,7.5,6.9375,7.1175,619200,0.0,1.0,0
2000-01-05,28.63,28.88,27.38,27.5,84700,7.1575,7.22,6.845,6.875,338800,0.0,1.0,0
2000-01-06,31.0,31.0,29.0,29.0,200100,7.75,7.75,7.25,7.25,800400,0.0,1.0,0
2000-01-07,33.0,33.25,29.5,30.0,187300,8.25,8.3125,7.375,7.5,749200,0.0,1.0,0
2000-01-10,33.13,37.44,32.25,35.25,363800,8.2825,9.36,8.0625,8.8125,1455200,0.0,1.0,0
2000-01-11,30.0,34.5,29.13,33.88,115000,7.5,8.625,7.2825,8.47,460000,0.0,1.0,0
2000-01-12,29.63,30.5,28.88,30.0,186400,7.4075,7.625,7.22,7.5,745600,0.0,1.0,0
2000-01-13,34.88,35.13,29.63,30.75,190500,8.72,8.7825,7.4075,7.6875,762000,0.0,1.0,0
2000-01-14,34.63,36.5,34.5,35.38,184500,8.6575,9.125,8.625,8.845,738000,0.0,1.0,0
2000-01-18,33.06,34.63,33.06,34.63,112600,8.265,8.6575,8.265,8.6575,450400,0.0,1.0,0
2000-01-19,34.13,34.38,33.13,33.44,47300,8.5325,8.595,8.2825,8.36,189200,0.0,1.0,0
2000-01-20,39.88,40.0,34.75,35.0,253400,9.97,10.0,8.6875,8.75,1013600,0.0,1.0,0
2000-01-21,44.13,45.88,40.0,40.25,481700,11.0325,11.47,10.0,10.0625,1926800,0.0,1.0,0
2000-01-24,47.06,50.13,46.0,46.25,519600,11.765,12.5325,11.5,11.5625,2078400,0.0,1.0,0
2000-01-25,47.63,47.63,45.5,46.06,145700,11.9075,11.9075,11.375,11.515,582800,0.0,1.0,0
2000-01-26,48.63,49.0,46.0,46.19,97700,12.1575,12.25,11.5,11.5475,390800,0.0,1.0,0
2000-01-27,47.56,49.38,46.52,49.0,343900,11.89,12.345,11.63,12.25,1375600,0.0,1.0,0
2000-01-28,47.25,48.0,43.25,47.25,162500,11.8125,12.0,10.8125,11.8125,650000,0.0,1.0,0
2000-01-31,43.75,48.47,39.81,48.47,228500,10.9375,12.1175,9.9525,12.1175,914000,0.0,1.0,0
2000-02-01,44.38,45.13,42.31,44.25,73000,11.095,11.2825,10.5775,11.0625,292000,0.0,1.0,0
2000-02-02,50.5,53.0,44.25,45.0,463100,12.625,13.25,11.0625,11.25,1852400,0.0,1.0,0
2000-02-03,56.0,58.0,51.0,52.06,186000,14.0,14.5,12.75,13.015,744000,0.0,1.0,0
2000-02-04,54.63,58.75,54.31,56.5,419300,13.6575,14.6875,13.5775,14.125,1677200,0.0,1.0,0
2000-02-07,53.69,57.38,53.0,54.44,305300,13.4225,14.345,13.25,13.61,1221200,0.0,1.0,0
2000-02-08,51.44,54.13,51.0,53.88,220100,12.86,13.5325,12.75,13.47,880400,0.0,1.0,0
2000-02-09,51.88,53.0,51.5,51.5,185200,12.97,13.25,12.875,12.875,740800,0.0,1.0,0
2000-02-10,55.88,57.38,51.88,52.06,195800,13.97,14.345,12.97,13.015,783200,0.0,1.0,0
2000-02-11,62.75,67.06,59.0,66.06,314000,15.6875,16.765,14.75,16.515,1256000,0.0,1.0,0
2000-02-14,62.5,68.0,60.75,60.75,121700,15.625,17.0,15.1875,15.1875,486800,0.0,1.0,0
2000-02-15,75.0,75.0,61.13,64.88,229600,18.75,18.75,15.2825,16.22,918400,0.0,1.0,0
2000-02-16,87.38,93.25,79.5,79.63,426000,21.845,23.3125,19.875,19.9075,1704000,0.0,1.0,0
2000-02-17,84.13,91.88,76.19,90.75,302800,21.0325,22.97,19.0475,22.6875,1211200,0.0,1.0,0
2000-02-18,76.0,85.5,73.5,85.5,188100,19.0,21.375,18.375,21.375,752400,0.0,1.0,0
2000-02-22,75.13,78.88,71.02,77.88,113700,18.7825,19.72,17.755,19.47,454800,0.0,1.0,0
2000-02-23,76.0,77.75,72.25,76.25,246200,19.0,19.4375,18.0625,19.0625,984800,0.0,1.0,0
2000-02-24,79.25,84.5,75.44,76.13,319000,19.8125,21.125,18.86,19.0325,1276000,0.0,1.0,0
2000-02-25,80.88,81.38,71.0,72.81,332300,20.22,20.345,17.75,18.2025,1329200,0.0,1.0,0
2000-02-28,82.63,90.0,78.88,89.0,164400,20.6575,22.5,19.72,22.25,657600,0.0,1.0,0
2000-02-29,85.25,88.0,83.25,88.0,452800,21.3125,22.0,20.8125,22.0,1811200,0.0,1.0,0
2000-03-01,115.5,119.9,85.88,86.25,441500,28.875,29.975,21.47,21.5625,1766000,0.0,1.0,0
2000-03-02,96.75,119.9,96.0,118.9,367000,24.1875,29.975,24.0,29.725,1468000,0.0,1.0,0
2000-03-03,99.63,101.8,94.38,97.31,733100,24.9075,25.45,23.595,24.3275,2932400,0.0,1.0,0
2000-03-06,100.4,101.0,96.88,99.5,472000,25.1,25.25,24.22,24.875,1888000,0.0,1.0,0
2000-03-07,102.0,106.4,100.0,103.0,372800,25.5,26.6,25.0,25.75,1491200,0.0,1.0,0
2000-03-08,100.4,103.0,93.88,103.0,396300,25.1,25.75,23.47,25.75,1585200,0.0,1.0,0
2000-03-09,96.75,99.63,96.13,99.63,265400,24.1875,24.9075,24.0325,24.9075,1061600,0.0,1.0,0
2000-03-10,93.0,97.0,92.25,95.75,441400,23.25,24.25,23.0625,23.9375,1765600,0.0,1.0,0
2000-03-13,90.0,93.0,82.25,91.0,332200,22.5,23.25,20.5625,22.75,1328800,0.0,1.0,0
2000-03-14,77.0,96.0,75.0,90.5,400900,19.25,24.0,18.75,22.625,1603600,0.0,1.0,0
2000-03-15,73.0,79.5,68.0,78.75,294600,18.25,19.875,17.0,19.6875,1178400,0.0,1.0,0
2000-03-16,77.13,78.0,74.0,74.19,307900,19.2825,19.5,18.5,18.5475,1231600,0.0,1.0,0
2000-03-17,86.5,91.0,77.0,78.13,297000,21.625,22.75,19.25,19.5325,1188000,0.0,1.0,0
2000-03-20,77.13,93.0,75.0,88.0,252400,19.2825,23.25,18.75,22.0,1009600,0.0,1.0,0
2000-03-21,70.0,78.0,66.0,78.0,252100,17.5,19.5,16.5,19.5,1008400,0.0,1.0,0
2000-03-22,79.69,79.69,70.5,71.0,154700,19.9225,19.9225,17.625,17.75,618800,0.0,1.0,0
2000-03-23,81.25,84.0,73.5,79.63,105500,20.3125,21.0,18.375,19.9075,422000,0.0,1.0,0
2000-03-24,79.19,82.13,76.88,80.5,115500,19.7975,20.5325,19.22,20.125,462000,0.0,1.0,0
2000-03-27,84.5,85.25,79.13,79.13,217600,21.125,21.3125,19.7825,19.7825,870400,0.0,1.0,0
2000-03-28,84.94,85.0,74.25,84.25,157900,21.235,21.25,18.5625,21.0625,631600,0.0,1.0,0
2000-03-29,69.88,85.5,68.0,85.0,228500,17.47,21.375,17.0,21.25,914000,0.0,1.0,0
