date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,inSPY
2000-01-03,89.38,89.56,80.0,81.5,16117600,89.38,89.56,80.0,81.5,16117600,0.0,1.0,0
2000-01-04,81.94,91.5,81.75,85.38,17487400,81.94,91.5,81.75,85.38,17487400,0.0,1.0,0
2000-01-05,71.75,75.13,69.63,70.75,38457400,71.75,75.13,69.63,70.75,38457400,0.0,1.0,0
2000-01-06,65.56,72.69,64.0,71.31,18752000,65.56,72.69,64.0,71.31,18752000,0.0,1.0,0
2000-01-07,69.56,70.5,66.19,67.0,10505400,69.56,70.5,66.19,67.0,10505400,0.0,1.0,0
2000-01-10,69.19,72.63,65.56,72.56,14757900,69.19,72.63,65.56,72.56,14757900,0.0,1.0,0
2000-01-11,66.75,70.0,65.0,66.88,10532700,66.75,70.0,65.0,66.88,10532700,0.0,1.0,0
2000-01-12,63.56,68.0,63.0,67.88,10804500,63.56,68.0,63.0,67.88,10804500,0.0,1.0,0
2000-01-13,65.94,67.19,63.13,64.94,10448100,65.94,67.19,63.13,64.94,10448100,0.0,1.0,0
2000-01-14,64.25,68.5,64.0,66.75,6853600,64.25,68.5,64.0,66.75,6853600,0.0,1.0,0
2000-01-18,64.13,65.19,63.0,63.44,5384900,64.13,65.19,63.0,63.44,5384900,0.0,1.0,0
2000-01-19,66.81,67.5,63.0,64.13,8245500,66.81,67.5,63.0,64.13,8245500,0.0,1.0,0
2000-01-20,64.75,67.0,63.94,66.94,5978000,64.75,67.0,63.94,66.94,5978000,0.0,1.0,0
2000-01-21,62.06,64.63,60.0,64.63,11461900,62.06,64.63,60.0,64.63,11461900,0.0,1.0,0
2000-01-24,70.13,73.38,67.5,67.56,29170200,70.13,73.38,67.5,67.56,29170200,0.0,1.0,0
2000-01-25,69.25,71.25,66.0,70.0,9434100,69.25,71.25,66.0,70.0,9434100,0.0,1.0,0
2000-01-26,64.81,70.0,64.75,68.63,6558000,64.81,70.0,64.75,68.63,6558000,0.0,1.0,0
2000-01-27,66.94,67.75,64.63,65.19,6784000,66.94,67.75,64.63,65.19,6784000,0.0,1.0,0
2000-01-28,61.69,66.44,60.0,65.0,13777900,61.69,66.44,60.0,65.0,13777900,0.0,1.0,0
2000-01-31,64.56,64.75,58.44,60.38,10697900,64.56,64.75,58.44,60.38,10697900,0.0,1.0,0
2000-02-01,67.44,70.63,64.38,67.5,13404600,67.44,70.63,64.38,67.5,13404600,0.0,1.0,0
2000-02-02,69.44,72.25,67.75,67.94,14025900,69.44,72.25,67.75,67.94,14025900,0.0,1.0,0
2000-02-03,84.19,85.94,77.38,81.13,43750000,84.19,85.94,77.38,81.13,43750000,0.0,1.0,0
2000-02-04,78.56,82.75,78.0,82.75,11023000,78.56,82.75,78.0,82.75,11023000,0.0,1.0,0
2000-02-07,75.0,76.88,73.13,76.19,10129000,75.0,76.88,73.13,76.19,10129000,0.0,1.0,0
2000-02-08,83.13,84.0,73.44,74.0,19472800,83.13,84.0,73.44,74.0,19472800,0.0,1.0,0
2000-02-09,80.25,83.73,80.02,80.55,9580400,80.25,83.73,80.02,80.55,9580400,0.0,1.0,0
2000-02-10,76.19,79.88,75.5,78.5,9979600,76.19,79.88,75.5,78.5,9979600,0.0,1.0,0
2000-02-11,76.19,79.13,75.5,77.13,8309000,76.19,79.13,75.5,77.13,8309000,0.0,1.0,0
2000-02-14,74.44,75.75,73.56,75.69,5169700,74.44,75.75,73.56,75.69,5169700,0.0,1.0,0
2000-02-15,73.81,76.19,70.63,73.44,6424500,73.81,76.19,70.63,73.44,6424500,0.0,1.0,0
2000-02-16,70.69,73.44,70.63,72.75,4260200,70.69,73.44,70.63,72.75,4260200,0.0,1.0,0
2000-02-17,69.0,71.31,68.0,71.25,6129600,69.0,71.31,68.0,71.25,6129600,0.0,1.0,0
2000-02-18,64.75,69.0,63.88,68.44,8726400,64.75,69.0,63.88,68.44,8726400,0.0,1.0,0
2000-02-22,63.56,66.5,63.06,64.94,5685800,63.56,66.5,63.06,64.94,5685800,0.0,1.0,0
2000-02-23,70.44,71.75,64.69,64.88,8441200,70.44,71.75,64.69,64.88,8441200,0.0,1.0,0
2000-02-24,68.44,71.38,65.63,70.56,5869300,68.44,71.38,65.63,70.56,5869300,0.0,1.0,0
2000-02-25,69.13,69.38,65.19,67.44,4870500,69.13,69.38,65.19,67.44,4870500,0.0,1.0,0
2000-02-28,65.75,67.19,64.13,66.56,5057700,65.75,67.19,64.13,66.56,5057700,0.0,1.0,0
2000-02-29,68.88,68.97,65.88,66.0,7148500,68.88,68.97,65.88,66.0,7148500,0.0,1.0,0
2000-03-01,65.88,68.5,65.0,67.63,5576700,65.88,68.5,65.0,67.63,5576700,0.0,1.0,0
2000-03-02,62.56,65.0,62.19,64.94,7980100,62.56,65.0,62.19,64.94,7980100,0.0,1.0,0
2000-03-03,62.5,64.75,62.06,63.25,6059500,62.5,64.75,62.06,63.25,6059500,0.0,1.0,0
2000-03-06,63.94,67.25,62.81,62.88,7665800,63.94,67.25,62.81,62.88,7665800,0.0,1.0,0
2000-03-07,63.5,65.81,62.13,64.88,4178800,63.5,65.81,62.13,64.88,4178800,0.0,1.0,0
