date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2015-02-02,3.12,3.45,2.955,3.45,163382,3.12,3.45,2.955,3.45,163382,0.0,1.0
2015-02-03,3.26,3.32,3.1,3.12,111227,3.26,3.32,3.1,3.12,111227,0.0,1.0
2015-02-04,3.17,3.24,3.13,3.16,33070,3.17,3.24,3.13,3.16,33070,0.0,1.0
2015-02-05,3.16,3.2418,3.1,3.12,80472,3.16,3.2418,3.1,3.12,80472,0.0,1.0
2015-02-06,3.17,3.21,3.115,3.2,28427,3.17,3.21,3.115,3.2,28427,0.0,1.0
2015-02-09,3.18,3.31,3.13,3.31,167873,3.18,3.31,3.13,3.31,167873,0.0,1.0
2015-02-10,3.15,3.24,3.1,3.2,180624,3.15,3.24,3.1,3.2,180624,0.0,1.0
2015-02-11,3.1,3.25,3.1,3.2,67398,3.1,3.25,3.1,3.2,67398,0.0,1.0
2015-02-12,3.16,3.16,3.04,3.1,69090,3.16,3.16,3.04,3.1,69090,0.0,1.0
2015-02-13,3.53,3.56,3.13,3.21,266177,3.53,3.56,3.13,3.21,266177,0.0,1.0
2015-02-17,3.35,3.59,3.255,3.3,157987,3.35,3.59,3.255,3.3,157987,0.0,1.0
2015-02-18,3.29,3.39,3.22,3.34,158424,3.29,3.39,3.22,3.34,158424,0.0,1.0
2015-02-19,3.3,3.39,3.21,3.25,107619,3.3,3.39,3.21,3.25,107619,0.0,1.0
2015-02-20,3.32,3.38,3.19,3.19,108317,3.32,3.38,3.19,3.19,108317,0.0,1.0
2015-02-23,3.32,3.426,3.2,3.36,214544,3.32,3.426,3.2,3.36,214544,0.0,1.0
2015-02-24,3.55,3.58,3.34,3.34,338140,3.55,3.58,3.34,3.34,338140,0.0,1.0
2015-02-25,3.71,3.88,3.52,3.6,413930,3.71,3.88,3.52,3.6,413930,0.0,1.0
2015-02-26,3.66,3.7593,3.6,3.75,274610,3.66,3.7593,3.6,3.75,274610,0.0,1.0
2015-02-27,3.61,4.0,3.535,3.88,279165,3.61,4.0,3.535,3.88,279165,0.0,1.0
2015-03-02,3.96,3.97,3.55,3.55,360628,3.96,3.97,3.55,3.55,360628,0.0,1.0
2015-03-03,4.0,4.074,3.85,4.0,193780,4.0,4.074,3.85,4.0,193780,0.0,1.0
2015-03-04,4.085,4.16,3.91,4.0,240046,4.085,4.16,3.91,4.0,240046,0.0,1.0
