date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2015-02-02,103.05,103.21,101.475,102.98,1177879,97.2712479955,97.4222756488,95.7845695326,97.2051733971,1177879,0.0,1.0
2015-02-03,103.89,103.925,102.82,103.3,716844,98.0641431756,98.0971804748,97.0541457437,97.5072287038,716844,0.0,1.0
2015-02-04,101.84,102.91,101.65,102.57,789905,96.1291013669,97.1390987988,95.9497560285,96.8181650354,789905,0.0,1.0
2015-02-05,103.1,103.26,101.63,102.56,569916,97.3184441371,97.4694717905,95.9308775718,96.808725807,569916,0.0,1.0
2015-02-06,100.79,102.25,100.44,101.53,964773,95.1379823917,96.5161097286,94.8076093999,95.8364852885,964773,0.0,1.0
2015-02-09,98.65,99.86,98.57,98.87,798839,93.1179875279,94.2601341565,93.0424737012,93.3256505513,798839,0.0,1.0
2015-02-10,102.1,102.37,101.07,101.3,679443,96.3745213036,96.6293804686,95.4022807851,95.6193830368,679443,0.0,1.0
2015-02-11,103.42,103.79,102.67,102.95,715335,97.6204994439,97.9697508923,96.9125573187,97.1768557121,715335,0.0,1.0
2015-02-12,104.04,104.1,103.09,103.82,443522,98.2057316006,98.2623669707,97.3090049088,97.9980685773,443522,0.0,1.0
2015-02-13,104.48,104.65,103.83,104.53,359084,98.6210576474,98.7815245291,98.0075078056,98.6682537891,359084,0.0,1.0
2015-02-17,102.97,103.33,101.97,102.51,493693,97.1957341688,97.5355463888,96.2518113352,96.7615296653,493693,0.0,1.0
2015-02-18,103.71,104.0697,103.26,103.59,311899,97.8942370656,98.2337661088,97.4694717905,97.7809663256,311899,0.0,1.0
2015-02-19,104.6,105.17,103.71,103.81,275945,98.7343283874,99.2723644025,97.8942370656,97.9886293489,275945,0.0,1.0
2015-02-20,104.85,105.06,102.6,102.6,582493,98.9703090958,99.1685328908,96.8464827204,96.8464827204,582493,0.0,1.0
2015-02-23,105.12,105.71,105.01,105.63,452197,99.2251682609,99.7820827326,99.1213367492,99.706568906,452197,0.0,1.0
2015-02-24,110.75,110.85,107.88,108.53,2153846,104.5394538136,104.633846097,101.8303952814,102.4439451232,2153846,0.0,1.0
2015-02-25,108.97,109.94,108.42,109.69,1152258,102.85927117,103.7748763185,102.3401136115,103.5388956101,1152258,0.0,1.0
2015-02-26,107.91,108.67,107.51,107.6,608331,101.8587129664,102.5760943199,101.481143833,101.566096888,608331,0.0,1.0
2015-02-27,107.68,108.43,106.75,107.53,686834,101.6416107147,102.3495528399,100.7637624795,101.5000222897,686834,0.0,1.0
2015-03-02,109.93,110.27,108.99,109.26,600474,103.7654370902,104.0863708536,102.8781496266,103.1330087917,600474,0.0,1.0
2015-03-03,108.49,109.96,108.06,109.88,651334,102.4061882099,103.7937547752,102.0003013914,103.7182409485,651334,0.0,1.0
2015-03-04,108.51,108.87,107.32,108.23,537367,102.4250666665,102.7648788866,101.3017984946,102.1607682731,537367,0.0,1.0
2015-03-05,109.35,109.8,108.72,109.21,402452,103.2179618467,103.6427271218,102.6232904616,103.08581265,402452,0.0,1.0
2015-03-06,107.32,108.38,106.68,108.26,652501,101.3017984946,102.3023566982,100.6976878812,102.1890859582,652501,0.0,1.0
2015-03-09,107.93,108.1936,107.07,107.45,505955,101.8775914231,102.126409482,101.0658177862,101.424508463,505955,0.0,1.0
2015-03-10,106.15,107.2,105.96,106.99,625971,100.1974087794,101.1885277546,100.018063441,100.9903039596,625971,0.0,1.0
2015-03-11,106.68,107.98,106.31,106.72,551050,100.6976878812,101.9247875648,100.3484364328,100.7354447945,551050,0.0,1.0
2015-03-12,104.8,106.66,104.22,106.62,1529761,98.9231129541,100.6788094245,98.3756377107,100.6410525112,1529761,0.0,1.0
2015-03-13,105.48,105.74,104.68,105.1,1429066,99.5649804809,99.8104004177,98.8098422141,99.2062898042,1429066,0.0,1.0
2015-03-16,107.81,108.0,106.56,106.86,420148,101.7643206831,101.9436660214,100.5844171411,100.8675939912,420148,0.0,1.0
2015-03-17,106.77,107.25,106.3,106.62,695433,100.7826409362,101.2357238963,100.3389972044,100.6410525112,695433,0.0,1.0
2015-03-18,106.82,107.35,104.4,105.98,1703276,100.8298370779,101.3301161796,98.5455438207,100.0369418977,1703276,0.0,1.0
2015-03-19,107.14,107.47,106.32,106.46,641241,101.1318923846,101.4433869197,100.3578756611,100.4900248578,641241,0.0,1.0
2015-03-20,110.16,110.68,108.72,109.38,747824,103.9825393419,104.4733792153,102.6232904616,103.2462795317,747824,0.0,1.0
2015-03-23,110.72,111.2,109.93,110.35,562634,104.5111361286,104.9642190887,103.7654370902,104.1618846802,562634,0.0,1.0
2015-03-24,110.39,111.4,110.21,111.22,628649,104.1996415936,105.1530036554,104.0297354835,104.9830975454,628649,0.0,1.0
2015-03-25,104.63,109.74,104.45,109.7,1733151,98.7626460724,103.5860917518,98.5927399624,103.5483348384,1733151,0.0,1.0
2015-03-26,99.08,101.01,98.42,101.01,4330289,93.5238743463,95.345645415,92.9008852762,95.345645415,4330289,0.0,1.0
2015-03-27,101.86,102.116,99.95,99.99,1260232,96.1479798235,96.3896240689,94.3450872115,94.3828441248,1260232,0.0,1.0
2015-03-30,103.12,103.43,101.57,101.57,990579,97.3373225938,97.6299386722,95.8742422018,95.8742422018,990579,0.0,1.0
2015-03-31,101.03,102.22,100.97,101.47,1224098,95.3645238717,96.4877920436,95.3078885017,95.7798499185,1224098,0.0,1.0
2015-04-01,100.335,101.12,99.55,101.12,641556,94.7084975024,95.4494769267,93.9675180781,95.4494769267,641556,0.0,1.0
2015-04-02,100.74,102.01,100.48,101.61,498668,95.09078625,96.2895682486,94.8453663133,95.9119991152,498668,0.0,1.0
2015-04-06,100.23,101.2,100.0,100.92,916355,94.6093856049,95.5249907534,94.3922833532,95.26069236,916355,0.0,1.0
2015-04-07,100.17,101.86,100.12,100.93,1161822,94.5527502349,96.1479798235,94.5055540932,95.2701315884,1161822,0.0,1.0
2015-04-08,99.97,100.18,99.2,99.8,630447,94.3639656682,94.5621894632,93.6371450864,94.2034987865,630447,0.0,1.0
2015-04-09,100.74,100.86,99.49,100.31,1609694,95.09078625,95.20405699,93.9108827081,94.6848994316,1609694,0.0,1.0
2015-04-10,100.02,100.58,99.59,99.73,846319,94.4111618098,94.9397585966,94.0052749914,94.1374241881,846319,0.0,1.0
2015-04-13,99.81,100.99,99.593,100.39,1037656,94.2129380148,95.3267669584,94.0081067599,94.7604132583,1037656,0.0,1.0
