date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,inSPY
2000-01-03,16.44,16.5,14.0,15.75,602150,1.2279113451,1.2323927734,1.0456665956,1.1763749201,7225799,0.0,1.0,0
2000-01-04,15.94,16.25,14.25,16.12,355200,1.1905661096,1.2137201556,1.0643392134,1.2040103944,4262399,0.0,1.0,0
2000-01-05,16.0,16.37,15.75,15.81,282417,1.1950475379,1.2226830122,1.1763749201,1.1808563483,3389003,0.0,1.0,0
2000-01-06,15.69,16.0,15.56,15.88,202417,1.1718934918,1.1950475379,1.1621837306,1.1860846813,2429003,0.0,1.0,0
2000-01-07,16.12,16.25,15.5,15.88,1295750,1.2040103944,1.2137201556,1.1577023023,1.1860846813,15548999,0.0,1.0,0
2000-01-10,16.94,17.0,15.88,16.25,912550,1.2652565807,1.269738009,1.1860846813,1.2137201556,10950599,0.0,1.0,0
2000-01-11,17.69,18.25,16.88,17.0,892550,1.321274434,1.3631010979,1.2607751524,1.269738009,10710599,0.0,1.0,0
2000-01-12,16.94,17.25,16.37,17.25,224017,1.2652565807,1.2884106267,1.2226830122,1.2884106267,2688203,0.0,1.0,0
2000-01-13,17.12,17.25,16.5,16.88,272267,1.2787008655,1.2884106267,1.2323927734,1.2607751524,3267203,0.0,1.0,0
2000-01-14,16.94,17.12,16.69,16.88,212817,1.2652565807,1.2787008655,1.2465839629,1.2607751524,2553803,0.0,1.0,0
2000-01-18,17.0,17.44,16.94,17.0,205067,1.269738009,1.3026018163,1.2652565807,1.269738009,2460803,0.0,1.0,0
2000-01-19,16.75,17.12,16.69,17.12,299467,1.2510653912,1.2787008655,1.2465839629,1.2787008655,3593603,0.0,1.0,0
2000-01-20,15.81,17.0,15.62,16.63,444967,1.1808563483,1.269738009,1.1666651588,1.2421025347,5339603,0.0,1.0,0
2000-01-21,15.13,15.81,14.87,15.78,955033,1.130066828,1.1808563483,1.1106473055,1.1786156342,11460395,0.0,1.0,0
2000-01-24,15.0,15.19,14.75,15.03,421350,1.1203570667,1.1345482562,1.101684449,1.1225977809,5056199,0.0,1.0,0
2000-01-25,14.5,15.13,13.59,15.13,509433,1.0830118312,1.130066828,1.0150435025,1.130066828,6113195,0.0,1.0,0
2000-01-26,15.88,16.5,14.5,14.75,978833,1.1860846813,1.2323927734,1.0830118312,1.101684449,11745995,0.0,1.0,0
