date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2015-02-02,90.13,91.66,88.61,91.13,18852195,90.13,91.66,88.61,91.13,18852195,0.0,1.0
2015-02-03,90.61,91.65,89.9,91.65,13512263,90.61,91.65,89.9,91.65,13512263,0.0,1.0
2015-02-04,90.0,91.88,89.48,90.99,14635083,90.0,91.88,89.48,90.99,14635083,0.0,1.0
2015-02-05,87.0,89.84,86.1,89.58,28914066,87.0,89.84,86.1,89.58,28914066,0.0,1.0
2015-02-06,85.68,87.4,85.42,87.11,17617399,85.68,87.4,85.42,87.11,17617399,0.0,1.0
2015-02-09,86.0,86.75,85.47,85.83,12102125,86.0,86.75,85.47,85.83,12102125,0.0,1.0
2015-02-10,87.26,87.47,86.52,87.01,12043343,87.26,87.47,86.52,87.01,12043343,0.0,1.0
2015-02-11,86.0,87.7,85.82,87.58,12354728,86.0,87.7,85.82,87.58,12354728,0.0,1.0
2015-02-12,87.1,88.3,85.55,85.6,15177782,87.1,88.3,85.55,85.6,15177782,0.0,1.0
2015-02-13,89.05,89.3,87.65,88.2,14665220,89.05,89.3,87.65,88.2,14665220,0.0,1.0
2015-02-17,86.85,88.99,86.7,88.78,15186136,86.85,88.99,86.7,88.78,15186136,0.0,1.0
2015-02-18,86.74,87.43,86.5,87.1,7417462,86.74,87.43,86.5,87.1,7417462,0.0,1.0
2015-02-19,86.89,87.87,86.71,86.81,7600234,86.89,87.87,86.71,86.81,7600234,0.0,1.0
2015-02-20,86.64,87.29,86.38,87.25,7816501,86.64,87.29,86.38,87.25,7816501,0.0,1.0
2015-02-23,85.47,86.68,85.25,86.51,9360524,85.47,86.68,85.25,86.51,9360524,0.0,1.0
2015-02-24,84.69,85.53,83.88,85.53,15846433,84.69,85.53,83.88,85.53,15846433,0.0,1.0
2015-02-25,86.19,86.83,84.36,84.38,13645741,86.19,86.83,84.36,84.38,13645741,0.0,1.0
2015-02-26,85.37,87.16,85.2,86.92,8760579,85.37,87.16,85.2,86.92,8760579,0.0,1.0
2015-02-27,85.12,86.56,85.0,85.95,8374861,85.12,86.56,85.0,85.95,8374861,0.0,1.0
2015-03-02,84.0,85.02,83.75,85.0,11208487,84.0,85.02,83.75,85.0,11208487,0.0,1.0
2015-03-03,81.58,83.25,80.03,82.95,39202637,81.58,83.25,80.03,82.95,39202637,0.0,1.0
2015-03-04,85.49,85.8265,80.17,80.27,36536835,85.49,85.8265,80.17,80.27,36536835,0.0,1.0
2015-03-05,86.1,86.27,84.01,85.75,18514791,86.1,86.27,84.01,85.75,18514791,0.0,1.0
2015-03-06,84.4,86.0,84.05,85.74,10673713,84.4,86.0,84.05,85.74,10673713,0.0,1.0
2015-03-09,82.53,84.35,81.48,84.35,17616541,82.53,84.35,81.48,84.35,17616541,0.0,1.0
2015-03-10,82.97,83.15,80.65,81.09,13817017,82.97,83.15,80.65,81.09,13817017,0.0,1.0
2015-03-11,81.99,83.38,81.19,83.0,12758576,81.99,83.38,81.19,83.0,12758576,0.0,1.0
2015-03-12,81.92,82.9,81.53,82.1,11232001,81.92,82.9,81.53,82.1,11232001,0.0,1.0
2015-03-13,81.86,81.92,80.77,81.8,12659049,81.86,81.92,80.77,81.8,12659049,0.0,1.0
2015-03-16,84.0,85.2,81.94,82.01,16861665,84.0,85.2,81.94,82.01,16861665,0.0,1.0
2015-03-17,84.5,85.1,83.51,84.01,17615419,84.5,85.1,83.51,84.01,17615419,0.0,1.0
2015-03-18,84.59,85.95,83.3,83.87,35642574,84.59,85.95,83.3,83.87,35642574,0.0,1.0
2015-03-19,85.74,87.04,85.0,85.11,30452838,85.74,87.04,85.0,85.11,30452838,0.0,1.0
2015-03-20,85.2,86.8,85.09,86.33,21181463,85.2,86.8,85.09,86.33,21181463,0.0,1.0
2015-03-23,84.25,85.53,84.21,85.25,10914306,84.25,85.53,84.21,85.25,10914306,0.0,1.0
2015-03-24,83.63,84.5,82.39,84.35,14511455,83.63,84.5,82.39,84.35,14511455,0.0,1.0
2015-03-25,83.75,84.48,82.67,83.94,13504082,83.75,84.48,82.67,83.94,13504082,0.0,1.0
2015-03-26,84.17,84.995,82.96,83.2,12198461,84.17,84.995,82.96,83.2,12198461,0.0,1.0
2015-03-27,84.58,85.15,83.34,84.78,9700062,84.58,85.15,83.34,84.78,9700062,0.0,1.0
2015-03-30,83.9,85.15,83.75,85.03,10017292,83.9,85.15,83.75,85.03,10017292,0.0,1.0
2015-03-31,83.24,84.45,83.2,83.64,11810161,83.24,84.45,83.2,83.64,11810161,0.0,1.0
2015-04-01,82.36,83.72,82.18,83.37,14896406,82.36,83.72,82.18,83.37,14896406,0.0,1.0
2015-04-02,82.28,83.0,81.25,82.88,19868163,82.28,83.0,81.25,82.88,19868163,0.0,1.0
2015-04-06,81.82,82.59,81.6139,82.05,12805882,81.82,82.59,81.6139,82.05,12805882,0.0,1.0
2015-04-07,82.21,82.95,81.88,81.94,9436412,82.21,82.95,81.88,81.94,9436412,0.0,1.0
2015-04-08,85.39,85.54,83.0655,83.3,26161527,85.39,85.54,83.0655,83.3,26161527,0.0,1.0
2015-04-09,86.14,87.69,85.2,87.03,27775333,86.14,87.69,85.2,87.03,27775333,0.0,1.0
2015-04-10,84.58,86.69,84.15,86.68,18292930,84.58,86.69,84.15,86.68,18292930,0.0,1.0
2015-04-13,84.28,85.71,83.82,85.16,15797050,84.28,85.71,83.82,85.16,15797050,0.0,1.0
2015-04-14,85.0,85.13,83.53,84.63,11819027,85.0,85.13,83.53,84.63,11819027,0.0,1.0
2015-04-15,84.67,85.36,84.16,85.08,12225844,84.67,85.36,84.16,85.08,12225844,0.0,1.0
2015-04-16,84.06,85.4,83.89,85.15,12048583,84.06,85.4,83.89,85.15,12048583,0.0,1.0
2015-04-17,81.9,83.25,81.61,83.08,22670880,81.9,83.25,81.61,83.08,22670880,0.0,1.0
2015-04-20,82.2,82.69,81.52,82.25,13470955,82.2,82.69,81.52,82.25,13470955,0.0,1.0
2015-04-21,82.42,82.92,82.14,82.86,10055961,82.42,82.92,82.14,82.86,10055961,0.0,1.0
2015-04-22,82.05,82.84,81.52,82.78,13306009,82.05,82.84,81.52,82.78,13306009,0.0,1.0
2015-04-23,82.28,82.75,81.62,81.88,11468043,82.28,82.75,81.62,81.88,11468043,0.0,1.0
2015-04-24,84.57,84.99,82.8,82.88,21058385,84.57,84.99,82.8,82.88,21058385,0.0,1.0
2015-04-27,84.9,86.27,84.65,85.53,17404153,84.9,86.27,84.65,85.53,17404153,0.0,1.0
2015-04-28,85.08,85.57,83.82,85.54,11102776,85.08,85.57,83.82,85.54,11102776,0.0,1.0
2015-04-29,82.45,84.4,81.64,84.06,21090623,82.45,84.4,81.64,84.06,21090623,0.0,1.0
2015-04-30,81.29,82.65,80.4399,82.22,14202821,81.29,82.65,80.4399,82.22,14202821,0.0,1.0
2015-05-01,81.17,82.25,80.11,81.03,17910494,81.17,82.25,80.11,81.03,17910494,0.0,1.0
2015-05-04,80.59,81.56,80.12,81.17,21535859,80.59,81.56,80.12,81.17,21535859,0.0,1.0
2015-05-05,79.54,80.9,77.77,80.44,32638429,79.54,80.9,77.77,80.44,32638429,0.0,1.0
2015-05-06,80.0,80.85,79.51,79.65,24930592,80.0,80.85,79.51,79.65,24930592,0.0,1.0
2015-05-07,86.0,89.29,84.91,88.83,69419330,86.0,89.29,84.91,88.83,69419330,0.0,1.0
2015-05-08,87.06,88.27,86.89,87.82,30134718,87.06,88.27,86.89,87.82,30134718,0.0,1.0
2015-05-11,86.72,87.67,86.06,86.7,19775197,86.72,87.67,86.06,86.7,19775197,0.0,1.0
2015-05-12,86.77,87.5,86.14,87.05,16070155,86.77,87.5,86.14,87.05,16070155,0.0,1.0
2015-05-13,87.53,88.47,87.0,87.08,19015929,87.53,88.47,87.0,87.08,19015929,0.0,1.0
2015-05-14,88.4,88.48,87.53,87.74,12077287,88.4,88.48,87.53,87.74,12077287,0.0,1.0
2015-05-15,88.46,88.96,88.05,88.51,13417982,88.46,88.96,88.05,88.51,13417982,0.0,1.0
2015-05-18,87.11,87.93,86.61,87.61,13487014,87.11,87.93,86.61,87.61,13487014,0.0,1.0
2015-05-19,88.21,88.8,86.47,86.99,20727734,88.21,88.8,86.47,86.99,20727734,0.0,1.0
2015-05-20,90.7,90.8,87.3,88.14,29792036,90.7,90.8,87.3,88.14,29792036,0.0,1.0
2015-05-21,93.88,94.77,90.92,91.35,40694218,93.88,94.77,90.92,91.35,40694218,0.0,1.0
2015-05-22,93.27,95.06,93.19,94.28,22183344,93.27,95.06,93.19,94.28,22183344,0.0,1.0
2015-05-26,92.52,93.92,91.55,93.65,15652075,92.52,93.92,91.55,93.65,15652075,0.0,1.0
2015-05-27,92.6,92.99,91.6,92.22,9504958,92.6,92.99,91.6,92.22,9504958,0.0,1.0
2015-05-28,90.95,91.93,90.58,91.69,14212989,90.95,91.93,90.58,91.69,14212989,0.0,1.0
2015-05-29,89.32,91.5,89.32,91.35,13887401,89.32,91.5,89.32,91.35,13887401,0.0,1.0
2015-06-01,90.78,90.99,89.49,90.09,9902910,90.78,90.99,89.49,90.09,9902910,0.0,1.0
2015-06-02,90.51,91.54,90.19,90.55,9857127,90.51,91.54,90.19,90.55,9857127,0.0,1.0
2015-06-03,90.79,91.04,89.9,90.73,9428006,90.79,91.04,89.9,90.73,9428006,0.0,1.0
2015-06-04,90.59,91.41,90.27,90.71,8689039,90.59,91.41,90.27,90.71,8689039,0.0,1.0
2015-06-05,90.71,91.6,90.46,90.46,11353884,90.71,91.6,90.46,90.46,11353884,0.0,1.0
2015-06-08,88.29,91.6,88.2427,90.65,15702324,88.29,91.6,88.2427,90.65,15702324,0.0,1.0
2015-06-09,87.58,88.18,86.12,88.04,16081784,87.58,88.18,86.12,88.04,16081784,0.0,1.0
2015-06-10,88.9,88.99,87.2,87.7,12551297,88.9,88.99,87.2,87.7,12551297,0.0,1.0
2015-06-11,87.21,89.48,87.1,89.03,13716159,87.21,89.48,87.1,89.03,13716159,0.0,1.0
2015-06-12,86.63,87.79,86.48,87.42,9977141,86.63,87.79,86.48,87.42,9977141,0.0,1.0
2015-06-15,86.12,87.17,86.05,86.3,10230405,86.12,87.17,86.05,86.3,10230405,0.0,1.0
2015-06-16,86.09,86.7,85.6101,86.003,10974185,86.09,86.7,85.6101,86.003,10974185,0.0,1.0
2015-06-17,86.8,87.8,86.48,86.58,10241517,86.8,87.8,86.48,86.58,10241517,0.0,1.0
2015-06-18,86.75,87.59,86.32,86.97,11731753,86.75,87.59,86.32,86.97,11731753,0.0,1.0
2015-06-19,85.74,86.6,85.17,86.51,10255706,85.74,86.6,85.17,86.51,10255706,0.0,1.0
2015-06-22,85.68,86.4,85.58,86.07,7144947,85.68,86.4,85.58,86.07,7144947,0.0,1.0
2015-06-23,85.08,86.34,84.83,85.98,11411344,85.08,86.34,84.83,85.98,11411344,0.0,1.0
2015-06-24,85.17,85.81,84.85,85.163,9433594,85.17,85.81,84.85,85.163,9433594,0.0,1.0
2015-06-25,85.24,85.6,84.9,85.47,8921481,85.24,85.6,84.9,85.47,8921481,0.0,1.0
2015-06-26,83.28,84.65,82.82,84.63,12665629,83.28,84.65,82.82,84.63,12665629,0.0,1.0
