date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2015-02-02,33.56,33.98,32.92,33.96,1767874,33.56,33.98,32.92,33.96,1767874,0.0,1.0
2015-02-03,33.91,34.02,33.6,33.6,1811984,33.91,34.02,33.6,33.6,1811984,0.0,1.0
2015-02-04,34.75,34.93,33.755,33.8,1474886,34.75,34.93,33.755,33.8,1474886,0.0,1.0
2015-02-05,34.88,35.44,34.8,34.95,1934899,34.88,35.44,34.8,34.95,1934899,0.0,1.0
2015-02-06,34.94,34.99,34.68,34.79,1266709,34.94,34.99,34.68,34.79,1266709,0.0,1.0
2015-02-09,34.65,34.93,34.59,34.73,640057,34.65,34.93,34.59,34.73,640057,0.0,1.0
2015-02-10,34.94,35.21,34.76,34.88,2105807,34.94,35.21,34.76,34.88,2105807,0.0,1.0
2015-02-11,34.73,35.01,34.62,34.87,862036,34.73,35.01,34.62,34.87,862036,0.0,1.0
2015-02-12,34.95,35.0,34.67,34.93,3350611,34.95,35.0,34.67,34.93,3350611,0.0,1.0
2015-02-13,34.98,35.1,34.8101,34.86,1429969,34.98,35.1,34.8101,34.86,1429969,0.0,1.0
2015-02-17,34.77,35.05,34.695,35.04,1316259,34.77,35.05,34.695,35.04,1316259,0.0,1.0
2015-02-18,35.22,35.27,34.27,34.8,1542136,35.22,35.27,34.27,34.8,1542136,0.0,1.0
2015-02-19,34.94,35.37,34.88,35.09,949588,34.94,35.37,34.88,35.09,949588,0.0,1.0
2015-02-20,35.34,35.38,34.3074,34.97,1107619,35.34,35.38,34.3074,34.97,1107619,0.0,1.0
2015-02-23,35.23,35.295,34.87,35.11,703090,35.23,35.295,34.87,35.11,703090,0.0,1.0
2015-02-24,35.42,35.5,35.13,35.28,651644,35.42,35.5,35.13,35.28,651644,0.0,1.0
2015-02-25,34.61,35.43,34.5,35.43,1096558,34.61,35.43,34.5,35.43,1096558,0.0,1.0
2015-02-26,34.96,35.1,34.62,34.62,615745,34.96,35.1,34.62,34.62,615745,0.0,1.0
2015-02-27,34.31,34.96,34.26,34.94,1037986,34.31,34.96,34.26,34.94,1037986,0.0,1.0
2015-03-02,34.4,34.6,34.18,34.23,1614472,34.4,34.6,34.18,34.23,1614472,0.0,1.0
2015-03-03,34.26,34.4279,34.105,34.41,821030,34.26,34.4279,34.105,34.41,821030,0.0,1.0
2015-03-04,34.7,34.73,33.71,34.12,1576667,34.7,34.73,33.71,34.12,1576667,0.0,1.0
2015-03-05,34.3,34.7926,34.13,34.78,841633,34.3,34.7926,34.13,34.78,841633,0.0,1.0
2015-03-06,34.19,34.5466,34.03,34.11,792470,34.19,34.5466,34.03,34.11,792470,0.0,1.0
2015-03-09,34.5,34.52,34.03,34.25,698429,34.5,34.52,34.03,34.25,698429,0.0,1.0
2015-03-10,34.44,34.51,34.11,34.23,1838020,34.44,34.51,34.11,34.23,1838020,0.0,1.0
2015-03-11,34.38,34.715,34.285,34.43,696745,34.38,34.715,34.285,34.43,696745,0.0,1.0
2015-03-12,34.86,34.955,34.485,34.59,1019102,34.86,34.955,34.485,34.59,1019102,0.0,1.0
2015-03-13,34.64,34.92,34.56,34.88,792607,34.64,34.92,34.56,34.88,792607,0.0,1.0
2015-03-16,34.89,34.97,34.64,34.8,641227,34.89,34.97,34.64,34.8,641227,0.0,1.0
2015-03-17,35.8,35.98,34.85,35.0,1908233,35.8,35.98,34.85,35.0,1908233,0.0,1.0
