date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,inSPY
2000-01-03,15.38,16.38,15.38,16.25,376700,12.8698329744,13.7066231548,12.8698329744,13.5978404313,376700,0.0,1.0,1
2000-01-04,15.06,15.5,15.0,15.25,229200,12.6020601167,12.970247796,12.5518527058,12.7610502509,229200,0.0,1.0,1
2000-01-05,15.06,15.5,15.0,15.25,504300,12.6020601167,12.970247796,12.5518527058,12.7610502509,504300,0.0,1.0,1
2000-01-06,15.0,15.25,14.81,14.94,268200,12.5518527058,12.7610502509,12.3928625716,12.501645295,268200,0.0,1.0,1
2000-01-07,14.63,15.0,14.38,14.81,417300,12.2422403391,12.5518527058,12.033042794,12.3928625716,417300,0.0,1.0,1
2000-01-10,15.06,15.19,14.5,14.69,395200,12.6020601167,12.7108428401,12.1334576156,12.2924477499,395200,0.0,1.0,1
2000-01-11,15.44,16.0,15.25,16.0,218300,12.9200403852,13.3886428862,12.7610502509,13.3886428862,218300,0.0,1.0,1
2000-01-12,15.38,16.0,15.31,15.69,320400,12.8698329744,13.3886428862,12.8112576618,13.1292379303,320400,0.0,1.0,1
2000-01-13,15.38,15.75,15.13,15.56,264000,12.8698329744,13.1794453411,12.6606354293,13.0204552069,264000,0.0,1.0,1
2000-01-14,14.88,15.38,14.88,15.38,110900,12.4514378842,12.8698329744,12.4514378842,12.8698329744,110900,0.0,1.0,1
2000-01-18,14.69,14.88,14.44,14.88,251800,12.2924477499,12.4514378842,12.0832502048,12.4514378842,251800,0.0,1.0,1
2000-01-19,14.56,14.88,14.44,14.69,317100,12.1836650265,12.4514378842,12.0832502048,12.2924477499,317100,0.0,1.0,1
2000-01-20,14.81,15.0,14.56,14.56,201400,12.3928625716,12.5518527058,12.1836650265,12.1836650265,201400,0.0,1.0,1
2000-01-21,14.69,15.0,14.56,15.0,261200,12.2924477499,12.5518527058,12.1836650265,12.5518527058,261200,0.0,1.0,1
2000-01-24,14.75,14.88,14.5,14.75,236900,12.3426551607,12.4514378842,12.1334576156,12.3426551607,236900,0.0,1.0,1
2000-01-25,14.75,14.81,14.44,14.63,576000,12.3426551607,12.3928625716,12.0832502048,12.2422403391,576000,0.0,1.0,1
2000-01-26,13.94,14.75,13.75,14.75,1314400,11.6648551146,12.3426551607,11.5058649803,12.3426551607,1314400,0.0,1.0,1
2000-01-27,15.0,15.5,13.94,13.94,795100,12.5518527058,12.970247796,11.6648551146,11.6648551146,795100,0.0,1.0,1
2000-01-28,13.88,15.0,13.88,15.0,1595900,11.6146477038,12.5518527058,11.6146477038,12.5518527058,1595900,0.0,1.0,1
2000-01-31,14.25,14.31,13.88,13.94,192200,11.9242600705,11.9744674814,11.6146477038,11.6648551146,192200,0.0,1.0,1
2000-02-01,14.5,14.63,13.5,14.25,317700,12.1334576156,12.2422403391,11.2966674353,11.9242600705,317700,0.0,1.0,1
2000-02-02,14.81,14.94,14.5,14.63,363300,12.3928625716,12.501645295,12.1334576156,12.2422403391,363300,0.0,1.0,1
2000-02-03,14.75,15.38,14.5,14.81,327600,12.3426551607,12.8698329744,12.1334576156,12.3928625716,327600,0.0,1.0,1
2000-02-04,14.38,14.88,14.06,14.88,264800,12.033042794,12.4514378842,11.7652699363,12.4514378842,264800,0.0,1.0,1
2000-02-07,14.19,14.5,14.13,14.38,188400,11.8740526597,12.1334576156,11.8238452489,12.033042794,188400,0.0,1.0,1
2000-02-08,14.25,14.25,13.88,14.19,204000,11.9242600705,11.9242600705,11.6146477038,11.8740526597,204000,0.0,1.0,1
2000-02-09,13.63,14.94,13.63,14.94,211200,11.4054501587,12.501645295,11.4054501587,12.501645295,211200,0.0,1.0,1
2000-02-10,13.63,13.81,13.63,13.69,158300,11.4054501587,11.5560723912,11.4054501587,11.4556575695,158300,0.0,1.0,1
2000-02-11,13.25,14.0,13.19,13.69,239300,11.0874698902,11.7150625254,11.0372624793,11.4556575695,239300,0.0,1.0,1
2000-02-14,13.0,13.38,13.0,13.25,269800,10.8782723451,11.1962526136,10.8782723451,11.0874698902,269800,0.0,1.0,1
2000-02-15,13.63,13.94,13.13,13.13,285200,11.4054501587,11.6648551146,10.9870550685,10.9870550685,285200,0.0,1.0,1
2000-02-16,13.19,13.94,13.0,13.56,218700,11.0372624793,11.6648551146,10.8782723451,11.3468748461,218700,0.0,1.0,1
2000-02-17,13.06,13.38,12.88,13.13,238300,10.9284797559,11.1962526136,10.7778575234,10.9870550685,238300,0.0,1.0,1
2000-02-18,12.56,13.25,12.5,13.06,376600,10.5100846657,11.0874698902,10.4598772549,10.9284797559,376600,0.0,1.0,1
2000-02-22,12.56,13.0,12.5,12.69,270700,10.5100846657,10.8782723451,10.4598772549,10.6188673891,270700,0.0,1.0,1
2000-02-23,12.5,13.06,12.5,12.56,387200,10.4598772549,10.9284797559,10.4598772549,10.5100846657,387200,0.0,1.0,1
2000-02-24,12.06,12.56,12.0,12.5,452300,10.0916895755,10.5100846657,10.0414821647,10.4598772549,452300,0.0,1.0,1
2000-02-25,11.56,12.0,11.25,11.94,619000,9.6732944853,10.0414821647,9.4138895294,9.9912747538,619000,0.0,1.0,1
2000-02-28,11.69,11.81,11.25,11.75,320200,9.7820772087,9.8824920304,9.4138895294,9.8322846196,320200,0.0,1.0,1
2000-02-29,11.25,12.0,11.25,11.56,479900,9.4138895294,10.0414821647,9.4138895294,9.6732944853,479900,0.0,1.0,1
2000-03-01,11.94,12.13,11.44,11.5,504200,9.9912747538,10.1502648881,9.5728796636,9.6230870745,504200,0.0,1.0,1
2000-03-02,11.75,12.0,11.44,11.94,278100,9.8322846196,10.0414821647,9.5728796636,9.9912747538,278100,0.0,1.0,1
2000-03-03,11.75,11.94,11.63,11.75,358800,9.8322846196,9.9912747538,9.7318697979,9.8322846196,358800,0.0,1.0,1
2000-03-06,11.63,11.88,11.56,11.69,285500,9.7318697979,9.941067343,9.6732944853,9.7820772087,285500,0.0,1.0,1
2000-03-07,11.56,11.81,11.5,11.5,363700,9.6732944853,9.8824920304,9.6230870745,9.6230870745,363700,0.0,1.0,1
2000-03-08,11.44,11.69,11.25,11.44,248000,9.5728796636,9.7820772087,9.4138895294,9.5728796636,248000,0.0,1.0,1
2000-03-09,11.38,11.69,11.25,11.38,480600,9.5226722528,9.7820772087,9.4138895294,9.5226722528,480600,0.0,1.0,1
2000-03-10,11.38,11.5,11.25,11.25,189500,9.5226722528,9.6230870745,9.4138895294,9.4138895294,189500,0.0,1.0,1
2000-03-13,11.31,11.38,11.13,11.38,320200,9.4640969402,9.5226722528,9.3134747077,9.5226722528,320200,0.0,1.0,1
2000-03-14,12.25,12.75,12.0,12.0,1699500,10.2506797098,10.6690748,10.0414821647,10.0414821647,1699500,0.0,1.0,1
2000-03-15,12.38,12.56,11.88,12.19,1361500,10.3594624332,10.5100846657,9.941067343,10.2004722989,1361500,0.0,1.0,1
2000-03-16,14.25,14.88,12.56,12.75,1805400,11.9242600705,12.4514378842,10.5100846657,10.6690748,1805400,0.0,1.0,1
2000-03-17,13.88,14.81,13.88,14.31,648200,11.6146477038,12.3928625716,11.6146477038,11.9744674814,648200,0.0,1.0,1
2000-03-20,13.69,13.81,13.44,13.75,267100,11.4556575695,11.5560723912,11.2464600244,11.5058649803,267100,0.0,1.0,1
2000-03-21,13.75,13.94,13.63,13.81,166200,11.5058649803,11.6648551146,11.4054501587,11.5560723912,166200,0.0,1.0,1
2000-03-22,13.63,13.94,13.38,13.88,148100,11.4054501587,11.6648551146,11.1962526136,11.6146477038,148100,0.0,1.0,1
2000-03-23,13.75,13.88,13.5,13.75,179600,11.5058649803,11.6146477038,11.2966674353,11.5058649803,179600,0.0,1.0,1
2000-03-24,13.81,14.25,13.75,13.75,596700,11.5560723912,11.9242600705,11.5058649803,11.5058649803,596700,0.0,1.0,1
2000-03-27,13.13,14.13,13.13,13.94,309300,10.9870550685,11.8238452489,10.9870550685,11.6648551146,309300,0.0,1.0,1
2000-03-28,12.25,13.13,12.0,13.0,988100,10.2506797098,10.9870550685,10.0414821647,10.8782723451,988100,0.0,1.0,1
2000-03-29,12.44,12.94,12.06,12.75,482300,10.409669844,10.8280649342,10.0916895755,10.6690748,482300,0.0,1.0,1
2000-03-30,12.06,12.56,12.06,12.56,463800,10.0916895755,10.5100846657,10.0916895755,10.5100846657,463800,0.0,1.0,1
2000-03-31,11.38,12.25,11.38,11.94,832600,9.5226722528,10.2506797098,9.5226722528,9.9912747538,832600,0.0,1.0,1
2000-04-03,11.88,12.25,11.25,11.25,371200,9.941067343,10.2506797098,9.4138895294,9.4138895294,371200,0.0,1.0,1
2000-04-04,11.38,12.25,11.25,12.0,559900,9.5226722528,10.2506797098,9.4138895294,10.0414821647,559900,0.0,1.0,1
2000-04-05,12.06,12.25,11.06,11.38,694500,10.0916895755,10.2506797098,9.2548993951,9.5226722528,694500,0.0,1.0,1
2000-04-06,12.0,12.31,11.94,12.19,423600,10.0414821647,10.3008871206,9.9912747538,10.2004722989,423600,0.0,1.0,1
2000-04-07,12.06,12.13,11.75,11.88,682300,10.0916895755,10.1502648881,9.8322846196,9.941067343,682300,0.0,1.0,1
2000-04-10,12.13,12.38,12.0,12.0,583800,10.1502648881,10.3594624332,10.0414821647,10.0414821647,583800,0.0,1.0,1
2000-04-11,12.31,12.44,12.0,12.0,400500,10.3008871206,10.409669844,10.0414821647,10.0414821647,400500,0.0,1.0,1
2000-04-12,12.38,12.63,12.25,12.25,685400,10.3594624332,10.5686599783,10.2506797098,10.2506797098,685400,0.0,1.0,1
2000-04-13,11.69,12.38,11.56,12.38,242800,9.7820772087,10.3594624332,9.6732944853,10.3594624332,242800,0.0,1.0,1
