date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,inSPY
2000-01-03,64.44,64.88,63.63,64.25,3568500,29.9272059809,30.1315506524,29.5510260175,29.8389662364,3568500,0.0,1.0,1
2000-01-04,59.56,61.06,58.94,60.88,10592000,27.6608378061,28.357467368,27.3728975872,28.2738718206,10592000,0.0,1.0,1
2000-01-05,58.94,60.25,58.5,60.0,7222700,27.4866804156,28.0975991693,27.2814863304,27.9810116209,7222700,0.245,1.0,1
2000-01-06,59.75,60.06,58.25,59.0,7321900,27.8644240725,28.0089926325,27.164898782,27.5146614272,7321900,0.0,1.0,1
2000-01-07,68.5,69.5,61.25,61.5,10913500,31.9449882672,32.4113384609,28.563949363,28.6805369114,10913500,0.0,1.0,1
2000-01-10,67.75,68.63,66.75,68.63,7113400,31.5952256219,32.0056137924,31.1288754283,32.0056137924,7113400,0.0,1.0,1
2000-01-11,66.81,68.0,66.5,67.75,5687500,31.1568564399,31.7118131704,31.0122878798,31.5952256219,5687500,0.0,1.0,1
2000-01-12,66.63,67.63,66.56,66.81,3727900,31.072913405,31.5392635987,31.0402688915,31.1568564399,3727900,0.0,1.0,1
2000-01-13,65.38,67.31,65.06,67.25,4402000,30.4899756629,31.3900315367,30.3407436009,31.3620505251,4402000,0.0,1.0,1
2000-01-14,67.19,67.38,65.75,67.38,4535900,31.3340695135,31.4226760503,30.6625252346,31.4226760503,4535900,0.0,1.0,1
2000-01-18,65.31,66.63,65.0,65.63,3782300,30.4573311494,31.072913405,30.3127625893,30.6065632113,3782300,0.0,1.0,1
2000-01-19,64.06,66.06,63.69,65.31,4188400,29.8743934073,30.8070937946,29.7018438356,30.4573311494,4188400,0.0,1.0,1
2000-01-20,61.88,64.44,61.44,64.25,4610500,28.857749985,30.0516064809,28.6525558998,29.9629999441,4610500,0.0,1.0,1
2000-01-21,61.19,61.88,59.5,61.0,5863700,28.5359683514,28.857749985,27.7478365241,28.4473618146,5863700,0.0,1.0,1
2000-01-24,58.69,63.13,58.0,63.0,5113200,27.3700928672,29.4406877271,27.0483112335,29.380062202,5113200,0.0,1.0,1
2000-01-25,59.88,60.75,59.19,59.38,6337700,27.9250495977,28.3307742662,27.603267964,27.6918745008,6337700,0.0,1.0,1
2000-01-26,61.5,61.75,59.5,59.88,6858700,28.6805369114,28.7971244599,27.7478365241,27.9250495977,6858700,0.0,1.0,1
2000-01-27,62.25,62.81,61.81,62.5,7669300,29.0302995567,29.2914556652,28.8251054715,29.1468871051,7669300,0.0,1.0,1
2000-01-28,64.25,65.75,62.88,63.38,7592600,29.9629999441,30.6625252346,29.3241001787,29.5572752756,7592600,0.0,1.0,1
2000-01-31,66.25,67.0,62.19,64.25,5492700,30.8957003314,31.2454629767,29.0023185451,29.9629999441,5492700,0.0,1.0,1
2000-02-01,64.63,65.25,63.25,64.25,4424100,30.1402130177,30.4293501377,29.4966497504,29.9629999441,4424100,0.0,1.0,1
2000-02-02,64.81,65.19,64.38,65.0,3455700,30.2241560525,30.4013691261,30.0236254692,30.3127625893,3455700,0.0,1.0,1
2000-02-03,65.38,65.56,63.81,65.25,3094300,30.4899756629,30.5739186978,29.7578058588,30.4293501377,3094300,0.0,1.0,1
2000-02-04,64.69,64.88,63.94,64.69,3108900,30.1681940293,30.2568005661,29.818431384,30.1681940293,3108900,0.0,1.0,1
2000-02-07,64.25,64.69,62.63,64.25,3378500,29.9629999441,30.1681940293,29.2075126303,29.9629999441,3378500,0.0,1.0,1
2000-02-08,63.75,64.5,62.31,64.44,4707000,29.7298248472,30.0795874925,29.0582805683,30.0516064809,4707000,0.0,1.0,1
2000-02-09,62.5,63.5,62.0,63.25,3549100,29.1468871051,29.6132372988,28.9137120083,29.4966497504,3549100,0.0,1.0,1
2000-02-10,61.38,62.63,60.38,62.63,4034400,28.6245748882,29.2075126303,28.1582246945,29.2075126303,4034400,0.0,1.0,1
2000-02-11,60.0,60.75,59.75,60.38,3590300,27.9810116209,28.3307742662,27.8644240725,28.1582246945,3590300,0.0,1.0,1
2000-02-14,61.13,61.88,60.13,60.13,3320500,28.5079873398,28.857749985,28.0416371461,28.0416371461,3320500,0.0,1.0,1
2000-02-15,62.06,62.25,60.69,61.5,4936100,28.9416930199,29.0302995567,28.3027932546,28.6805369114,4936100,0.0,1.0,1
2000-02-16,63.56,63.81,62.0,62.06,4526600,29.6412183104,29.7578058588,28.9137120083,28.9416930199,4526600,0.0,1.0,1
2000-02-17,63.5,64.25,63.0,64.25,4479600,29.6132372988,29.9629999441,29.380062202,29.9629999441,4479600,0.0,1.0,1
2000-02-18,59.75,62.75,59.75,62.75,6121400,27.8644240725,29.2634746535,27.8644240725,29.2634746535,6121400,0.0,1.0,1
2000-02-22,59.94,61.0,59.38,60.5,5817400,27.9530306093,28.4473618146,27.6918745008,28.2141867178,5817400,0.0,1.0,1
2000-02-23,59.94,60.94,59.63,60.5,4156400,27.9530306093,28.419380803,27.8084620492,28.2141867178,4156400,0.0,1.0,1
2000-02-24,57.88,59.63,57.25,59.13,6051200,26.9923492103,27.8084620492,26.6985485883,27.5752869524,6051200,0.0,1.0,1
2000-02-25,56.63,58.19,55.38,58.0,5300100,26.4094114682,27.1369177703,25.8264737261,27.0483112335,5300100,0.0,1.0,1
2000-02-28,56.31,57.19,55.5,55.5,5603400,26.2601794062,26.6705675767,25.8824357493,25.8824357493,5603400,0.0,1.0,1
2000-02-29,57.25,59.13,56.63,57.13,5050900,26.6985485883,27.5752869524,26.4094114682,26.642586565,5050900,0.0,1.0,1
2000-03-01,51.25,57.0,50.25,56.69,15580300,23.9004474262,26.5819610399,23.4340972325,26.4373924798,15580300,0.0,1.0,1
2000-03-02,52.7,53.56,51.63,52.06,11046200,24.576655207,24.9777163736,24.0776604998,24.2781910831,11046200,0.0,1.0,1
2000-03-03,51.5,52.56,50.25,52.5,9444500,24.0170349746,24.5113661799,23.4340972325,24.4833851683,9444500,0.0,1.0,1
2000-03-06,46.44,50.5,45.75,50.5,18310000,21.6573029946,23.5506847809,21.3355213609,23.5506847809,18310000,0.0,1.0,1
2000-03-07,43.5,47.25,42.44,46.44,18039300,20.2862334252,22.0350466515,19.7919022199,21.6573029946,18039300,0.0,1.0,1
2000-03-08,47.75,48.88,44.25,44.25,17237300,22.2682217483,22.7951974672,20.6359960704,20.6359960704,17237300,0.0,1.0,1
2000-03-09,53.75,54.13,48.31,48.94,15570200,25.0663229104,25.243535984,22.5293778568,22.8231784788,15570200,0.0,1.0,1
2000-03-10,52.38,53.75,51.88,52.75,12927600,24.4274231451,25.0663229104,24.1942480482,24.5999727167,12927600,0.0,1.0,1
2000-03-13,50.94,52.25,50.25,50.5,5942100,23.7558788662,24.3667976199,23.4340972325,23.5506847809,5942100,0.0,1.0,1
2000-03-14,47.94,49.56,47.5,47.5,10250400,22.3568282851,23.1123155989,22.1516341999,22.1516341999,10250400,0.0,1.0,1
2000-03-15,50.5,51.38,48.56,49.25,10702000,23.5506847809,23.9610729514,22.6459654052,22.9677470388,10702000,0.0,1.0,1
2000-03-16,55.69,56.38,51.06,51.13,15903500,25.9710422861,26.2928239198,23.8118408894,23.844485403,15903500,0.0,1.0,1
2000-03-17,53.5,56.06,53.19,55.0,7595300,24.949735362,26.1435918578,24.8051668019,25.6492606525,7595300,0.0,1.0,1
2000-03-20,52.94,53.75,52.69,53.5,3490200,24.6885792535,25.0663229104,24.5719917051,24.949735362,3490200,0.0,1.0,1
