date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,inSPY
2000-01-03,24.0,24.0,24.0,24.0,1656500,24.0,24.0,24.0,24.0,1656500,0.0,1.0,0
2000-01-04,22.0,22.5,21.5,21.88,1796600,22.0,22.5,21.5,21.88,1796600,0.0,1.0,0
2000-01-05,21.56,21.75,20.69,21.63,2758000,21.56,21.75,20.69,21.63,2758000,0.0,1.0,0
2000-01-06,20.94,21.63,20.38,21.5,1505800,20.94,21.63,20.38,21.5,1505800,0.0,1.0,0
2000-01-07,22.31,22.38,20.94,21.0,1891000,22.31,22.38,20.94,21.0,1891000,0.0,1.0,0
2000-01-10,23.38,23.88,22.0,22.5,1485600,23.38,23.88,22.0,22.5,1485600,0.0,1.0,0
2000-01-11,22.25,23.38,22.19,23.0,1402500,22.25,23.38,22.19,23.0,1402500,0.0,1.0,0
2000-01-12,20.69,22.88,20.69,22.63,1142900,20.69,22.88,20.69,22.63,1142900,0.0,1.0,0
2000-01-13,21.0,21.5,20.31,21.38,1245800,21.0,21.5,20.31,21.38,1245800,0.0,1.0,0
2000-01-14,22.25,22.31,21.0,21.0,1341100,22.25,22.31,21.0,21.0,1341100,0.0,1.0,0
2000-01-18,22.63,23.06,22.0,22.25,1144800,22.63,23.06,22.0,22.25,1144800,0.0,1.0,0
2000-01-19,23.0,23.31,22.25,22.56,951800,23.0,23.31,22.25,22.56,951800,0.0,1.0,0
2000-01-20,23.06,24.38,22.63,23.0,1845000,23.06,24.38,22.63,23.0,1845000,0.0,1.0,0
2000-01-21,21.88,22.94,20.25,22.88,2558700,21.88,22.94,20.25,22.88,2558700,0.0,1.0,0
2000-01-24,23.69,24.0,22.0,22.75,2939800,23.69,24.0,22.0,22.75,2939800,0.0,1.0,0
2000-01-25,24.0,24.63,23.0,24.5,3155500,24.0,24.63,23.0,24.5,3155500,0.0,1.0,0
2000-01-26,22.69,23.5,21.63,23.5,2889900,22.69,23.5,21.63,23.5,2889900,0.0,1.0,0
2000-01-27,21.44,22.38,21.0,22.0,1988200,21.44,22.38,21.0,22.0,1988200,0.0,1.0,0
2000-01-28,21.94,22.13,21.25,21.63,2217000,21.94,22.13,21.25,21.63,2217000,0.0,1.0,0
2000-01-31,20.63,22.19,20.63,21.94,2337300,20.63,22.19,20.63,21.94,2337300,0.0,1.0,0
2000-02-01,21.63,21.94,20.88,20.94,1037700,21.63,21.94,20.88,20.94,1037700,0.0,1.0,0
2000-02-02,22.13,22.31,21.63,21.75,2213000,22.13,22.31,21.63,21.75,2213000,0.0,1.0,0
2000-02-03,22.25,22.81,21.88,22.38,1811400,22.25,22.81,21.88,22.38,1811400,0.0,1.0,0
2000-02-04,22.38,22.81,22.25,22.38,1382200,22.38,22.81,22.25,22.38,1382200,0.0,1.0,0
2000-02-07,22.69,23.0,22.56,23.0,750600,22.69,23.0,22.56,23.0,750600,0.0,1.0,0
2000-02-08,23.0,23.0,22.31,22.31,1815700,23.0,23.0,22.31,22.31,1815700,0.0,1.0,0
