date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2015-02-02,67.01,67.24,65.86,67.14,3380344,62.8580637004,63.0738129117,61.7793176437,62.9800089068,3380344,0.0,1.0
2015-02-03,68.51,68.59,67.27,67.49,3365746,64.2651237742,64.3401669782,63.1019541132,63.308322924,3365746,0.0,1.0
2015-02-04,68.81,69.5,68.1201,68.54,3905375,64.546535789,65.193783423,63.899381959,64.2932649757,3905375,0.0,1.0
2015-02-05,68.49,69.45,68.4,68.87,4462006,64.2463629733,65.1468814205,64.1619393688,64.602818192,4462006,0.0,1.0
2015-02-06,68.17,69.02,67.8,68.85,2789141,63.9461901575,64.7435241994,63.5991153393,64.584057391,2789141,0.0,1.0
2015-02-09,67.63,68.19,67.45,67.79,2529781,63.4396485309,63.9649509585,63.270801322,63.5897349388,2529781,0.0,1.0
2015-02-10,67.82,68.01,67.28,67.88,7474433,63.6178761403,63.7961037496,63.1113345137,63.6741585432,7474433,0.0,1.0
2015-02-11,67.71,68.09,67.63,67.8,3539201,63.5146917348,63.8711469536,63.4396485309,63.5991153393,3539201,0.0,1.0
2015-02-12,67.59,67.97,67.44,67.87,9888719,63.4021269289,63.7585821476,63.2614209215,63.6647781427,9888719,0.0,1.0
2015-02-13,68.82,68.88,67.62,67.77,5141415,64.5559161895,64.6121985925,63.4302681304,63.5709741378,5141415,0.0,1.0
2015-02-17,69.56,69.9,69.305,69.54,4540085,65.250065826,65.5689994427,65.0108656134,65.231305025,4540085,0.0,1.0
2015-02-18,70.32,70.53,69.39,69.63,3339767,65.9629762634,66.1599646737,65.0905990176,65.3157286294,3339767,0.0,1.0
2015-02-19,70.7,71.57,70.28,70.33,4349822,66.3194314821,67.135526325,65.9254546614,65.9723566639,4349822,0.0,1.0
2015-02-20,71.69,71.73,70.3,70.71,3506993,67.2480911309,67.2856127328,65.9442154624,66.3288118826,3506993,0.0,1.0
2015-02-23,71.47,72.74,71.1,72.27,3113225,67.04172232,68.2330331826,66.6946475018,67.7921543594,3113225,0.0,1.0
2015-02-24,71.93,71.96,71.02,71.32,2360746,67.4732207427,67.5013619442,66.6196042979,66.9010163126,2360746,0.0,1.0
2015-02-25,72.48,73.27,72.2,72.2,3240031,67.9891427698,68.7301944087,67.726491556,67.726491556,3240031,0.0,1.0
2015-02-26,72.19,72.71,71.93,72.32,2563513,67.7171111555,68.2048919811,67.4732207427,67.8390563619,2563513,0.0,1.0
2015-02-27,72.62,72.81,72.07,72.07,2359053,68.1204683767,68.298695986,67.6045463496,67.6045463496,2359053,0.0,1.0
2015-03-02,73.09,73.53,72.62,72.63,2624081,68.5613471998,68.9740848215,68.1204683767,68.1298487772,2624081,0.0,1.0
2015-03-03,71.65,72.96,70.96,72.83,3775841,67.2105695289,68.4394019934,66.5633218949,68.317456787,3775841,0.0,1.0
2015-03-04,71.95,72.305,71.32,71.57,3285702,67.4919815437,67.8249857612,66.9010163126,67.135526325,3285702,0.0,1.0
2015-03-05,71.71,72.2,71.59,72.2,2648135,67.2668519318,67.726491556,67.1542871259,67.726491556,2648135,0.0,1.0
2015-03-06,71.32,71.905,71.12,71.42,2212421,66.9010163126,67.4497697415,66.7134083028,66.9948203176,2212421,0.0,1.0
2015-03-09,71.75,71.81,71.01,71.29,2263279,67.3043735338,67.3606559368,66.6102238974,66.8728751112,2263279,0.0,1.0
2015-03-10,71.03,71.75,70.88,71.28,3384406,66.6289846984,67.3043735338,66.488278691,66.8634947107,3384406,0.0,1.0
2015-03-11,71.45,71.88,70.98,71.06,4324113,67.022961519,67.4263187402,66.5820826959,66.6571258998,4324113,0.0,1.0
2015-03-12,74.28,74.36,72.51,74.0,8983063,69.6776148584,69.7526580624,68.0172839713,69.4149636446,8983063,0.0,1.0
2015-03-13,74.3,75.25,73.82,74.4,4954154,69.6963756594,70.5875137062,69.2461164358,69.7901796643,4954154,0.0,1.0
2015-03-16,75.4,75.58,74.42,74.54,5080415,70.7282197136,70.8970669225,69.8089404653,69.9215052712,5080415,0.0,1.0
2015-03-17,74.72,75.44,74.66,74.94,3682793,70.0903524801,70.7657413156,70.0340700771,70.2967212909,3682793,0.0,1.0
2015-03-18,75.39,75.82,74.5,74.94,2660183,70.7188393131,71.1221965343,69.8839836693,70.2967212909,2660183,0.0,1.0
2015-03-19,74.91,75.75,74.87,75.4,2666800,70.2685800895,71.0565337308,70.2310584875,70.7282197136,2666800,0.0,1.0
2015-03-20,75.78,76.28,75.01,75.33,4648102,71.0846749323,71.5536949569,70.3623840944,70.6625569101,4648102,0.0,1.0
2015-03-23,75.45,76.18,75.45,75.79,3219587,70.7751217161,71.459890952,70.7751217161,71.0940553328,3219587,0.0,1.0
2015-03-24,75.51,76.15,75.2,75.25,2055975,70.831404119,71.4317497505,70.5406117037,70.5875137062,2055975,0.0,1.0
2015-03-25,74.17,75.83,74.17,75.36,3025411,69.574430453,71.1315769348,69.574430453,70.6906981116,3025411,0.0,1.0
2015-03-26,74.78,75.09,73.37,73.81,3949906,70.1466348831,70.4374272983,68.8239984136,69.2367360353,3949906,0.0,1.0
2015-03-27,74.99,76.0225,74.57,74.77,4185496,70.3436232934,71.3121496442,69.9496464727,70.1372544826,4185496,0.0,1.0
2015-03-30,74.92,75.62,74.68,75.58,4259235,70.2779604899,70.9345885244,70.0528308781,70.8970669225,4259235,0.0,1.0
2015-03-31,75.38,76.0,74.87,74.91,3289211,70.7094589126,71.2910437431,70.2310584875,70.2685800895,3289211,0.0,1.0
2015-04-01,75.2,75.35,74.1,75.09,3408020,70.5406117037,70.6813177111,69.5087676496,70.4374272983,3408020,0.0,1.0
