date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,inSPY
2000-01-03,13.25,13.81,13.12,13.81,280000,2.0086361547,2.0935294563,1.9889287811,2.0935294563,1391641,0.0,1.0,0
2000-01-04,12.75,13.38,12.25,13.38,189467,1.9328385639,2.0283435282,1.8570409732,2.0283435282,941679,0.0,1.0,0
2000-01-05,12.94,13.0,12.69,12.81,167233,1.9616416484,1.9707373593,1.923742853,1.9419342748,831172,0.0,1.0,0
2000-01-06,12.25,12.88,12.25,12.88,827767,1.8570409732,1.9525459375,1.8570409732,1.9525459375,4114125,0.0,1.0,0
2000-01-07,12.69,12.88,12.31,12.38,228167,1.923742853,1.9525459375,1.8661366841,1.8767483468,1134023,0.0,1.0,0
2000-01-10,12.94,12.94,12.44,12.69,193867,1.9616416484,1.9616416484,1.8858440577,1.923742853,963547,0.0,1.0,0
2000-01-11,12.13,12.94,12.06,12.94,976167,1.8388495514,1.9616416484,1.8282378887,1.9616416484,4851695,0.0,1.0,0
2000-01-12,12.0,12.25,11.94,12.13,403367,1.8191421778,1.8570409732,1.8100464669,1.8388495514,2004793,0.0,1.0,0
2000-01-13,12.13,12.31,11.94,12.25,394033,1.8388495514,1.8661366841,1.8100464669,1.8570409732,1958402,0.0,1.0,0
2000-01-14,12.69,12.69,11.88,12.19,324000,1.923742853,1.923742853,1.800950756,1.8479452623,1610328,0.0,1.0,0
2000-01-18,12.06,12.19,11.88,12.13,294400,1.8282378887,1.8479452623,1.800950756,1.8388495514,1463211,0.0,1.0,0
2000-01-19,11.75,12.25,11.63,12.25,260967,1.7812433824,1.8570409732,1.7630519607,1.8570409732,1297044,0.0,1.0,0
2000-01-20,11.75,11.88,11.38,11.88,417867,1.7812433824,1.800950756,1.7251531653,1.800950756,2076861,0.0,1.0,0
2000-01-21,11.63,11.75,11.31,11.75,377200,1.7630519607,1.7812433824,1.7145415026,1.7812433824,1874740,0.0,1.0,0
2000-01-24,11.63,12.13,11.5,12.06,594400,1.7630519607,1.8388495514,1.7433445871,1.8282378887,2954256,0.0,1.0,0
