date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2015-02-02,28.26,28.29,27.54,28.03,169806,26.6629763899,26.6912810358,25.9836648896,26.4459741051,169806,0.0,1.0
2015-02-03,28.35,28.57,27.46,28.4,245210,26.7478903275,26.9554577304,25.908185834,26.7950647372,245210,0.0,1.0
2015-02-04,27.88,28.28,27.4,28.14,199039,26.3044508759,26.6818461538,25.8515765423,26.5497578065,199039,0.0,1.0
2015-02-05,28.48,28.515,27.81,28.04,247319,26.8705437928,26.9035658797,26.2384067022,26.4554089871,247319,0.0,1.0
2015-02-06,27.77,28.67,27.59,28.54,149089,26.2006671744,27.0498065499,26.0308392993,26.9271530845,149089,0.0,1.0
2015-02-09,27.48,28.1,27.25,27.73,160561,25.9270555979,26.5120182788,25.710053313,26.1629276466,160561,0.0,1.0
2015-02-10,27.84,28.06,27.37,27.73,174521,26.2667113481,26.474278751,25.8232718964,26.1629276466,174521,0.0,1.0
2015-02-11,28.35,28.79,27.43,27.84,393279,26.7478903275,27.1630251333,25.8798811881,26.2667113481,393279,0.0,1.0
2015-02-12,28.88,28.98,28.6,28.68,216871,27.2479390708,27.3422878903,26.9837623762,27.0592414318,216871,0.0,1.0
2015-02-13,28.76,28.93,28.405,28.9,121026,27.1347204874,27.2951134806,26.7997821782,27.2668088347,121026,0.0,1.0
2015-02-17,29.02,29.189,28.63,28.9,270273,27.3800274181,27.5394769231,27.0120670221,27.2668088347,270273,0.0,1.0
2015-02-18,29.41,29.49,28.9,28.9,157381,27.7479878142,27.8234668698,27.2668088347,27.2668088347,157381,0.0,1.0
2015-02-19,30.03,30.41,29.28,29.41,285673,28.332950495,28.6914760091,27.6253343488,27.7479878142,285673,0.0,1.0
2015-02-20,29.98,30.269,29.64,30.07,210886,28.2857760853,28.5584441736,27.964990099,28.3706900228,210886,0.0,1.0
2015-02-23,30.36,30.7,29.7,30.02,155768,28.6443015994,28.9650875857,28.0215993907,28.3235156131,155768,0.0,1.0
2015-02-24,29.79,30.45,29.26,30.35,144794,28.1065133283,28.7292155369,27.6064645849,28.6348667174,144794,0.0,1.0
2015-02-25,30.37,30.74,29.51,29.59,158255,28.6537364813,29.0028271135,27.8423366337,27.9178156893,158255,0.0,1.0
2015-02-26,30.37,30.5399,29.73,30.41,119127,28.6537364813,28.8140351257,28.0499040366,28.6914760091,119127,0.0,1.0
2015-02-27,29.97,30.58,29.87,30.37,122185,28.2763412034,28.8518690023,28.1819923839,28.6537364813,122185,0.0,1.0
2015-03-02,30.1,30.42,29.7,29.92,217763,28.3989946687,28.7009108911,28.0215993907,28.2291667936,217763,0.0,1.0
2015-03-03,28.87,30.15,28.36,30.0,501550,27.2385041889,28.4461690784,26.7573252094,28.3046458492,501550,0.0,1.0
2015-03-04,29.48,29.995,28.61,28.83,382005,27.8140319878,28.2999284082,26.9931972582,27.2007646611,382005,0.0,1.0
2015-03-05,29.24,30.0,29.02,29.48,456906,27.587594821,28.3046458492,27.3800274181,27.8140319878,456906,0.0,1.0
2015-03-06,28.42,29.34,26.36,28.0,1207272,26.8139345011,27.6819436405,24.8703488195,26.4176694593,1207272,0.0,1.0
2015-03-09,29.0,29.19,28.29,28.55,323862,27.3611576542,27.5404204113,26.6912810358,26.9365879665,323862,0.0,1.0
2015-03-10,28.99,29.2,28.4,28.75,311240,27.3517227723,27.5498552932,26.7950647372,27.1252856055,311240,0.0,1.0
2015-03-11,28.67,29.14,28.11,29.01,304951,27.0498065499,27.4932460015,26.5214531607,27.3705925362,304951,0.0,1.0
2015-03-12,29.15,29.23,27.92,28.72,271619,27.5026808835,27.5781599391,26.3421904037,27.0969809596,271619,0.0,1.0
2015-03-13,29.21,29.33,28.59,29.07,176456,27.5592901752,27.6725087586,26.9743274943,27.4272018279,176456,0.0,1.0
2015-03-16,29.65,29.84,29.2501,29.42,321805,27.974424981,28.153687738,27.5971240518,27.7574226961,321805,0.0,1.0
