date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2020-06-08,333.46,333.6,327.32,330.25,23913634,83.0680026477,83.1028779562,81.5384712609,82.2683616458,95654536,0.0,1.0
2020-06-09,343.99,345.61,332.01,332.14,36928091,85.6911240652,86.0946812064,82.7067940954,82.7391783105,147712364,0.0,1.0
2020-06-10,352.84,354.77,346.09,347.9,41662938,87.8957417808,88.3765228193,86.2142536926,86.6651416096,166651752,0.0,1.0
2020-06-11,335.9,351.06,335.48,349.31,50415613,83.6758294529,87.4523271442,83.5712035274,87.016385788,201662452,0.0,1.0
2020-06-12,338.8,347.8,334.22,344.72,50036513,84.3982465574,86.640230675,83.257325751,85.8729738881,200146052,0.0,1.0
2020-06-15,342.99,345.68,332.58,333.25,34702230,85.4420147188,86.1121188606,82.8487864229,83.015689685,138808920,0.0,1.0
2020-06-16,352.08,353.2,344.72,351.46,41357182,87.7064186775,87.9854211455,85.8729738881,87.5519708827,165428728,0.0,1.0
2020-06-17,351.59,355.4,351.09,355.15,28601626,87.5843550978,88.5334617075,87.4598004246,88.4711843709,114406504,0.0,1.0
2020-06-18,351.73,353.45,349.22,351.41,24205096,87.6192304063,88.0476984821,86.9939659468,87.5395154154,96820384,0.0,1.0
2020-06-19,349.72,356.56,345.15,354.64,66118952,87.11852062,88.8224285493,85.980090907,88.3441386043,264475808,0.0,1.0
2020-06-22,358.87,359.46,351.15,351.34,33861316,89.3978711395,89.5448456539,87.4747469854,87.5220777612,135445264,0.0,1.0
2020-06-23,366.53,372.38,362.27,364.0,53038869,91.3060487329,92.7633384093,90.2448429172,90.6758020865,212155476,0.0,1.0
2020-06-24,360.06,368.79,358.52,365.0,48155849,89.6943112617,91.8690358557,89.3106828683,90.9249114329,192623396,0.0,1.0
2020-06-25,364.84,365.0,357.57,360.7,34380628,90.8850539375,90.9249114329,89.0740289892,89.8537412434,137522512,0.0,1.0
2020-06-26,353.63,365.32,353.02,364.41,51314211,88.0925381644,91.0046264237,87.9405814631,90.7779369185,205256844,0.0,1.0
2020-06-29,361.78,362.1736,351.28,353.25,32661519,90.1227793375,90.2208287762,87.5071312004,87.9978766128,130646076,0.0,1.0
2020-06-30,364.8,365.98,360.0,360.08,35055821,90.8750895636,91.1690385924,89.6793647009,89.6992934486,140223284,0.0,1.0
2020-07-01,364.11,367.36,363.91,365.12,27690454,90.7032041146,91.5128094904,90.6533822453,90.9548045545,110761816,0.0,1.0
