date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2020-06-08,8.46,8.57,8.11,8.22,158211858,8.4331623312,8.542813378,8.0842726366,8.1939236835,158211858,0.0,1.0
2020-06-09,8.02,8.21,7.9,8.19,117472181,7.9945581438,8.1839554065,7.8749388199,8.1640188525,117472181,0.0,1.0
2020-06-10,7.61,7.98,7.52,7.97,116270611,7.5858587873,7.9546850358,7.4961442944,7.9447167588,116270611,0.0,1.0
2020-06-11,6.95,7.35,6.84,7.06,124175660,6.9279525061,7.3266835856,6.8183014593,7.037603553,124175660,0.0,1.0
2020-06-12,7.25,7.43,7.08,7.34,100912452,7.2270008157,7.4064298015,7.057540107,7.3167153086,100912452,0.0,1.0
2020-06-15,7.24,7.35,6.85,6.95,101911410,7.2170325387,7.3266835856,6.8282697362,6.9279525061,101911410,0.0,1.0
2020-06-16,7.47,7.74,7.29,7.73,98058129,7.4463029095,7.7154463881,7.2668739237,7.7054781111,98058129,0.0,1.0
2020-06-17,7.24,7.53,7.2,7.5,75056197,7.2170325387,7.5061125714,7.1771594308,7.4762077404,75056197,0.0,1.0
2020-06-18,7.28,7.32,7.02,7.13,78176994,7.2569056467,7.2967787546,6.997730445,7.1073814919,78176994,0.0,1.0
2020-06-19,7.15,7.45,7.09,7.42,88586566,7.1273180459,7.4263663555,7.0675083839,7.3964615245,88586566,0.0,1.0
2020-06-22,7.04,7.18,6.96,7.17,78063068,7.017666999,7.1572228768,6.9379207831,7.1472545998,78063068,0.0,1.0
2020-06-23,7.0,7.13,6.97,7.09,80486536,6.9777938911,7.1073814919,6.9478890601,7.0675083839,80486536,0.0,1.0
2020-06-24,6.53,6.9,6.52,6.9,144356660,6.5092848727,6.8781111212,6.4993165957,6.8781111212,144356660,0.0,1.0
2020-06-25,6.68,6.7,6.42,6.5,73809406,6.6588090275,6.6787455814,6.3996338258,6.4793800417,73809406,0.0,1.0
2020-06-26,6.48,6.65,6.45,6.62,89295895,6.4694117647,6.6391339869,6.4394607843,6.6091830065,89295895,0.01,1.0
2020-06-29,6.8,6.8,6.5,6.57,75277302,6.7888888889,6.7888888889,6.489379085,6.5592647059,75277302,0.0,1.0
