date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2010-02-02,31.44,31.6,31.02,31.48,16039700,24.7485691908,24.8745161078,24.4179585336,24.78005592,16039700,0.0,1.0
2010-02-03,31.08,31.62,30.98,31.32,18106800,24.4651886275,24.8902594724,24.3864718044,24.654109003,18106800,0.0,1.0
2010-02-04,29.92,30.75,29.9,30.66,22809000,23.5520734793,24.2054231112,23.5363301146,24.1345779704,22809000,0.0,1.0
2010-02-05,30.48,30.49,29.48,30.01,32249000,23.9928876888,24.0007593711,23.2057194575,23.6229186201,32249000,0.0,1.0
2010-02-08,29.99,30.72,29.96,30.54,20472300,23.6071752554,24.1818080643,23.5835602085,24.0401177826,20472300,0.0,1.0
2010-02-09,30.72,31.04,30.25,30.45,28744000,24.1818080643,24.4337018983,23.8118389956,23.9692726418,28744000,0.0,1.0
2010-02-10,30.51,30.82,30.13,30.76,21552600,24.0165027357,24.2605248874,23.7173788078,24.2132947935,21552600,0.0,1.0
2010-02-11,31.03,31.07,30.34,30.49,19472100,24.4258302159,24.4573169452,23.8826841364,24.0007593711,19472100,0.0,1.0
2010-02-12,30.97,31.14,30.34,30.48,19623300,24.3786001221,24.5124187214,23.8826841364,23.9928876888,19623300,0.0,1.0
2010-02-16,31.75,31.8025,31.34,31.36,10514200,24.9925913425,25.0339176746,24.6698523676,24.6855957323,10514200,0.0,1.0
2010-02-17,31.77,32.09,31.55,31.95,29395400,25.0083347071,25.2602285411,24.8351576962,25.1500249887,29395400,0.0,1.0
2010-02-18,32.11,32.22,31.6,31.63,19628600,25.2759719057,25.3625604111,24.8745161078,24.8981311547,19628600,0.0,1.0
2010-02-19,32.29,32.46,31.85,31.87,15213500,25.4176621873,25.5514807866,25.0713081656,25.0870515302,15213500,0.0,1.0
2010-02-22,32.15,32.58,32.03,32.41,11496900,25.307458635,25.6459409744,25.2129984472,25.5121223751,11496900,0.0,1.0
2010-02-23,31.64,32.22,31.45,32.05,20080200,24.906002837,25.3625604111,24.7564408731,25.2287418118,20080200,0.0,1.0
2010-02-24,31.56,31.955,31.39,31.69,15965400,24.8430293785,25.1539608299,24.7092107792,24.9453612486,15965400,0.0,1.0
2010-02-25,31.49,31.54,30.79,31.09,20459000,24.7879276023,24.8272860139,24.2369098404,24.4730603098,20459000,0.0,1.0
2010-02-26,31.5,31.65,31.21,31.65,15333400,24.7957992846,24.9138745193,24.5675204976,24.9138745193,15333400,0.0,1.0
2010-03-01,31.98,32.01,31.5,31.67,19751400,25.1736400356,25.1972550826,24.7957992846,24.929617884,19751400,0.0,1.0
2010-03-02,32.25,32.51,32.16,32.23,19429500,25.3861754581,25.5908391982,25.3153303173,25.3704320935,19429500,0.0,1.0
2010-03-03,32.53,33.01,32.41,32.45,14108200,25.6065825628,25.9844233138,25.5121223751,25.5436091043,14108200,0.0,1.0
2010-03-04,32.75,32.87,32.49,32.63,13374000,25.7797595737,25.8742197615,25.5750958336,25.685299386,13374000,0.0,1.0
2010-03-05,33.17,33.3833,32.93,33.05,11670300,26.1103702308,26.2782732146,25.9214498553,26.0159100431,11670300,0.0,1.0
2010-03-08,33.17,33.41,32.99,33.3,14462900,26.1103702308,26.2992906063,25.9686799492,26.2127021009,14462900,0.0,1.0
2010-03-09,32.96,33.29,32.84,32.97,15458400,25.9450649023,26.2048304186,25.8506047145,25.9529365846,15458400,0.0,1.0
2010-03-10,32.97,33.25,32.7301,32.97,20825100,25.9529365846,26.1733436893,25.7640949259,25.9529365846,20825100,0.0,1.0
2010-03-11,33.16,33.16,32.58,32.85,14517300,26.1024985485,26.1024985485,25.6459409744,25.8584763968,14517300,0.0,1.0
2010-03-12,33.29,33.53,33.22,33.33,11531800,26.2048304186,26.3937507941,26.1497286424,26.2363171478,11531800,0.0,1.0
2010-03-15,33.28,33.32,33.0,33.27,9495400,26.1969587363,26.2284454655,25.9765516315,26.189087054,9495400,0.0,1.0
2010-03-16,33.77,33.77,33.38,33.39,13585800,26.5826711696,26.5826711696,26.2756755594,26.2835472417,13585800,0.0,1.0
2010-03-17,33.96,34.19,33.85,33.88,8827300,26.7322331335,26.9132818267,26.6456446281,26.669259675,8827300,0.0,1.0
2010-03-18,33.72,34.19,33.67,33.97,12124100,26.543312758,26.9132818267,26.5039543465,26.7401048158,12124100,0.0,1.0
2010-03-19,33.28,33.92,33.24,33.7,10626400,26.2543747871,26.7592666099,26.2228190481,26.5857100458,10626400,0.07294,1.0
2010-03-22,33.77,33.805,32.85,33.01,11267200,26.6409325889,26.6685438605,25.9151505936,26.0413735493,11267200,0.0,1.0
2010-03-23,34.21,34.21,33.61,33.8,14731300,26.9880457171,26.9880457171,26.5147096332,26.6645993931,14731300,0.0,1.0
2010-03-24,34.11,34.33,33.89,33.99,8452400,26.9091563698,27.0827129339,26.7355998057,26.814489153,8452400,0.0,1.0
2010-03-25,33.43,34.42,33.4,34.42,19040200,26.372708808,27.1537133465,26.3490420038,27.1537133465,19040200,0.0,1.0
