date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2010-02-02,57.04,57.14,56.05,56.51,22250800,41.1912666509,41.263481354,40.4763410901,40.8085287244,22250800,0.0,1.0
2010-02-03,56.55,57.351,56.42,56.88,19749300,40.8374146057,41.4158543775,40.7435354916,41.0757231259,19749300,0.0,1.0
2010-02-04,54.23,56.115,54.2,56.1,37173200,39.1620334936,40.5232806471,39.1403690827,40.5124484417,37173200,0.0,1.0
2010-02-05,54.24,54.48,52.67,54.22,46378400,39.1692549639,39.3425702514,38.0354841252,39.1548120233,46378400,0.0,1.0
2010-02-08,53.74,54.89,53.73,54.25,24115100,38.8081814484,39.6386505341,38.8009599781,39.1764764342,24115100,0.0,1.0
2010-02-09,54.87,55.56,54.31,54.48,33558100,39.6242075935,40.1224890449,39.2198052561,39.3425702514,33558100,0.0,1.0
2010-02-10,54.64,54.979,53.78,54.89,24182300,39.4581137764,39.7029216199,38.8370673297,39.6386505341,24182300,0.0,1.0
2010-02-11,55.57,55.685,54.29,54.53,22944500,40.1297105152,40.2127574238,39.2053623155,39.3786776029,22944500,0.0,1.0
2010-02-12,55.59,55.62,54.54,54.9,19833900,40.1441534559,40.1658178668,39.3858990733,39.6458720044,19833900,0.0,1.0
2010-02-16,56.9,57.1,56.2399,56.3,19834900,41.0901660665,41.2345954727,40.6134768113,40.6568778479,19834900,0.0,1.0
2010-02-17,56.82,57.18,56.44,57.06,18137800,41.032394304,41.2923672352,40.7579784322,41.2057095915,18137800,0.0,1.0
2010-02-18,57.14,57.28,56.48,56.76,16572700,41.263481354,41.3645819383,40.7868643135,40.9890654822,16572700,0.0,1.0
2010-02-19,57.36,57.565,56.66,56.93,16498300,41.4223537008,41.5703938422,40.9168507791,41.1118304775,16498300,0.0,1.0
2010-02-22,56.57,57.51,56.45,57.5,17349700,40.8518575463,41.5306757555,40.7651999025,41.5234542851,17349700,0.0,1.0
2010-02-23,55.63,56.44,55.37,56.3,21101200,40.1730393371,40.7579784322,39.985281109,40.6568778479,21101200,0.0,1.0
2010-02-24,55.98,56.19,55.44,55.61,17630300,40.425790798,40.5774416745,40.0358314012,40.1585963965,17630300,0.0,1.0
2010-02-25,56.01,56.04,54.72,55.18,20948100,40.4474552089,40.4691196198,39.5158855388,39.8480731731,20948100,0.0,1.0
2010-02-26,56.14,56.34,55.65,56.14,17246800,40.5413343229,40.6857637291,40.1874822777,40.5413343229,17246800,0.0,1.0
2010-03-01,56.66,56.8,56.35,56.4,13966000,40.9168507791,41.0179513634,40.6929851994,40.729092551,13966000,0.0,1.0
2010-03-02,57.13,57.56,56.91,57.03,16746300,41.2562598837,41.566783107,41.0973875368,41.1840451806,16746300,0.0,1.0
2010-03-03,57.38,57.88,57.35,57.35,16767300,41.4367966414,41.7978701569,41.4151322305,41.4151322305,16767300,0.0,1.0
2010-03-04,57.08,57.65,56.84,57.47,16331000,41.2201525321,41.6317763398,41.0468372447,41.5017898742,16331000,0.0,1.0
2010-03-05,58.15,58.28,57.58,57.64,15335200,41.9928498553,42.0867289694,41.5812260476,41.6245548695,15335200,0.0,1.0
2010-03-08,58.06,58.51,57.815,58.31,12612000,41.9278566225,42.2528227865,41.7509305999,42.1083933803,12612000,0.0,1.0
2010-03-09,58.06,58.38,57.67,57.75,16703800,41.9278566225,42.1589436725,41.6462192804,41.7039910429,16703800,0.0,1.0
2010-03-10,58.57,58.65,57.85,58.12,17372200,42.2961516084,42.3539233709,41.776205746,41.9711854444,17372200,0.0,1.0
2010-03-11,58.47,58.58,58.17,58.35,13033300,42.2239369053,42.3033730787,42.0072927959,42.1372792615,13033300,0.0,1.0
2010-03-12,58.5,58.85,58.25,58.85,13659800,42.2456013162,42.4983527771,42.0650645584,42.4983527771,13659800,0.0,1.0
2010-03-15,57.9,58.36,57.29,58.28,18373600,41.8123130976,42.1445007318,41.3718034086,42.0867289694,18373600,0.0,1.0
2010-03-16,58.42,58.48,57.73,58.19,19161300,42.1878295537,42.2311583756,41.6895481023,42.0217357366,19161300,0.0,1.0
2010-03-17,59.06,59.42,58.63,58.71,21671800,42.6500036536,42.9099765848,42.3394804302,42.3972521927,21671800,0.0,1.0
2010-03-18,58.18,59.15,57.86,59.06,19726900,42.0145142663,42.7149968864,41.7834272163,42.6500036536,19726900,0.0,1.0
2010-03-19,57.28,58.25,56.7575,58.09,22412400,41.5113655438,42.21433385,41.132704781,42.098380315,22412400,0.20326,1.0
