date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2010-02-02,28.32,28.37,27.89,27.95,20403200,22.7316118317,22.7717453271,22.3864637707,22.4346239652,20403200,0.0,1.0
2010-02-03,28.15,28.41,28.08,28.24,13675400,22.5951579471,22.8038521235,22.5389710534,22.6673982389,13675400,0.0,1.0
2010-02-04,27.32,28.01,27.32,27.96,20628100,21.9289419224,22.4827841598,21.9289419224,22.4426506643,20628100,0.0,1.0
2010-02-05,27.2,27.5295,26.66,27.38,30821300,21.8326215332,22.0971012684,21.3991797822,21.9771021169,30821300,0.0,1.0
2010-02-08,26.9,27.32,26.9,27.27,17888900,21.5918205604,21.9289419224,21.5918205604,21.8888084269,17888900,0.0,1.0
2010-02-09,27.42,27.67,27.11,27.2,22723500,22.0092089133,22.2098763906,21.7603812414,21.8326215332,22723500,0.0,1.0
2010-02-10,27.38,27.51,27.125,27.44,12709800,21.9771021169,22.0814492051,21.77242129,22.0252623115,12709800,0.0,1.0
2010-02-11,27.79,27.82,27.2,27.35,11507900,22.3061967797,22.330276877,21.8326215332,21.9530220196,11507900,0.0,1.0
2010-02-12,27.57,27.67,27.28,27.42,16638900,22.1296093997,22.2098763906,21.896835126,22.0092089133,16638900,0.0,1.0
2010-02-16,28.22,28.25,27.785,27.86,10497000,22.6513448407,22.675424938,22.3021834302,22.3623836734,10497000,0.0,1.0
2010-02-17,28.46,28.49,28.25,28.43,14974300,22.843985619,22.8680657162,22.675424938,22.8199055217,14974300,0.0,1.0
2010-02-18,28.72,28.77,28.29,28.29,7602300,23.0526797954,23.0928132909,22.7075317344,22.7075317344,7602300,0.0,1.0
2010-02-19,28.86,29.0,28.59,28.68,12076500,23.1650535827,23.27742737,22.9483327072,23.020572999,12076500,0.0,1.0
2010-02-22,28.88,29.02,28.81,29.0,7382700,23.1811069809,23.2934807682,23.1249200872,23.27742737,7382700,0.0,1.0
2010-02-23,28.51,28.99,28.4299,28.81,16110200,22.8841191144,23.2694006709,22.8198252547,23.1249200872,16110200,0.0,1.0
2010-02-24,28.8,28.86,28.51,28.61,9011200,23.1168933881,23.1650535827,22.8841191144,22.9643861054,9011200,0.0,1.0
2010-02-25,28.73,28.79,28.15,28.28,12357000,23.0607064945,23.108866689,22.5951579471,22.6995050353,12357000,0.0,1.0
2010-02-26,28.84,28.93,28.58,28.69,9004200,23.1490001845,23.2212404763,22.9403060081,23.0285996981,9004200,0.0,1.0
2010-03-01,29.22,29.26,28.85,28.96,11493900,23.45401475,23.4861215464,23.1570268836,23.2453205736,11493900,0.0,1.0
2010-03-02,29.27,29.41,29.22,29.35,7327500,23.4941482455,23.6065220328,23.45401475,23.5583618383,7327500,0.0,1.0
2010-03-03,29.31,29.6,29.24,29.37,5641200,23.5262550419,23.7590293156,23.4700681482,23.5744152364,5641200,0.0,1.0
2010-03-04,29.45,29.489,29.25,29.4,7479600,23.6386288292,23.6699329557,23.4780948473,23.5984953337,7479600,0.0,1.0
2010-03-05,29.9,29.91,29.6,29.65,9905300,23.9998302884,24.0078569875,23.7590293156,23.799162811,9905300,0.0,1.0
2010-03-08,29.76,29.98,29.72,29.95,6773200,23.8874565011,24.0640438811,23.8553497047,24.0399637838,6773200,0.0,1.0
2010-03-09,30.0,30.085,29.62,29.69,7609900,24.0800972793,24.1483242216,23.7750827138,23.8312696074,7609900,0.0,1.0
2010-03-10,30.06,30.18,29.89,30.0,7923000,24.1282574739,24.224577863,23.9918035893,24.0800972793,7923000,0.0,1.0
2010-03-11,30.17,30.18,29.79,29.97,7902700,24.2165511639,24.224577863,23.9115365984,24.056017182,7902700,0.0,1.0
2010-03-12,30.37,30.37,30.04,30.3,9897200,24.3770851458,24.3770851458,24.1122040757,24.3208982521,9897200,0.0,1.0
2010-03-15,30.37,30.44,30.115,30.27,13020600,24.3770851458,24.4332720394,24.1724043189,24.2968181548,13020600,0.0,1.0
2010-03-16,30.78,30.78,30.39,30.39,14118500,24.7061798086,24.7061798086,24.3931385439,24.3931385439,14118500,0.0,1.0
2010-03-17,30.83,30.97,30.73,30.87,10825000,24.746313304,24.8586870913,24.6660463131,24.7784201004,10825000,0.0,1.0
2010-03-18,30.83,30.83,30.83,30.83,10298400,24.746313304,24.746313304,24.746313304,24.746313304,10298400,0.0,1.0
2010-03-19,30.81,31.12,30.69,31.09,8777765,24.8156479308,25.0653347487,24.718994969,25.0411715082,8777765,0.10638,1.0
2010-03-22,30.9,30.95,30.56,30.58,6434400,24.8881376521,24.9284097195,24.6142875938,24.6303964208,6434400,0.0,1.0
2010-03-23,31.25,31.25,30.91,30.98,8871300,25.1700421239,25.1700421239,24.8961920656,24.95257296,8871300,0.0,1.0
2010-03-24,31.03,31.27,30.97,31.14,8390200,24.9928450274,25.1861509509,24.9445185465,25.0814435756,8390200,0.0,1.0
2010-03-25,31.01,31.42,30.95,31.32,10004200,24.9767362004,25.3069671531,24.9284097195,25.2264230183,10004200,0.0,1.0
2010-03-26,31.09,31.28,30.92,31.11,13362400,25.0411715082,25.1942053643,24.9042464791,25.0572803352,13362400,0.0,1.0
2010-03-29,31.37,31.41,31.19,31.28,17198200,25.2666950857,25.2989127396,25.121715643,25.1942053643,17198200,0.0,1.0
2010-03-30,31.42,31.59,31.29,31.45,10610500,25.3069671531,25.4438921822,25.2022597778,25.3311303935,10610500,0.0,1.0
2010-03-31,31.24,31.43,31.15,31.37,11457200,25.1619877104,25.3150215665,25.0894979891,25.2666950857,11457200,0.0,1.0
2010-04-01,31.44,31.59,31.205,31.51,12537700,25.32307598,25.4438921822,25.1337972632,25.3794568744,12537700,0.0,1.0
2010-04-05,31.67,31.745,31.4496,31.57,11007700,25.5083274901,25.5687355911,25.330808217,25.4277833553,11007700,0.0,1.0
2010-04-06,31.68,31.73,31.51,31.61,9108500,25.5163819035,25.5566539709,25.3794568744,25.4600010092,9108500,0.0,1.0
2010-04-07,31.5,31.67,31.34,31.6,10235200,25.3714024609,25.5083274901,25.2425318452,25.4519465957,10235200,0.0,1.0
2010-04-08,31.6025,31.66,31.27,31.38,9100600,25.4539601991,25.5002730766,25.1861509509,25.2747494991,9100600,0.0,1.0
2010-04-09,31.78,31.79,31.59,31.69,6284600,25.5969260383,25.6049804518,25.4438921822,25.524436317,6284600,0.0,1.0
2010-04-12,31.85,31.965,31.79,31.79,6771300,25.6533069327,25.7459326877,25.6049804518,25.6049804518,6771300,0.0,1.0
2010-04-13,31.9,31.98,31.65,31.77,8688200,25.6935790001,25.7580143079,25.4922186631,25.5888716248,8688200,0.0,1.0
2010-04-14,32.31,32.34,31.98,32.08,13028000,26.0238099527,26.0479731932,25.7580143079,25.8385584427,13028000,0.0,1.0
2010-04-15,32.62,32.69,32.26,32.29,6788800,26.2734967706,26.329877665,25.9835378854,26.0077011258,6788800,0.0,1.0
2010-04-16,32.09,32.58,31.82,32.5,26511600,25.8466128562,26.2412791167,25.6291436922,26.1768438089,26511600,0.0,1.0
2010-04-19,32.03,32.15,31.73,32.06,16021200,25.7982863753,25.8949393371,25.5566539709,25.8224496158,16021200,0.0,1.0
2010-04-20,32.4,32.5,32.23,32.33,13103000,26.0962996741,26.1768438089,25.9593746449,26.0399187797,13103000,0.0,1.0
2010-04-21,32.62,32.6901,32.36,32.46,19373000,26.2734967706,26.3299582091,26.0640820201,26.1446261549,19373000,0.0,1.0
2010-04-22,32.92,32.94,32.19,32.46,11770200,26.515129175,26.531238002,25.927156991,26.1446261549,11770200,0.0,1.0
2010-04-23,33.12,33.15,32.749,32.98,15681200,26.6762174446,26.700380685,26.3773987045,26.5634556559,15681200,0.0,1.0
2010-04-26,33.19,33.4,33.14,33.34,13312200,26.732598339,26.901741022,26.6923262716,26.8534145412,13312200,0.0,1.0
2010-04-27,32.39,33.27,32.27,33.02,31528700,26.0882452606,26.7970336468,25.9915922988,26.5956733098,31528700,0.0,1.0
2010-04-28,32.62,32.73,32.34,32.51,17520400,26.2734967706,26.3620953189,26.0479731932,26.1848982223,17520400,0.0,1.0
2010-04-29,33.36,33.36,32.8,32.89,14211400,26.8695233681,26.8695233681,26.4184762133,26.4909659346,14211400,0.0,1.0
2010-04-30,32.57,33.46,32.555,33.33,18401800,26.2332247032,26.9500675029,26.221143083,26.8453601277,18401800,0.0,1.0
2010-05-03,33.22,33.32,32.59,32.59,16977700,26.7567615794,26.8373057142,26.2493335302,26.2493335302,16977700,0.0,1.0
2010-05-04,32.17,33.0,31.915,32.85,24814700,25.911048164,26.5795644828,25.7056606203,26.4587482806,24814700,0.0,1.0
2010-05-05,31.76,32.13,31.54,31.59,28450700,25.5808172114,25.8788305101,25.4036201148,25.4438921822,28450700,0.0,1.0
2010-05-06,30.71,31.93,28.44,31.55,52085700,24.735103796,25.7177422405,22.9067519361,25.4116745283,52085700,0.0,1.0
2010-05-07,30.03,30.85,29.6,30.82,48211400,24.1874036794,24.8478655847,23.8410638998,24.8237023443,48211400,0.0,1.0
2010-05-10,31.75,31.87,31.27,31.76,28537400,25.5727627979,25.6694157596,25.1861509509,25.5808172114,28537400,0.0,1.0
2010-05-11,31.66,32.115,31.35,31.6,21220600,25.5002730766,25.8667488899,25.2505862587,25.4519465957,21220600,0.0,1.0
2010-05-12,32.36,32.41,31.72,31.72,23705400,26.0640820201,26.1043540875,25.5485995574,25.5485995574,23705400,0.0,1.0
2010-05-13,31.86,32.395,31.845,32.22,15827900,25.6613613462,26.0922724673,25.6492797259,25.9513202314,15827900,0.0,1.0
2010-05-14,31.19,31.75,30.94,31.66,24135200,25.121715643,25.5727627979,24.920355306,25.5002730766,24135200,0.0,1.0
2010-05-17,31.11,31.43,30.4707,31.29,30408700,25.0572803352,25.3150215665,24.5423616814,25.2022597778,30408700,0.0,1.0
2010-05-18,30.72,31.61,30.61,31.38,33891300,24.7431582095,25.4600010092,24.6545596612,25.2747494991,33891300,0.0,1.0
2010-05-19,30.33,30.77,29.85,30.4,42144400,24.4290360838,24.7834302769,24.0424242368,24.4854169781,42144400,0.0,1.0
2010-05-20,29.01,29.86,28.9,29.8,44338900,23.3658535045,24.0504786502,23.2772549562,24.0021521694,44338900,0.0,1.0
2010-05-21,29.42,29.54,28.39,28.5,39374700,23.6960844571,23.7927374189,22.8664798687,22.955078417,39374700,0.0,1.0
2010-05-24,28.98,29.46,28.94,29.32,24343600,23.341690264,23.728302111,23.3094726101,23.6155403223,24343600,0.0,1.0
2010-05-25,28.96,28.97,27.91,28.1,30028300,23.3255814371,23.3336358505,22.4798680217,22.6329018778,30028300,0.0,1.0
2010-05-26,29.02,29.67,28.93,29.37,29128700,23.3739079179,23.8974447941,23.3014181966,23.6558123897,29128700,0.0,1.0
2010-05-27,30.0,30.01,29.43,29.75,21078000,24.1632404389,24.1712948524,23.7041388706,23.961880102,21078000,0.0,1.0
2010-05-28,29.6,30.02,29.31,30.0,25026100,23.8410638998,24.1793492659,23.6074859089,24.1632404389,25026100,0.0,1.0
2010-06-01,28.94,29.765,28.9,29.31,27979600,23.3094726101,23.9739617222,23.2772549562,23.6074859089,27979600,0.0,1.0
