date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2010-02-02,21.41,21.47,21.15,21.27,13695600,18.0024974128,18.0529481295,17.7838776404,17.8847790738,13695600,0.0,1.0
2010-02-03,21.46,21.51,21.3084,21.33,14783200,18.0445396767,18.0865819407,17.9170675325,17.9352297905,14783200,0.0,1.0
2010-02-04,20.86,21.37,20.84,21.33,16489100,17.5400325096,17.9688636017,17.5232156041,17.9352297905,16489100,0.0,1.0
2010-02-05,21.07,21.11,20.71,20.89,23253700,17.7166100181,17.7502438293,17.4139057179,17.565257868,23253700,0.0,1.0
2010-02-08,20.98,21.22,20.95,21.1,22943800,17.6409339431,17.8427368099,17.6157085847,17.7418353765,22943800,0.0,1.0
2010-02-09,21.16,21.36,21.02,21.21,15887400,17.7922860932,17.9604551489,17.6745677542,17.8343283571,15887400,0.0,1.0
2010-02-10,21.1,21.24,20.97,21.21,10423400,17.7418353765,17.8595537155,17.6325254903,17.8343283571,10423400,0.0,1.0
2010-02-11,21.32,21.4,20.95,21.1,15174800,17.9268213378,17.99408896,17.6157085847,17.7418353765,15174800,0.0,1.0
2010-02-12,21.36,21.3985,21.04,21.17,15143000,17.9604551489,17.9928276921,17.6913846598,17.800694546,15143000,0.0,1.0
2010-02-16,21.68,21.68,21.43,21.49,10233300,18.229525638,18.229525638,18.0193143184,18.0697650351,10233300,0.0,1.0
2010-02-17,21.74,21.78,21.63,21.78,8903300,18.2799763547,18.3136101659,18.1874833741,18.3136101659,8903300,0.0,1.0
2010-02-18,21.88,21.92,21.68,21.73,5763800,18.3976946937,18.4313285049,18.229525638,18.2715679019,5763800,0.0,1.0
2010-02-19,21.82,21.93,21.73,21.76,6767800,18.347243977,18.4397369576,18.2715679019,18.2967932603,6767800,0.0,1.0
2010-02-22,21.78,21.94,21.74,21.93,7037300,18.3136101659,18.4481454104,18.2799763547,18.4397369576,7037300,0.0,1.0
2010-02-23,21.51,21.77,21.42,21.76,10485700,18.0865819407,18.3052017131,18.0109058656,18.2967932603,10485700,0.0,1.0
2010-02-24,21.72,21.79,21.588,21.61,7539000,18.2631594492,18.3220186187,18.1521678724,18.1706664685,7539000,0.0,1.0
