date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2010-02-02,26.78,26.81,26.39,26.45,7433200,20.0255809279,20.0480143644,19.7339462542,19.7788131271,7433200,0.0,1.0
2010-02-03,26.59,26.71,26.54,26.71,6566900,19.8835024972,19.9732362429,19.8461134364,19.9732362429,6566900,0.0,1.0
2010-02-04,26.05,26.52,26.0,26.51,10827300,19.4797006413,19.8311578121,19.4423115805,19.82368,10827300,0.0,1.0
2010-02-05,25.98,26.05,25.71,26.0,13527400,19.4273559562,19.4797006413,19.2254550283,19.4423115805,13527400,0.0,1.0
2010-02-08,25.95,26.17,25.93,26.05,5150900,19.4049225198,19.569434387,19.3899668955,19.4797006413,5150900,0.0,1.0
2010-02-09,26.26,26.4,26.04,26.19,7456500,19.6367346963,19.7414240664,19.4722228291,19.5843900113,7456500,0.0,1.0
2010-02-10,26.23,26.29,26.04,26.28,6364600,19.6143012599,19.6591681328,19.4722228291,19.6516903206,6364600,0.0,1.0
2010-02-11,26.441,26.49,26.06,26.22,5879800,19.7720830962,19.8087243757,19.4871784534,19.6068234477,5879800,0.0,1.0
2010-02-12,26.44,26.49,26.19,26.26,8895400,19.771335315,19.8087243757,19.5843900113,19.6367346963,8895400,0.0,1.0
2010-02-16,26.71,26.73,26.44,26.5,7113900,19.9732362429,19.9881918672,19.771335315,19.8162021878,7113900,0.0,1.0
2010-02-17,26.9,26.93,26.72,26.79,7493600,20.1153146737,20.1377481101,19.9807140551,20.0330587401,7493600,0.0,1.0
2010-02-18,27.06,27.12,26.825,26.89,7539300,20.234959668,20.2798265409,20.0592310826,20.1078368615,7539300,0.0,1.0
2010-02-19,27.12,27.2,26.94,27.05,4443900,20.2798265409,20.3396490381,20.1452259223,20.2274818559,4443900,0.0,1.0
2010-02-22,27.12,27.21,27.04,27.2,4414400,20.2798265409,20.3471268502,20.2200040437,20.3396490381,4414400,0.0,1.0
2010-02-23,26.97,27.15,26.825,27.03,8464300,20.1676593587,20.3022599774,20.0592310826,20.2125262316,8464300,0.0,1.0
2010-02-24,27.14,27.15,26.92,26.98,4147700,20.2947821652,20.3022599774,20.130270298,20.1751371709,4147700,0.0,1.0
2010-02-25,27.16,27.2,26.82,26.9,6443300,20.3097377895,20.3396490381,20.0554921765,20.1153146737,6443300,0.0,1.0
2010-02-26,27.03,27.2,26.96,27.2,5805900,20.2125262316,20.3396490381,20.1601815466,20.3396490381,5805900,0.0,1.0
2010-03-01,27.22,27.24,27.02,27.13,4360200,20.3546046624,20.3695602867,20.2050484195,20.2873043531,4360200,0.0,1.0
2010-03-02,27.32,27.38,27.22,27.27,14652000,20.4293827838,20.4742496567,20.3546046624,20.3919937231,14652000,0.0,1.0
2010-03-03,27.33,27.42,27.27,27.36,7569800,20.436860596,20.5041609053,20.3919937231,20.4592940324,7569800,0.0,1.0
2010-03-04,27.42,27.53,27.36,27.42,5479500,20.5041609053,20.5864168389,20.4592940324,20.5041609053,5479500,0.0,1.0
2010-03-05,27.59,27.61,27.41,27.56,5123200,20.6312837118,20.6462393361,20.4966830932,20.6088502754,5123200,0.0,1.0
