date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2010-02-02,29.96,29.98,29.47,29.79,6553600,20.2675095469,20.2810392595,19.936031587,20.1525069894,6553600,0.0,1.0
2010-02-03,29.75,29.91,29.655,29.7999,3982400,20.1254475641,20.2336852652,20.061181429,20.1592041971,3982400,0.0,1.0
2010-02-04,28.97,29.67,28.97,29.61,7240800,19.5977887708,20.0713287135,19.5977887708,20.0307395755,7240800,0.0,1.0
2010-02-05,28.92,29.03,28.46,29.03,9988300,19.5639644892,19.6383779087,19.2527810983,19.6383779087,9988300,0.0,1.0
2010-02-08,28.59,29.12,28.58,28.95,5123500,19.3407242305,19.6992616156,19.3339593741,19.5842590581,5123500,0.0,1.0
2010-02-09,28.88,29.21,28.74,28.84,8715300,19.5369050639,19.7601453226,19.4421970753,19.5098456386,8715300,0.0,1.0
2010-02-10,28.75,28.94,28.5,28.94,6572200,19.4489619317,19.5774942018,19.2798405235,19.5774942018,6572200,0.0,1.0
2010-02-11,28.92,28.96,28.45,28.78,8110000,19.5639644892,19.5910239145,19.2460162419,19.4692565006,8110000,0.0,1.0
2010-02-12,28.81,28.83,28.55,28.75,10062300,19.4895510696,19.5030807822,19.3136648052,19.4489619317,10062300,0.0,1.0
2010-02-16,29.31,29.32,28.85,28.85,6014400,19.8277938858,19.8345587421,19.5166104949,19.5166104949,6014400,0.0,1.0
2010-02-17,29.19,29.49,29.13,29.45,6447600,19.7466156099,19.9495612996,19.706026472,19.9225018743,6447600,0.0,1.0
2010-02-18,29.35,29.44,29.0,29.03,5526900,19.8548533111,19.915737018,19.6180833398,19.6383779087,5526900,0.0,1.0
2010-02-19,29.76,29.88,29.19,29.31,5596600,20.1322124204,20.2133906963,19.7466156099,19.8277938858,5596600,0.0,1.0
2010-02-22,29.6,30.06,29.58,29.99,5657700,20.0239747192,20.3351581101,20.0104450065,20.2878041158,5657700,0.0,1.0
2010-02-23,29.4,29.65,29.3199,29.51,5544300,19.8886775927,20.0577990008,19.8344910936,19.9630910123,5544300,0.0,1.0
2010-02-24,29.43,29.53,29.11,29.48,4990800,19.9089721617,19.9766207249,19.6924967593,19.9427964433,4990800,0.0,1.0
2010-02-25,29.37,29.38,28.9,29.06,7381400,19.8683830237,19.8751478801,19.5504347765,19.6586724777,7381400,0.0,1.0
2010-02-26,29.14,29.435,29.1082,29.3,8315700,19.7127913283,19.9123545898,19.6912790852,19.8210290295,8315700,0.0,1.0
2010-03-01,29.56,29.61,29.23,29.24,4933600,19.9969152939,20.0307395755,19.7736750352,19.7804398915,4933600,0.0,1.0
2010-03-02,29.65,29.78,29.58,29.58,4715500,20.0577990008,20.145742133,20.0104450065,20.0104450065,4715500,0.0,1.0
2010-03-03,29.6,29.84,29.55,29.71,3626700,20.0239747192,20.186331271,19.9901504376,20.0983881388,3626700,0.0,1.0
2010-03-04,29.66,29.68,29.46,29.66,5410800,20.0645638571,20.0780935698,19.9292667307,20.0645638571,5410800,0.0,1.0
2010-03-05,29.96,30.01,29.68,29.79,5190500,20.2675095469,20.3013338285,20.0780935698,20.1525069894,5190500,0.0,1.0
2010-03-08,29.96,30.075,29.945,30.075,3484400,20.2675095469,20.3453053946,20.2573622624,20.3453053946,3484400,0.0,1.0
2010-03-09,29.92,30.0,29.86,29.93,3937200,20.2404501216,20.2945689722,20.1998609836,20.2472149779,3937200,0.0,1.0
2010-03-10,29.93,30.0,29.79,29.97,3848200,20.2472149779,20.2945689722,20.1525069894,20.2742744032,3848200,0.0,1.0
2010-03-11,30.03,30.04,29.79,29.9,3664800,20.3148635411,20.3216283975,20.1525069894,20.2269204089,3664800,0.0,1.0
2010-03-12,29.84,30.13,29.77,30.07,5719300,20.186331271,20.3825121044,20.1389772767,20.3419229664,5719300,0.0,1.0
2010-03-15,29.95,29.9693,29.75,29.83,3791900,20.2607446905,20.2738008632,20.1254475641,20.1795664146,3791900,0.0,1.0
2010-03-16,30.3,30.32,29.89,29.91,5529200,20.4975146619,20.5110443745,20.2201555526,20.2336852652,5529200,0.0,1.0
2010-03-17,30.4,30.45,30.24,30.38,5891100,20.5651632251,20.5989875067,20.4569255239,20.5516335125,5891100,0.0,1.0
2010-03-18,30.26,30.5,30.18,30.34,4317100,20.4704552366,20.6328117884,20.416336386,20.5245740872,4317100,0.0,1.0
2010-03-19,29.96,30.17,29.75,30.08,5766000,20.4478403219,20.5911663055,20.3045143383,20.5297408839,5766000,0.26657,1.0
2010-03-22,29.76,29.885,29.66,29.84,5110200,20.3113393852,20.3966524706,20.2430889168,20.3659397599,5110200,0.0,1.0
2010-03-23,29.88,29.88,29.68,29.83,5823300,20.3932399472,20.3932399472,20.2567390105,20.359114713,5823300,0.0,1.0
2010-03-24,29.57,29.88,29.53,29.78,6599400,20.1816634953,20.3932399472,20.1543633079,20.3249894788,6599400,0.0,1.0
2010-03-25,29.38,29.71,29.35,29.62,10484100,20.0519876054,20.277214151,20.0315124649,20.2157887295,10484100,0.0,1.0
2010-03-26,29.45,29.57,29.3,29.37,8272600,20.0997629332,20.1816634953,19.9973872307,20.0451625585,8272600,0.0,1.0
2010-03-29,29.81,29.82,29.53,29.56,8611300,20.3454646193,20.3522896662,20.1543633079,20.1748384484,8611300,0.0,1.0
2010-03-30,29.73,29.94,29.72,29.77,5566000,20.2908642447,20.4341902282,20.2840391978,20.318164432,5566000,0.0,1.0
2010-03-31,29.66,29.82,29.5,29.69,6036900,20.2430889168,20.3522896662,20.1338881674,20.2635640573,6036900,0.0,1.0
2010-04-01,30.07,30.12,29.76,29.8,5285500,20.5229158371,20.5570410713,20.3113393852,20.3386395725,5285500,0.0,1.0
2010-04-05,30.25,30.25,30.02,30.14,3550200,20.6457666801,20.6457666801,20.4887906029,20.5706911649,3550200,0.0,1.0
2010-04-06,30.5,30.5,30.01,30.01,4025600,20.8163928511,20.8163928511,20.4819655561,20.4819655561,4025600,0.0,1.0
2010-04-07,30.2,30.44,30.1,30.41,5835400,20.611641446,20.77544257,20.5433909776,20.7549674295,5835400,0.0,1.0
2010-04-08,30.02,30.14,29.927,30.07,4773900,20.4887906029,20.5706911649,20.4253176673,20.5229158371,4773900,0.0,1.0
2010-04-09,30.24,30.24,29.82,30.05,6605700,20.6389416333,20.6389416333,20.3522896662,20.5092657434,6605700,0.0,1.0
2010-04-12,30.32,30.4,30.25,30.27,4633700,20.693542008,20.7481423827,20.6457666801,20.6594167738,4633700,0.0,1.0
2010-04-13,30.16,30.32,30.0,30.32,5240600,20.5843412586,20.693542008,20.4751405092,20.693542008,5240600,0.0,1.0
2010-04-14,30.19,30.26,30.04,30.15,4773200,20.6048163991,20.652591727,20.5024406966,20.5775162118,4773200,0.0,1.0
