date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2010-02-02,32.11,32.12,31.38,31.55,9894100,26.5976652896,26.6059485862,25.99298464,26.1338006817,9894100,0.0,1.0
2010-02-03,31.68,32.03,31.58,32.0,5967400,26.2414835371,26.5313989171,26.1586505714,26.5065490274,5967400,0.0,1.0
2010-02-04,30.88,31.53,30.86,31.42,10027700,25.5788198114,26.1172340885,25.5622532183,26.0261178262,10027700,0.0,1.0
2010-02-05,30.83,30.98,30.27,30.79,14325900,25.5374033286,25.6616527771,25.0735387206,25.5042701423,14325900,0.0,1.0
2010-02-08,30.68,30.945,30.59,30.85,6971500,25.41315388,25.6326612391,25.3386042108,25.5539699217,6971500,0.0,1.0
2010-02-09,30.92,31.2,30.68,31.07,8632900,25.6119529977,25.8438853017,25.41315388,25.7362024463,8632900,0.0,1.0
2010-02-10,30.73,30.95,30.49,30.95,7047300,25.4545703628,25.6368028874,25.2557712451,25.6368028874,7047300,0.0,1.0
2010-02-11,30.94,31.04,30.49,30.53,4335600,25.6285195908,25.7113525565,25.2557712451,25.2889044314,4335600,0.0,1.0
2010-02-12,30.87,30.93,30.5,30.71,6966800,25.5705365148,25.6202362943,25.2640545417,25.4380037697,6966800,0.0,1.0
2010-02-16,31.14,31.18,30.82,31.18,5786100,25.7941855223,25.8273187085,25.529120032,25.8273187085,5786100,0.0,1.0
2010-02-17,31.38,31.54,31.2,31.25,10161600,25.99298464,26.1255173851,25.8438853017,25.8853017845,10161600,0.0,1.0
2010-02-18,31.53,31.55,31.31,31.39,5326600,26.1172340885,26.1338006817,25.935001564,26.0012679365,5326600,0.0,1.0
2010-02-19,31.53,31.6,31.345,31.43,4369300,26.1172340885,26.1752171645,25.963993102,26.0344011228,4369300,0.0,1.0
2010-02-22,31.44,31.64,31.24,31.64,6989700,26.0426844194,26.2083503508,25.877018488,26.2083503508,6989700,0.0,1.0
2010-02-23,31.14,31.47,31.08,31.35,4313800,25.7941855223,26.0675343091,25.7444857428,25.9681347502,4313800,0.0,1.0
2010-02-24,31.37,31.43,31.12,31.23,4352100,25.9847013434,26.0344011228,25.7776189291,25.8687351914,4352100,0.0,1.0
2010-02-25,31.39,31.39,31.0,31.15,5437900,26.0012679365,26.0012679365,25.6782193703,25.8024688188,5437900,0.0,1.0
2010-02-26,31.4,31.565,31.32,31.44,8794500,26.0095512331,26.1462256265,25.9432848605,26.0426844194,8794500,0.0,1.0
2010-03-01,31.7,31.81,31.4,31.4,6249900,26.2580501302,26.3491663925,26.0095512331,26.0095512331,6249900,0.0,1.0
2010-03-02,31.81,31.94,31.71,31.75,5321100,26.3491663925,26.4568492479,26.2663334268,26.2994666131,5321100,0.0,1.0
2010-03-03,31.68,31.96,31.63,31.96,5066800,26.2414835371,26.4734158411,26.2000670542,26.4734158411,5066800,0.0,1.0
2010-03-04,31.58,31.74,31.46,31.72,10135600,26.1586505714,26.2911833165,26.0592510125,26.2746167234,10135600,0.0,1.0
2010-03-05,32.02,32.02,31.61,31.65,5832200,26.5231156205,26.5231156205,26.1835004611,26.2166336474,5832200,0.0,1.0
2010-03-08,31.83,32.03,31.8201,32.03,4370700,26.3657329857,26.5313989171,26.3575325221,26.5313989171,4370700,0.0,1.0
2010-03-09,31.81,31.89,31.69,31.73,4838900,26.3491663925,26.4154327651,26.2497668337,26.2829000199,4838900,0.0,1.0
