date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2010-02-02,29.69,29.7,29.18,29.35,5493700,25.456121209,25.4646951805,25.0188486655,25.16460618,5493700,0.0,1.0
2010-02-03,29.71,29.78,29.53,29.61,4863400,25.4732691519,25.533286952,25.318937666,25.3875294375,4863400,0.0,1.0
2010-02-04,28.85,29.54,28.84,29.47,10126200,24.735907608,25.3275116374,24.7273336365,25.2674938373,10126200,0.0,1.0
2010-02-05,28.77,28.97,28.21,28.84,8303900,24.6673158364,24.8387952653,24.1871734357,24.7273336365,8303900,0.0,1.0
2010-02-08,28.59,29.06,28.59,28.83,6376900,24.5129843505,24.9159610082,24.5129843505,24.7187596651,6376900,0.0,1.0
2010-02-09,29.03,29.21,28.74,28.84,6904900,24.8902390939,25.0445705798,24.6415939221,24.7273336365,6904900,0.0,1.0
2010-02-10,28.91,29.07,28.66,29.06,5566300,24.7873514366,24.9245349797,24.5730021506,24.9159610082,5566300,0.0,1.0
2010-02-11,29.25,29.25,28.65,28.83,5827600,25.0788664656,25.0788664656,24.5644281791,24.7187596651,5827600,0.0,1.0
2010-02-12,29.25,29.25,28.85,28.91,6334400,25.0788664656,25.0788664656,24.735907608,24.7873514366,6334400,0.0,1.0
2010-02-16,29.72,29.72,29.28,29.56,4520900,25.4818431233,25.4818431233,25.1045883799,25.3446595803,4520900,0.0,1.0
2010-02-17,29.96,29.96,29.675,29.85,4630800,25.6876184379,25.6876184379,25.4432602519,25.5933047521,4630800,0.0,1.0
2010-02-18,30.15,30.16,29.8,29.89,5917600,25.8505238953,25.8590978668,25.5504348949,25.6276006378,5917600,0.0,1.0
2010-02-19,30.22,30.32,30.0099,30.17,5750000,25.9105416954,25.9962814098,25.7304025554,25.8676718382,5750000,0.0,1.0
2010-02-22,30.21,30.35,30.15,30.31,3557200,25.901967724,26.0220033241,25.8505238953,25.9877074384,3557200,0.0,1.0
2010-02-23,30.03,30.32,29.93,30.15,5725300,25.747636238,25.9962814098,25.6618965236,25.8505238953,5725300,0.0,1.0
2010-02-24,30.42,30.45,30.04,30.17,6336000,26.0820211242,26.1077430386,25.7562102095,25.8676718382,6336000,0.0,1.0
2010-02-25,30.47,30.48,29.9,29.9,5719000,26.1248909814,26.1334649529,25.6361746093,25.6361746093,5719000,0.0,1.0
2010-02-26,30.52,30.6,30.3,30.48,6311200,26.1677608386,26.2363526102,25.9791334669,26.1334649529,6311200,0.0,1.0
2010-03-01,31.0,31.02,30.575,30.67,8155100,26.5793114678,26.5964594107,26.2149176816,26.2963704103,8155100,0.0,1.0
2010-03-02,30.84,31.125,30.84,31.05,11935500,26.4421279248,26.6864861108,26.4421279248,26.622181325,11935500,0.0,1.0
2010-03-03,30.93,31.14,30.8007,30.94,5254900,26.5192936677,26.699347068,26.408432217,26.5278676392,5254900,0.0,1.0
2010-03-04,31.21,31.26,30.99,31.04,4601100,26.7593648681,26.8022347253,26.5707374964,26.6136073536,4601100,0.0,1.0
