date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2015-02-02,21.93,21.98,21.4001,21.69,27975,19.0646281069,19.1080951112,18.6039647948,18.855986486,27975,0.0,1.0
2015-02-03,22.74,22.82,21.5601,21.93,34780,19.7687935773,19.8383407843,18.7430592087,19.0646281069,34780,0.0,1.0
2015-02-04,23.34,23.54,22.31,22.55,50410,20.2903976295,20.4642656469,19.3949773399,19.6036189608,50410,0.0,1.0
2015-02-05,22.95,23.37,22.88,23.33,38083,19.9513549956,20.3164778321,19.8905011895,20.2817042286,38083,0.0,1.0
2015-02-06,22.8,23.4443,22.7,22.82,34996,19.8209539825,20.3810698006,19.7340199738,19.8383407843,34996,0.0,1.0
2015-02-09,22.09,22.72,22.06,22.62,19957,19.2037225208,19.7514067756,19.1776423182,19.6644727669,19957,0.0,1.0
2015-02-10,22.18,22.66,22.0,22.17,30475,19.2819631286,19.6992463704,19.125481913,19.2732697278,30475,0.0,1.0
2015-02-11,21.76,22.3,21.75,22.05,18312,18.9168402921,19.3862839391,18.9081468912,19.1689489173,18312,0.0,1.0
2015-02-12,21.85,22.3,21.78,21.85,28056,18.9950808999,19.3862839391,18.9342270938,18.9950808999,28056,0.0,1.0
2015-02-13,21.88,22.15,21.78,21.79,31932,19.0211611025,19.255882926,18.9342270938,18.9429204947,31932,0.0,1.0
2015-02-17,22.02,22.15,21.88,22.04,24124,19.1428687147,19.255882926,19.0211611025,19.1602555164,24124,0.0,1.0
2015-02-18,22.42,22.47,21.85,22.19,13220,19.4906047495,19.5340717538,18.9950808999,19.2906565295,13220,0.0,1.0
2015-02-19,22.85,23.24,22.26,22.26,18828,19.8644209869,20.2034636208,19.3515103356,19.3515103356,18828,0.0,1.0
2015-02-20,22.5,23.0299,22.3868,22.89,28331,19.5601519564,20.0208152685,19.4617426586,19.8991945904,28331,0.0,1.0
2015-02-23,22.75,23.04,22.55,22.55,18207,19.7774869782,20.0295956034,19.6036189608,19.6036189608,18207,0.0,1.0
2015-02-24,22.99,23.04,22.46,22.76,17895,19.9861285991,20.0295956034,19.525378353,19.7861803791,17895,0.0,1.0
2015-02-25,22.89,23.42,22.59,22.96,26783,19.8991945904,20.3599448364,19.6383925643,19.9600483964,26783,0.0,1.0
2015-02-26,22.67,23.26,22.65,22.95,20401,19.7079397712,20.2208504225,19.6905529695,19.9513549956,20401,0.0,1.0
2015-02-27,22.41,23.15,22.21,22.73,28816,19.4819113486,20.125223013,19.3080433312,19.7601001764,28816,0.0,1.0
2015-03-02,22.18,22.7099,22.11,22.46,22834,19.2819631286,19.7426264407,19.2211093225,19.525378353,22834,0.0,1.0
2015-03-03,22.24,22.33,22.01,22.19,23605,19.3341235338,19.4123641417,19.1341753138,19.2906565295,23605,0.0,1.0
2015-03-04,22.18,22.4,22.08,22.11,15544,19.2819631286,19.4732179478,19.1950291199,19.2211093225,15544,0.0,1.0
2015-03-05,22.36,22.41,22.06,22.31,18415,19.4384443443,19.4819113486,19.1776423182,19.3949773399,18415,0.0,1.0
2015-03-06,21.34,22.2,21.2224,22.17,36039,18.5517174556,19.2993499304,18.4494830614,19.2732697278,36039,0.0,1.0
2015-03-09,22.08,22.24,21.34,21.34,19175,19.1950291199,19.3341235338,18.5517174556,18.5517174556,19175,0.0,1.0
2015-03-10,21.51,21.8952,21.39,21.8,12214,18.6995052704,19.0343750719,18.5951844599,18.9516138956,12214,0.0,1.0
2015-03-11,21.1,21.47,21.0,21.45,24420,18.3430758347,18.6647316669,18.256141826,18.6473448651,24420,0.0,1.0
2015-03-12,22.69,22.7,21.23,21.23,27973,19.725326573,19.7340199738,18.456090046,18.456090046,27973,0.0,1.0
2015-03-13,22.54,22.7,21.17,22.7,15798,19.5949255599,19.7340199738,18.4039296408,19.7340199738,15798,0.0,1.0
2015-03-16,22.36,22.73,21.99,22.73,29522,19.4384443443,19.7601001764,19.1167885121,19.7601001764,29522,0.0,1.0
2015-03-17,22.59,22.6,22.13,22.41,15715,19.6383925643,19.6470859651,19.2384961243,19.4819113486,15715,0.0,1.0
2015-03-18,23.53,23.85,22.0401,22.6,42633,20.455572246,20.7337610738,19.1603424505,19.6470859651,42633,0.0,1.0
2015-03-19,23.0,23.84,22.91,23.3,53806,19.9948219999,20.725067673,19.9165813921,20.255624026,53806,0.0,1.0
2015-03-20,24.05,24.08,22.93,23.09,72274,20.9076290912,20.9337092938,19.9339681938,20.0730626077,72274,0.0,1.0
2015-03-23,24.06,24.18,23.2,24.05,41883,20.9163224921,21.0206433025,20.1686900173,20.9076290912,41883,0.0,1.0
2015-03-24,24.19,24.41,23.86,24.07,19524,21.0293367034,21.2205915225,20.7424544747,20.925015893,19524,0.0,1.0
2015-03-25,24.0,24.63,23.86,24.63,23999,20.8641620869,21.4118463417,20.7424544747,21.4118463417,23999,0.0,1.0
2015-03-26,24.03,24.34,23.63,23.86,23462,20.8902422895,21.1597377164,20.5425062547,20.7424544747,23462,0.0,1.0
2015-03-27,24.1,24.6899,24.05,24.23,43118,20.9510960956,21.4639198129,20.9076290912,21.0641103069,43118,0.0,1.0
2015-03-30,24.38,24.86,24.07,24.18,29559,21.1945113199,21.6117945617,20.925015893,21.0206433025,29559,0.0,1.0
2015-03-31,24.41,24.6899,23.9812,24.36,24912,21.2205915225,21.4639198129,20.8478184932,21.1771245182,24912,0.0,1.0
2015-04-01,24.24,24.55,23.851,24.5,31564,21.0728037077,21.3422991347,20.7346304139,21.2988321304,31564,0.0,1.0
2015-04-02,24.58,24.85,24.15,24.32,19569,21.3683793373,21.6031011608,20.9945630999,21.1423509147,19569,0.0,1.0
2015-04-06,24.57,24.96,24.5,24.57,19103,21.3596859364,21.6987285704,21.2988321304,21.3596859364,19103,0.0,1.0
2015-04-07,24.2,24.92,24.19,24.43,20994,21.0380301043,21.6639549669,21.0293367034,21.2379783243,20994,0.0,1.0
2015-04-08,24.75,24.75,24.12,24.5,23713,21.5161671521,21.5161671521,20.9684828973,21.2988321304,23713,0.0,1.0
2015-04-09,24.21,24.9999,24.18,24.87,19899,21.0467235051,21.7334152398,21.0206433025,21.6204879625,19899,0.0,1.0
2015-04-10,23.91,24.7699,23.76,24.36,20793,20.7859214791,21.5334670198,20.655520466,21.1771245182,20793,0.0,1.0
2015-04-13,24.37,24.59,23.87,24.0,36890,21.185817919,21.3770727382,20.7511478756,20.8641620869,36890,0.0,1.0
2015-04-14,24.2,24.47,23.77,24.37,22090,21.0380301043,21.2727519277,20.6642138669,21.185817919,22090,0.0,1.0
2015-04-15,24.58,24.69,23.99,24.236,21233,21.3683793373,21.4640067469,20.855468686,21.0693263474,21233,0.0,1.0
2015-04-16,23.97,24.71,23.96,24.63,17428,20.8380818843,21.4813935486,20.8293884834,21.4118463417,17428,0.0,1.0
2015-04-17,23.58,24.03,23.29,23.79,28763,20.4990392504,20.8902422895,20.2469306251,20.6816006686,28763,0.0,1.0
2015-04-20,23.99,24.58,23.5155,23.68,22114,20.855468686,21.3683793373,20.4429668147,20.5859732591,22114,0.0,1.0
2015-04-21,24.21,24.5,24.07,24.23,17123,21.0467235051,21.2988321304,20.925015893,21.0641103069,17123,0.0,1.0
2015-04-22,23.76,24.34,23.75,24.33,27110,20.655520466,21.1597377164,20.6468270651,21.1510443156,27110,0.0,1.0
2015-04-23,22.97,24.1,22.9,23.78,40004,19.9687417973,20.9510960956,19.9078879912,20.6729072677,40004,0.0,1.0
2015-04-24,23.25,23.56,22.93,23.06,36944,20.2121570217,20.4816524486,19.9339681938,20.0469824051,36944,0.0,1.0
2015-04-27,23.66,24.16,23.265,23.45,29947,20.5685864573,21.0032565008,20.225197123,20.3860250391,29947,0.0,1.0
2015-04-28,24.37,24.506,23.36,23.65,31189,21.185817919,21.3040481709,20.3077844312,20.5598930564,31189,0.0,1.0
2015-04-29,23.35,24.36,23.33,24.36,28003,20.2990910304,21.1771245182,20.2817042286,21.1771245182,28003,0.0,1.0
2015-04-30,22.35,23.5699,22.28,23.31,33541,19.4297509434,20.4902589155,19.3688971373,20.2643174269,33541,0.0,1.0
2015-05-01,22.42,22.68,21.69,22.34,45019,19.4906047495,19.7166331721,18.855986486,19.4210575425,45019,0.0,1.0
2015-05-04,22.41,22.92,22.3,22.37,25835,19.4819113486,19.925274793,19.3862839391,19.4471377451,25835,0.0,1.0
2015-05-05,21.66,22.4,21.52,22.4,34557,18.8299062834,19.4732179478,18.7081986712,19.4732179478,34557,0.0,1.0
2015-05-06,22.1,22.18,21.53,21.81,35520,19.2124159217,19.2819631286,18.7168920721,18.9603072964,35520,0.0,1.0
2015-05-07,22.23,22.4,21.81,21.95,17775,19.325430133,19.4732179478,18.9603072964,19.0820149086,17775,0.0,1.0
2015-05-08,21.94,22.46,21.62,22.46,22494,19.0733215078,19.525378353,18.7951326799,19.525378353,22494,0.0,1.0
2015-05-11,21.94,22.18,21.81,21.81,18170,19.0733215078,19.2819631286,18.9603072964,18.9603072964,18170,0.0,1.0
2015-05-12,21.37,21.84,21.01,21.84,21231,18.5777976582,18.9863874991,18.2648352269,18.9863874991,21231,0.0,1.0
2015-05-13,20.84,21.54,20.72,21.33,25710,18.1170474121,18.725585473,18.0127266017,18.5430240547,25710,0.0,1.0
2015-05-14,21.58,21.83,20.9,21.01,32249,18.7603590764,18.9776940982,18.1692078173,18.2648352269,32249,0.0,1.0
