date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2015-02-02,30.03,30.12,28.94,29.74,4101460,30.03,30.12,28.94,29.74,4101460,0.0,1.0
2015-02-03,30.52,30.65,29.9,30.11,2623928,30.52,30.65,29.9,30.11,2623928,0.0,1.0
2015-02-04,31.03,31.23,30.3301,30.37,2518726,31.03,31.23,30.3301,30.37,2518726,0.0,1.0
2015-02-05,31.73,31.84,31.26,31.26,2057468,31.73,31.84,31.26,31.26,2057468,0.0,1.0
2015-02-06,31.805,32.0,31.6,31.99,2438528,31.805,32.0,31.6,31.99,2438528,0.0,1.0
2015-02-09,31.49,31.67,31.24,31.6,1635794,31.49,31.67,31.24,31.6,1635794,0.0,1.0
2015-02-10,32.24,32.315,31.47,31.74,1919325,32.24,32.315,31.47,31.74,1919325,0.0,1.0
2015-02-11,32.785,32.89,32.17,32.26,1972270,32.785,32.89,32.17,32.26,1972270,0.0,1.0
2015-02-12,32.98,33.4,32.78,32.98,3021654,32.98,33.4,32.78,32.98,3021654,0.0,1.0
2015-02-13,33.23,33.39,32.94,33.35,2840477,33.23,33.39,32.94,33.35,2840477,0.0,1.0
2015-02-17,33.0,33.38,32.92,33.05,1843627,33.0,33.38,32.92,33.05,1843627,0.0,1.0
2015-02-18,33.29,33.38,33.02,33.15,1349021,33.29,33.38,33.02,33.15,1349021,0.0,1.0
2015-02-19,33.5,33.949,33.11,33.28,1543202,33.5,33.949,33.11,33.28,1543202,0.0,1.0
2015-02-20,33.84,33.97,33.4,33.42,1847707,33.84,33.97,33.4,33.42,1847707,0.0,1.0
2015-02-23,33.32,33.85,33.08,33.76,1281751,33.32,33.85,33.08,33.76,1281751,0.0,1.0
2015-02-24,33.72,33.85,33.35,33.43,1331939,33.72,33.85,33.35,33.43,1331939,0.0,1.0
2015-02-25,34.24,34.49,33.71,33.75,2095127,34.24,34.49,33.71,33.75,2095127,0.0,1.0
2015-02-26,34.05,34.74,34.02,34.2,1679875,34.05,34.74,34.02,34.2,1679875,0.0,1.0
2015-02-27,33.61,34.1,33.51,34.0,1308609,33.61,34.1,33.51,34.0,1308609,0.0,1.0
2015-03-02,34.1,34.13,33.3255,33.58,1350233,34.1,34.13,33.3255,33.58,1350233,0.0,1.0
2015-03-03,34.03,34.2,33.56,34.1,1149251,34.03,34.2,33.56,34.1,1149251,0.0,1.0
2015-03-04,33.69,33.9799,33.48,33.93,1183241,33.69,33.9799,33.48,33.93,1183241,0.0,1.0
