date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2019-03-08,15.32,17.5,14.68,14.76,7250538,15.32,17.5,14.68,14.76,7250538,0.0,1.0
2019-03-11,16.8,17.7,16.19,16.5,2888486,16.8,17.7,16.19,16.5,2888486,0.0,1.0
2019-03-12,16.4,17.52,16.1,17.0,1667272,16.4,17.52,16.1,17.0,1667272,0.0,1.0
2019-03-13,15.77,16.85,15.77,16.16,942828,15.77,16.85,15.77,16.16,942828,0.0,1.0
2019-03-14,17.5,17.55,15.8,15.81,1486885,17.5,17.55,15.8,15.81,1486885,0.0,1.0
2019-03-15,18.0,19.18,17.76,18.37,1570635,18.0,19.18,17.76,18.37,1570635,0.0,1.0
2019-03-18,18.57,19.28,17.89,18.38,1706114,18.57,19.28,17.89,18.38,1706114,0.0,1.0
2019-03-19,18.3,19.01,18.25,18.66,715318,18.3,19.01,18.25,18.66,715318,0.0,1.0
2019-03-20,17.12,18.27,17.0,18.27,1364353,17.12,18.27,17.0,18.27,1364353,0.0,1.0
2019-03-21,17.45,17.89,17.19,17.21,576934,17.45,17.89,17.19,17.21,576934,0.0,1.0
2019-03-22,17.19,17.66,16.8,17.53,499966,17.19,17.66,16.8,17.53,499966,0.0,1.0
2019-03-25,16.87,17.18,16.63,17.0,436749,16.87,17.18,16.63,17.0,436749,0.0,1.0
2019-03-26,17.02,17.375,16.7,17.1,513600,17.02,17.375,16.7,17.1,513600,0.0,1.0
2019-03-27,18.27,18.35,17.12,17.17,987288,18.27,18.35,17.12,17.17,987288,0.0,1.0
2019-03-28,17.91,18.59,17.7799,18.4,496361,17.91,18.59,17.7799,18.4,496361,0.0,1.0
2019-03-29,18.52,18.55,17.93,18.36,593376,18.52,18.55,17.93,18.36,593376,0.0,1.0
2019-04-01,18.62,19.27,18.11,19.22,945329,18.62,19.27,18.11,19.22,945329,0.0,1.0
2019-04-02,17.62,18.58,17.53,18.5,733840,17.62,18.58,17.53,18.5,733840,0.0,1.0
2019-04-03,17.78,18.4199,17.67,17.91,564705,17.78,18.4199,17.67,17.91,564705,0.0,1.0
2019-04-04,17.11,17.95,17.0,17.95,603927,17.11,17.95,17.0,17.95,603927,0.0,1.0
2019-04-05,17.13,17.9,17.1,17.17,296444,17.13,17.9,17.1,17.17,296444,0.0,1.0
2019-04-08,16.8,17.18,16.71,17.13,295284,16.8,17.18,16.71,17.13,295284,0.0,1.0
2019-04-09,16.58,16.96,16.5,16.96,288684,16.58,16.96,16.5,16.96,288684,0.0,1.0
2019-04-10,16.0,16.5999,15.97,16.5,554671,16.0,16.5999,15.97,16.5,554671,0.0,1.0
2019-04-11,16.78,16.88,15.71,16.07,504320,16.78,16.88,15.71,16.07,504320,0.0,1.0
2019-04-12,16.26,17.47,16.22,17.29,558861,16.26,17.47,16.22,17.29,558861,0.0,1.0
2019-04-15,16.26,16.6,15.95,16.54,290392,16.26,16.6,15.95,16.54,290392,0.0,1.0
2019-04-16,16.84,17.52,16.5001,16.58,1038393,16.84,17.52,16.5001,16.58,1038393,0.0,1.0
2019-04-17,15.8,17.42,15.78,17.3,1139458,15.8,17.42,15.78,17.3,1139458,0.0,1.0
2019-04-18,15.6,16.0589,15.54,15.88,538347,15.6,16.0589,15.54,15.88,538347,0.0,1.0
2019-04-22,15.03,15.67,15.0,15.63,538021,15.03,15.67,15.0,15.63,538021,0.0,1.0
2019-04-23,15.1,15.29,14.93,15.2,471680,15.1,15.29,14.93,15.2,471680,0.0,1.0
2019-04-24,14.7,15.245,14.68,15.1,358008,14.7,15.245,14.68,15.1,358008,0.0,1.0
2019-04-25,13.76,14.7,13.7571,14.7,882784,13.76,14.7,13.7571,14.7,882784,0.0,1.0
2019-04-26,14.64,14.68,13.7,13.89,522489,14.64,14.68,13.7,13.89,522489,0.0,1.0
2019-04-29,14.31,15.2,14.2646,14.68,497501,14.31,15.2,14.2646,14.68,497501,0.0,1.0
2019-04-30,13.95,14.66,13.91,14.43,284419,13.95,14.66,13.91,14.43,284419,0.0,1.0
2019-05-01,13.75,14.3285,13.68,14.04,430431,13.75,14.3285,13.68,14.04,430431,0.0,1.0
2019-05-02,13.65,14.24,13.6,13.94,447046,13.65,14.24,13.6,13.94,447046,0.0,1.0
2019-05-03,14.24,14.3,13.66,13.71,371369,14.24,14.3,13.66,13.71,371369,0.0,1.0
2019-05-06,13.87,14.08,13.44,13.6,315759,13.87,14.08,13.44,13.6,315759,0.0,1.0
2019-05-07,13.71,13.9,13.51,13.77,280405,13.71,13.9,13.51,13.77,280405,0.0,1.0
2019-05-08,13.83,14.28,13.58,13.61,285539,13.83,14.28,13.58,13.61,285539,0.0,1.0
2019-05-09,13.41,13.65,13.3,13.63,262209,13.41,13.65,13.3,13.63,262209,0.0,1.0
2019-05-10,13.42,13.61,13.31,13.58,181280,13.42,13.61,13.31,13.58,181280,0.0,1.0
2019-05-13,12.51,13.08,12.5,13.08,407687,12.51,13.08,12.5,13.08,407687,0.0,1.0
2019-05-14,12.08,12.87,12.02,12.78,380848,12.08,12.87,12.02,12.78,380848,0.0,1.0
2019-05-15,12.77,12.88,12.0,12.0,366941,12.77,12.88,12.0,12.0,366941,0.0,1.0
2019-05-16,12.21,13.0989,12.1468,12.97,477787,12.21,13.0989,12.1468,12.97,477787,0.0,1.0
2019-05-17,11.12,12.141,11.09,12.1,793344,11.12,12.141,11.09,12.1,793344,0.0,1.0
2019-05-20,11.85,11.91,10.29,11.03,917716,11.85,11.91,10.29,11.03,917716,0.0,1.0
2019-05-21,12.33,12.51,12.08,12.19,457097,12.33,12.51,12.08,12.19,457097,0.0,1.0
2019-05-22,11.28,12.25,11.1731,12.25,553859,11.28,12.25,11.1731,12.25,553859,0.0,1.0
2019-05-23,11.47,12.2038,10.84,11.08,1049264,11.47,12.2038,10.84,11.08,1049264,0.0,1.0
2019-05-24,11.53,12.08,10.88,11.87,1168131,11.53,12.08,10.88,11.87,1168131,0.0,1.0
2019-05-28,11.07,11.6093,10.88,11.53,622150,11.07,11.6093,10.88,11.53,622150,0.0,1.0
2019-05-29,11.58,12.06,10.9,11.15,913556,11.58,12.06,10.9,11.15,913556,0.0,1.0
2019-05-30,11.52,11.88,11.3639,11.69,156263,11.52,11.88,11.3639,11.69,156263,0.0,1.0
2019-05-31,10.98,11.37,10.91,11.37,417016,10.98,11.37,10.91,11.37,417016,0.0,1.0
2019-06-03,10.23,11.36,10.15,11.22,538491,10.23,11.36,10.15,11.22,538491,0.0,1.0
2019-06-04,10.56,10.77,10.29,10.29,266904,10.56,10.77,10.29,10.29,266904,0.0,1.0
2019-06-05,9.75,10.66,9.64,10.57,518465,9.75,10.66,9.64,10.57,518465,0.0,1.0
2019-06-06,9.63,10.19,9.53,9.83,372723,9.63,10.19,9.53,9.83,372723,0.0,1.0
2019-06-07,9.58,9.86,9.53,9.63,252930,9.58,9.86,9.53,9.63,252930,0.0,1.0
2019-06-10,10.05,10.22,9.72,9.8,349586,10.05,10.22,9.72,9.8,349586,0.0,1.0
2019-06-11,10.14,10.6,10.0,10.16,312199,10.14,10.6,10.0,10.16,312199,0.0,1.0
2019-06-12,9.62,9.98,9.6,9.98,296975,9.62,9.98,9.6,9.98,296975,0.0,1.0
2019-06-13,9.65,9.83,9.65,9.7,163046,9.65,9.83,9.65,9.7,163046,0.0,1.0
2019-06-14,9.55,9.71,9.41,9.64,137615,9.55,9.71,9.41,9.64,137615,0.0,1.0
2019-06-17,9.87,10.15,9.48,9.55,273373,9.87,10.15,9.48,9.55,273373,0.0,1.0
2019-06-18,10.23,10.65,10.02,10.09,503581,10.23,10.65,10.02,10.09,503581,0.0,1.0
2019-06-19,10.01,10.49,9.96,10.25,317844,10.01,10.49,9.96,10.25,317844,0.0,1.0
2019-06-20,10.05,10.43,9.99,10.36,476680,10.05,10.43,9.99,10.36,476680,0.0,1.0
2019-06-21,10.45,10.45,9.95,10.2,299048,10.45,10.45,9.95,10.2,299048,0.0,1.0
2019-06-24,9.92,10.37,9.92,10.37,370922,9.92,10.37,9.92,10.37,370922,0.0,1.0
2019-06-25,9.94,10.2,9.93,9.98,184313,9.94,10.2,9.93,9.98,184313,0.0,1.0
2019-06-26,10.18,10.38,10.05,10.05,168255,10.18,10.38,10.05,10.05,168255,0.0,1.0
2019-06-27,10.37,10.39,10.14,10.16,188706,10.37,10.39,10.14,10.16,188706,0.0,1.0
2019-06-28,10.57,10.6399,10.28,10.43,199219,10.57,10.6399,10.28,10.43,199219,0.0,1.0
2019-07-01,10.54,11.03,10.51,10.99,327553,10.54,11.03,10.51,10.99,327553,0.0,1.0
2019-07-02,10.78,10.84,10.55,10.68,184096,10.78,10.84,10.55,10.68,184096,0.0,1.0
2019-07-03,11.0,11.05,10.62,10.69,140183,11.0,11.05,10.62,10.69,140183,0.0,1.0
2019-07-05,10.79,11.07,10.71,10.94,229116,10.79,11.07,10.71,10.94,229116,0.0,1.0
2019-07-08,10.62,10.86,10.39,10.62,200785,10.62,10.86,10.39,10.62,200785,0.0,1.0
2019-07-09,11.36,11.5,10.5,10.5,209217,11.36,11.5,10.5,10.5,209217,0.0,1.0
2019-07-10,10.94,11.74,10.7,11.46,402107,10.94,11.74,10.7,11.46,402107,0.0,1.0
2019-07-11,10.79,11.22,10.74,11.07,124641,10.79,11.22,10.74,11.07,124641,0.0,1.0
2019-07-12,10.9,11.09,10.71,10.78,113605,10.9,11.09,10.71,10.78,113605,0.0,1.0
2019-07-15,10.97,11.15,10.8511,10.94,85033,10.97,11.15,10.8511,10.94,85033,0.0,1.0
2019-07-16,11.25,11.44,11.06,11.07,103887,11.25,11.44,11.06,11.07,103887,0.0,1.0
2019-07-17,11.35,11.42,11.2,11.33,139053,11.35,11.42,11.2,11.33,139053,0.0,1.0
2019-07-18,11.03,11.4,10.88,11.4,86425,11.03,11.4,10.88,11.4,86425,0.0,1.0
2019-07-19,11.17,11.28,11.1011,11.28,47607,11.17,11.28,11.1011,11.28,47607,0.0,1.0
2019-07-22,11.18,11.35,11.01,11.2,65599,11.18,11.35,11.01,11.2,65599,0.0,1.0
2019-07-23,11.31,11.3875,11.19,11.2,52815,11.31,11.3875,11.19,11.2,52815,0.0,1.0
2019-07-24,11.37,11.45,11.13,11.31,50683,11.37,11.45,11.13,11.31,50683,0.0,1.0
2019-07-25,11.24,11.37,11.13,11.28,77030,11.24,11.37,11.13,11.28,77030,0.0,1.0
2019-07-26,11.4,11.4,11.15,11.18,69928,11.4,11.4,11.15,11.18,69928,0.0,1.0
2019-07-29,11.36,11.48,11.25,11.3,93818,11.36,11.48,11.25,11.3,93818,0.0,1.0
2019-07-30,11.35,11.35,11.25,11.26,90872,11.35,11.35,11.25,11.26,90872,0.0,1.0
2019-07-31,11.33,11.43,11.25,11.43,45693,11.33,11.43,11.25,11.43,45693,0.0,1.0
2019-08-01,11.0,11.36,10.71,11.2511,112342,11.0,11.36,10.71,11.2511,112342,0.0,1.0
2019-08-02,10.67,10.9139,10.5,10.86,124344,10.67,10.9139,10.5,10.86,124344,0.0,1.0
2019-08-05,9.9,10.41,9.77,10.26,200559,9.9,10.41,9.77,10.26,200559,0.0,1.0
2019-08-06,10.11,10.3,9.9572,10.1,101668,10.11,10.3,9.9572,10.1,101668,0.0,1.0
2019-08-07,10.2,10.21,9.98,10.04,100112,10.2,10.21,9.98,10.04,100112,0.0,1.0
2019-08-08,10.35,10.35,10.16,10.28,56257,10.35,10.35,10.16,10.28,56257,0.0,1.0
2019-08-09,10.1,10.28,10.03,10.28,56673,10.1,10.28,10.03,10.28,56673,0.0,1.0
2019-08-12,10.02,10.21,9.96,10.08,88902,10.02,10.21,9.96,10.08,88902,0.0,1.0
2019-08-13,10.37,10.67,9.9817,10.16,98017,10.37,10.67,9.9817,10.16,98017,0.0,1.0
2019-08-14,10.0,10.29,10.0,10.13,84862,10.0,10.29,10.0,10.13,84862,0.0,1.0
2019-08-15,10.07,10.15,10.01,10.14,66359,10.07,10.15,10.01,10.14,66359,0.0,1.0
2019-08-16,10.69,10.69,10.1256,10.1256,100575,10.69,10.69,10.1256,10.1256,100575,0.0,1.0
2019-08-19,10.68,11.13,10.66,11.08,151762,10.68,11.13,10.66,11.08,151762,0.0,1.0
2019-08-20,10.98,10.98,10.64,10.66,83426,10.98,10.98,10.64,10.66,83426,0.0,1.0
2019-08-21,11.2,11.32,10.91,10.91,132061,11.2,11.32,10.91,10.91,132061,0.0,1.0
2019-08-22,11.15,11.44,11.15,11.31,80594,11.15,11.44,11.15,11.31,80594,0.0,1.0
2019-08-23,11.32,11.6489,11.22,11.22,326115,11.32,11.6489,11.22,11.22,326115,0.0,1.0
2019-08-26,10.59,12.0,10.59,12.0,510730,10.59,12.0,10.59,12.0,510730,0.0,1.0
2019-08-27,10.92,10.92,10.63,10.7,154924,10.92,10.92,10.63,10.7,154924,0.0,1.0
2019-08-28,11.09,11.09,10.6452,10.87,91180,11.09,11.09,10.6452,10.87,91180,0.0,1.0
2019-08-29,11.0,11.33,10.9,11.13,191551,11.0,11.33,10.9,11.13,191551,0.0,1.0
2019-08-30,10.8,11.02,10.74,11.02,64246,10.8,11.02,10.74,11.02,64246,0.0,1.0
2019-09-03,10.63,10.7648,10.6,10.7016,70002,10.63,10.7648,10.6,10.7016,70002,0.0,1.0
2019-09-04,11.27,11.27,10.75,10.75,213597,11.27,11.27,10.75,10.75,213597,0.0,1.0
2019-09-05,11.15,11.41,11.1,11.41,141881,11.15,11.41,11.1,11.41,141881,0.0,1.0
2019-09-06,11.19,11.3,11.1,11.18,49272,11.19,11.3,11.1,11.18,49272,0.0,1.0
2019-09-09,11.49,11.72,11.0811,11.1228,142061,11.49,11.72,11.0811,11.1228,142061,0.0,1.0
2019-09-10,11.65,11.7,11.3,11.38,154402,11.65,11.7,11.3,11.38,154402,0.0,1.0
2019-09-11,11.97,12.0,11.59,11.74,187036,11.97,12.0,11.59,11.74,187036,0.0,1.0
2019-09-12,11.87,11.92,11.72,11.92,99174,11.87,11.92,11.72,11.92,99174,0.0,1.0
2019-09-13,11.99,12.19,11.85,11.85,186466,11.99,12.19,11.85,11.85,186466,0.0,1.0
2019-09-16,12.2,12.23,11.97,12.05,103389,12.2,12.23,11.97,12.05,103389,0.0,1.0
2019-09-17,12.42,12.43,12.0011,12.19,99604,12.42,12.43,12.0011,12.19,99604,0.0,1.0
2019-09-18,12.17,12.61,12.06,12.4,164653,12.17,12.61,12.06,12.4,164653,0.0,1.0
2019-09-19,12.37,12.55,12.17,12.17,105306,12.37,12.55,12.17,12.17,105306,0.0,1.0
2019-09-20,12.28,12.5,12.03,12.31,94637,12.28,12.5,12.03,12.31,94637,0.0,1.0
2019-09-23,12.11,12.27,12.01,12.1,48569,12.11,12.27,12.01,12.1,48569,0.0,1.0
2019-09-24,11.44,12.19,11.35,12.16,171471,11.44,12.19,11.35,12.16,171471,0.0,1.0
2019-09-25,11.22,11.59,11.13,11.36,77799,11.22,11.59,11.13,11.36,77799,0.0,1.0
2019-09-26,11.19,11.35,11.15,11.17,38976,11.19,11.35,11.15,11.17,38976,0.0,1.0
2019-09-27,10.77,11.29,10.74,11.19,89450,10.77,11.29,10.74,11.19,89450,0.0,1.0
2019-09-30,10.97,11.17,10.7,10.92,113407,10.97,11.17,10.7,10.92,113407,0.0,1.0
2019-10-01,10.59,11.04,10.45,10.99,92222,10.59,11.04,10.45,10.99,92222,0.0,1.0
2019-10-02,10.4,10.5,10.14,10.5,104845,10.4,10.5,10.14,10.5,104845,0.0,1.0
2019-10-03,10.46,10.5,10.32,10.49,41497,10.46,10.5,10.32,10.49,41497,0.0,1.0
2019-10-04,10.53,10.7,10.34,10.49,74066,10.53,10.7,10.34,10.49,74066,0.0,1.0
2019-10-07,10.48,10.8,10.4,10.4,21909,10.48,10.8,10.4,10.4,21909,0.0,1.0
2019-10-08,10.46,10.59,10.3,10.36,87205,10.46,10.59,10.3,10.36,87205,0.0,1.0
2019-10-09,10.63,10.83,10.53,10.53,76272,10.63,10.83,10.53,10.53,76272,0.0,1.0
2019-10-10,10.74,10.94,10.7,10.78,87783,10.74,10.94,10.7,10.78,87783,0.0,1.0
2019-10-11,10.76,11.1,10.71,11.1,99942,10.76,11.1,10.71,11.1,99942,0.0,1.0
2019-10-14,10.72,10.89,10.69,10.84,28293,10.72,10.89,10.69,10.84,28293,0.0,1.0
