date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2015-02-02,15.75,16.68,15.48,16.47,2883100,15.75,16.68,15.48,16.47,2883100,0.0,1.0
2015-02-03,15.45,15.99,14.9,15.8,2004700,15.45,15.99,14.9,15.8,2004700,0.0,1.0
2015-02-04,15.54,15.665,14.6401,15.3,2866800,15.54,15.665,14.6401,15.3,2866800,0.0,1.0
2015-02-05,16.14,16.24,15.5,15.59,1817500,16.14,16.24,15.5,15.59,1817500,0.0,1.0
2015-02-06,15.94,16.26,15.8,16.1,1588500,15.94,16.26,15.8,16.1,1588500,0.0,1.0
2015-02-09,16.31,16.45,15.67,15.83,1197000,16.31,16.45,15.67,15.83,1197000,0.0,1.0
2015-02-10,16.49,16.69,16.31,16.69,1204900,16.49,16.69,16.31,16.69,1204900,0.0,1.0
2015-02-11,16.57,16.78,16.43,16.43,1426300,16.57,16.78,16.43,16.43,1426300,0.0,1.0
2015-02-12,17.25,17.45,16.6,16.66,2372100,17.25,17.45,16.6,16.66,2372100,0.0,1.0
2015-02-13,16.84,17.55,16.49,17.5,2551900,16.84,17.55,16.49,17.5,2551900,0.0,1.0
2015-02-17,17.16,17.3,16.78,16.78,1506200,17.16,17.3,16.78,16.78,1506200,0.0,1.0
2015-02-18,17.14,17.185,16.84,17.14,1081500,17.14,17.185,16.84,17.14,1081500,0.0,1.0
2015-02-19,17.15,17.19,16.93,17.12,1058400,17.15,17.19,16.93,17.12,1058400,0.0,1.0
2015-02-20,18.53,18.95,17.0,17.15,4469900,18.53,18.95,17.0,17.15,4469900,0.0,1.0
2015-02-23,18.57,18.9,18.33,18.65,1475300,18.57,18.9,18.33,18.65,1475300,0.0,1.0
2015-02-24,18.51,18.98,18.47,18.92,2086900,18.51,18.98,18.47,18.92,2086900,0.0,1.0
2015-02-25,18.66,18.8728,18.2301,18.51,1318600,18.66,18.8728,18.2301,18.51,1318600,0.0,1.0
2015-02-26,19.07,19.3201,18.56,18.75,2942000,19.07,19.3201,18.56,18.75,2942000,0.0,1.0
2015-02-27,20.53,21.45,19.9,20.0,10690600,20.53,21.45,19.9,20.0,10690600,0.0,1.0
2015-03-02,20.51,20.79,19.71,20.5,4402700,20.51,20.79,19.71,20.5,4402700,0.0,1.0
2015-03-03,20.965,21.06,20.3,20.53,2616400,20.965,21.06,20.3,20.53,2616400,0.0,1.0
2015-03-04,21.17,21.23,20.14,20.65,2628100,21.17,21.23,20.14,20.65,2628100,0.0,1.0
2015-03-05,20.84,21.1,20.45,21.0,5219700,20.84,21.1,20.45,21.0,5219700,0.0,1.0
2015-03-06,21.905,22.3,21.18,21.41,7346500,21.905,22.3,21.18,21.41,7346500,0.0,1.0
2015-03-09,21.9,22.42,21.63,21.9,3521400,21.9,22.42,21.63,21.9,3521400,0.0,1.0
2015-03-10,22.04,22.47,21.35,21.83,4385700,22.04,22.47,21.35,21.83,4385700,0.0,1.0
2015-03-11,22.74,22.95,22.11,22.16,4195600,22.74,22.95,22.11,22.16,4195600,0.0,1.0
2015-03-12,22.455,22.98,22.356,22.87,2424000,22.455,22.98,22.356,22.87,2424000,0.0,1.0
2015-03-13,22.47,22.64,21.9,21.99,2789100,22.47,22.64,21.9,21.99,2789100,0.0,1.0
2015-03-16,22.18,22.6599,22.11,22.56,2672400,22.18,22.6599,22.11,22.56,2672400,0.0,1.0
2015-03-17,22.49,22.5,21.86,22.08,2639600,22.49,22.5,21.86,22.08,2639600,0.0,1.0
2015-03-18,22.92,23.15,22.32,22.5,2382500,22.92,23.15,22.32,22.5,2382500,0.0,1.0
2015-03-19,23.07,23.37,22.87,22.98,2616500,23.07,23.37,22.87,22.98,2616500,0.0,1.0
2015-03-20,22.77,23.45,22.57,23.23,5601700,22.77,23.45,22.57,23.23,5601700,0.0,1.0
2015-03-23,22.14,22.65,21.7,22.62,1979700,22.14,22.65,21.7,22.62,1979700,0.0,1.0
2015-03-24,22.02,22.46,21.888,22.08,1591000,22.02,22.46,21.888,22.08,1591000,0.0,1.0
2015-03-25,20.595,22.35,20.47,22.12,3234600,20.595,22.35,20.47,22.12,3234600,0.0,1.0
2015-03-26,21.12,21.54,19.68,20.04,3046700,21.12,21.54,19.68,20.04,3046700,0.0,1.0
2015-03-27,21.81,21.92,21.16,21.2,2685600,21.81,21.92,21.16,21.2,2685600,0.0,1.0
2015-03-30,25.78,25.95,24.55,25.21,13779700,25.78,25.95,24.55,25.21,13779700,0.0,1.0
2015-03-31,25.97,26.46,25.63,26.16,6545600,25.97,26.46,25.63,26.16,6545600,0.0,1.0
2015-04-01,26.01,26.36,25.26,25.99,4348800,26.01,26.36,25.26,25.99,4348800,0.0,1.0
2015-04-02,25.97,26.36,25.62,26.14,2017600,25.97,26.36,25.62,26.14,2017600,0.0,1.0
2015-04-06,25.595,26.06,25.57,25.76,2098400,25.595,26.06,25.57,25.76,2098400,0.0,1.0
2015-04-07,26.34,27.01,25.6205,25.64,3053600,26.34,27.01,25.6205,25.64,3053600,0.0,1.0
2015-04-08,27.425,27.628,26.35,26.38,2868700,27.425,27.628,26.35,26.38,2868700,0.0,1.0
2015-04-09,27.32,27.89,27.01,27.45,3047800,27.32,27.89,27.01,27.45,3047800,0.0,1.0
2015-04-10,28.48,28.9,27.87,28.49,5820100,28.48,28.9,27.87,28.49,5820100,0.0,1.0
2015-04-13,28.49,28.8999,28.0,28.6,2309500,28.49,28.8999,28.0,28.6,2309500,0.0,1.0
2015-04-14,27.65,28.82,27.25,28.15,3640600,27.65,28.82,27.25,28.15,3640600,0.0,1.0
2015-04-15,29.5,30.15,28.33,28.6,7571200,29.5,30.15,28.33,28.6,7571200,0.0,1.0
2015-04-16,30.97,30.99,28.83,29.01,17061700,30.97,30.99,28.83,29.01,17061700,0.0,1.0
