date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2016-12-01,19.15,20.52,19.0,20.25,1191226,17.069931173,18.2911220715,16.9362241403,18.0504494127,1191226,0.0,1.0
2016-12-02,18.45,19.5,18.28,19.19,299436,16.4459650205,17.3819142493,16.2944303834,17.1055863817,299436,0.0,1.0
2016-12-05,15.4,18.67,14.5,18.45,916976,13.7272553558,16.6420686684,12.9250131597,16.4459650205,916976,0.0,1.0
2016-12-06,16.65,16.9537,15.45,15.94,346182,14.8414806282,15.1121928004,13.7718243667,14.2086006735,346182,0.0,1.0
2016-12-07,16.89,17.61,16.65,17.61,244464,15.0554118805,15.6972056374,14.8414806282,15.6972056374,244464,0.0,1.0
2016-12-08,17.2,17.2999,16.6827,16.89,109659,15.3317397481,15.4207886318,14.8706287613,15.0554118805,109659,0.0,1.0
2016-12-09,16.95,17.5,16.8591,17.5,72734,15.1088946936,15.5991538134,15.0278682318,15.5991538134,72734,0.0,1.0
2016-12-12,16.82,17.3142,16.75,17.2,71040,14.9930152653,15.433535369,14.93061865,15.3317397481,71040,0.0,1.0
2016-12-13,16.75,17.0,16.7063,17.0,37768,14.93061865,15.1534637045,14.8916653345,15.1534637045,37768,0.0,1.0
2016-12-14,16.4,17.0,16.34,17.0,77901,14.6186355737,15.1534637045,14.5651527607,15.1534637045,77901,0.0,1.0
2016-12-15,16.87,17.0,16.0301,16.27,126896,15.0375842762,15.1534637045,14.2889140311,14.5027561454,126896,0.0,1.0
2016-12-16,16.47,17.0505,16.2,16.9,129340,14.681032189,15.1984784055,14.4403595302,15.0643256827,129340,0.0,1.0
2016-12-19,16.73,16.8999,16.5001,16.65,110475,14.9127910456,15.0642365447,14.7078627335,14.8414806282,110475,0.0,1.0
2016-12-20,17.67,17.77,16.81,16.91,73613,15.7506884505,15.8398264723,14.9841014631,15.0732394849,73613,0.0,1.0
2016-12-21,18.06,18.1,17.2624,17.77,103310,16.0983267355,16.1339819442,15.3873618737,15.8398264723,103310,0.0,1.0
2016-12-22,18.13,18.5,18.01,18.2,42507,16.1607233507,16.4905340313,16.0537577246,16.223119966,42507,0.0,1.0
2016-12-23,18.55,18.852,18.28,18.36,40375,16.5351030422,16.8042998681,16.2944303834,16.3657408008,40375,0.0,1.0
2016-12-27,18.55,19.11,18.5,18.83,39671,16.5351030422,17.0342759643,16.4905340313,16.7846895033,39671,0.0,1.0
2016-12-28,18.6735,19.11,18.56,18.85,93412,16.6451884992,17.0342759643,16.5440168444,16.8025171076,93412,0.0,1.0
2016-12-29,17.9,19.0007,17.315,19.0,77659,15.9557059006,16.9368481065,15.4342484731,16.9362241403,77659,0.0,1.0
2016-12-30,18.19,18.5,17.58,17.76,34814,16.2142061638,16.4905340313,15.6704642309,15.8309126701,34814,0.0,1.0
2017-01-03,18.7,19.1899,18.5604,18.61,61123,16.6688100749,17.1054972437,16.5443733965,16.5885858553,61123,0.0,1.0
2017-01-04,18.83,18.98,18.75,18.98,27144,16.7846895033,16.9183965359,16.7133790858,16.9183965359,27144,0.0,1.0
2017-01-05,19.71,19.82,18.94,18.99,54069,17.569104095,17.667155919,16.8827413272,16.9273103381,54069,0.0,1.0
2017-01-06,19.25,19.94,19.0,19.92,155475,17.1590691948,17.7741215451,16.9362241403,17.7562939408,155475,0.0,1.0
2017-01-09,19.12,19.33,18.8301,19.33,18342,17.0431897665,17.2303796122,16.7847786413,17.2303796122,18342,0.0,1.0
2017-01-10,18.73,19.25,18.1,19.25,60562,16.6955514815,17.1590691948,16.1339819442,17.1590691948,60562,0.0,1.0
2017-01-11,18.39,18.9077,18.0,18.77,76182,16.3924822074,16.8539497462,16.0448439224,16.7312066902,76182,0.0,1.0
2017-01-12,18.15,18.69,18.0581,18.69,28004,16.1785509551,16.6598962728,16.0966331131,16.6598962728,28004,0.0,1.0
2017-01-13,18.56,18.833,18.4,18.6,90341,16.5440168444,16.7873636439,16.4013960096,16.5796720531,90341,0.0,1.0
2017-01-17,18.95,18.99,18.7116,18.8,27829,16.8916551294,16.9273103381,16.6791500855,16.7579480967,27829,0.0,1.0
2017-01-18,18.6789,19.1,18.65,19.0,29179,16.6500019523,17.0253621621,16.624241064,16.9362241403,29179,0.0,1.0
2017-01-19,19.06,19.27,18.55,18.55,30765,16.9897069534,17.1768967991,16.5351030422,16.5351030422,30765,0.0,1.0
2017-01-20,18.861,19.38,18.65,19.35,28577,16.81232229,17.2749486231,16.624241064,17.2482072166,28577,0.0,1.0
2017-01-23,18.81,19.17,18.7,19.17,15803,16.7668618989,17.0877587773,16.6688100749,17.0877587773,15803,0.0,1.0
2017-01-24,18.7,19.1085,18.581,18.96,19506,16.6688100749,17.0329388939,16.562735829,16.9005689316,19506,0.0,1.0
2017-01-25,18.99,18.99,18.7683,18.81,26377,16.9273103381,16.9273103381,16.7296913438,16.7668618989,26377,0.0,1.0
2017-01-26,18.75,19.0,18.7272,18.99,21328,16.7133790858,16.9362241403,16.6930556169,16.9273103381,21328,0.0,1.0
2017-01-27,18.7628,19.05,18.7501,18.9,15162,16.7247887526,16.9807931512,16.7134682238,16.8470861185,15162,0.0,1.0
2017-01-30,18.8021,18.89,18.7535,18.89,15099,16.7598199952,16.8381723163,16.7164989166,16.8381723163,15099,0.0,1.0
2017-01-31,18.5875,18.8566,18.5,18.8,18109,16.5685298004,16.8084002171,16.4905340313,16.7579480967,18109,0.0,1.0
2017-02-01,18.2,18.768,18.2,18.69,19489,16.223119966,16.7294239297,16.223119966,16.6598962728,19489,0.0,1.0
2017-02-02,17.9,18.38,17.75,18.17,27871,15.9557059006,16.3835684052,15.8219988679,16.1963785594,27871,0.0,1.0
2017-02-03,18.14,18.23,17.95,18.11,13447,16.1696371529,16.2498613725,16.0002749115,16.1428957464,13447,0.0,1.0
2017-02-06,17.97,18.18,17.95,18.15,16903,16.0181025159,16.2052923616,16.0002749115,16.1785509551,16903,0.0,1.0
2017-02-07,17.93,18.073,17.9,17.91,11457,15.9824473071,16.1099146783,15.9557059006,15.9646197028,11457,0.0,1.0
2017-02-08,18.0268,18.08,17.8679,17.91,35613,16.0687329122,16.1161543398,15.9270925956,15.9646197028,35613,0.0,1.0
2017-02-09,18.02,18.1083,17.784,17.9,30505,16.0626715268,16.1413804,15.8523057953,15.9557059006,30505,0.0,1.0
2017-02-10,18.05,18.05,17.7925,18.05,28105,16.0894129333,16.0894129333,15.8598825272,16.0894129333,28105,0.0,1.0
2017-02-13,17.95,18.15,17.8412,18.15,9605,16.0002749115,16.1785509551,15.9032927438,16.1785509551,9605,0.0,1.0
2017-02-14,17.78,17.9,17.5001,17.9,21646,15.8487402745,15.9557059006,15.5992429515,15.9557059006,21646,0.0,1.0
2017-02-15,17.9499,18.1376,17.78,18.0,11116,16.0001857735,16.1674978404,15.8487402745,16.0448439224,11116,0.0,1.0
2017-02-16,17.5987,17.95,17.5601,17.9,3999,15.6871330409,16.0002749115,15.6527257645,15.9557059006,3999,0.0,1.0
2017-02-17,17.75,17.869,17.55,17.76,15009,15.8219988679,15.9280731138,15.6437228243,15.8309126701,15009,0.0,1.0
2017-02-21,17.81,17.9223,17.655,17.91,13858,15.875481681,15.9755836795,15.7373177472,15.9646197028,13858,0.0,1.0
2017-02-22,18.0,18.06,17.68,17.9,17947,16.0448439224,16.0983267355,15.7596022527,15.9557059006,17947,0.0,1.0
2017-02-23,18.05,18.24,17.81,18.15,9860,16.0894129333,16.2587751747,15.875481681,16.1785509551,9860,0.0,1.0
