date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2015-02-02,88.28,88.855,85.77,87.51,1772273,83.5412476914,84.0853824605,81.1659811338,82.8125802613,1772273,0.0,1.0
2015-02-03,90.5,90.52,88.54,88.54,1998097,85.642081061,85.6610074878,83.7872912392,83.7872912392,1998097,0.0,1.0
2015-02-04,90.54,91.14,89.8,89.97,1483457,85.6799339145,86.2477267172,84.9796561247,85.1405307521,1483457,0.0,1.0
2015-02-05,91.71,91.8,90.2003,90.47,1084497,86.7871298796,86.8722988,85.3584685561,85.6136914209,1084497,0.0,1.0
2015-02-06,87.83,91.15,87.33,90.66,3880379,83.1154030894,86.2571899305,82.6422424206,85.7934924751,3880379,0.0,1.0
2015-02-09,87.84,88.91,86.97,87.67,2200591,83.1248663028,84.1374301341,82.301566739,82.9639916754,2200591,0.0,1.0
2015-02-10,89.14,89.27,88.11,88.5,1817522,84.3550840418,84.4781058157,83.380373064,83.7494383857,1817522,0.0,1.0
2015-02-11,88.79,89.78,88.55,89.37,1863113,84.0238715736,84.9607296979,83.7967544525,84.5727379494,1863113,0.0,1.0
2015-02-12,89.39,89.69,88.675,89.18,1969325,84.5916643762,84.8755607775,83.9150446197,84.3929368953,1969325,0.0,1.0
2015-02-13,90.25,90.28,89.45,89.63,2357931,85.4055007266,85.4338903667,84.6484436565,84.8187814972,2357931,0.0,1.0
2015-02-17,90.09,90.3,89.51,90.06,2884774,85.2540893126,85.4528167935,84.7052229367,85.2256996725,2884774,0.0,1.0
2015-02-18,89.76,90.29,89.06,90.0,2404361,84.9418032711,85.4433535801,84.2793783348,85.1689203922,2404361,0.0,1.0
2015-02-19,91.11,91.25,89.27,89.72,2810098,86.219337077,86.3518220643,84.4781058157,84.9039504176,2810098,0.0,1.0
2015-02-20,96.72,96.89,94.1,94.91,4828497,91.5281997815,91.6890744089,89.0488378767,89.8153581603,4828497,0.0,1.0
2015-02-23,96.34,96.72,95.93,96.53,1831166,91.1685976732,91.5281997815,90.7806059247,91.3483987273,1831166,0.0,1.0
2015-02-24,97.375,97.44,95.93,96.21,1399921,92.1480402577,92.2095511446,90.7806059247,91.0455758993,1399921,0.0,1.0
2015-02-25,97.64,98.09,97.02,97.17,1381311,92.3988154121,92.8246600141,91.8120961828,91.9540443834,1381311,0.0,1.0
2015-02-26,97.68,98.07,97.28,97.53,1061035,92.4366682657,92.8057335874,92.0581397306,92.294720065,1061035,0.0,1.0
2015-02-27,97.63,97.91,97.12,97.31,1298144,92.3893521988,92.6543221733,91.9067283165,92.0865293707,1298144,0.0,1.0
2015-03-02,98.68,98.69,97.24,97.56,997333,93.3829896033,93.3924528167,92.0202868771,92.3231097051,997333,0.0,1.0
2015-03-03,97.995,98.55,97.6,98.33,1311248,92.734759487,93.2599678294,92.3609625586,93.0517771352,1311248,0.0,1.0
2015-03-04,97.45,98.075,96.8824,97.41,1143994,92.219014358,92.810465194,91.6818823667,92.1811615045,1143994,0.0,1.0
2015-03-05,98.12,98.18,96.83,97.58,1121647,92.8530496542,92.9098289345,91.6322951286,92.3420361319,1121647,0.0,1.0
2015-03-06,97.41,98.26,97.13,97.64,1641745,92.1811615045,92.9855346415,91.9161915299,92.3988154121,1641745,0.0,1.0
2015-03-09,97.645,97.9,96.91,97.66,1215820,92.4035470188,92.6448589599,91.7080008356,92.4177418389,1215820,0.0,1.0
2015-03-10,95.39,96.945,95.38,96.66,1348117,90.2695924023,91.7411220825,90.260129189,91.4714205012,1348117,0.0,1.0
2015-03-11,95.18,96.12,95.0128,95.44,1060048,90.0708649214,90.9604069789,89.9126399938,90.3169084692,1060048,0.0,1.0
2015-03-12,96.675,96.74,95.24,95.4,793999,91.4856153213,91.5471262082,90.1276442017,90.2790556157,793999,0.0,1.0
2015-03-13,97.77,97.99,96.32,96.34,1736749,92.521837186,92.7300278803,91.1496712464,91.1685976732,1736749,0.0,1.0
2015-03-16,99.38,99.75,97.8,98.1,1451710,94.0454145397,94.3955534347,92.5502268262,92.8341232275,1451710,0.0,1.0
2015-03-17,98.98,99.38,98.41,98.75,1453763,93.6668860047,94.0454145397,93.1274828422,93.449232097,1453763,0.0,1.0
2015-03-18,99.93,100.66,98.44,98.65,1437711,94.5658912755,95.256705852,93.1558724823,93.3545999632,1437711,0.0,1.0
2015-03-19,99.78,100.38,99.78,99.81,1194984,94.4239430748,94.9917358774,94.4239430748,94.4523327149,1194984,0.0,1.0
2015-03-20,100.43,100.88,100.15,100.42,3435443,95.0390519443,95.4648965463,94.7740819698,95.0295887309,3435443,0.0,1.0
2015-03-23,100.13,100.86,100.06,100.86,1166508,94.755155543,95.4459701195,94.6889130494,95.4459701195,1166508,0.0,1.0
2015-03-24,99.7,100.72,99.69,100.02,1476237,94.3482373678,95.3134851322,94.3387741544,94.6510601959,1476237,0.0,1.0
2015-03-25,97.315,99.7,97.3,99.65,1437307,92.0912609774,94.3482373678,92.0770661573,94.3009213009,1437307,0.0,1.0
2015-03-26,96.945,97.6,96.32,96.74,788287,91.7411220825,92.3609625586,91.1496712464,91.5471262082,788287,0.0,1.0
2015-03-27,97.06,97.29,96.04,96.65,1023712,91.8499490363,92.067602944,90.8847012718,91.4619572878,1023712,0.0,1.0
2015-03-30,98.23,98.75,97.8,97.8,876053,92.9571450014,93.449232097,92.5502268262,92.5502268262,876053,0.0,1.0
2015-03-31,96.96,98.63,96.96,97.34,1871553,91.7553169025,93.3356735365,91.7553169025,92.1149190108,1871553,0.0,1.0
2015-04-01,97.675,97.7,96.25,96.82,1304072,92.431936659,92.4555946924,91.0834287528,91.6228319152,1304072,0.0,1.0
2015-04-02,98.5,98.71,97.35,97.69,1081713,93.2126517626,93.4113792435,92.1243822242,92.446131479,1081713,0.0,1.0
2015-04-06,97.85,98.78,96.92,97.45,1332496,92.5975428931,93.4776217371,91.717464049,92.219014358,1332496,0.0,1.0
2015-04-07,97.35,98.62,97.32,98.22,1231731,92.1243822242,93.3262103231,92.0959925841,92.947681788,1231731,0.0,1.0
2015-04-08,97.915,98.33,97.02,97.02,1305844,92.8956341144,93.2893601846,92.0465140355,92.0465140355,1305844,0.25,1.0
2015-04-09,97.925,98.4,97.29,97.88,806347,92.9051214896,93.3557718109,92.3026731654,92.8624283013,806347,0.0,1.0
2015-04-10,98.89,99.11,97.57,97.84,1666430,93.8206531949,94.0293754489,92.5683196706,92.8244788006,1666430,0.0,1.0
2015-04-13,97.89,99.175,97.89,98.0,1223048,92.8719156765,94.0910433876,92.8719156765,92.9762768035,1223048,0.0,1.0
2015-04-14,97.88,98.12,97.1,97.83,1824254,92.8624283013,93.0901253057,92.1224130369,92.8149914254,1824254,0.0,1.0
2015-04-15,97.96,98.66,97.82,98.4,955938,92.9383273028,93.6024435656,92.8055040502,93.3557718109,955938,0.0,1.0
2015-04-16,97.39,97.485,96.91,97.29,1465029,92.3975469173,92.4876769815,91.9421529084,92.3026731654,1465029,0.0,1.0
2015-04-17,95.58,96.71,95.33,96.51,1550777,90.680332009,91.7524054048,90.4431476294,91.5626579011,1550777,0.0,1.0
2015-04-20,96.65,97.16,96.052,96.4,1182649,91.6954811537,92.179337288,91.1281361177,91.4582967741,1182649,0.0,1.0
2015-04-21,97.24,98.03,96.7,97.31,1061669,92.2552362895,93.0047389291,91.7429180296,92.3216479158,1061669,0.0,1.0
2015-04-22,100.16,100.25,98.5,98.55,2701107,95.0255498433,95.1109362199,93.4506455627,93.4980824386,2701107,0.0,1.0
2015-04-23,101.445,101.95,99.56,99.78,1526902,96.2446775544,96.7237900012,94.4563073322,94.6650295863,1526902,0.0,1.0
2015-04-24,101.225,101.91,100.48,101.91,949305,96.0359553004,96.6858405005,95.3291458491,96.6858405005,949305,0.0,1.0
2015-04-27,101.6,101.94,101.0,101.46,958900,96.3917318698,96.714302626,95.8224893587,96.2589086172,958900,0.0,1.0
2015-04-28,101.65,102.17,100.83,101.12,885838,96.4391687457,96.9325122552,95.6612039806,95.9363378609,885838,0.0,1.0
2015-04-29,101.18,102.085,100.8,100.92,1076848,95.993262112,96.8518695662,95.632741855,95.7465903572,1076848,0.0,1.0
2015-04-30,100.33,101.72,99.81,100.7,1267840,95.1868352214,96.505580372,94.6934917118,95.5378681032,1267840,0.0,1.0
2015-05-01,100.59,100.86,100.05,100.33,1003627,95.4335069762,95.6896661061,94.9211887162,95.1868352214,1003627,0.0,1.0
2015-05-04,101.29,101.68,100.35,100.58,868653,96.097623239,96.4676308712,95.2058099717,95.424019601,868653,0.0,1.0
