date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2015-02-02,19.47,19.66,18.7501,19.63,339310,19.47,19.66,18.7501,19.63,339310,0.0,1.0
2015-02-03,18.73,19.98,18.13,19.5,735294,18.73,19.98,18.13,19.5,735294,0.0,1.0
2015-02-04,18.8,18.93,18.56,18.64,361866,18.8,18.93,18.56,18.64,361866,0.0,1.0
2015-02-05,18.8,19.0,18.37,18.86,339430,18.8,19.0,18.37,18.86,339430,0.0,1.0
2015-02-06,18.5,19.1,18.41,19.09,338644,18.5,19.1,18.41,19.09,338644,0.0,1.0
2015-02-09,18.47,18.77,18.06,18.34,387750,18.47,18.77,18.06,18.34,387750,0.0,1.0
2015-02-10,20.11,20.735,17.25,18.0,1993940,20.11,20.735,17.25,18.0,1993940,0.0,1.0
2015-02-11,20.4,20.79,19.92,20.21,911661,20.4,20.79,19.92,20.21,911661,0.0,1.0
2015-02-12,20.65,20.83,19.92,20.52,565029,20.65,20.83,19.92,20.52,565029,0.0,1.0
2015-02-13,19.17,20.99,19.1015,20.5,1149222,19.17,20.99,19.1015,20.5,1149222,0.0,1.0
2015-02-17,19.0,19.34,18.32,19.13,741388,19.0,19.34,18.32,19.13,741388,0.0,1.0
2015-02-18,18.65,18.9,18.37,18.86,388423,18.65,18.9,18.37,18.86,388423,0.0,1.0
2015-02-19,18.61,18.9799,18.46,18.75,319311,18.61,18.9799,18.46,18.75,319311,0.0,1.0
2015-02-20,18.55,18.61,18.21,18.61,450624,18.55,18.61,18.21,18.61,450624,0.0,1.0
2015-02-23,18.35,18.54,18.13,18.49,351014,18.35,18.54,18.13,18.49,351014,0.0,1.0
2015-02-24,18.45,18.6122,18.13,18.31,436916,18.45,18.6122,18.13,18.31,436916,0.0,1.0
2015-02-25,18.6,18.78,18.07,18.21,733419,18.6,18.78,18.07,18.21,733419,0.0,1.0
2015-02-26,18.62,18.95,18.56,18.75,510643,18.62,18.95,18.56,18.75,510643,0.0,1.0
2015-02-27,18.64,18.93,18.57,18.66,394958,18.64,18.93,18.57,18.66,394958,0.0,1.0
2015-03-02,19.88,19.95,18.7,18.7,721029,19.88,19.95,18.7,18.7,721029,0.0,1.0
2015-03-03,19.3,19.84,19.01,19.79,453897,19.3,19.84,19.01,19.79,453897,0.0,1.0
2015-03-04,19.01,19.24,18.8,19.18,374920,19.01,19.24,18.8,19.18,374920,0.0,1.0
2015-03-05,18.88,19.13,18.72,19.0,231751,18.88,19.13,18.72,19.0,231751,0.0,1.0
2015-03-06,18.67,19.1,18.53,18.73,341661,18.67,19.1,18.53,18.73,341661,0.0,1.0
2015-03-09,17.98,18.66,17.81,18.66,650009,17.98,18.66,17.81,18.66,650009,0.0,1.0
2015-03-10,17.45,17.95,17.36,17.86,294519,17.45,17.95,17.36,17.86,294519,0.0,1.0
2015-03-11,17.66,17.69,17.0472,17.5,416534,17.66,17.69,17.0472,17.5,416534,0.0,1.0
2015-03-12,17.5,17.81,17.4,17.56,266123,17.5,17.81,17.4,17.56,266123,0.0,1.0
2015-03-13,17.63,17.74,17.44,17.5,179659,17.63,17.74,17.44,17.5,179659,0.0,1.0
2015-03-16,17.49,17.9,17.19,17.68,352954,17.49,17.9,17.19,17.68,352954,0.0,1.0
2015-03-17,18.0,18.01,17.25,17.37,289132,18.0,18.01,17.25,17.37,289132,0.0,1.0
2015-03-18,18.7,18.76,17.97,18.2,610264,18.7,18.76,17.97,18.2,610264,0.0,1.0
2015-03-19,18.75,18.78,18.51,18.72,306583,18.75,18.78,18.51,18.72,306583,0.0,1.0
2015-03-20,19.07,19.1,18.75,18.77,790032,19.07,19.1,18.75,18.77,790032,0.0,1.0
2015-03-23,19.08,19.08,18.68,19.0,347870,19.08,19.08,18.68,19.0,347870,0.0,1.0
2015-03-24,18.85,19.25,18.69,18.85,408570,18.85,19.25,18.69,18.85,408570,0.0,1.0
2015-03-25,18.15,19.0,18.01,18.83,763711,18.15,19.0,18.01,18.83,763711,0.0,1.0
2015-03-26,18.16,18.25,17.55,17.95,414214,18.16,18.25,17.55,17.95,414214,0.0,1.0
2015-03-27,18.43,18.48,17.75,18.09,433275,18.43,18.48,17.75,18.09,433275,0.0,1.0
2015-03-30,18.22,18.63,17.92,18.46,657590,18.22,18.63,17.92,18.46,657590,0.0,1.0
2015-03-31,17.83,18.204,17.76,18.1,394215,17.83,18.204,17.76,18.1,394215,0.0,1.0
2015-04-01,17.77,17.93,17.27,17.76,302132,17.77,17.93,17.27,17.76,302132,0.0,1.0
