date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2016-12-06,5.9674,6.31,5.9282,6.31,6991,5.8396625767,6.1749289237,5.801301687,6.1749289237,6991,0.0,1.0
2016-12-07,6.4481,6.47,6.2,6.2,31118,6.3100727722,6.3315039835,6.06728357,6.06728357,31118,0.0,1.0
2016-12-08,6.37,6.4454,6.3526,6.4388,8391,6.2336445711,6.3074305681,6.2166170334,6.3009718469,8391,0.0,1.0
2016-12-09,6.0031,6.39,6.0031,6.39,129973,5.874598387,6.2532164536,5.874598387,6.2532164536,129973,0.0,1.0
2016-12-12,6.244,6.2635,6.09,6.09,24956,6.1103417115,6.1294242969,5.9596382163,5.9596382163,24956,0.0,1.0
2016-12-13,6.0241,6.1112,5.9758,6.1112,17032,5.8951488636,5.9803844118,5.8478827674,5.9803844118,17032,0.0,1.0
2016-12-14,5.7,6.2,5.7,6.0958,51013,5.5779865079,6.06728357,5.5779865079,5.9653140623,51013,0.0,1.0
2016-12-15,5.21,5.6723,5.12,5.6075,40902,5.0984753871,5.5508794507,5.0104019159,5.4874665514,40902,0.0,1.0
2016-12-16,5.0,5.26,4.9558,5.2315,82224,4.892970621,5.1474050933,4.8497167607,5.1195151607,82224,0.0,1.0
2016-12-19,4.93,5.1353,4.91,5.0865,113185,4.8244690323,5.025374406,4.8048971498,4.9776190127,113185,0.0,1.0
2016-12-20,4.8495,4.89,4.7694,4.8856,205403,4.7456922053,4.7853252673,4.6673068159,4.7810194532,205403,0.0,1.0
2016-12-21,4.85,4.9623,4.749,4.7982,94107,4.7461815023,4.8560776225,4.6473434958,4.6954903267,94107,0.0,1.0
2016-12-22,4.78,4.845,4.7365,4.8438,92463,4.6776799136,4.7412885317,4.6351110692,4.7401142188,92463,0.0,1.0
2016-12-23,4.92,4.95,4.78,4.8197,56300,4.814683091,4.8440409148,4.6776799136,4.7165301004,56300,0.0,1.0
2016-12-27,4.9,5.06,4.75,4.75,47761,4.7951112086,4.9516862684,4.6483220899,4.6483220899,47761,0.0,1.0
2016-12-28,5.086,5.1,4.889,4.91,85466,4.9771297157,4.9908300334,4.7843466732,4.8048971498,85466,0.0,1.0
2016-12-29,5.4509,5.4509,5.0618,5.0932,91483,5.3342187116,5.3342187116,4.9534477378,4.9841755933,91483,0.0,1.0
2016-12-30,5.27,5.5698,5.2053,5.4,49245,5.1571910345,5.4505735529,5.0938759947,5.2844082707,49245,0.0,1.0
2017-01-03,5.37,5.39,5.24,5.24,21749,5.2550504469,5.2746223294,5.1278332108,5.1278332108,21749,0.0,1.0
2017-01-04,5.5452,5.59,5.4002,5.4809,46627,5.4265001375,5.4703411542,5.2846039895,5.3635765353,46627,0.0,1.0
2017-01-05,5.8425,5.92,5.6,5.6,141344,5.7174361706,5.7932772152,5.4801270955,5.4801270955,141344,0.0,1.0
2017-01-06,5.69,5.9,5.52,5.9,51150,5.5682005667,5.7737053327,5.4018395656,5.7737053327,51150,0.0,1.0
2017-01-09,5.7766,5.946,5.68,5.814,112832,5.6529468178,5.8187206625,5.5584146254,5.6895462381,112832,0.0,1.0
2017-01-10,5.93,5.9765,5.8,5.8,53994,5.8030631565,5.8485677832,5.6758459203,5.6758459203,53994,0.0,1.0
2017-01-11,6.1269,6.1269,5.88,5.93,107565,5.9957483395,5.9957483395,5.7541334503,5.8030631565,107565,0.0,1.0
2017-01-12,6.036,6.36,6.0,6.36,105594,5.9067941336,6.2238586299,5.8715647452,6.2238586299,105594,0.0,1.0
2017-01-13,6.1373,6.14,5.9894,6.0,48428,6.0059257184,6.0085679226,5.8611916475,5.8715647452,48428,0.0,1.0
2017-01-17,6.6,6.6578,6.27,6.4,122687,6.4587212197,6.5152839601,6.1357851587,6.2630023948,122687,0.0,1.0
2017-01-18,6.3,6.6324,6.29,6.6192,66573,6.1651429824,6.4904276693,6.1553570412,6.4775102269,66573,0.0,1.0
2017-01-19,6.29,6.3054,6.11,6.27,57101,6.1553570412,6.1704273907,5.9792100988,6.1357851587,57101,0.0,1.0
2017-01-20,6.4815,6.5526,6.21,6.2976,61669,6.342757816,6.4123358582,6.0770695112,6.1627943565,61669,0.0,1.0
2017-01-23,6.7296,6.7611,6.4797,6.6077,93367,6.5855470182,6.6163727331,6.3409963465,6.4662563944,93367,0.0,1.0
2017-01-24,6.652,6.8282,6.6014,6.7288,32788,6.5096081141,6.6820363988,6.4600912515,6.5847641429,32788,0.0,1.0
2017-01-25,6.7148,6.7374,6.4949,6.5624,73530,6.5710638251,6.5931800523,6.3558709772,6.4219260806,73530,0.0,1.0
