date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2015-02-02,68.41,68.49,66.165,67.58,5694979,61.6963191898,61.7684680793,59.6716409763,60.9477744605,5694979,0.0,1.0
2015-02-03,69.63,69.66,68.35,69.08,5101402,62.7965897556,62.8236455892,61.6422075226,62.3005661399,5101402,0.0,1.0
2015-02-04,70.67,71.32,69.43,69.51,6143380,63.73452532,64.3207350477,62.6162175317,62.6883664213,6143380,0.0,1.0
2015-02-05,71.47,71.5,70.73,70.81,4924508,64.4560142156,64.4830700492,63.7886369872,63.8607858767,4924508,0.0,1.0
2015-02-06,71.9,72.25,71.27,71.53,4836284,64.8438144971,65.1594658889,64.2756419917,64.5101258828,4836284,0.0,1.0
2015-02-09,70.95,71.83,70.765,71.45,2800884,63.9870464335,64.7806842187,63.8202021263,64.4379769933,2800884,0.0,1.0
2015-02-10,71.76,71.89,71.04,71.1,4090539,64.7175539403,64.8347958859,64.0682139342,64.1223256014,4090539,0.0,1.0
2015-02-11,71.43,71.87,71.12,71.59,3049367,64.4199397709,64.8167586635,64.1403628238,64.56423755,3049367,0.0,1.0
2015-02-12,72.19,72.24,71.44,71.58,3437045,65.1053542217,65.1504472777,64.4289583821,64.5552189388,3437045,0.0,1.0
2015-02-13,72.05,72.33,71.84,72.06,2560275,64.979093665,65.2316147785,64.7897028299,64.9881122762,2560275,0.0,1.0
2015-02-17,72.47,72.5899,71.495,71.79,3690765,65.3578753352,65.4660084835,64.4785607436,64.7446097739,3690765,0.0,1.0
2015-02-18,72.52,72.75,72.12,72.23,3765331,65.4029683912,65.6103964487,65.0422239434,65.1414286665,3765331,0.0,1.0
2015-02-19,72.29,72.85,72.09,72.54,3022934,65.1955403337,65.7005825607,65.0151681098,65.4210056136,3022934,0.0,1.0
2015-02-20,73.56,73.57,71.75,72.13,4285844,66.3409039555,66.3499225667,64.7085353291,65.0512425546,4285844,0.0,1.0
2015-02-23,73.73,74.34,73.27,73.93,4900179,66.4942203459,67.0443556288,66.0793642309,66.6745925698,4900179,0.0,1.0
2015-02-24,74.65,75.82,73.93,75.61,9780192,67.3239325759,68.3791100858,66.6745925698,68.1897192507,9780192,0.0,1.0
