date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2015-02-02,15.4,15.51,14.9,15.47,8577678,14.147009266,14.2480593322,13.6876907833,14.2113138536,8577678,0.0,1.0
2015-02-03,15.94,15.975,15.76,15.81,9321937,14.6430732273,14.6752255211,14.4777185735,14.5236504218,9321937,0.0,1.0
2015-02-04,16.13,16.19,15.71,15.73,8467561,14.8176142507,14.8727324686,14.4317867253,14.4501594646,8467561,0.0,1.0
2015-02-05,16.18,16.19,16.01,16.15,6680946,14.863546099,14.8727324686,14.7073778148,14.83598699,6680946,0.0,1.0
2015-02-06,16.23,16.4,16.18,16.2,7267825,14.9094779472,15.0656462313,14.863546099,14.8819188383,7267825,0.0,1.0
2015-02-09,16.07,16.18,15.97,16.18,4412357,14.7624960328,14.863546099,14.6706323362,14.863546099,4412357,0.0,1.0
2015-02-10,16.35,16.42,16.11,16.2,7779633,15.0197143831,15.0840189706,14.7992415114,14.8819188383,7779633,0.0,1.0
2015-02-11,16.36,16.46,16.11,16.39,7328146,15.0289007527,15.1207644492,14.7992415114,15.0564598617,7328146,0.0,1.0
2015-02-12,16.51,16.555,16.2001,16.48,6185342,15.1666962975,15.2080349609,14.882010702,15.1391371886,6185342,0.0,1.0
2015-02-13,16.59,16.75,16.46,16.52,7985033,15.2401872547,15.3871691692,15.1207644492,15.1758826672,7985033,0.0,1.0
2015-02-17,16.34,16.56,16.2,16.52,10002723,15.0105280134,15.2126281458,14.8819188383,15.1758826672,10002723,0.0,1.0
2015-02-18,16.23,16.4,16.17,16.35,9004192,14.9094779472,15.0656462313,14.8543597293,15.0197143831,9004192,0.0,1.0
2015-02-19,16.4,16.45,16.19,16.24,8223567,15.0656462313,15.1115780796,14.8727324686,14.9186643169,8223567,0.0,1.0
2015-02-20,16.29,16.78,15.99,16.31,18541495,14.9645961651,15.4147282781,14.6890050755,14.9829689044,18541495,0.0,1.0
2015-02-23,16.09,16.26,15.99,16.21,5147394,14.7808687721,14.9370370562,14.6890050755,14.8911052079,5147394,0.0,1.0
2015-02-24,16.18,16.24,16.01,16.06,7421998,14.863546099,14.9186643169,14.7073778148,14.7533096631,7421998,0.0,1.0
2015-02-25,16.34,16.44,15.94,15.94,11431816,15.0105280134,15.1023917099,14.6430732273,14.6430732273,11431816,0.0,1.0
2015-02-26,16.1,16.41,16.03,16.39,6481966,14.7900551417,15.074832601,14.7257505542,15.0564598617,6481966,0.0,1.0
2015-02-27,16.12,16.26,16.065,16.1,9878774,14.808427881,14.9370370562,14.7579028479,14.7900551417,9878774,0.0,1.0
2015-03-02,16.41,16.47,16.17,16.3,8150925,15.074832601,15.1299508189,14.8543597293,14.9737825348,8150925,0.0,1.0
2015-03-03,16.0,16.35,15.96,16.2,8055803,14.6981914452,15.0197143831,14.6614459666,14.8819188383,8055803,0.0,1.0
2015-03-04,16.21,16.23,15.811,15.91,5227087,14.8911052079,14.9094779472,14.5245690587,14.6155141183,5227087,0.0,1.0
2015-03-05,16.51,16.51,16.11,16.28,7847515,15.1666962975,15.1666962975,14.7992415114,14.9554097955,7847515,0.0,1.0
2015-03-06,16.56,16.74,16.49,16.71,10584207,15.2126281458,15.3779827995,15.1483235582,15.3504236906,10584207,0.0,1.0
2015-03-09,16.5,16.66,16.42,16.5,6201592,15.1575099279,15.3044918423,15.0840189706,15.1575099279,6201592,0.0,1.0
2015-03-10,16.315,16.54,16.3,16.4,5585783,15.0426803072,15.2501337592,15.0288500771,15.1210516113,5585783,0.06,1.0
2015-03-11,16.19,16.39,16.14,16.35,5481042,14.9274283894,15.1118314579,14.8813276223,15.0749508442,5481042,0.0,1.0
2015-03-12,16.07,16.21,15.8,15.8,5129908,14.8167865484,14.9458686963,14.567842406,14.567842406,5129908,0.0,1.0
2015-03-13,16.06,16.15,15.9128,16.02,4090017,14.8075663949,14.8905477757,14.6718457366,14.7706857813,4090017,0.0,1.0
2015-03-16,15.99,16.22,15.96,16.06,5374076,14.743025321,14.9550888497,14.7153648607,14.8075663949,5374076,0.0,1.0
2015-03-17,15.73,16.04,15.66,16.01,7294434,14.503301332,14.7891260881,14.4387602581,14.7614656278,7294434,0.0,1.0
2015-03-18,15.83,15.92,15.53,15.76,4311975,14.5955028662,14.678484247,14.3188982636,14.5309617923,4311975,0.0,1.0
2015-03-19,15.8,16.0,15.7532,15.78,3703034,14.567842406,14.7522454744,14.524692088,14.5494020991,3703034,0.0,1.0
2015-03-20,15.715,15.99,15.695,15.92,7464342,14.4894711019,14.743025321,14.4710307951,14.678484247,7464342,0.0,1.0
2015-03-23,15.58,15.79,15.52,15.7,7095072,14.3649990307,14.5586222526,14.3096781102,14.4756408718,7095072,0.0,1.0
2015-03-24,15.47,15.63,15.39,15.59,4594644,14.2635773431,14.4110997978,14.1898161157,14.3742191841,4594644,0.0,1.0
2015-03-25,14.87,15.56,14.85,15.56,11158502,13.7103681378,14.3465587239,13.6919278309,14.3465587239,11158502,0.0,1.0
2015-03-26,14.96,15.11,14.53,14.7,7742001,13.7933495186,13.9316518199,13.3968829215,13.5536255296,7742001,0.0,1.0
2015-03-27,15.24,15.285,14.79,14.95,7632273,14.0515138144,14.0930045048,13.6366069104,13.7841293652,7632273,0.0,1.0
2015-03-30,15.18,15.26,15.005,15.25,4602277,13.9961928939,14.0699541212,13.834840209,14.0607339678,4602277,0.0,1.0
2015-03-31,14.7,15.17,14.65,15.17,8957917,13.5536255296,13.9869727404,13.5075247625,13.9869727404,8957917,0.0,1.0
2015-04-01,14.97,14.99,14.66,14.66,7544921,13.802569672,13.8210099788,13.5167449159,13.5167449159,7544921,0.0,1.0
2015-04-02,14.77,15.0,14.76,14.89,4849620,13.6181666036,13.8302301323,13.6089464501,13.7288084446,4849620,0.0,1.0
2015-04-06,14.93,15.04,14.37,14.37,6616667,13.7656890583,13.8671107459,13.2493604667,13.2493604667,6616667,0.0,1.0
2015-04-07,15.06,15.3,14.93,15.07,5803579,13.8855510528,14.1068347349,13.7656890583,13.8947712062,5803579,0.0,1.0
2015-04-08,15.0,15.15,14.87,15.02,5439672,13.8302301323,13.9685324336,13.7103681378,13.8486704391,5439672,0.0,1.0
2015-04-09,15.38,15.4,14.98,15.1,6092508,14.1805959623,14.1990362691,13.8117898254,13.9224316665,6092508,0.0,1.0
2015-04-10,15.27,15.38,15.215,15.25,2623435,14.0791742746,14.1805959623,14.0284634308,14.0607339678,2623435,0.0,1.0
2015-04-13,15.26,15.39,15.15,15.24,4363227,14.0699541212,14.1898161157,13.9685324336,14.0515138144,4363227,0.0,1.0
2015-04-14,15.15,15.27,15.07,15.22,5355045,13.9685324336,14.0791742746,13.8947712062,14.0330735075,5355045,0.0,1.0
2015-04-15,15.36,15.38,15.13,15.25,4338533,14.1621556554,14.1805959623,13.9500921267,14.0607339678,4338533,0.0,1.0
2015-04-16,15.33,15.47,15.27,15.39,4672006,14.1344951952,14.2635773431,14.0791742746,14.1898161157,4672006,0.0,1.0
2015-04-17,15.01,15.278,14.89,15.2,4272993,13.8394502857,14.0865503974,13.7288084446,14.0146332007,4272993,0.0,1.0
2015-04-20,15.02,15.13,14.92,15.0,3837732,13.8486704391,13.9500921267,13.7564689049,13.8302301323,3837732,0.0,1.0
2015-04-21,14.94,15.16,14.9,15.13,3384350,13.7749092117,13.977752587,13.738028598,13.9500921267,3384350,0.0,1.0
