date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2015-02-02,41.28,41.37,40.23,40.59,50352532,36.672676588,36.7526315515,35.7398686806,36.0596885346,50352532,0.0,1.0
2015-02-03,41.6,41.93,41.045,41.63,52082448,36.9569609026,37.2501291021,36.4639052944,36.9836125571,52082448,0.0,1.0
2015-02-04,41.84,42.21,41.36,41.94,41614812,37.1701741386,37.4988778774,36.7437476667,37.2590129869,41614812,0.0,1.0
2015-02-05,42.45,42.64,41.855,42.22,36548168,37.7120911134,37.8808849252,37.1834999659,37.5077617622,36548168,0.0,1.0
2015-02-06,42.41,42.79,42.15,42.68,34616554,37.6765555741,38.0141431977,37.4455745684,37.9164204645,34616554,0.0,1.0
2015-02-09,42.36,42.74,42.21,42.24,31381061,37.6321361499,37.9697237735,37.4988778774,37.5255295319,31381061,0.0,1.0
2015-02-10,42.6,42.77,42.18,42.74,29670676,37.8453493859,37.996375428,37.4722262229,37.9697237735,29670676,0.0,1.0
2015-02-11,42.38,42.65,42.21,42.65,38262509,37.6499039196,37.88976881,37.4988778774,37.88976881,38262509,0.0,1.0
2015-02-12,43.09,43.09,42.51,42.66,33268831,38.2806597427,38.2806597427,37.7653944224,37.8986526949,33268831,0.0,1.0
2015-02-13,43.87,43.87,43.15,43.38,40264887,38.9736027596,38.9736027596,38.3339630516,38.5382924028,40264887,0.0,1.0
2015-02-17,43.58,44.0,43.19,43.97,33695749,38.9913705292,39.3671478496,38.642434446,39.3403066125,33695749,0.31,1.0
2015-02-18,43.53,43.7,43.39,43.63,27111657,38.946635134,39.0987354779,38.8213760272,39.0361059245,27111657,0.0,1.0
2015-02-19,43.5,43.5263,43.05,43.18,27603420,38.9197938968,38.9433247147,38.5171753392,38.633487367,27603420,0.0,1.0
2015-02-20,43.855,43.88,43.29,43.51,29721133,39.2374152033,39.2597829009,38.7319052366,38.9287409758,29721133,0.0,1.0
2015-02-23,44.15,44.19,43.65,43.7,32518754,39.5013540355,39.5371423517,39.0540000826,39.0987354779,32518754,0.0,1.0
2015-02-24,44.09,44.3,43.92,44.15,25271747,39.4476715611,39.6355602213,39.2955712172,39.5013540355,25271747,0.0,1.0
2015-02-25,43.99,44.09,43.8,43.95,29759820,39.3582007706,39.4476715611,39.1882062685,39.3224124543,29759820,0.0,1.0
2015-02-26,44.055,44.23,43.89,43.99,28957329,39.4163567844,39.5729306679,39.26872998,39.3582007706,28957329,0.0,1.0
2015-02-27,43.85,44.2,43.66,44.13,33807740,39.2329416638,39.5460894308,39.0629471617,39.4834598774,33807740,0.0,1.0
2015-03-02,43.88,44.19,43.55,43.67,31924049,39.2597829009,39.5371423517,38.9645292921,39.0718942408,31924049,0.0,1.0
2015-03-03,43.28,43.825,43.09,43.56,31748648,38.7229581575,39.2105739661,38.5529636555,38.9734763711,31748648,0.0,1.0
2015-03-04,43.055,43.21,42.88,43.01,25748692,38.5216488788,38.6603286041,38.3650749953,38.481387023,25748692,0.0,1.0
2015-03-05,43.11,43.24,42.82,43.07,23193541,38.5708578136,38.6871698413,38.3113925209,38.5350694974,23193541,0.0,1.0
2015-03-06,42.36,43.11,42.15,43.0,36248785,37.8998268843,38.5708578136,37.7119382241,38.472439944,36248785,0.0,1.0
2015-03-09,42.85,43.125,42.19,42.19,32107957,38.3382337581,38.5842784322,37.7477265404,37.7477265404,32107957,0.0,1.0
2015-03-10,42.03,42.71,42.03,42.35,39159730,37.6045732755,38.2129746513,37.6045732755,37.8908798053,39159730,0.0,1.0
