date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2015-02-02,46.81,46.85,45.61,45.61,1346522,41.8942439058,41.9300433025,40.820262007,40.820262007,1346522,0.0,1.0
2015-02-03,47.05,47.2722,46.76,46.98,1026472,42.1090402856,42.3079059339,41.8494946601,42.0463913415,1026472,0.0,1.0
2015-02-04,47.6,47.87,46.726,46.92,1124044,42.6012819893,42.8429279165,41.8190651729,41.9926922466,1124044,0.0,1.0
2015-02-05,48.3,48.905,47.694,47.78,841806,43.2277714303,43.7692373043,42.6854105714,42.7623792741,841806,0.0,1.0
2015-02-06,49.235,49.24,48.41,48.63,1277275,44.0645823265,44.0690572511,43.326219771,43.5231164525,1277275,0.0,1.0
2015-02-09,48.49,49.13,48.38,49.0,822142,43.3978185643,43.9706089104,43.2993702236,43.8542608713,822142,0.0,1.0
2015-02-10,48.55,49.05,48.07,48.71,888421,43.4515176592,43.8990101171,43.0219248997,43.5947152458,888421,0.0,1.0
2015-02-11,49.18,49.37,48.41,48.53,985661,44.0153581562,44.1854052901,43.326219771,43.4336179609,985661,0.0,1.0
2015-02-12,49.75,50.0,49.22,49.29,819228,44.5254995581,44.7492457871,44.0511575528,44.1138064969,819228,0.0,1.0
2015-02-13,49.48,49.98,49.34,49.84,811207,44.2838536309,44.7313460887,44.1585557427,44.6060482005,811207,0.0,1.0
2015-02-17,49.92,49.93,49.26,49.51,854304,44.6776469938,44.686596843,44.0869569494,44.3107031783,854304,0.0,1.0
2015-02-18,49.91,50.195,49.623,49.68,821561,44.6686971446,44.9237678456,44.4118364738,44.462850614,821561,0.0,1.0
2015-02-19,50.3,50.39,49.62,49.62,886853,45.0177412618,45.0982899042,44.4091515191,44.4091515191,886853,0.0,1.0
2015-02-20,50.94,50.96,49.82,50.25,740582,45.5905316079,45.6084313062,44.5881485022,44.972992016,740582,0.0,1.0
2015-02-23,50.79,50.94,50.42,50.92,711921,45.4562838705,45.5905316079,45.1251394517,45.5726319095,711921,0.0,1.0
2015-02-24,50.65,51.22,50.41,50.78,888213,45.3309859823,45.8411273843,45.1161896025,45.4473340213,888213,0.0,1.0
2015-02-25,50.79,50.96,50.495,50.65,581671,45.4562838705,45.6084313062,45.1922633204,45.3309859823,581671,0.0,1.0
2015-02-26,50.64,50.995,50.31,50.76,949064,45.3220361331,45.6397557782,45.0266911109,45.429434323,949064,0.0,1.0
2015-02-27,50.16,50.565,50.09,50.51,724642,44.8924433736,45.2549122645,44.8297944295,45.2056880941,724642,0.0,1.0
2015-03-02,50.92,50.93,50.29,50.37,762929,45.5726319095,45.5815817587,45.0087914126,45.0803902059,762929,0.0,1.0
2015-03-03,50.595,51.13,50.21,50.9,646853,45.2817618119,45.7605787418,44.9371926194,45.5547322112,646853,0.0,1.0
2015-03-04,51.015,51.1,50.24,50.51,987526,45.6576554765,45.7337291944,44.9640421668,45.2056880941,987526,0.0,1.0
2015-03-05,50.78,51.04,50.4,51.04,635775,45.4473340213,45.6800300994,45.1072397534,45.6800300994,635775,0.0,1.0
2015-03-06,50.19,51.1,50.12,50.66,742039,44.9192929211,45.7337291944,44.8566439769,45.3399358314,742039,0.0,1.0
2015-03-09,50.7,50.85,50.01,50.26,619147,45.3757352281,45.5099829654,44.7581956362,44.9819418652,619147,0.0,1.0
2015-03-10,49.64,50.3851,49.64,50.31,918244,44.4270512174,45.0939044781,44.4270512174,45.0266911109,918244,0.0,1.0
2015-03-11,49.34,49.79,49.24,49.6,1001244,44.29280348,44.6967710837,44.2030329014,44.5262069844,1001244,0.15,1.0
2015-03-12,49.985,50.03,49.45,49.45,792541,44.871823712,44.9122204724,44.3915511165,44.3915511165,792541,0.0,1.0
2015-03-13,50.25,50.33,49.5,50.06,865889,45.1097157453,45.1815322081,44.4364364058,44.9391516459,865889,0.0,1.0
2015-03-16,50.805,51.181,50.62,50.62,562540,45.6079424565,45.945479832,45.4418668861,45.4418668861,562540,0.0,1.0
2015-03-17,50.94,51.0,50.33,50.55,546863,45.7291327376,45.7829950848,45.1815322081,45.3790274811,546863,0.0,1.0
2015-03-18,49.52,50.72,49.2,50.63,1747684,44.4543905215,45.5316374647,44.16712467,45.4508439439,1747684,0.0,1.0
2015-03-19,50.41,50.61,49.26,49.35,1280970,45.253348671,45.4328898282,44.2209870172,44.3017805379,1280970,0.0,1.0
2015-03-20,50.44,50.85,50.25,50.61,1393795,45.2802798446,45.6483392169,45.1097157453,45.4328898282,1393795,0.0,1.0
2015-03-23,50.33,50.62,50.05,50.4,862484,45.1815322081,45.4418668861,44.9301745881,45.2443716132,862484,0.0,1.0
2015-03-24,50.17,50.42,49.76,50.21,986737,45.0378992824,45.2623257289,44.6698399101,45.0738075138,986737,0.0,1.0
2015-03-25,49.16,50.24,49.07,50.11,2018074,44.1312164386,45.1007386874,44.0504229178,44.9840369352,2018074,0.0,1.0
2015-03-26,49.55,49.69,48.91,49.01,999491,44.4813216951,44.6070005051,43.9067899921,43.9965605707,999491,0.0,1.0
2015-03-27,49.7,49.77,49.19,49.38,725529,44.615977563,44.678816968,44.1581476121,44.3287117115,725529,0.0,1.0
2015-03-30,50.7,50.81,49.775,49.83,619143,45.513683349,45.6124309854,44.6833054969,44.7326793152,619143,0.0,1.0
2015-03-31,50.94,51.01,50.31,50.63,1193273,45.7291327376,45.7919721426,45.1635780924,45.4508439439,1193273,0.0,1.0
2015-04-01,50.455,50.93,50.26,50.64,884076,45.2937454314,45.7201556797,45.1186928031,45.4598210018,884076,0.0,1.0
2015-04-02,50.11,50.57,49.95,50.41,760651,44.9840369352,45.3969815968,44.8404040095,45.253348671,760651,0.0,1.0
2015-04-06,50.58,50.625,49.21,49.62,809486,45.4059586546,45.446355415,44.1761017279,44.5441611001,809486,0.0,1.0
2015-04-07,50.01,50.88,50.01,50.68,517495,44.8942663566,45.6752703904,44.8942663566,45.4957292332,517495,0.0,1.0
2015-04-08,49.92,50.395,49.76,49.97,917389,44.8134728359,45.2398830842,44.6698399101,44.8583581252,917389,0.0,1.0
2015-04-09,50.14,50.155,49.59,49.86,420212,45.0109681088,45.0244336956,44.5172299265,44.7596104887,420212,0.0,1.0
2015-04-10,50.58,50.59,49.974,50.11,668358,45.4059586546,45.4149357125,44.8619489483,44.9840369352,668358,0.0,1.0
2015-04-13,50.32,50.67,50.27,50.47,744130,45.1725551503,45.4867521754,45.127669861,45.3072110182,744130,0.0,1.0
2015-04-14,49.705,50.29,49.58,50.22,1230926,44.6204660919,45.1456239767,44.5082528687,45.0827845717,1230926,0.0,1.0
2015-04-15,49.51,49.93,49.2955,49.7,1010213,44.4454134636,44.8224498938,44.2528555726,44.615977563,1010213,0.0,1.0
2015-04-16,49.8,49.885,49.17,49.43,778298,44.7057481416,44.7820531334,44.1401934964,44.3735970008,778298,0.0,1.0
2015-04-17,48.675,49.72,48.46,49.58,1591255,43.6958291324,44.6339316787,43.5028223884,44.5082528687,1591255,0.0,1.0
2015-04-20,48.34,48.94,48.28,48.68,1426963,43.3950976941,43.9337211656,43.3412353469,43.7003176613,1426963,0.0,1.0
2015-04-21,48.72,48.97,48.34,48.38,1743396,43.7362258927,43.9606523392,43.3950976941,43.4310059255,1743396,0.0,1.0
2015-04-22,48.84,49.23,48.64,48.75,2193227,43.843950587,44.1940558436,43.6644094298,43.7631570663,2193227,0.0,1.0
2015-04-23,49.76,50.08,48.64,48.72,1417047,44.6698399101,44.9571057617,43.6644094298,43.7362258927,1417047,0.0,1.0
2015-04-24,48.57,49.84,48.25,49.35,2037960,43.6015700248,44.741656373,43.3143041733,44.3017805379,2037960,0.0,1.0
2015-04-27,48.26,48.76,48.11,48.63,1422123,43.3232812312,43.7721341242,43.1886253633,43.655432372,1422123,0.0,1.0
2015-04-28,49.32,49.44,48.14,48.29,990239,44.2748493643,44.3825740586,43.2155565369,43.3502124048,990239,0.0,1.0
2015-04-29,48.96,49.745,48.767,49.34,1024210,43.9516752814,44.6563743234,43.7784180647,44.29280348,1024210,0.0,1.0
2015-04-30,48.63,49.25,48.46,48.89,647262,43.655432372,44.2120099593,43.5028223884,43.8888358763,647262,0.0,1.0
2015-05-01,49.05,49.17,48.62,48.84,640543,44.0324688021,44.1401934964,43.6464553141,43.843950587,640543,0.0,1.0
2015-05-04,49.62,49.71,49.12,49.22,712633,44.5441611001,44.6249546208,44.0953082071,44.1850787857,712633,0.0,1.0
2015-05-05,49.43,49.93,49.21,49.54,1028769,44.3735970008,44.8224498938,44.1761017279,44.4723446372,1028769,0.0,1.0
2015-05-06,48.97,49.99,48.735,49.43,1056513,43.9606523392,44.8763122409,43.7496914795,44.3735970008,1056513,0.0,1.0
2015-05-07,49.89,49.92,48.91,48.93,751245,44.7865416623,44.8134728359,43.9067899921,43.9247441078,751245,0.0,1.0
2015-05-08,50.55,50.79,50.2101,50.28,995695,45.3790274811,45.5944768697,45.0738972844,45.1366469188,995695,0.0,1.0
2015-05-11,50.805,51.16,50.39,50.63,951084,45.6079424565,45.9266280105,45.2353945553,45.4508439439,951084,0.0,1.0
2015-05-12,50.5,50.87,50.28,50.66,770866,45.3341421918,45.6662933326,45.1366469188,45.4777751175,770866,0.0,1.0
2015-05-13,50.75,50.93,50.295,50.49,572811,45.5585686383,45.7201556797,45.1501125056,45.3251651339,572811,0.0,1.0
2015-05-14,51.45,51.48,50.83,51.08,541906,46.1869626884,46.213893862,45.6303851011,45.8548115476,541906,0.0,1.0
2015-05-15,51.19,51.77,51.1,51.62,808614,45.9535591841,46.47422854,45.8727656633,46.3395726721,808614,0.0,1.0
2015-05-18,51.78,51.835,51.2,51.23,552534,46.4832055978,46.532579416,45.9625362419,45.9894674155,552534,0.0,1.0
2015-05-19,52.27,52.42,52.0,52.38,840946,46.9230814329,47.0577373008,46.6807008707,47.0218290694,840946,0.0,1.0
2015-05-20,51.83,52.23,51.63,52.2,770558,46.5280908871,46.8871732015,46.3485497299,46.8602420279,770558,0.0,1.0
2015-05-21,52.27,52.41,51.65,51.72,822205,46.9230814329,47.048760243,46.3665038456,46.4293432507,822205,0.0,1.0
2015-05-22,52.62,52.94,52.11,52.14,837499,47.237278458,47.5245443095,46.7794485072,46.8063796808,837499,0.0,1.0
2015-05-26,51.93,52.57,51.87,52.5,995548,46.6178614657,47.1923931687,46.5639991185,47.1295537637,995548,0.0,1.0
2015-05-27,52.06,52.245,51.69,51.99,755199,46.7345632179,46.9006387883,46.4024120771,46.6717238129,755199,0.0,1.0
2015-05-28,52.34,52.45,51.67,51.73,497750,46.985920838,47.0846684744,46.3844579614,46.4383203085,497750,0.0,1.0
2015-05-29,51.75,52.43,51.74,52.29,1060276,46.4562744242,47.0667143587,46.4472973664,46.9410355487,1060276,0.0,1.0
2015-06-01,51.49,52.16,51.45,52.05,1287087,46.2228709199,46.8243337965,46.1869626884,46.72558616,1287087,0.0,1.0
2015-06-02,51.6,51.615,51.1913,51.53,724126,46.3216185563,46.3350841431,45.9547262016,46.2587791513,724126,0.0,1.0
