date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2015-02-02,441.065,444.0,433.69,439.9,1855827,63.009222705,63.428508,61.95565233,62.8427943,12990801,0.0,1.0
2015-02-03,456.92,458.27,439.11,443.24,2348559,65.27422044,65.46707739,62.72993727,63.31993668,16439929,0.0,1.0
2015-02-04,448.71,456.2199,447.225,455.29,1778706,64.10136447,65.1742062543,63.889221825,65.04136353,12450954,0.0,1.0
2015-02-05,448.91,455.97,445.66,451.79,2035532,64.12993587,65.13850629,63.66565062,64.54136403,14248738,0.0,1.0
2015-02-06,444.36,451.0,442.23,449.75,1271180,63.47993652,64.428507,63.17565111,64.24993575,8898268,0.0,1.0
2015-02-09,443.065,446.5,438.46,442.39,1168476,63.294936705,63.7856505,62.63708022,63.19850823,8179340,0.0,1.0
2015-02-10,453.95,456.104,441.71,444.22,2202697,64.84993515,65.157649128,63.10136547,63.45993654,15418894,0.0,1.0
2015-02-11,454.89,462.99,451.9,453.81,1993328,64.98422073,66.14136243,64.5570783,64.82993517,13953309,0.0,1.0
2015-02-12,456.73,459.25,451.16,455.41,1210277,65.24707761,65.60707725,64.45136412,65.05850637,8471947,0.0,1.0
2015-02-13,466.1,466.41,457.9599,458.0,1852678,66.5856477,66.62993337,65.4227774343,65.428506,12968758,0.0,1.0
2015-02-17,469.96,471.6,461.61,465.61,1595772,67.13707572,67.3713612,65.94421977,66.51564777,11170415,0.0,1.0
2015-02-18,475.06,476.49,466.52,469.16,1473833,67.86564642,68.06993193,66.64564764,67.02279012,10316841,0.0,1.0
2015-02-19,474.6,481.0,473.02,475.0,1491222,67.7999322,68.714217,67.57421814,67.857075,10438564,0.0,1.0
2015-02-20,478.2,478.6212,473.46,475.65,1345978,68.3142174,68.3743887684,67.63707522,67.94993205,9421855,0.0,1.0
2015-02-23,471.84,478.1999,470.0,478.1,1290243,67.40564688,68.3142031143,67.14279,68.2999317,9031710,0.0,1.0
2015-02-24,474.88,476.5847,471.49,471.61,867886,67.83993216,68.0834604879,67.35564693,67.37278977,6075208,0.0,1.0
2015-02-25,478.33,481.56,474.65,474.65,979981,68.33278881,68.79421692,67.80707505,67.80707505,6859873,0.0,1.0
2015-02-26,483.03,486.499,479.01,480.38,1550412,69.00421671,69.499787643,68.42993157,68.62564566,10852894,0.0,1.0
2015-02-27,474.91,486.0,474.73,483.57,1645242,67.84421787,69.428502,67.81850361,69.08135949,11516705,0.0,1.0
2015-03-02,480.25,480.25,470.64,474.0,1455275,68.60707425,68.60707425,67.23421848,67.714218,10186935,0.0,1.0
2015-03-03,474.71,479.195,472.55,478.41,1060944,67.81564647,68.456360115,67.50707535,68.34421737,7426615,0.0,1.0
2015-03-04,469.77,475.48,463.28,472.71,2493397,67.10993289,67.92564636,66.18279096,67.52993247,17453796,0.0,1.0
2015-03-05,467.65,472.2495,464.94,472.0,1606998,66.80707605,67.4641468215,66.41993358,67.428504,11248997,0.0,1.0
2015-03-06,454.12,468.4814,453.91,466.5,1841220,64.87422084,66.9258473598,64.84422087,66.6427905,12888552,0.0,1.0
2015-03-09,445.63,455.65,439.8,454.93,2710133,63.66136491,65.09279205,62.8285086,64.98993501,18970949,0.0,1.0
2015-03-10,435.06,443.46,433.88,441.11,2563862,62.15136642,63.35136522,61.98279516,63.01565127,17947051,0.0,1.0
2015-03-11,440.19,447.584,435.68,435.68,2337631,62.88422283,63.940507488,62.23993776,62.23993776,16363433,0.0,1.0
2015-03-12,448.32,452.08,443.38,443.43,2093521,64.04565024,64.58279256,63.33993666,63.34707951,14654661,0.0,1.0
2015-03-13,438.4,448.4,436.57,447.35,1451571,62.6285088,64.0570788,62.36708049,63.90707895,10161007,0.0,1.0
2015-03-16,421.97,430.83,417.34,430.83,3828017,60.28136829,61.54708131,59.61994038,61.54708131,26796145,0.0,1.0
2015-03-17,418.52,424.86,415.69,417.99,2632590,59.78851164,60.69422502,59.38422633,59.71279743,18428148,0.0,1.0
2015-03-18,423.12,424.55,415.1,418.17,2090705,60.44565384,60.64993935,59.2999407,59.73851169,14634949,0.0,1.0
2015-03-19,425.21,428.4839,421.79,423.22,1635689,60.74422497,61.2119245023,60.25565403,60.45993954,11449834,0.0,1.0
2015-03-20,428.295,432.5,426.27,429.36,1948834,61.184938815,61.7856525,60.89565339,61.33708152,13641851,0.0,1.0
2015-03-23,425.0,428.09,422.311,426.23,1094872,60.714225,61.15565313,60.330082527,60.88993911,7664111,0.0,1.0
2015-03-24,438.28,441.69,427.832,427.95,2412678,62.61136596,63.09850833,61.118796024,61.13565315,16888762,0.0,1.0
2015-03-25,421.75,438.84,421.71,438.79,3093198,60.24993975,62.69136588,60.24422547,62.68422303,21652407,0.0,1.0
