date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2015-02-02,19.62,19.7,18.94,19.32,6490149,18.8871614532,18.9641733246,18.2325605466,18.5983669356,6490149,0.0,1.0
2015-02-03,20.11,20.13,19.66,19.76,4586670,19.3588591654,19.3781121332,18.9256673889,19.0219322281,4586670,0.0,1.0
2015-02-04,20.16,20.385,19.985,20.05,4537872,19.406991585,19.6235874732,19.2385281163,19.3011002618,4537872,0.0,1.0
2015-02-05,20.485,20.5,20.16,20.18,3511195,19.7198523124,19.7342920383,19.406991585,19.4262445528,3511195,0.0,1.0
2015-02-06,20.4,20.71,20.31,20.47,5263073,19.6380271991,19.9364482006,19.5513888438,19.7054125865,5263073,0.0,1.0
2015-02-09,20.38,20.44,20.15,20.28,6849193,19.6187742312,19.6765331348,19.397365101,19.522509392,6849193,0.0,1.0
2015-02-10,20.95,20.96,20.31,20.4,5655113,20.1674838147,20.1771102986,19.5513888438,19.6380271991,5655113,0.0,1.0
2015-02-11,20.81,21.0,20.67,21.0,8020778,20.0327130398,20.2156162343,19.8979422649,20.2156162343,8020778,0.0,1.0
2015-02-12,22.3,22.5,21.87,22.0,16922588,21.4670591441,21.6595888225,21.0531203355,21.1782646264,16922588,0.0,1.0
2015-02-13,22.31,22.34,21.91,22.25,7752149,21.476685628,21.5055650798,21.0916262712,21.4189267245,7752149,0.0,1.0
2015-02-17,22.375,22.49,22.13,22.27,5083466,21.5392577735,21.6499623386,21.3034089174,21.4381796923,5083466,0.0,1.0
2015-02-18,22.12,22.39,22.08,22.35,4273997,21.2937824335,21.5536974994,21.2552764978,21.5151915637,4273997,0.0,1.0
2015-02-19,22.175,22.44,22.08,22.4,4235760,21.3467280951,21.601829919,21.2552764978,21.5633239833,4235760,0.0,1.0
2015-02-20,22.335,22.35,22.0,22.16,3943820,21.5007518378,21.5151915637,21.1782646264,21.3322883692,3943820,0.0,1.0
2015-02-23,22.16,22.33,22.05,22.33,3125918,21.3322883692,21.4959385958,21.2263970461,21.4959385958,3125918,0.0,1.0
2015-02-24,22.31,22.31,21.96,22.16,3733318,21.5585107413,21.5585107413,21.2203001291,21.4135633361,3733318,0.085,1.0
2015-02-25,22.14,22.32,22.035,22.22,3095526,21.3942370154,21.5681739017,21.2927738317,21.4715422982,3095526,0.0,1.0
2015-02-26,22.2,22.325,22.02,22.16,3821597,21.4522159775,21.5730054819,21.2782790912,21.4135633361,3821597,0.0,1.0
2015-02-27,22.06,22.19,21.981,22.14,3937273,21.3169317326,21.4425528171,21.2405927658,21.3942370154,3937273,0.0,1.0
2015-03-02,22.595,22.72,21.971,22.0,7537781,21.8339108113,21.9547003157,21.2309296055,21.2589527705,7537781,0.0,1.0
2015-03-03,22.18,22.54,22.11,22.43,4008638,21.4328896568,21.7807634294,21.3652475343,21.6744686655,4008638,0.0,1.0
2015-03-04,22.43,22.48,22.01,22.1,5670997,21.6744686655,21.7227844673,21.2686159308,21.355584374,5670997,0.0,1.0
2015-03-05,22.86,22.9,22.37,22.43,8076425,22.0899845606,22.128637202,21.6164897034,21.6744686655,8076425,0.0,1.0
2015-03-06,22.55,22.84,22.525,22.73,6434807,21.7904265897,22.0706582399,21.7662686889,21.964363476,6434807,0.0,1.0
