date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2015-02-02,125.11,126.725,122.64,126.16,1441867,125.11,126.725,122.64,126.16,1441867,0.0,1.0
2015-02-03,123.53,125.6,121.311,125.6,1390449,123.53,125.6,121.311,125.6,1390449,0.0,1.0
2015-02-04,125.68,126.225,122.15,122.15,906320,125.68,126.225,122.15,122.15,906320,0.0,1.0
2015-02-05,127.11,127.4,125.81,126.85,799784,127.11,127.4,125.81,126.85,799784,0.0,1.0
2015-02-06,125.62,128.15,124.71,127.61,707956,125.62,128.15,124.71,127.61,707956,0.0,1.0
2015-02-09,125.03,126.1,123.585,125.59,647256,125.03,126.1,123.585,125.59,647256,0.0,1.0
2015-02-10,128.43,128.94,125.8001,126.36,651412,128.43,128.94,125.8001,126.36,651412,0.0,1.0
2015-02-11,131.72,132.18,129.15,129.41,1220737,131.72,132.18,129.15,129.41,1220737,0.0,1.0
2015-02-12,133.01,134.962,132.2275,134.52,1166596,133.01,134.962,132.2275,134.52,1166596,0.0,1.0
2015-02-13,135.27,135.97,132.63,135.15,1238686,135.27,135.97,132.63,135.15,1238686,0.0,1.0
2015-02-17,136.89,138.32,134.86,136.59,1295381,136.89,138.32,134.86,136.59,1295381,0.0,1.0
2015-02-18,136.88,137.2499,134.9,136.93,728367,136.88,137.2499,134.9,136.93,728367,0.0,1.0
2015-02-19,137.91,139.1755,136.8201,137.89,801947,137.91,139.1755,136.8201,137.89,801947,0.0,1.0
2015-02-20,141.61,142.49,137.76,138.07,1116221,141.61,142.49,137.76,138.07,1116221,0.0,1.0
2015-02-23,138.2,143.5,136.64,142.54,1687584,138.2,143.5,136.64,142.54,1687584,0.0,1.0
2015-02-24,138.61,140.21,137.94,138.52,936499,138.61,140.21,137.94,138.52,936499,0.0,1.0
2015-02-25,142.06,142.35,138.925,139.0,1179101,142.06,142.35,138.925,139.0,1179101,0.0,1.0
2015-02-26,143.05,146.28,142.73,142.84,1706066,143.05,146.28,142.73,142.84,1706066,0.0,1.0
2015-02-27,142.22,144.53,141.59,144.5,1655923,142.22,144.53,141.59,144.5,1655923,0.0,1.0
2015-03-02,145.98,146.4,142.27,144.0,3174458,145.98,146.4,142.27,144.0,3174458,0.0,1.0
2015-03-03,148.9,149.3499,139.99,142.17,5195103,148.9,149.3499,139.99,142.17,5195103,0.0,1.0
2015-03-04,143.51,148.57,142.43,148.57,2912846,143.51,148.57,142.43,148.57,2912846,0.0,1.0
2015-03-05,143.14,144.73,142.38,143.96,1771602,143.14,144.73,142.38,143.96,1771602,0.0,1.0
2015-03-06,140.73,144.0,140.22,143.18,1378617,140.73,144.0,140.22,143.18,1378617,0.0,1.0
2015-03-09,138.73,140.95,134.07,140.57,2655035,138.73,140.95,134.07,140.57,2655035,0.0,1.0
2015-03-10,138.55,138.66,135.15,136.94,1573835,138.55,138.66,135.15,136.94,1573835,0.0,1.0
2015-03-11,140.56,141.23,137.808,138.55,1395896,140.56,141.23,137.808,138.55,1395896,0.0,1.0
2015-03-12,141.34,141.95,139.52,141.47,1049340,141.34,141.95,139.52,141.47,1049340,0.0,1.0
2015-03-13,141.34,142.97,139.68,140.86,958453,141.34,142.97,139.68,140.86,958453,0.0,1.0
2015-03-16,144.13,144.16,141.385,141.76,1170329,144.13,144.16,141.385,141.76,1170329,0.0,1.0
2015-03-17,144.92,145.65,142.26,142.96,1069444,144.92,145.65,142.26,142.96,1069444,0.0,1.0
2015-03-18,145.16,146.065,142.8,144.0,1222993,145.16,146.065,142.8,144.0,1222993,0.0,1.0
2015-03-19,146.19,146.78,144.87,145.07,961246,146.19,146.78,144.87,145.07,961246,0.0,1.0
2015-03-20,144.08,146.89,143.81,146.41,2460531,144.08,146.89,143.81,146.41,2460531,0.0,1.0
2015-03-23,141.32,144.235,141.15,144.11,1257890,141.32,144.235,141.15,144.11,1257890,0.0,1.0
2015-03-24,140.28,143.4,139.96,141.45,1019206,140.28,143.4,139.96,141.45,1019206,0.0,1.0
2015-03-25,138.62,141.16,136.94,140.27,1566217,138.62,141.16,136.94,140.27,1566217,0.0,1.0
2015-03-26,141.45,141.7,134.33,136.52,1303194,141.45,141.7,134.33,136.52,1303194,0.0,1.0
2015-03-27,146.44,147.13,141.71,141.79,1933777,146.44,147.13,141.71,141.79,1933777,0.0,1.0
2015-03-30,148.61,150.44,147.32,147.69,1751808,148.61,150.44,147.32,147.69,1751808,0.0,1.0
2015-03-31,146.08,148.39,145.19,148.39,1706916,146.08,148.39,145.19,148.39,1706916,0.0,1.0
2015-04-01,141.53,146.44,139.54,146.44,2468058,141.53,146.44,139.54,146.44,2468058,0.0,1.0
2015-04-02,141.81,142.89,140.29,142.11,1013903,141.81,142.89,140.29,142.11,1013903,0.0,1.0
2015-04-06,141.64,142.84,140.6231,141.02,736925,141.64,142.84,140.6231,141.02,736925,0.0,1.0
2015-04-07,144.83,146.7906,141.94,141.94,1631806,144.83,146.7906,141.94,141.94,1631806,0.0,1.0
