date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2015-02-02,15.8,15.95,15.5,15.89,192733,12.7106697952,12.831340711,12.4693279636,12.7830723447,192733,0.0,1.0
2015-02-03,15.93,16.07,15.78,15.84,194611,12.8152512555,12.9278774436,12.6945803398,12.7428487061,194611,0.0,1.0
2015-02-04,15.58,16.0,15.55,15.89,307204,12.5336857854,12.8715643496,12.5095516022,12.7830723447,307204,0.0,1.0
2015-02-05,16.02,16.12,15.66,15.66,287970,12.887653805,12.9681010822,12.5980436071,12.5980436071,287970,0.0,1.0
2015-02-06,15.98,16.16,15.95,16.02,196927,12.8554748941,13.0002799931,12.831340711,12.887653805,196927,0.0,1.0
2015-02-09,15.82,16.13,15.77,15.98,147087,12.7267592506,12.9761458099,12.686535612,12.8554748941,147087,0.0,1.0
2015-02-10,15.64,15.93,15.6,15.93,108290,12.5819541517,12.8152512555,12.5497752408,12.8152512555,108290,0.0,1.0
2015-02-11,15.62,15.76,15.55,15.56,136454,12.5658646963,12.6784908843,12.5095516022,12.51759633,136454,0.0,1.0
2015-02-12,15.62,15.74,15.25,15.63,241427,12.5658646963,12.6624014289,12.2682097707,12.573909424,241427,0.0,1.0
2015-02-13,15.57,15.69,15.38,15.62,148928,12.5256410577,12.6221777903,12.372791231,12.5658646963,148928,0.0,1.0
2015-02-17,15.3,15.5899,15.25,15.49,303551,12.3084334093,12.5416500658,12.2682097707,12.4612832359,303551,0.0,1.0
2015-02-18,15.49,15.5399,15.23,15.3,175657,12.4612832359,12.5014264272,12.2521203152,12.3084334093,175657,0.0,1.0
2015-02-19,15.39,15.56,15.27,15.46,170188,12.3808359587,12.51759633,12.2842992261,12.4371490528,170188,0.0,1.0
2015-02-20,15.36,15.43,15.0,15.43,397415,12.3567017756,12.4130148696,12.0670915777,12.4130148696,397415,0.0,1.0
2015-02-23,15.38,15.46,15.2,15.29,218834,12.372791231,12.4371490528,12.2279861321,12.3003886816,218834,0.0,1.0
2015-02-24,15.37,15.52,15.27,15.34,153573,12.3647465033,12.4854174191,12.2842992261,12.3406123201,153573,0.0,1.0
2015-02-25,15.49,15.57,15.35,15.37,209626,12.4612832359,12.5256410577,12.3486570479,12.3647465033,209626,0.0,1.0
2015-02-26,15.48,15.59,15.41,15.42,106992,12.4532385082,12.5417305131,12.3969254142,12.4049701419,106992,0.0,1.0
2015-02-27,15.39,15.6,15.38,15.5,162439,12.3808359587,12.5497752408,12.372791231,12.4693279636,162439,0.0,1.0
2015-03-02,15.45,15.58,15.32,15.41,262208,12.429104325,12.5336857854,12.3245228647,12.3969254142,262208,0.0,1.0
2015-03-03,15.13,15.46,15.08,15.36,286450,12.1716730381,12.4371490528,12.1314493995,12.3567017756,286450,0.0,1.0
