date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2015-02-02,18.29,18.31,18.02,18.3,46046,17.6504721797,17.66977286,17.3899129949,17.6601225198,46046,0.0,1.0
2015-02-03,18.34,18.49,18.21,18.26,40360,17.6987238805,17.8434789831,17.5732694583,17.6215211591,40360,0.0,1.0
2015-02-04,18.26,18.48,18.21,18.33,32262,17.6215211591,17.833828643,17.5732694583,17.6890735404,32262,0.0,1.0
2015-02-05,17.55,17.9,17.01,17.9,138107,16.9363470067,17.2741089128,16.4152286373,17.2741089128,138107,0.0,1.0
2015-02-06,17.55,17.69,17.45,17.51,111320,16.9363470067,17.0714517692,16.839843605,16.897745646,111320,0.0,1.0
2015-02-09,17.75,17.89,17.5,17.55,50496,17.1293538102,17.2644585727,16.8880953058,16.9363470067,50496,0.0,1.0
2015-02-10,17.81,17.95,17.7317,17.84,30388,17.1872558513,17.3223606137,17.1116936877,17.2162068718,30388,0.0,1.0
2015-02-11,17.81,17.9,17.78,17.9,22453,17.1872558513,17.2741089128,17.1583048307,17.2741089128,22453,0.0,1.0
2015-02-12,17.8,17.88,17.79,17.83,38466,17.1776055111,17.2548082325,17.1679551709,17.2065565316,38466,0.0,1.0
2015-02-13,17.82,17.88,17.7,17.75,42879,17.1969061914,17.2548082325,17.0811021093,17.1293538102,42879,0.0,1.0
2015-02-17,18.06,18.1,17.68,17.68,43191,17.4285143556,17.4671157163,17.061801429,17.061801429,43191,0.0,1.0
2015-02-18,18.27,18.29,18.0,18.0,101205,17.6311714993,17.6504721797,17.3706123146,17.3706123146,101205,0.0,1.0
2015-02-19,17.71,18.22,17.7,18.21,33383,17.0907524495,17.5829197984,17.0811021093,17.5732694583,33383,0.0,1.0
2015-02-20,17.56,17.79,17.5,17.74,38388,16.9459973469,17.1679551709,16.8880953058,17.11970347,38388,0.0,1.0
2015-02-23,17.92,17.97,17.36,17.63,40136,17.2934095932,17.3416612941,16.7529905434,17.0135497281,40136,0.0,1.0
2015-02-24,17.79,17.91,17.59,17.88,35947,17.1679551709,17.283759253,16.9749483674,17.2548082325,35947,0.0,1.0
2015-02-25,17.59,17.7555,17.55,17.74,38411,16.9749483674,17.1346614973,16.9363470067,17.11970347,38411,0.0,1.0
2015-02-26,17.74,17.78,17.34,17.34,52403,17.11970347,17.1583048307,16.7336898631,16.7336898631,52403,0.0,1.0
2015-02-27,17.46,17.71,17.395,17.68,21406,16.8494939451,17.0907524495,16.786766734,17.061801429,21406,0.0,1.0
2015-03-02,17.83,17.89,17.4,17.44,26262,17.2065565316,17.2644585727,16.7915919041,16.8301932648,26262,0.0,1.0
2015-03-03,17.52,17.84,17.35,17.84,32446,16.9073959862,17.2162068718,16.7433402032,17.2162068718,32446,0.0,1.0
2015-03-04,17.55,17.61,17.34,17.39,16604,16.9363470067,16.9942490478,16.7336898631,16.7819415639,16604,0.0,1.0
2015-03-05,17.67,17.75,17.35,17.51,94234,17.0521510888,17.1293538102,16.7433402032,16.897745646,94234,0.0,1.0
2015-03-06,17.27,17.736,17.23,17.49,23743,16.6661374818,17.115843334,16.6275361211,16.8784449657,23743,0.0,1.0
2015-03-09,17.35,17.4,17.25,17.25,21079,16.7433402032,16.7915919041,16.6468368015,16.6468368015,21079,0.0,1.0
2015-03-10,17.26,17.3,17.05,17.3,25428,16.6564871417,16.6950885024,16.453829998,16.6950885024,25428,0.0,1.0
2015-03-11,17.46,17.5,17.25,17.27,66172,16.8494939451,16.8880953058,16.6468368015,16.6661374818,66172,0.0,1.0
2015-03-12,18.12,18.25,17.57,17.57,42662,17.4864163967,17.611870819,16.9556476871,16.9556476871,42662,0.0,1.0
2015-03-13,18.16,18.29,18.05,18.05,35235,17.5250177574,17.6504721797,17.4188640155,17.4188640155,35235,0.0,1.0
2015-03-16,18.55,18.64,18.19,18.27,41086,17.9013810242,17.9882340858,17.5539687779,17.6311714993,41086,0.0,1.0
2015-03-17,18.54,18.66,18.415,18.52,42504,17.891730684,18.0075347661,17.7711014318,17.8724300037,42504,0.0,1.0
2015-03-18,18.42,18.98,18.32,18.56,34463,17.7759266019,18.3163456517,17.6794232002,17.9110313644,34463,0.0,1.0
2015-03-19,18.23,18.65,18.19,18.34,19954,17.5925701386,17.9978844259,17.5539687779,17.6987238805,19954,0.0,1.0
2015-03-20,17.91,18.37,17.85,18.31,57330,17.283759253,17.7276749011,17.225857212,17.66977286,57330,0.0,1.0
2015-03-23,17.72,18.32,17.67,17.94,34159,17.1004027897,17.6794232002,17.0521510888,17.3127102735,34159,0.0,1.0
2015-03-24,17.63,17.76,17.51,17.76,23565,17.0135497281,17.1390041504,16.897745646,17.1390041504,23565,0.0,1.0
2015-03-25,16.98,17.501,16.97,17.45,33606,16.3862776168,16.8890603399,16.3766272766,16.839843605,33606,0.0,1.0
2015-03-26,16.75,16.925,16.75,16.88,24884,16.1643197927,16.3332007458,16.1643197927,16.289774215,24884,0.0,1.0
2015-03-27,16.59,16.948,16.5,16.78,21288,16.0099143499,16.3553965282,15.9230612884,16.1932708133,21288,0.0,1.0
2015-03-30,17.12,17.14,16.6,16.6,24950,16.5213823792,16.5406830596,16.0195646901,16.0195646901,24950,0.0,1.0
2015-03-31,16.97,17.12,16.8,17.09,28153,16.3766272766,16.5213823792,16.2125714936,16.4924313587,28153,0.0,1.0
2015-04-01,17.05,17.11,16.91,16.91,38374,16.453829998,16.511732039,16.3187252355,16.3187252355,38374,0.0,1.0
2015-04-02,17.09,17.24,17.0,17.0,17519,16.4924313587,16.6371864613,16.4055782971,16.4055782971,17519,0.0,1.0
2015-04-06,17.24,17.32,17.0,17.05,69220,16.6371864613,16.7143891827,16.4055782971,16.453829998,69220,0.0,1.0
2015-04-07,17.19,17.68,17.15,17.37,16545,16.5889347604,17.061801429,16.5503333997,16.7626408836,16545,0.0,1.0
2015-04-08,17.15,17.31,17.12,17.13,26487,16.5503333997,16.7047388425,16.5213823792,16.5310327194,26487,0.0,1.0
2015-04-09,17.27,17.35,16.86,17.09,40407,16.6661374818,16.7433402032,16.2704735347,16.4924313587,40407,0.0,1.0
2015-04-10,17.49,17.51,17.29,17.38,15496,16.8784449657,16.897745646,16.6854381622,16.7722912238,15496,0.0,1.0
2015-04-13,17.18,17.42,17.12,17.42,13172,16.5792844203,16.8108925844,16.5213823792,16.8108925844,13172,0.0,1.0
2015-04-14,17.39,17.47,17.13,17.18,14311,16.7819415639,16.8591442853,16.5310327194,16.5792844203,14311,0.0,1.0
2015-04-15,17.47,17.57,17.35,17.39,20661,16.8591442853,16.9556476871,16.7433402032,16.7819415639,20661,0.0,1.0
2015-04-16,17.59,17.59,17.16,17.23,10257,16.9749483674,16.9749483674,16.5599837399,16.6275361211,10257,0.0,1.0
2015-04-17,17.44,17.46,17.18,17.39,19649,16.8301932648,16.8494939451,16.5792844203,16.7819415639,19649,0.0,1.0
2015-04-20,17.68,17.69,17.46,17.46,15769,17.061801429,17.0714517692,16.8494939451,16.8494939451,15769,0.0,1.0
