date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2015-02-02,45.59,45.92,44.41,45.79,2056128,44.4833128621,44.8053021853,43.3319571004,44.6784579065,2056128,0.0,1.0
2015-02-03,46.83,46.83,45.68,46.01,1375689,45.6932121372,45.6932121372,44.5711281321,44.8931174553,1375689,0.0,1.0
2015-02-04,45.99,46.7,45.87,46.56,977295,44.8736029508,45.5663678583,44.7565159242,45.4297663273,977295,0.0,1.0
2015-02-05,46.59,46.695,46.07,46.07,952083,45.4590380839,45.5614892322,44.9516609686,44.9516609686,952083,0.0,1.0
2015-02-06,45.98,46.71,45.83,46.59,664441,44.8638456986,45.5761251105,44.7174869154,45.4590380839,664441,0.0,1.0
2015-02-09,45.48,45.97,45.34,45.89,713994,44.3759830877,44.8540884464,44.2393815567,44.7760304287,713994,0.0,1.0
2015-02-10,45.87,45.92,45.36,45.68,772855,44.7565159242,44.8053021853,44.2588960611,44.5711281321,772855,0.0,1.0
2015-02-11,45.93,46.18,45.66,45.73,607656,44.8150594375,45.058990743,44.5516136277,44.6199143932,607656,0.0,1.0
2015-02-12,46.4,46.44,45.88,46.04,308126,45.2736502918,45.3126793007,44.7662731765,44.9223892119,308126,0.0,1.0
2015-02-13,46.3,46.575,46.15,46.46,509798,45.1760777696,45.4444022056,45.0297189863,45.3321938051,509798,0.0,1.0
2015-02-17,46.32,46.43,45.85,46.19,591929,45.195592274,45.3029220484,44.7370014198,45.0687479952,591929,0.0,1.0
2015-02-18,46.37,46.61,46.01,46.37,372800,45.2443785351,45.4785525884,44.8931174553,45.2443785351,372800,0.0,1.0
2015-02-19,45.93,46.36,45.91,46.2,445282,44.8150594375,45.2346212829,44.7955449331,45.0785052474,445282,0.0,1.0
2015-02-20,46.57,46.6,45.559,45.92,600914,45.4395235795,45.4687953362,44.4530653803,44.8053021853,600914,0.0,1.0
2015-02-23,46.76,46.92,46.3501,46.61,539017,45.6249113716,45.7810274071,45.2249616032,45.4785525884,539017,0.0,1.0
2015-02-24,47.18,47.25,46.54,46.76,539290,46.0347159648,46.1030167303,45.4102518228,45.6249113716,539290,0.0,1.0
2015-02-25,46.96,47.465,46.53,47.2,698430,45.820056416,46.312797653,45.4004945706,46.0542304692,698430,0.0,1.0
2015-02-26,47.0,47.08,46.57,47.0,328870,45.8590854249,45.9371434426,45.4395235795,45.8590854249,328870,0.0,1.0
2015-02-27,47.0,47.11,46.78,46.97,390953,45.8590854249,45.9664151993,45.6444258761,45.8298136682,390953,0.0,1.0
2015-03-02,47.15,47.37,46.84,47.11,352864,46.0054442081,46.2201037569,45.7029693894,45.9664151993,352864,0.0,1.0
2015-03-03,46.9,47.13,46.64,46.91,398730,45.7615129027,45.9859297037,45.507824345,45.7712701549,398730,0.0,1.0
2015-03-04,46.5,46.63,46.2,46.62,729190,45.371222814,45.4980670928,45.0785052474,45.4883098406,729190,0.0,1.0
2015-03-05,47.28,47.35,46.56,46.66,342383,46.132288487,46.2005892525,45.4297663273,45.5273388495,342383,0.0,1.0
2015-03-06,46.57,47.1163,46.47,47.03,723930,45.4395235795,45.9725622682,45.3419510573,45.8883571815,723930,0.0,1.0
2015-03-09,46.45,46.59,46.073,46.51,608841,45.3224365529,45.4590380839,44.9545881443,45.3809800662,608841,0.0,1.0
2015-03-10,46.23,46.39,45.77,45.89,707907,45.1077770041,45.2638930396,44.6589434021,44.7760304287,707907,0.0,1.0
2015-03-11,46.75,46.93,46.1,46.35,487276,45.6151541194,45.7907846593,44.9809327252,45.2248640307,487276,0.0,1.0
2015-03-12,47.24,47.27,46.82,46.83,382256,46.0932594781,46.1225312348,45.6834548849,45.6932121372,382256,0.0,1.0
2015-03-13,47.45,47.4993,46.82,47.18,1334233,46.2981617747,46.3462650281,45.6834548849,46.0347159648,1334233,0.0,1.0
2015-03-16,48.3,48.315,47.45,47.77,863439,47.1275282132,47.1421640915,46.2981617747,46.6103938457,863439,0.0,1.0
2015-03-17,48.53,48.65,47.69,48.15,717681,47.3519450142,47.4690320409,46.5323358279,46.9811694299,717681,0.0,1.0
2015-03-18,49.29,49.3,48.13,48.47,875304,48.0934961828,48.103253435,46.9616549255,47.2934015009,875304,0.0,1.0
2015-03-19,49.85,49.9601,48.78,49.0,1129037,48.639902307,48.7473296539,47.5958763197,47.8105358685,1129037,0.0,1.0
2015-03-20,50.21,50.4,49.86,50.36,1399462,48.9911633869,49.176551179,48.6496595592,49.1375221701,1399462,0.0,1.0
2015-03-23,50.49,50.56,50.06,50.09,754900,49.264366449,49.3326672145,48.8448046036,48.8740763603,754900,0.0,1.0
2015-03-24,50.51,50.71,50.22,50.38,1619737,49.2838809534,49.4790259978,49.0009206391,49.1570366746,1619737,0.0,1.0
2015-03-25,50.5,50.83,50.255,50.46,3252850,49.2741237012,49.5961130244,49.0350710219,49.2350946923,3252850,0.0,1.0
2015-03-26,50.51,50.55,49.97,50.22,2238482,49.2838809534,49.3229099623,48.7569893336,49.0009206391,2238482,0.0,1.0
2015-03-27,51.09,51.175,50.44,50.56,941678,49.8498015821,49.9327382259,49.2155801879,49.3326672145,941678,0.0,1.0
2015-03-30,51.47,51.6,51.17,51.33,631732,50.2205771663,50.3474214452,49.9278595998,50.0839756353,631732,0.0,1.0
2015-03-31,51.14,51.46,50.88,51.14,870392,49.8985878431,50.2108199141,49.6448992855,49.8985878431,870392,0.0,1.0
2015-04-01,50.6,51.082,50.06,50.98,1123668,49.3716962234,49.8419957803,48.8448046036,49.7424718077,1123668,0.0,1.0
2015-04-02,50.75,50.98,50.33,50.68,761640,49.5180550066,49.7424718077,49.1082504135,49.4497542411,761640,0.0,1.0
2015-04-06,50.88,51.17,50.2801,50.41,1026741,49.6448992855,49.9278595998,49.0595617249,49.1863084312,1026741,0.0,1.0
2015-04-07,50.55,51.28,50.46,50.99,702664,49.3229099623,50.0351893742,49.2350946923,49.7522290599,702664,0.0,1.0
2015-04-08,51.21,51.21,50.422,50.65,818953,49.9668886087,49.9668886087,49.1980171339,49.4204824845,818953,0.0,1.0
2015-04-09,51.25,51.29,50.74,51.09,583778,50.0059176175,50.0449466264,49.5082977544,49.8498015821,583778,0.0,1.0
2015-04-10,51.54,51.77,51.25,51.25,566210,50.2888779319,50.5132947329,50.0059176175,50.0059176175,566210,0.0,1.0
2015-04-13,51.55,51.85,51.55,51.57,523144,50.2986351841,50.5913527506,50.2986351841,50.3181496885,523144,0.0,1.0
2015-04-14,51.17,51.5,51.07,51.46,759188,49.9278595998,50.249848923,49.8302870776,50.2108199141,759188,0.0,1.0
2015-04-15,51.36,51.46,51.18,51.24,650217,50.1815481575,50.279253664,50.0056782457,50.0643015496,650217,0.07,1.0
2015-04-16,51.43,51.5,51.1,51.16,579423,50.249942012,50.3183358666,49.9275138405,49.9861371444,579423,0.0,1.0
2015-04-17,50.99,51.04,50.61,51.04,556744,49.8200377833,49.8688905366,49.4487568584,49.8688905366,556744,0.0,1.0
2015-04-20,51.51,51.72,51.092,51.39,340989,50.3281064173,50.533287981,49.9196974,50.2108598094,340989,0.0,1.0
2015-04-21,51.71,51.82,51.4,51.79,522513,50.5235174304,50.6309934875,50.2206303601,50.6016818356,522513,0.0,1.0
2015-04-22,51.69,51.96,51.39,51.42,728270,50.503976329,50.7677811967,50.2108598094,50.2401714614,728270,0.0,1.0
2015-04-23,51.57,51.72,51.33,51.53,369590,50.3867297212,50.533287981,50.1522365055,50.3476475186,369590,0.0,1.0
2015-04-24,51.65,51.82,51.39,51.57,1502156,50.4648941264,50.6309934875,50.2108598094,50.3867297212,1502156,0.0,1.0
2015-04-27,51.54,52.27,51.32,51.79,1141501,50.3574180692,51.070668267,50.1424659549,50.6016818356,1141501,0.0,1.0
2015-04-28,51.76,51.8,51.23,51.7,819172,50.5723701836,50.6114523862,50.054530999,50.5137468797,819172,0.0,1.0
2015-04-29,51.76,51.89,51.24,51.41,689866,50.5723701836,50.6993873421,50.0643015496,50.2304009107,689866,0.0,1.0
2015-04-30,51.26,51.93,51.01,51.53,2052113,50.0838426509,50.7384695447,49.8395788846,50.3476475186,2052113,0.0,1.0
2015-05-01,52.55,53.52,51.2,51.46,2652922,51.3442436853,52.2919870987,50.025219347,50.279253664,2652922,0.0,1.0
2015-05-04,52.06,52.63,51.67,51.87,1299286,50.8654867032,51.4224080905,50.4844352277,50.6798462408,1299286,0.0,1.0
2015-05-05,51.21,51.7,51.08,51.68,1145409,50.0349898977,50.5137468797,49.9079727392,50.4942057784,1145409,0.0,1.0
2015-05-06,50.3,51.365,50.18,51.24,995305,49.1458697882,50.1864334328,49.0286231803,50.0643015496,995305,0.0,1.0
2015-05-07,50.45,50.64,50.09,50.35,1154456,49.292428048,49.4780685104,48.9406882245,49.1947225414,1154456,0.0,1.0
2015-05-08,50.75,51.24,50.64,51.01,915788,49.5855445676,50.0643015496,49.4780685104,49.8395788846,915788,0.0,1.0
2015-05-11,51.12,51.345,50.64,50.68,826711,49.9470549418,50.1668923315,49.4780685104,49.517150713,826711,0.0,1.0
2015-05-12,51.0,51.08,50.24,51.0,837748,49.8298083339,49.9079727392,49.0872464843,49.8298083339,837748,0.0,1.0
2015-05-13,51.27,51.56,51.12,51.19,604320,50.0936132016,50.3769591705,49.9470549418,50.0154487964,604320,0.0,1.0
2015-05-14,51.78,51.94,51.44,51.44,841604,50.5919112849,50.7482400954,50.2597125627,50.2597125627,841604,0.0,1.0
2015-05-15,52.16,52.23,51.8,51.8,1665493,50.9631922098,51.0315860643,50.6114523862,50.6114523862,1665493,0.0,1.0
2015-05-18,52.35,52.42,52.0,52.02,563618,51.1488326722,51.2172265268,50.8068633993,50.8264045006,563618,0.0,1.0
2015-05-19,52.81,52.92,52.28,52.35,636886,51.5982780023,51.7057540595,51.0804388176,51.1488326722,636886,0.0,1.0
2015-05-20,53.58,53.67,52.91,52.95,738579,52.3506104026,52.4385453585,51.6959835088,51.7350657114,738579,0.0,1.0
2015-05-21,53.39,53.67,53.25,53.64,393960,52.1649699402,52.4385453585,52.028182231,52.4092337065,393960,0.0,1.0
2015-05-22,53.39,53.55,53.14,53.36,529592,52.1649699402,52.3212987506,51.9207061738,52.1356582882,529592,0.0,1.0
