date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2019-04-17,18.99,20.0,18.06,18.5,4341826,18.99,20.0,18.06,18.5,4341826,0.0,1.0
2019-04-18,18.5,19.53,18.5,18.65,504086,18.5,19.53,18.5,18.65,504086,0.0,1.0
2019-04-22,18.79,19.0,18.5,18.54,214327,18.79,19.0,18.5,18.54,214327,0.0,1.0
2019-04-23,19.49,19.5,18.75,18.9,231872,19.49,19.5,18.75,18.9,231872,0.0,1.0
2019-04-24,18.98,19.56,18.7048,19.56,105653,18.98,19.56,18.7048,19.56,105653,0.0,1.0
2019-04-25,19.11,19.43,18.85,18.99,98634,19.11,19.43,18.85,18.99,98634,0.0,1.0
2019-04-26,19.16,19.39,18.9,19.15,42535,19.16,19.39,18.9,19.15,42535,0.0,1.0
2019-04-29,19.98,20.6199,19.01,19.21,85963,19.98,20.6199,19.01,19.21,85963,0.0,1.0
2019-04-30,19.98,20.21,19.05,19.92,66216,19.98,20.21,19.05,19.92,66216,0.0,1.0
2019-05-01,20.0,20.14,19.735,20.14,37600,20.0,20.14,19.735,20.14,37600,0.0,1.0
2019-05-02,19.88,20.0,19.41,19.78,59405,19.88,20.0,19.41,19.78,59405,0.0,1.0
2019-05-03,19.89,19.99,19.4332,19.99,22668,19.89,19.99,19.4332,19.99,22668,0.0,1.0
2019-05-06,19.8,19.94,19.43,19.43,24306,19.8,19.94,19.43,19.43,24306,0.0,1.0
2019-05-07,19.39,19.875,19.195,19.78,28172,19.39,19.875,19.195,19.78,28172,0.0,1.0
2019-05-08,19.65,19.99,19.0001,19.29,20787,19.65,19.99,19.0001,19.29,20787,0.0,1.0
2019-05-09,19.29,19.94,19.11,19.49,14622,19.29,19.94,19.11,19.49,14622,0.0,1.0
2019-05-10,19.11,19.48,18.8001,19.11,59022,19.11,19.48,18.8001,19.11,59022,0.0,1.0
2019-05-13,19.33,19.78,18.5,18.5,31273,19.33,19.78,18.5,18.5,31273,0.0,1.0
2019-05-14,20.0,20.28,19.1715,19.4,40097,20.0,20.28,19.1715,19.4,40097,0.0,1.0
2019-05-15,20.19,20.6,19.8284,20.6,97559,20.19,20.6,19.8284,20.6,97559,0.0,1.0
2019-05-16,19.77,21.16,19.5,20.09,112812,19.77,21.16,19.5,20.09,112812,0.0,1.0
2019-05-17,22.3,22.6,20.14,20.68,216800,22.3,22.6,20.14,20.68,216800,0.0,1.0
2019-05-20,23.38,23.98,21.31,21.96,303893,23.38,23.98,21.31,21.96,303893,0.0,1.0
2019-05-21,23.46,24.7476,23.02,23.57,207363,23.46,24.7476,23.02,23.57,207363,0.0,1.0
2019-05-22,23.62,24.37,23.1837,23.31,50307,23.62,24.37,23.1837,23.31,50307,0.0,1.0
2019-05-23,22.73,24.1,22.4216,23.52,79058,22.73,24.1,22.4216,23.52,79058,0.0,1.0
2019-05-24,24.36,24.6,22.75,22.82,103647,24.36,24.6,22.75,22.82,103647,0.0,1.0
2019-05-28,23.75,24.4,23.44,24.19,70212,23.75,24.4,23.44,24.19,70212,0.0,1.0
2019-05-29,24.13,24.399,23.27,23.5,82821,24.13,24.399,23.27,23.5,82821,0.0,1.0
2019-05-30,23.7,24.0,22.48,23.87,61655,23.7,24.0,22.48,23.87,61655,0.0,1.0
2019-05-31,23.2,24.27,22.41,23.51,70604,23.2,24.27,22.41,23.51,70604,0.0,1.0
2019-06-03,23.39,23.75,22.775,23.29,107433,23.39,23.75,22.775,23.29,107433,0.0,1.0
2019-06-04,23.71,23.91,22.66,23.47,39960,23.71,23.91,22.66,23.47,39960,0.0,1.0
2019-06-05,23.74,23.83,23.08,23.83,27910,23.74,23.83,23.08,23.83,27910,0.0,1.0
