date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2019-05-03,15.25,18.75,14.21,18.0,17404223,15.25,18.75,14.21,18.0,17404223,0.0,1.0
2019-05-06,14.82,15.41,14.46,14.78,1468431,14.82,15.41,14.46,14.78,1468431,0.0,1.0
2019-05-07,15.01,15.1,14.0101,14.06,862898,15.01,15.1,14.0101,14.06,862898,0.0,1.0
2019-05-08,15.33,15.6,14.75,14.94,1944173,15.33,15.6,14.75,14.94,1944173,0.0,1.0
2019-05-09,15.51,15.64,14.77,15.11,2488653,15.51,15.64,14.77,15.11,2488653,0.0,1.0
2019-05-10,15.1,15.7,14.97,15.67,872856,15.1,15.7,14.97,15.67,872856,0.0,1.0
2019-05-13,14.5,15.25,14.295,15.11,800675,14.5,15.25,14.295,15.11,800675,0.0,1.0
2019-05-14,14.97,15.06,14.37,14.65,864237,14.97,15.06,14.37,14.65,864237,0.0,1.0
2019-05-15,15.35,15.57,14.6605,14.88,572040,15.35,15.57,14.6605,14.88,572040,0.0,1.0
2019-05-16,15.97,16.045,15.35,15.35,1300292,15.97,16.045,15.35,15.35,1300292,0.0,1.0
2019-05-17,15.56,16.16,15.5,15.82,415932,15.56,16.16,15.5,15.82,415932,0.0,1.0
2019-05-20,15.07,15.62,14.7433,15.43,444651,15.07,15.62,14.7433,15.43,444651,0.0,1.0
2019-05-21,15.28,15.5,15.055,15.28,227202,15.28,15.5,15.055,15.28,227202,0.0,1.0
2019-05-22,15.45,15.48,15.06,15.2,172938,15.45,15.48,15.06,15.2,172938,0.0,1.0
2019-05-23,15.47,15.57,15.055,15.52,420100,15.47,15.57,15.055,15.52,420100,0.0,1.0
2019-05-24,15.77,15.99,15.48,15.79,198282,15.77,15.99,15.48,15.79,198282,0.0,1.0
2019-05-28,15.59,16.03,15.5,15.85,721948,15.59,16.03,15.5,15.85,721948,0.0,1.0
2019-05-29,15.45,15.65,15.15,15.5,628541,15.45,15.65,15.15,15.5,628541,0.0,1.0
2019-05-30,15.8,15.81,15.49,15.5,1213283,15.8,15.81,15.49,15.5,1213283,0.0,1.0
2019-05-31,16.0,16.03,15.61,15.76,1717464,16.0,16.03,15.61,15.76,1717464,0.0,1.0
2019-06-03,15.4,16.1197,15.25,16.05,396904,15.4,16.1197,15.25,16.05,396904,0.0,1.0
2019-06-04,14.99,15.695,14.68,15.5,1317970,14.99,15.695,14.68,15.5,1317970,0.0,1.0
2019-06-05,15.35,15.51,14.5,15.01,608575,15.35,15.51,14.5,15.01,608575,0.0,1.0
2019-06-06,15.42,16.1388,15.18,15.3,514994,15.42,16.1388,15.18,15.3,514994,0.0,1.0
2019-06-07,15.17,15.86,14.93,15.43,559777,15.17,15.86,14.93,15.43,559777,0.0,1.0
2019-06-10,14.54,15.445,14.2,15.24,742045,14.54,15.445,14.2,15.24,742045,0.0,1.0
2019-06-11,14.71,14.96,14.21,14.69,309123,14.71,14.96,14.21,14.69,309123,0.0,1.0
2019-06-12,13.82,14.67,13.0201,14.67,1360684,13.82,14.67,13.0201,14.67,1360684,0.0,1.0
2019-06-13,13.5,13.92,13.1,13.92,694713,13.5,13.92,13.1,13.92,694713,0.0,1.0
2019-06-14,13.45,13.61,12.72,13.61,856945,13.45,13.61,12.72,13.61,856945,0.0,1.0
2019-06-17,13.6,13.83,12.9701,13.43,630183,13.6,13.83,12.9701,13.43,630183,0.0,1.0
2019-06-18,14.02,14.35,13.72,13.97,648600,14.02,14.35,13.72,13.97,648600,0.0,1.0
2019-06-19,13.88,14.13,13.68,14.01,340867,13.88,14.13,13.68,14.01,340867,0.0,1.0
2019-06-20,14.1,14.2485,13.84,14.0,241984,14.1,14.2485,13.84,14.0,241984,0.0,1.0
2019-06-21,14.42,14.6,13.85,13.95,1080296,14.42,14.6,13.85,13.95,1080296,0.0,1.0
2019-06-24,13.79,14.58,13.46,14.51,395315,13.79,14.58,13.46,14.51,395315,0.0,1.0
2019-06-25,13.49,13.98,13.4,13.82,192827,13.49,13.98,13.4,13.82,192827,0.0,1.0
2019-06-26,13.69,13.8576,13.34,13.52,203077,13.69,13.8576,13.34,13.52,203077,0.0,1.0
2019-06-27,13.71,13.83,13.585,13.71,153370,13.71,13.83,13.585,13.71,153370,0.0,1.0
2019-06-28,13.71,14.03,13.51,13.74,240332,13.71,14.03,13.51,13.74,240332,0.0,1.0
2019-07-01,13.43,13.86,13.43,13.86,324966,13.43,13.86,13.43,13.86,324966,0.0,1.0
2019-07-02,13.4,13.505,13.22,13.46,244094,13.4,13.505,13.22,13.46,244094,0.0,1.0
2019-07-03,13.35,13.5,13.28,13.38,205631,13.35,13.5,13.28,13.38,205631,0.0,1.0
2019-07-05,13.02,13.37,12.86,13.33,209523,13.02,13.37,12.86,13.33,209523,0.0,1.0
2019-07-08,12.3,12.98,12.27,12.98,485121,12.3,12.98,12.27,12.98,485121,0.0,1.0
2019-07-09,12.46,12.805,11.72,12.3,343160,12.46,12.805,11.72,12.3,343160,0.0,1.0
2019-07-10,12.46,12.8751,12.27,12.51,163006,12.46,12.8751,12.27,12.51,163006,0.0,1.0
2019-07-11,12.25,12.83,12.03,12.5,286202,12.25,12.83,12.03,12.5,286202,0.0,1.0
2019-07-12,12.89,13.08,12.01,12.27,353010,12.89,13.08,12.01,12.27,353010,0.0,1.0
2019-07-15,12.9,13.23,12.755,12.9,166537,12.9,13.23,12.755,12.9,166537,0.0,1.0
2019-07-16,12.74,13.06,12.69,12.95,178346,12.74,13.06,12.69,12.95,178346,0.0,1.0
2019-07-17,10.7,12.72,10.63,12.7,1025560,10.7,12.72,10.63,12.7,1025560,0.0,1.0
2019-07-18,10.34,11.2,10.2,10.73,635009,10.34,11.2,10.2,10.73,635009,0.0,1.0
2019-07-19,10.56,10.94,10.16,10.42,1158271,10.56,10.94,10.16,10.42,1158271,0.0,1.0
2019-07-22,10.46,10.8899,10.4,10.6,102164,10.46,10.8899,10.4,10.6,102164,0.0,1.0
2019-07-23,10.61,10.72,10.43,10.57,138443,10.61,10.72,10.43,10.57,138443,0.0,1.0
2019-07-24,10.68,10.79,10.5,10.56,125021,10.68,10.79,10.5,10.56,125021,0.0,1.0
2019-07-25,10.49,10.78,10.48,10.68,87657,10.49,10.78,10.48,10.68,87657,0.0,1.0
2019-07-26,10.71,10.825,10.55,10.56,229264,10.71,10.825,10.55,10.56,229264,0.0,1.0
2019-07-29,10.45,10.85,10.41,10.77,132686,10.45,10.85,10.41,10.77,132686,0.0,1.0
2019-07-30,10.23,10.49,10.18,10.49,85192,10.23,10.49,10.18,10.49,85192,0.0,1.0
2019-07-31,10.43,10.61,10.02,10.18,294123,10.43,10.61,10.02,10.18,294123,0.0,1.0
2019-08-01,10.85,10.94,10.05,10.37,866374,10.85,10.94,10.05,10.37,866374,0.0,1.0
2019-08-02,10.59,11.8282,9.64,11.75,1788051,10.59,11.8282,9.64,11.75,1788051,0.0,1.0
2019-08-05,10.41,10.66,10.05,10.5,315499,10.41,10.66,10.05,10.5,315499,0.0,1.0
2019-08-06,10.31,10.64,10.04,10.45,268640,10.31,10.64,10.04,10.45,268640,0.0,1.0
2019-08-07,10.3,10.71,10.07,10.18,223872,10.3,10.71,10.07,10.18,223872,0.0,1.0
