date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2015-02-02,43.19,43.43,42.2,43.02,768406,43.19,43.43,42.2,43.02,768406,0.0,1.0
2015-02-03,44.22,44.27,43.29,43.29,659769,44.22,44.27,43.29,43.29,659769,0.0,1.0
2015-02-04,44.17,44.43,43.84,43.91,417604,44.17,44.43,43.84,43.91,417604,0.0,1.0
2015-02-05,44.105,44.48,43.96,44.43,757300,44.105,44.48,43.96,44.43,757300,0.0,1.0
2015-02-06,43.87,44.42,43.815,44.12,602800,43.87,44.42,43.815,44.12,602800,0.0,1.0
2015-02-09,43.7,44.07,43.59,43.63,497759,43.7,44.07,43.59,43.63,497759,0.0,1.0
2015-02-10,44.13,44.19,43.64,44.09,633012,44.13,44.19,43.64,44.09,633012,0.0,1.0
2015-02-11,44.4,44.45,44.02,44.07,375324,44.4,44.45,44.02,44.07,375324,0.0,1.0
2015-02-12,44.87,45.05,44.41,44.5,545301,44.87,45.05,44.41,44.5,545301,0.0,1.0
2015-02-13,44.9,45.05,44.7,44.84,408909,44.9,45.05,44.7,44.84,408909,0.0,1.0
2015-02-17,44.74,44.98,44.48,44.9,796654,44.74,44.98,44.48,44.9,796654,0.0,1.0
2015-02-18,45.16,45.17,44.43,44.6,910834,45.16,45.17,44.43,44.6,910834,0.0,1.0
2015-02-19,46.53,46.93,45.72,46.06,1681175,46.53,46.93,45.72,46.06,1681175,0.0,1.0
2015-02-20,46.95,47.16,46.16,46.39,1063241,46.95,47.16,46.16,46.39,1063241,0.0,1.0
2015-02-23,46.815,46.999,46.67,46.9,766070,46.815,46.999,46.67,46.9,766070,0.0,1.0
2015-02-24,47.06,47.19,46.56,46.85,778165,47.06,47.19,46.56,46.85,778165,0.0,1.0
2015-02-25,47.19,47.37,46.78,47.28,469822,47.19,47.37,46.78,47.28,469822,0.0,1.0
2015-02-26,46.72,47.22,46.69,47.14,590922,46.72,47.22,46.69,47.14,590922,0.0,1.0
2015-02-27,46.41,46.78,46.3,46.58,816210,46.41,46.78,46.3,46.58,816210,0.0,1.0
2015-03-02,46.92,46.93,46.2101,46.24,664245,46.92,46.93,46.2101,46.24,664245,0.0,1.0
2015-03-03,46.49,46.83,46.41,46.7,799614,46.49,46.83,46.41,46.7,799614,0.0,1.0
2015-03-04,46.25,46.505,46.1,46.37,623418,46.25,46.505,46.1,46.37,623418,0.0,1.0
2015-03-05,46.31,46.5,45.98,46.25,528199,46.31,46.5,45.98,46.25,528199,0.0,1.0
2015-03-06,45.94,46.278,45.77,46.06,485404,45.94,46.278,45.77,46.06,485404,0.0,1.0
2015-03-09,45.96,46.12,45.83,45.92,440046,45.96,46.12,45.83,45.92,440046,0.0,1.0
2015-03-10,45.09,45.67,45.06,45.59,576253,45.09,45.67,45.06,45.59,576253,0.0,1.0
2015-03-11,45.34,45.45,45.0,45.16,683570,45.34,45.45,45.0,45.16,683570,0.0,1.0
2015-03-12,45.63,45.71,45.04,45.26,448443,45.63,45.71,45.04,45.26,448443,0.0,1.0
2015-03-13,45.71,45.84,45.22,45.51,412741,45.71,45.84,45.22,45.51,412741,0.0,1.0
2015-03-16,46.37,46.46,45.78,45.78,594176,46.37,46.46,45.78,45.78,594176,0.0,1.0
2015-03-17,46.06,46.35,45.86,46.16,780911,46.06,46.35,45.86,46.16,780911,0.0,1.0
2015-03-18,46.52,46.85,46.0,46.05,474942,46.52,46.85,46.0,46.05,474942,0.0,1.0
2015-03-19,46.77,46.95,46.51,46.51,427915,46.77,46.95,46.51,46.51,427915,0.0,1.0
2015-03-20,47.13,47.24,46.79,46.99,1182347,47.13,47.24,46.79,46.99,1182347,0.0,1.0
2015-03-23,46.72,47.145,46.71,47.13,342943,46.72,47.145,46.71,47.13,342943,0.0,1.0
2015-03-24,46.44,46.93,46.37,46.65,533664,46.44,46.93,46.37,46.65,533664,0.0,1.0
2015-03-25,45.69,46.75,45.68,46.64,876553,45.69,46.75,45.68,46.64,876553,0.0,1.0
2015-03-26,45.61,45.9,45.36,45.45,606300,45.61,45.9,45.36,45.45,606300,0.0,1.0
2015-03-27,45.79,45.9,45.31,45.56,504588,45.79,45.9,45.31,45.56,504588,0.0,1.0
2015-03-30,46.42,46.595,45.94,46.0,597925,46.42,46.595,45.94,46.0,597925,0.0,1.0
2015-03-31,46.32,46.42,46.1,46.34,981702,46.32,46.42,46.1,46.34,981702,0.0,1.0
2015-04-01,46.32,46.41,45.81,46.3,662222,46.32,46.41,45.81,46.3,662222,0.0,1.0
2015-04-02,46.46,46.56,46.14,46.36,733317,46.46,46.56,46.14,46.36,733317,0.0,1.0
2015-04-06,46.87,46.88,46.1,46.1,718723,46.87,46.88,46.1,46.1,718723,0.0,1.0
2015-04-07,47.01,47.35,46.8201,46.87,913889,47.01,47.35,46.8201,46.87,913889,0.0,1.0
2015-04-08,47.58,47.65,47.0,47.0,996396,47.58,47.65,47.0,47.0,996396,0.0,1.0
2015-04-09,47.65,47.72,47.26,47.44,639457,47.65,47.72,47.26,47.44,639457,0.0,1.0
2015-04-10,47.8,48.02,47.64,47.65,500835,47.8,48.02,47.64,47.65,500835,0.0,1.0
2015-04-13,47.47,48.05,47.45,47.68,445899,47.47,48.05,47.45,47.68,445899,0.0,1.0
2015-04-14,47.41,47.54,47.0282,47.39,563527,47.41,47.54,47.0282,47.39,563527,0.0,1.0
2015-04-15,47.41,47.78,47.34,47.54,632630,47.41,47.78,47.34,47.54,632630,0.0,1.0
2015-04-16,47.35,47.58,47.23,47.32,466046,47.35,47.58,47.23,47.32,466046,0.0,1.0
2015-04-17,46.48,47.13,46.42,47.1,627606,46.48,47.13,46.42,47.1,627606,0.0,1.0
2015-04-20,47.0,47.13,46.68,46.68,376704,47.0,47.13,46.68,46.68,376704,0.0,1.0
2015-04-21,47.29,47.49,47.03,47.31,480730,47.29,47.49,47.03,47.31,480730,0.0,1.0
