date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2015-02-02,45.35,45.66,44.2,45.66,123969,45.35,45.66,44.2,45.66,123969,0.0,1.0
2015-02-03,46.72,46.969,45.46,45.75,137087,46.72,46.969,45.46,45.75,137087,0.0,1.0
2015-02-04,46.91,47.2,46.26,46.56,151712,46.91,47.2,46.26,46.56,151712,0.0,1.0
2015-02-05,47.13,47.25,46.29,46.92,150727,47.13,47.25,46.29,46.92,150727,0.0,1.0
2015-02-06,47.46,47.947,46.795,47.24,155302,47.46,47.947,46.795,47.24,155302,0.0,1.0
2015-02-09,47.48,48.09,47.012,47.43,188082,47.48,48.09,47.012,47.43,188082,0.0,1.0
2015-02-10,47.53,47.86,46.11,47.71,104393,47.53,47.86,46.11,47.71,104393,0.0,1.0
2015-02-11,47.85,48.38,46.87,47.53,171091,47.85,48.38,46.87,47.53,171091,0.0,1.0
2015-02-12,57.16,59.06,51.85,53.0,841308,57.16,59.06,51.85,53.0,841308,0.0,1.0
2015-02-13,56.92,58.29,55.91,57.11,301627,56.92,58.29,55.91,57.11,301627,0.0,1.0
2015-02-17,57.03,57.14,56.24,56.55,187342,57.03,57.14,56.24,56.55,187342,0.0,1.0
2015-02-18,58.67,58.91,56.63,56.65,189192,58.67,58.91,56.63,56.65,189192,0.0,1.0
2015-02-19,57.09,58.496,56.78,58.04,151977,57.09,58.496,56.78,58.04,151977,0.0,1.0
2015-02-20,57.52,57.99,56.08,57.03,118434,57.52,57.99,56.08,57.03,118434,0.0,1.0
2015-02-23,56.45,57.4,56.15,57.4,101688,56.45,57.4,56.15,57.4,101688,0.0,1.0
2015-02-24,56.34,56.71,55.59,56.39,77865,56.34,56.71,55.59,56.39,77865,0.0,1.0
2015-02-25,57.03,57.72,55.77,56.09,124663,57.03,57.72,55.77,56.09,124663,0.0,1.0
2015-02-26,56.81,57.38,56.31,56.91,105298,56.81,57.38,56.31,56.91,105298,0.0,1.0
2015-02-27,56.06,56.95,55.71,56.66,180239,56.06,56.95,55.71,56.66,180239,0.0,1.0
2015-03-02,58.25,59.09,55.65,56.06,194014,58.25,59.09,55.65,56.06,194014,0.0,1.0
2015-03-03,58.05,58.7,56.76,58.11,248784,58.05,58.7,56.76,58.11,248784,0.0,1.0
2015-03-04,58.68,60.01,57.83,57.83,316076,58.68,60.01,57.83,57.83,316076,0.0,1.0
2015-03-05,57.5,59.375,56.96,58.7,263200,57.5,59.375,56.96,58.7,263200,0.0,1.0
2015-03-06,55.99,57.55,55.73,57.06,109901,55.99,57.55,55.73,57.06,109901,0.0,1.0
2015-03-09,56.14,56.64,55.36,55.99,91076,56.14,56.64,55.36,55.99,91076,0.0,1.0
2015-03-10,55.71,56.716,53.91,55.5,153790,55.71,56.716,53.91,55.5,153790,0.0,1.0
2015-03-11,56.22,56.3,54.505,55.55,97225,56.22,56.3,54.505,55.55,97225,0.0,1.0
2015-03-12,57.13,57.475,56.37,56.63,130329,57.13,57.475,56.37,56.63,130329,0.0,1.0
2015-03-13,56.52,57.6799,55.82,56.93,186799,56.52,57.6799,55.82,56.93,186799,0.0,1.0
2015-03-16,57.86,58.98,56.44,56.93,232548,57.86,58.98,56.44,56.93,232548,0.0,1.0
2015-03-17,57.87,58.16,57.16,57.79,97677,57.87,58.16,57.16,57.79,97677,0.0,1.0
2015-03-18,58.75,60.43,57.42,57.82,265173,58.75,60.43,57.42,57.82,265173,0.0,1.0
2015-03-19,58.82,59.11,58.58,58.64,173061,58.82,59.11,58.58,58.64,173061,0.0,1.0
2015-03-20,58.68,59.4,57.41,59.32,235047,58.68,59.4,57.41,59.32,235047,0.0,1.0
2015-03-23,58.36,58.96,58.25,58.5,86175,58.36,58.96,58.25,58.5,86175,0.0,1.0
2015-03-24,58.3,58.92,57.97,58.3,93719,58.3,58.92,57.97,58.3,93719,0.0,1.0
2015-03-25,67.78,70.14,64.1,64.11,917605,67.78,70.14,64.1,64.11,917605,0.0,1.0
2015-03-26,67.43,68.95,67.05,67.46,208126,67.43,68.95,67.05,67.46,208126,0.0,1.0
2015-03-27,67.58,68.26,66.43,67.27,163433,67.58,68.26,66.43,67.27,163433,0.0,1.0
2015-03-30,67.5,67.9,67.03,67.47,229931,67.5,67.9,67.03,67.47,229931,0.0,1.0
2015-03-31,67.29,67.9,66.55,67.25,247048,67.29,67.9,66.55,67.25,247048,0.0,1.0
2015-04-01,66.33,67.52,65.91,66.85,221813,66.33,67.52,65.91,66.85,221813,0.0,1.0
2015-04-02,66.04,67.0,66.0,66.51,152012,66.04,67.0,66.0,66.51,152012,0.0,1.0
2015-04-06,65.68,66.49,65.362,65.83,97759,65.68,66.49,65.362,65.83,97759,0.0,1.0
2015-04-07,65.64,66.39,65.368,65.58,85947,65.64,66.39,65.368,65.58,85947,0.0,1.0
2015-04-08,66.99,67.21,65.782,66.04,124036,66.99,67.21,65.782,66.04,124036,0.0,1.0
2015-04-09,66.28,67.64,65.01,67.07,135977,66.28,67.64,65.01,67.07,135977,0.0,1.0
2015-04-10,67.08,67.6074,66.12,66.45,95316,67.08,67.6074,66.12,66.45,95316,0.0,1.0
2015-04-13,66.79,67.4,65.76,66.91,108049,66.79,67.4,65.76,66.91,108049,0.0,1.0
2015-04-14,66.84,67.3199,66.3,66.91,92167,66.84,67.3199,66.3,66.91,92167,0.0,1.0
2015-04-15,67.5,67.52,66.68,67.11,118866,67.5,67.52,66.68,67.11,118866,0.0,1.0
2015-04-16,67.0,67.48,66.06,67.48,126066,67.0,67.48,66.06,67.48,126066,0.0,1.0
2015-04-17,66.33,66.7,65.68,66.4,108850,66.33,66.7,65.68,66.4,108850,0.0,1.0
2015-04-20,67.4,67.6,66.48,66.82,139160,67.4,67.6,66.48,66.82,139160,0.0,1.0
2015-04-21,68.1,68.55,67.11,67.52,163675,68.1,68.55,67.11,67.52,163675,0.0,1.0
2015-04-22,67.03,68.24,66.72,68.2,140189,67.03,68.24,66.72,68.2,140189,0.0,1.0
2015-04-23,67.0,67.2,66.1,66.65,116729,67.0,67.2,66.1,66.65,116729,0.0,1.0
2015-04-24,66.23,67.16,66.06,67.16,78881,66.23,67.16,66.06,67.16,78881,0.0,1.0
2015-04-27,65.85,67.11,64.97,66.17,144620,65.85,67.11,64.97,66.17,144620,0.0,1.0
2015-04-28,65.21,66.11,65.02,65.6,93286,65.21,66.11,65.02,65.6,93286,0.0,1.0
2015-04-29,63.16,65.79,62.87,65.02,228748,63.16,65.79,62.87,65.02,228748,0.0,1.0
2015-04-30,61.89,63.52,60.16,60.2,168831,61.89,63.52,60.16,60.2,168831,0.0,1.0
2015-05-01,62.01,62.3,61.17,61.93,128378,62.01,62.3,61.17,61.93,128378,0.0,1.0
2015-05-04,61.5,62.64,60.87,62.01,88481,61.5,62.64,60.87,62.01,88481,0.0,1.0
