date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2015-02-02,17.99,18.2,17.6,18.04,2485440,17.0603930676,17.2595416248,16.690545747,17.1078093907,2485440,0.0,1.0
2015-02-03,18.59,18.6,18.07,18.13,2128845,17.6293889453,17.6388722099,17.1362591846,17.1931587724,2128845,0.0,1.0
2015-02-04,18.68,18.81,18.47,18.5,1601017,17.714738327,17.8380207671,17.5155897698,17.5440395636,1601017,0.0,1.0
2015-02-05,18.92,19.0,18.52,18.78,1679562,17.9423366781,18.0182027951,17.5630060929,17.8095709732,1679562,0.0,1.0
2015-02-06,18.94,19.15,18.85,18.91,1323568,17.9613032073,18.1604517645,17.8759538257,17.9328534134,1323568,0.0,1.0
2015-02-09,18.98,19.0,18.73,18.83,1214255,17.9992362658,18.0182027951,17.7621546501,17.8569872964,1214255,0.0,1.0
2015-02-10,19.5,19.5,18.84,19.07,1902442,18.4923660265,18.4923660265,17.866470561,18.0845856475,1902442,0.0,1.0
2015-02-11,19.32,19.5,19.23,19.5,1007646,18.3216672632,18.4923660265,18.2363178816,18.4923660265,1007646,0.0,1.0
2015-02-12,19.39,19.5799,19.37,19.42,2011005,18.3880501156,18.5681373109,18.3690835864,18.4164999095,2011005,0.0,1.0
2015-02-13,19.43,19.66,19.32,19.43,1843357,18.4259831741,18.6440982606,18.3216672632,18.4259831741,1843357,0.0,1.0
2015-02-17,19.3,19.44,19.25,19.39,1292426,18.302700734,18.4354664388,18.2552844108,18.3880501156,1292426,0.0,1.0
2015-02-18,19.24,19.42,19.175,19.29,1503132,18.2458011462,18.4164999095,18.1841599261,18.2932174693,1503132,0.0,1.0
2015-02-19,19.5,19.58,19.13,19.14,1221777,18.4923660265,18.5682321436,18.1414852353,18.1509684999,1221777,0.0,1.0
2015-02-20,19.83,19.86,19.26,19.47,1598600,18.8053137593,18.8337635532,18.2647676754,18.4639162326,1598600,0.0,1.0
2015-02-23,19.61,19.9,19.58,19.82,1616264,18.5966819375,18.8716966117,18.5682321436,18.7958304947,1616264,0.0,1.0
2015-02-24,20.0,20.07,19.56,19.63,1457963,18.966529258,19.0329121104,18.5492656143,18.6156484667,1457963,0.0,1.0
2015-02-25,19.63,19.99,19.61,19.84,1561361,18.6725480545,19.0149890784,18.6535235532,18.8723053184,1561361,0.06,1.0
2015-02-26,19.64,19.78,19.54,19.6,1063483,18.6820603052,18.8152318145,18.5869377985,18.6440113025,1063483,0.0,1.0
2015-02-27,19.32,19.62,19.27,19.61,1692996,18.3776682839,18.6630358038,18.3301070306,18.6535235532,1692996,0.0,1.0
2015-03-02,19.97,20.0,19.37,19.42,2104250,18.9959645771,19.0245013291,18.4252295372,18.4727907905,2104250,0.0,1.0
2015-03-03,19.66,20.0,19.6,19.93,1614436,18.7010848065,19.0245013291,18.6440113025,18.9579155744,1614436,0.0,1.0
2015-03-04,19.45,19.575,19.31,19.55,1170869,18.5013275425,18.6202306758,18.3681560332,18.5964500492,1170869,0.0,1.0
2015-03-05,19.3,19.56,19.25,19.5,872877,18.3586437826,18.6059622998,18.3110825292,18.5488887958,872877,0.0,1.0
2015-03-06,19.15,19.37,19.06,19.21,1247258,18.2159600226,18.4252295372,18.1303497666,18.2730335266,1247258,0.0,1.0
2015-03-09,19.13,19.271,19.1,19.13,1074297,18.1969355213,18.3310582556,18.1683987693,18.1969355213,1074297,0.0,1.0
2015-03-10,18.91,19.0,18.69,18.87,1373202,17.9876660066,18.0732762626,17.778396492,17.949617004,1373202,0.0,1.0
2015-03-11,19.04,19.08,18.76,19.03,1314488,18.1113252653,18.1493742679,17.8449822467,18.1018130146,1314488,0.0,1.0
2015-03-12,19.18,19.22,18.9,18.92,1000021,18.2444967746,18.2825457772,17.978153756,17.9971782573,1000021,0.0,1.0
2015-03-13,19.46,19.5,19.01,19.2,1448315,18.5108397932,18.5488887958,18.0827885133,18.2635212759,1448315,0.0,1.0
2015-03-16,19.85,19.88,19.5,19.5,1658772,18.8818175691,18.9103543211,18.5488887958,18.5488887958,1658772,0.0,1.0
2015-03-17,19.66,19.73,19.5,19.63,1321582,18.7010848065,18.7676705611,18.5488887958,18.6725480545,1321582,0.0,1.0
2015-03-18,19.72,19.8,19.37,19.65,1520495,18.7581583105,18.8342563158,18.4252295372,18.6915725558,1520495,0.0,1.0
2015-03-19,19.67,19.75,19.53,19.65,1331601,18.7105970571,18.7866950625,18.5774255478,18.6915725558,1331601,0.0,1.0
2015-03-20,20.1,20.12,19.75,19.84,2888816,19.1196238357,19.138648337,18.7866950625,18.8723053184,2888816,0.0,1.0
2015-03-23,20.01,20.145,19.905,20.05,1066454,19.0340135797,19.1624289637,18.9341349478,19.0720625824,1066454,0.0,1.0
2015-03-24,19.91,20.05,19.8301,19.98,1815280,18.9388910731,19.0720625824,18.8628881903,19.0054768277,1815280,0.0,1.0
2015-03-25,18.81,19.93,18.78,19.93,1803533,17.8925435,18.9579155744,17.864006748,18.9579155744,1803533,0.0,1.0
2015-03-26,18.43,18.75,18.29,18.46,2107935,17.5310779747,17.835469996,17.3979064654,17.5596147267,2107935,0.0,1.0
