date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2015-02-02,125.89,125.91,123.2,125.49,1835608,123.4373602861,123.4569706381,120.7997679502,123.0451532473,1835608,0.0,1.0
2015-02-03,127.33,127.47,125.38,126.43,1796981,124.8493056258,124.9865780894,122.9372963117,123.9668397885,1796981,0.0,1.0
2015-02-04,126.35,128.03,126.03,126.85,1531088,123.8883983808,125.5356679437,123.5746327497,124.3786571793,1531088,0.0,1.0
2015-02-05,127.04,127.49,125.87,126.76,1472761,124.5649555227,125.0061884413,123.4177499342,124.2904105955,1472761,0.0,1.0
2015-02-06,124.8,127.24,124.32,127.0,1573436,122.3685961054,124.7610590421,121.8979476589,124.5257348188,1573436,0.0,1.0
2015-02-09,123.4,124.75,122.93,123.86,1357217,120.9958714696,122.3195702256,120.535028199,121.4469095642,1357217,0.0,1.0
2015-02-10,125.03,125.16,123.63,124.08,1232255,122.5941151527,122.7215824403,121.2213905169,121.6626234356,1232255,0.0,1.0
2015-02-11,125.42,126.19,124.86,125.27,1313650,122.9765170156,123.7315155652,122.4274271612,122.829439376,1313650,0.0,1.0
2015-02-12,126.83,127.08,125.6,126.76,1370737,124.3590468273,124.6041762266,123.153010183,124.2904105955,1370737,0.0,1.0
2015-02-13,127.61,127.71,125.66,126.81,1543592,125.123850553,125.2219023127,123.2118412388,124.3394364754,1543592,0.0,1.0
2015-02-17,128.03,128.17,126.19,127.02,1381943,125.5356679437,125.6729404073,123.7315155652,124.5453451708,1381943,0.0,1.0
2015-02-18,128.0,128.86,126.85,128.0,1402117,125.5062524158,126.3494975492,124.3786571793,125.5062524158,1402117,0.0,1.0
2015-02-19,127.79,128.11,127.09,127.71,1266252,125.3003437204,125.6141093515,124.6139814025,125.2219023127,1266252,0.0,1.0
2015-02-20,131.17,131.22,127.15,127.41,2170746,128.6144931983,128.6635190782,124.6728124584,124.9277470336,2170746,0.0,1.0
2015-02-23,130.98,131.34,130.45,131.0,2086218,128.4281948549,128.7811811898,127.9085205285,128.4478052068,2086218,0.0,1.0
2015-02-24,131.85,131.96,130.27,130.82,1385674,129.2812451643,129.3891020999,127.732027361,128.2713120394,1385674,0.0,1.0
2015-02-25,131.07,132.0,130.78,131.85,1285846,128.5164414386,129.4283228038,128.2320913355,129.2812451643,1285846,0.0,1.0
2015-02-26,130.14,131.15,129.8,130.76,1558414,127.6045600734,128.5948828464,127.2711840904,128.2124809835,1558414,0.0,1.0
2015-02-27,130.0,130.49,129.78,129.81,1070215,127.4672876098,127.9477412323,127.2515737385,127.2809892664,1070215,0.0,1.0
2015-03-02,131.35,131.57,129.64,129.94,1345497,128.7909863658,129.0067002371,127.1143012749,127.408456554,1345497,0.0,1.0
2015-03-03,129.73,130.76,128.96,130.38,1458509,127.2025478586,128.2124809835,126.4475493089,127.8398842967,1458509,0.0,1.0
2015-03-04,128.89,129.66,128.75,129.66,1395506,126.3789130771,127.1339116268,126.2416406136,127.1339116268,1395506,0.0,1.0
2015-03-05,131.46,131.57,129.59,130.32,1544650,128.8988433014,129.0067002371,127.065275395,127.7810532409,1544650,0.0,1.0
2015-03-06,128.51,130.86,128.24,130.75,1972898,126.0063163903,128.3105327432,125.7415766391,128.2026758076,1972898,0.0,1.0
2015-03-09,128.1,128.66,127.67,128.59,992444,125.6043041755,126.1533940298,125.1826816088,126.084757798,992444,0.0,1.0
2015-03-10,127.03,128.47,126.18,127.45,1735000,124.5551503467,125.9670956864,123.7217103893,124.9669677375,1735000,0.0,1.0
2015-03-11,127.94,128.54,127.25,127.5,1152740,125.44742136,126.0357319182,124.7708642181,125.0159936173,1152740,0.0,1.0
2015-03-12,128.6,129.3,127.99,128.51,1251750,126.2416406136,126.9288035096,125.6428272327,126.1532910984,1251750,0.15,1.0
2015-03-13,127.42,129.54,126.61,128.4,1209466,125.0832803031,127.1644022168,124.2881346663,126.0453083576,1209466,0.0,1.0
2015-03-16,132.97,133.0,129.39,129.39,2313264,130.5315004074,130.5609502458,127.0171530248,127.0171530248,2313264,0.0,1.0
2015-03-17,132.35,132.82,130.42,132.55,1544006,129.9228704137,130.3842512153,128.0282641432,130.1192026697,1544006,0.0,1.0
2015-03-18,133.89,134.62,131.11,132.16,1906853,131.434628785,132.1512415194,128.7056104265,129.7363547705,1906853,0.0,1.0
2015-03-19,134.76,135.01,133.77,133.78,1638767,132.2886740986,132.5340894186,131.3168294314,131.3266460442,1638767,0.0,1.0
2015-03-20,136.63,136.88,134.85,135.88,2666340,134.1243806923,134.3697960123,132.3770236138,133.3881347323,2666340,0.0,1.0
2015-03-23,137.87,138.5,135.62,136.36,1830323,135.3416406796,135.960087286,133.1329027995,133.8593321467,1830323,0.0,1.0
2015-03-24,135.65,139.03,135.58,137.37,5124359,133.1623526379,136.4803677644,133.0936363483,134.8508100395,5124359,0.0,1.0
2015-03-25,133.71,136.92,133.605,135.65,1805496,131.2579297546,134.4090624635,131.1548553202,133.1623526379,1805496,0.0,1.0
2015-03-26,133.07,133.97,132.21,132.67,1200832,130.6296665354,131.5131616874,129.7854378345,130.2370020233,1200832,0.0,1.0
2015-03-27,133.69,134.52,133.18,133.24,1104716,131.238296529,132.0530753914,130.7376492762,130.796548953,1104716,0.0,1.0
2015-03-30,135.57,135.8,134.28,134.59,1306432,133.0838197355,133.3096018299,131.8174766842,132.121791681,1306432,0.0,1.0
2015-03-31,134.34,136.24,134.18,134.55,1431681,131.876376361,133.7415327931,131.7193105562,132.0825252298,1431681,0.0,1.0
2015-04-01,132.0,134.72,131.29,134.67,1801438,129.5792889657,132.2494076474,128.8823094569,132.2003245834,1801438,0.0,1.0
2015-04-02,133.11,133.68,131.9,132.26,841073,130.6689329866,131.2284799162,129.4811228377,129.8345208985,841073,0.0,1.0
2015-04-06,133.5,134.15,132.27,132.46,980190,131.0517808858,131.6898607178,129.8443375113,130.0308531545,980190,0.0,1.0
2015-04-07,133.02,135.0,133.02,133.96,945557,130.5805834714,132.5242728058,130.5805834714,131.5033450746,945557,0.0,1.0
2015-04-08,132.82,134.16,132.11,133.0,1268620,130.3842512153,131.6996773306,129.6872717065,130.5609502458,1268620,0.0,1.0
2015-04-09,133.57,133.88,132.43,132.91,750593,131.1204971754,131.4248121722,130.0014033161,130.4726007306,750593,0.0,1.0
2015-04-10,133.73,134.45,132.92,133.43,820028,131.2775629802,131.9843591018,130.4824173434,130.9830645962,820028,0.0,1.0
2015-04-13,132.72,134.24,132.72,133.29,810592,130.2860850873,131.778210233,130.2860850873,130.845632017,810592,0.0,1.0
2015-04-14,132.68,133.17,132.08,132.72,1073546,130.2468186361,130.7278326634,129.6578218681,130.2860850873,1073546,0.0,1.0
2015-04-15,133.62,133.98,132.98,133.16,944039,131.1695802394,131.5229783002,130.5413170202,130.7180160506,944039,0.0,1.0
2015-04-16,132.49,133.53,132.31,133.26,1547435,130.0603029929,131.0812307242,129.8836039625,130.8161821786,1547435,0.0,1.0
2015-04-17,132.1,132.29,130.87,131.81,2040270,129.6774550937,129.8639707369,128.4700117193,129.3927733225,2040270,0.0,1.0
