date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2015-02-02,81.365,81.85,78.95,81.12,1047683,75.232837801,75.6812852456,72.9998469168,75.0063024939,1047683,0.0,1.0
2015-02-03,83.11,83.24,80.87,81.6,1576502,76.8463239678,76.9665263756,74.7751440173,75.450126769,1576502,0.0,1.0
2015-02-04,83.36,83.7232,82.57,82.97,862725,77.0774824444,77.4133094793,76.3470216583,76.7168752209,862725,0.0,1.0
2015-02-05,83.5,84.2199,82.35,83.01,853246,77.2069311913,77.8725751406,76.1436021989,76.7538605772,853246,0.0,1.0
2015-02-06,82.93,84.08,82.5,83.53,670930,76.6798898646,77.7432188571,76.2822972848,77.2346702085,670930,0.0,1.0
2015-02-09,82.43,83.33,82.18,82.7,746687,76.2175729114,77.0497434272,75.9864144348,76.4672240661,746687,0.0,1.0
2015-02-10,83.25,83.7,82.31,82.39,650562,76.9757727147,77.3918579726,76.1066168426,76.1805875551,650562,0.0,1.0
2015-02-11,82.44,83.57,82.19,82.84,629786,76.2268192505,77.2716555648,75.9956607738,76.596672813,629786,0.0,1.0
2015-02-12,83.27,83.33,82.32,82.72,580482,76.9942653928,77.0497434272,76.1158631817,76.4857167443,580482,0.0,1.0
2015-02-13,84.26,84.5,83.48,84.0,887757,77.9096529603,78.1315650978,77.1884385132,77.6692481446,887757,0.0,1.0
2015-02-17,84.57,84.75,83.452,84.26,998085,78.1962894713,78.3627235744,77.1625487638,77.9096529603,998085,0.0,1.0
2015-02-18,84.88,84.99,83.93,84.57,584651,78.4829259823,78.584635712,77.6045237711,78.1962894713,584651,0.0,1.0
2015-02-19,85.57,86.35,84.88,85.0,646762,79.2688648028,79.9914277868,78.6296744707,78.7408380067,646762,0.16,1.0
2015-02-20,88.12,88.46,85.81,85.94,1341011,81.631089943,81.946053295,79.4911918748,79.6116190388,1341011,0.0,1.0
2015-02-23,88.38,88.95,87.82,88.0,1122773,81.871944271,82.3999710671,81.353181103,81.519926407,1122773,0.0,1.0
2015-02-24,89.06,90.49,88.43,88.71,1346289,82.5018709751,83.8265697792,81.918262411,82.177643995,1346289,0.0,1.0
2015-02-25,89.975,90.275,89.05,89.51,1348524,83.3494929371,83.6274017772,82.4926073471,82.9187342351,1348524,0.0,1.0
2015-02-26,88.88,90.2,88.73,89.68,890215,82.335125671,83.5579245672,82.196171251,83.0762159111,890215,0.0,1.0
2015-02-27,88.12,89.446,87.96,89.25,687211,81.631089943,82.8594470159,81.482871895,82.6778799071,687211,0.0,1.0
2015-03-02,89.31,89.35,88.3,88.42,756756,82.7334616751,82.7705161871,81.797835247,81.908998783,756756,0.0,1.0
2015-03-03,86.58,89.03,86.07,88.92,1571036,80.2044912309,82.4740800911,79.7320462028,82.372180183,1571036,0.0,1.0
2015-03-04,85.13,86.47,84.35,84.95,1117849,78.8612651707,80.1025913229,78.1387021867,78.6945198667,1117849,0.0,1.0
2015-03-05,85.35,85.75,85.15,85.33,714349,79.0650649868,79.4356101068,78.8797924268,79.0465377308,714349,0.0,1.0
2015-03-06,84.68,85.49,84.41,84.81,691439,78.4444019107,79.1947557788,78.1942839547,78.5648290747,691439,0.0,1.0
2015-03-09,85.38,85.63,84.58,84.87,565231,79.0928558708,79.3244465708,78.3517656307,78.6204108427,565231,0.0,1.0
2015-03-10,84.06,84.9,84.0403,84.48,533351,77.8700569747,78.6482017267,77.8518076275,78.2591293507,533351,0.0,1.0
2015-03-11,84.73,85.24,84.06,84.21,584624,78.4907200507,78.9631650788,77.8700569747,78.0090113947,584624,0.0,1.0
2015-03-12,87.25,87.39,85.03,85.28,806806,80.8251543069,80.9548450989,78.7686288907,79.0002195908,806806,0.0,1.0
2015-03-13,86.26,88.52,85.66,88.33,651507,79.9080551348,82.001635063,79.3522374548,81.825626131,651507,0.0,1.0
2015-03-16,88.32,88.39,86.55,86.69,546946,81.816362503,81.881207899,80.1767003469,80.3063911389,546946,0.0,1.0
2015-03-17,87.72,88.232,87.25,88.04,466700,81.260544823,81.7348425766,80.8251543069,81.556980919,466700,0.0,1.0
2015-03-18,88.2,88.335,86.32,87.48,480226,81.705198967,81.830257945,79.9636369028,81.0382177509,480226,0.0,1.0
2015-03-19,88.01,88.42,87.6798,88.1,481374,81.529190035,81.908998783,81.2233050384,81.612562687,481374,0.0,1.0
2015-03-20,88.945,89.46,88.2,88.7,923981,82.3953392531,82.8724160951,81.705198967,82.168380367,923981,0.0,1.0
2015-03-23,88.19,89.57,88.09,89.13,682442,81.695935339,82.9743160031,81.603299059,82.5667163711,682442,0.0,1.0
2015-03-24,87.585,88.66,87.57,87.95,561258,81.1354858449,82.131325855,81.1215904029,81.473608267,561258,0.0,1.0
2015-03-25,85.91,87.74,85.89,87.52,575283,79.5838281548,81.279072079,79.5653008988,81.0752722629,575283,0.0,1.0
2015-03-26,85.23,85.47,84.27,85.43,1015505,78.9539014508,79.1762285228,78.0645931627,79.1391740108,1015505,0.0,1.0
2015-03-27,86.17,86.61,84.83,85.14,474197,79.8246824828,80.2322821149,78.5833563307,78.8705287987,474197,0.0,1.0
2015-03-30,86.575,87.45,86.41,86.93,681814,80.1998594169,81.0104268669,80.0470095549,80.5287182109,681814,0.0,1.0
2015-03-31,85.06,86.85,85.04,86.08,1061273,78.7964197747,80.4546091869,78.7778925187,79.7413098308,1061273,0.0,1.0
2015-04-01,84.71,84.97,83.7,84.88,605828,78.4721927947,78.7130471227,77.5365663666,78.6296744707,605828,0.0,1.0
2015-04-02,85.62,85.95,84.62,84.72,454603,79.3151829428,79.6208826668,78.3888201427,78.4814564227,454603,0.0,1.0
2015-04-06,86.24,86.72,84.45,84.85,454876,79.8895278788,80.3341820229,78.2313384667,78.6018835867,454876,0.0,1.0
2015-04-07,85.375,86.73,85.37,85.98,709364,79.0882240568,80.3434456509,79.0835922428,79.6486735508,709364,0.0,1.0
2015-04-08,85.57,86.269,84.959,85.5,479331,79.2688648028,79.9163924,78.7028571319,79.2040194068,479331,0.0,1.0
2015-04-09,86.0,86.06,84.19,85.5,910328,79.6672008068,79.7227825748,77.9904841387,79.2040194068,910328,0.0,1.0
2015-04-10,87.28,87.86,85.91,86.12,689601,80.8529451909,81.390235615,79.5838281548,79.7783643428,689601,0.0,1.0
2015-04-13,87.5,88.14,87.06,87.17,558928,81.0567450069,81.649617199,80.6491453749,80.7510452829,558928,0.0,1.0
2015-04-14,87.33,88.16,86.76,87.18,662095,80.8992633309,81.668144455,80.3712365349,80.7603089109,662095,0.0,1.0
2015-04-15,86.45,87.96,86.34,87.56,403897,80.0840640669,81.482871895,79.9821641588,81.1123267749,403897,0.0,1.0
2015-04-16,86.47,86.6598,85.79,86.24,379840,80.1025913229,80.2784149823,79.4726646188,79.8895278788,379840,0.0,1.0
2015-04-17,87.0,87.22,85.1,85.37,945765,80.5935636069,80.7973634229,78.8334742867,79.0835922428,945765,0.0,1.0
2015-04-20,88.53,89.1,87.72,87.81,983288,82.010898691,82.5389254871,81.260544823,81.343917475,983288,0.0,1.0
2015-04-21,90.82,90.91,88.5,89.2,1327956,84.1322695032,84.2156421552,81.983107807,82.6315617671,1327956,0.0,1.0
2015-04-22,90.83,91.04,88.69,90.98,1272586,84.1415331312,84.3360693192,82.159116739,84.2804875512,1272586,0.0,1.0
2015-04-23,91.26,91.9,89.82,91.59,1180542,84.5398691352,85.1327413273,83.2059067031,84.8455688593,1180542,0.0,1.0
2015-04-24,90.98,91.65,90.66,91.62,938345,84.2804875512,84.9011506273,83.9840514552,84.8733597433,938345,0.0,1.0
2015-04-27,90.65,91.585,90.21,91.23,902510,83.9747878272,84.8409370453,83.5671881952,84.5120782512,902510,0.0,1.0
2015-04-28,89.6,90.43,89.01,90.43,1061147,83.0021068871,83.7709880112,82.4555528351,83.7709880112,1061147,0.0,1.0
2015-04-29,88.45,90.14,88.05,89.6,804959,81.936789667,83.5023427991,81.566244547,83.0021068871,804959,0.0,1.0
