date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2015-02-02,28.55,28.84,28.12,28.75,508700,28.55,28.84,28.12,28.75,508700,0.0,1.0
2015-02-03,29.47,29.57,28.25,28.54,475600,29.47,29.57,28.25,28.54,475600,0.0,1.0
2015-02-04,30.0,30.38,29.32,29.45,759100,30.0,30.38,29.32,29.45,759100,0.0,1.0
2015-02-05,30.08,30.97,29.43,30.48,913900,30.08,30.97,29.43,30.48,913900,0.0,1.0
2015-02-06,30.16,30.4,29.5,30.0,705500,30.16,30.4,29.5,30.0,705500,0.0,1.0
2015-02-09,29.8,30.48,29.67,30.15,729600,29.8,30.48,29.67,30.15,729600,0.0,1.0
2015-02-10,30.05,30.47,29.9,29.9,649600,30.05,30.47,29.9,29.9,649600,0.0,1.0
2015-02-11,29.91,30.35,29.87,30.06,567100,29.91,30.35,29.87,30.06,567100,0.0,1.0
2015-02-12,29.95,30.17,29.6101,30.0,499700,29.95,30.17,29.6101,30.0,499700,0.0,1.0
2015-02-13,30.12,30.5,29.81,30.11,812600,30.12,30.5,29.81,30.11,812600,0.0,1.0
2015-02-17,29.9,30.2491,29.6,30.12,565600,29.9,30.2491,29.6,30.12,565600,0.0,1.0
2015-02-18,31.0,31.779,30.04,30.28,2532800,31.0,31.779,30.04,30.28,2532800,0.0,1.0
2015-02-19,30.85,31.55,30.54,31.19,874200,30.85,31.55,30.54,31.19,874200,0.0,1.0
2015-02-20,30.58,31.0448,30.52,30.93,545800,30.58,31.0448,30.52,30.93,545800,0.0,1.0
2015-02-23,29.99,30.5499,29.06,30.49,1166700,29.99,30.5499,29.06,30.49,1166700,0.0,1.0
2015-02-24,29.93,30.1,29.59,30.0,959700,29.93,30.1,29.59,30.0,959700,0.0,1.0
2015-02-25,30.3,30.58,29.87,29.88,479300,30.3,30.58,29.87,29.88,479300,0.0,1.0
2015-02-26,31.46,31.6399,30.34,30.75,1118300,31.46,31.6399,30.34,30.75,1118300,0.0,1.0
2015-02-27,30.87,31.54,30.515,31.46,563700,30.87,31.54,30.515,31.46,563700,0.0,1.0
2015-03-02,30.99,31.35,30.62,30.87,878000,30.99,31.35,30.62,30.87,878000,0.0,1.0
2015-03-03,32.69,33.1,30.76,30.89,4002200,32.69,33.1,30.76,30.89,4002200,0.0,1.0
2015-03-04,25.72,27.75,24.421,27.7,19427400,25.72,27.75,24.421,27.7,19427400,0.0,1.0
2015-03-05,24.73,25.9,24.7101,25.9,5838100,24.73,25.9,24.7101,25.9,5838100,0.0,1.0
2015-03-06,24.63,25.25,24.42,24.71,3501700,24.63,25.25,24.42,24.71,3501700,0.0,1.0
2015-03-09,24.81,24.98,24.421,24.56,2319700,24.81,24.98,24.421,24.56,2319700,0.0,1.0
2015-03-10,24.26,24.7,23.82,24.52,2010400,24.26,24.7,23.82,24.52,2010400,0.0,1.0
2015-03-11,24.4,24.48,23.87,24.25,1170200,24.4,24.48,23.87,24.25,1170200,0.0,1.0
2015-03-12,24.96,25.44,24.28,24.39,1268900,24.96,25.44,24.28,24.39,1268900,0.0,1.0
2015-03-13,24.86,25.4,24.752,24.96,965700,24.86,25.4,24.752,24.96,965700,0.0,1.0
2015-03-16,24.93,25.095,24.73,24.96,765700,24.93,25.095,24.73,24.96,765700,0.0,1.0
2015-03-17,27.73,28.0,25.69,25.9,3465100,27.73,28.0,25.69,25.9,3465100,0.0,1.0
2015-03-18,27.48,27.78,27.0,27.52,1493700,27.48,27.78,27.0,27.52,1493700,0.0,1.0
2015-03-19,27.93,28.05,27.2676,27.89,1161900,27.93,28.05,27.2676,27.89,1161900,0.0,1.0
2015-03-20,27.28,28.0,27.25,27.8,1786500,27.28,28.0,27.25,27.8,1786500,0.0,1.0
2015-03-23,26.37,27.31,26.21,27.27,1286000,26.37,27.31,26.21,27.27,1286000,0.0,1.0
