date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2015-04-16,22.18,23.67,21.99,23.0,15680086,17.1164164412,18.2662568604,16.9697924951,17.7492145242,15680086,0.0,1.0
2015-04-17,22.66,23.95,22.29,22.45,3868850,17.4868348313,18.4823342546,17.2013039889,17.3247767856,3868850,0.0,1.0
2015-04-20,22.96,24.25,22.86,24.1,1960780,17.7183463251,18.7138457484,17.6411758271,18.5980900015,1960780,0.0,1.0
2015-04-21,22.35,23.27,22.05,23.0,1242621,17.2476062877,17.9575748687,17.0160947939,17.7492145242,1242621,0.0,1.0
2015-04-22,21.81,22.691,21.44,22.5,936362,16.8308855989,17.5107576856,16.5453547565,17.3633620346,936362,0.0,1.0
2015-04-23,22.6,22.65,21.62,21.8,447842,17.4405325325,17.4791177815,16.6842616528,16.8231685491,447842,0.0,1.0
2015-04-24,22.155,22.92,22.15,22.88,747597,17.0971238167,17.6874781259,17.0932652918,17.6566099267,747597,0.0,1.0
2015-04-27,21.25,22.4,21.0301,22.4,1184686,16.3987308104,17.2861915367,16.2290328855,17.2861915367,1184686,0.0,1.0
2015-04-28,21.68,21.78,20.75,21.27,722075,16.7305639515,16.8077344495,16.0128783208,16.41416491,722075,0.0,1.0
2015-04-29,21.31,22.0246,21.16,21.32,293777,16.4450331092,16.9964934874,16.3292773623,16.452750159,293777,0.0,1.0
2015-04-30,21.39,21.93,21.0276,21.43,434281,16.5067695075,16.9234901964,16.227103623,16.5376377067,434281,0.0,1.0
2015-05-01,21.4,21.67,21.3,21.6,306536,16.5144865573,16.7228469018,16.4373160594,16.6688275532,306536,0.0,1.0
2015-05-04,21.15,21.6814,21.03,21.44,660189,16.3215603125,16.7316443385,16.228955715,16.5453547565,660189,0.0,1.0
2015-05-05,21.79,21.85,21.27,21.39,457724,16.8154514993,16.861753798,16.41416491,16.5067695075,457724,0.0,1.0
2015-05-06,22.14,22.5,21.85,22.34,844104,17.085548242,17.3633620346,16.861753798,17.2398892379,844104,0.0,1.0
2015-05-07,22.39,22.45,22.3,22.45,469971,17.2784744869,17.3247767856,17.2090210387,17.3247767856,469971,0.0,1.0
2015-05-08,22.3,22.95,22.26,22.47,673559,17.2090210387,17.7106292753,17.1781528395,17.3402108852,673559,0.0,1.0
2015-05-11,22.52,22.78,21.69,21.94,762673,17.3787961342,17.5794394288,16.7382810013,16.9312072462,762673,0.0,1.0
2015-05-12,22.32,22.69,22.21,22.55,259771,17.2244551383,17.5099859807,17.1395675906,17.4019472835,259771,0.0,1.0
2015-05-13,21.84,22.47,21.75,22.31,521173,16.8540367482,17.3402108852,16.7845833001,17.2167380885,521173,0.0,1.0
