date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2015-02-02,111.18,111.362,107.08,110.31,1797560,111.18,111.362,107.08,110.31,1797560,0.0,1.0
2015-02-03,108.72,111.66,106.62,111.18,2205090,108.72,111.66,106.62,111.18,2205090,0.0,1.0
2015-02-04,109.27,110.64,103.75,107.5,2302622,109.27,110.64,103.75,107.5,2302622,0.0,1.0
2015-02-05,111.59,111.86,108.27,109.42,1099180,111.59,111.86,108.27,109.42,1099180,0.0,1.0
2015-02-06,108.66,112.87,106.8,107.12,1718740,108.66,112.87,106.8,107.12,1718740,0.0,1.0
2015-02-09,107.88,109.5999,107.16,108.29,1183820,107.88,109.5999,107.16,108.29,1183820,0.0,1.0
2015-02-10,108.43,109.78,107.43,108.34,1282335,108.43,109.78,107.43,108.34,1282335,0.0,1.0
2015-02-11,108.62,110.22,107.23,108.68,990870,108.62,110.22,107.23,108.68,990870,0.0,1.0
2015-02-12,109.63,109.97,108.065,109.43,1328765,109.63,109.97,108.065,109.43,1328765,0.0,1.0
2015-02-13,113.66,113.85,108.0001,109.99,1689561,113.66,113.85,108.0001,109.99,1689561,0.0,1.0
2015-02-17,113.4,115.68,112.535,113.61,999112,113.4,115.68,112.535,113.61,999112,0.0,1.0
2015-02-18,113.57,113.78,111.84,112.34,960912,113.57,113.78,111.84,112.34,960912,0.0,1.0
2015-02-19,111.97,113.99,111.68,113.47,1244059,111.97,113.99,111.68,113.47,1244059,0.0,1.0
2015-02-20,118.61,118.793,111.78,112.55,2467549,118.61,118.793,111.78,112.55,2467549,0.0,1.0
2015-02-23,117.12,119.91,116.07,118.28,1262645,117.12,119.91,116.07,118.28,1262645,0.0,1.0
2015-02-24,116.92,117.31,114.71,117.31,1011019,116.92,117.31,114.71,117.31,1011019,0.0,1.0
2015-02-25,118.84,121.5,115.43,115.435,1651106,118.84,121.5,115.43,115.435,1651106,0.0,1.0
2015-02-26,119.97,120.23,116.5,119.05,1303281,119.97,120.23,116.5,119.05,1303281,0.0,1.0
2015-02-27,119.43,120.52,118.21,119.92,1050126,119.43,120.52,118.21,119.92,1050126,0.0,1.0
2015-03-02,120.17,120.72,118.44,120.62,1511228,120.17,120.72,118.44,120.62,1511228,0.0,1.0
2015-03-03,123.52,123.82,119.11,120.06,1533144,123.52,123.82,119.11,120.06,1533144,0.0,1.0
2015-03-04,120.05,123.4,119.75,123.13,1363212,120.05,123.4,119.75,123.13,1363212,0.0,1.0
2015-03-05,126.96,127.36,120.28,120.79,2413717,126.96,127.36,120.28,120.79,2413717,0.0,1.0
2015-03-06,126.34,126.96,124.78,126.84,1581081,126.34,126.96,124.78,126.84,1581081,0.0,1.0
2015-03-09,126.98,127.419,125.0,126.34,1402960,126.98,127.419,125.0,126.34,1402960,0.0,1.0
2015-03-10,124.14,126.38,123.9,125.89,1672403,124.14,126.38,123.9,125.89,1672403,0.0,1.0
2015-03-11,122.64,124.64,121.78,124.52,1570934,122.64,124.64,121.78,124.52,1570934,0.0,1.0
2015-03-12,123.31,123.66,121.18,123.21,1371595,123.31,123.66,121.18,123.21,1371595,0.0,1.0
2015-03-13,124.0,125.69,121.065,123.31,1354443,124.0,125.69,121.065,123.31,1354443,0.0,1.0
2015-03-16,127.73,129.42,124.77,124.86,1974548,127.73,129.42,124.77,124.86,1974548,0.0,1.0
2015-03-17,129.15,129.46,126.46,127.16,1195647,129.15,129.46,126.46,127.16,1195647,0.0,1.0
2015-03-18,129.79,130.95,127.51,129.63,1926812,129.79,130.95,127.51,129.63,1926812,0.0,1.0
2015-03-19,134.25,134.41,130.07,131.16,2143332,134.25,134.41,130.07,131.16,2143332,0.0,1.0
2015-03-20,131.0,136.33,130.63,135.0,5731415,131.0,136.33,130.63,135.0,5731415,0.0,1.0
2015-03-23,125.79,128.54,122.0,123.62,5118515,125.79,128.54,122.0,123.62,5118515,0.0,1.0
2015-03-24,124.335,128.8,124.13,126.24,1780271,124.335,128.8,124.13,126.24,1780271,0.0,1.0
2015-03-25,118.64,126.29,118.16,124.5,2429906,118.64,126.29,118.16,124.5,2429906,0.0,1.0
2015-03-26,117.6,120.02,116.61,118.94,1902885,117.6,120.02,116.61,118.94,1902885,0.0,1.0
2015-03-27,120.34,120.78,117.45,117.73,1618094,120.34,120.78,117.45,117.73,1618094,0.0,1.0
2015-03-30,121.25,122.14,119.52,121.23,1263776,121.25,122.14,119.52,121.23,1263776,0.0,1.0
2015-03-31,117.97,121.02,117.81,119.98,1525084,117.97,121.02,117.81,119.98,1525084,0.0,1.0
2015-04-01,116.43,117.59,113.68,117.59,1910642,116.43,117.59,113.68,117.59,1910642,0.0,1.0
2015-04-02,117.23,117.74,114.32,115.85,1513946,117.23,117.74,114.32,115.85,1513946,0.0,1.0
2015-04-06,118.25,120.0,115.11,116.1,1252182,118.25,120.0,115.11,116.1,1252182,0.0,1.0
2015-04-07,120.47,122.06,118.12,118.12,1113197,120.47,122.06,118.12,118.12,1113197,0.0,1.0
2015-04-08,123.79,124.56,120.33,120.83,1356888,123.79,124.56,120.33,120.83,1356888,0.0,1.0
2015-04-09,125.64,125.75,123.09,123.67,1091722,125.64,125.75,123.09,123.67,1091722,0.0,1.0
