date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2015-02-02,81.39,81.44,78.4,79.65,1165283,81.39,81.44,78.4,79.65,1165283,0.0,1.0
2015-02-03,84.74,84.99,81.7,81.79,2152290,84.74,84.99,81.7,81.79,2152290,0.0,1.0
2015-02-04,84.92,85.54,83.69,84.03,1037828,84.92,85.54,83.69,84.03,1037828,0.0,1.0
2015-02-05,87.63,87.97,85.41,85.75,1444921,87.63,87.97,85.41,85.75,1444921,0.0,1.0
2015-02-06,86.43,87.58,86.27,87.37,679412,86.43,87.58,86.27,87.37,679412,0.0,1.0
2015-02-09,86.09,86.73,85.07,85.99,680386,86.09,86.73,85.07,85.99,680386,0.0,1.0
2015-02-10,86.14,87.04,85.59,86.79,747967,86.14,87.04,85.59,86.79,747967,0.0,1.0
2015-02-11,88.87,89.27,85.95,86.09,1338760,88.87,89.27,85.95,86.09,1338760,0.0,1.0
2015-02-12,91.17,91.255,88.64,88.88,1295905,91.17,91.255,88.64,88.88,1295905,0.0,1.0
2015-02-13,91.84,92.38,90.35,91.0,994198,91.84,92.38,90.35,91.0,994198,0.0,1.0
2015-02-17,90.92,91.705,90.35,91.37,1640785,90.92,91.705,90.35,91.37,1640785,0.0,1.0
2015-02-18,91.3,91.705,90.55,90.63,814872,91.3,91.705,90.55,90.63,814872,0.0,1.0
2015-02-19,91.87,92.11,90.79,90.83,783274,91.87,92.11,90.79,90.83,783274,0.0,1.0
2015-02-20,92.74,92.74,91.1,91.68,842821,92.74,92.74,91.1,91.68,842821,0.0,1.0
2015-02-23,91.99,93.16,91.81,93.0,825373,91.99,93.16,91.81,93.0,825373,0.0,1.0
2015-02-24,93.03,93.06,91.06,91.49,1233120,93.03,93.06,91.06,91.49,1233120,0.0,1.0
2015-02-25,93.94,95.17,91.56,92.49,2112617,93.94,95.17,91.56,92.49,2112617,0.0,1.0
2015-02-26,88.65,94.72,84.65,94.52,6924591,88.65,94.72,84.65,94.52,6924591,0.0,1.0
2015-02-27,85.5,89.09,85.31,88.65,2761698,85.5,89.09,85.31,88.65,2761698,0.0,1.0
2015-03-02,88.81,88.96,84.8,85.6,2342592,88.81,88.96,84.8,85.6,2342592,0.0,1.0
2015-03-03,88.12,90.61,87.79,89.13,2477472,88.12,90.61,87.79,89.13,2477472,0.0,1.0
2015-03-04,82.64,88.28,82.32,88.0,3426634,82.64,88.28,82.32,88.0,3426634,0.0,1.0
2015-03-05,84.21,84.42,81.81,82.72,1800210,84.21,84.42,81.81,82.72,1800210,0.0,1.0
2015-03-06,82.61,84.71,82.2,83.83,1313008,82.61,84.71,82.2,83.83,1313008,0.0,1.0
2015-03-09,83.03,83.05,81.3,82.66,1146054,83.03,83.05,81.3,82.66,1146054,0.0,1.0
2015-03-10,81.29,82.0,80.8201,81.97,1116811,81.29,82.0,80.8201,81.97,1116811,0.0,1.0
2015-03-11,82.33,82.97,80.894,81.73,993366,82.33,82.97,80.894,81.73,993366,0.0,1.0
2015-03-12,83.17,83.63,82.01,82.77,1037557,83.17,83.63,82.01,82.77,1037557,0.0,1.0
2015-03-13,82.56,83.5,81.95,82.54,544532,82.56,83.5,81.95,82.54,544532,0.0,1.0
2015-03-16,83.87,83.92,82.29,83.15,713665,83.87,83.92,82.29,83.15,713665,0.0,1.0
2015-03-17,83.4,83.87,82.74,82.91,969851,83.4,83.87,82.74,82.91,969851,0.0,1.0
2015-03-18,84.89,85.5,82.7,82.9,1165798,84.89,85.5,82.7,82.9,1165798,0.0,1.0
2015-03-19,85.35,86.0,84.49,84.66,952293,85.35,86.0,84.49,84.66,952293,0.0,1.0
2015-03-20,84.91,86.19,84.43,86.02,1316290,84.91,86.19,84.43,86.02,1316290,0.0,1.0
2015-03-23,85.22,86.0,83.89,84.75,1201713,85.22,86.0,83.89,84.75,1201713,0.0,1.0
2015-03-24,86.49,87.84,84.94,85.09,1358885,86.49,87.84,84.94,85.09,1358885,0.0,1.0
2015-03-25,83.26,86.376,82.68,86.21,1446801,83.26,86.376,82.68,86.21,1446801,0.0,1.0
2015-03-26,83.98,84.56,82.5,82.81,2130861,83.98,84.56,82.5,82.81,2130861,0.0,1.0
2015-03-27,85.06,85.6,83.2,83.88,970411,85.06,85.6,83.2,83.88,970411,0.0,1.0
2015-03-30,86.14,86.37,84.49,85.41,858035,86.14,86.37,84.49,85.41,858035,0.0,1.0
2015-03-31,84.41,86.77,84.27,85.9,1173809,84.41,86.77,84.27,85.9,1173809,0.0,1.0
2015-04-01,83.41,84.74,81.39,83.59,2494851,83.41,84.74,81.39,83.59,2494851,0.0,1.0
2015-04-02,86.23,86.73,82.89,83.25,1474509,86.23,86.73,82.89,83.25,1474509,0.0,1.0
2015-04-06,88.5,89.33,85.21,85.66,1518816,88.5,89.33,85.21,85.66,1518816,0.0,1.0
2015-04-07,87.48,89.32,87.31,88.92,1156611,87.48,89.32,87.31,88.92,1156611,0.0,1.0
2015-04-08,88.0,89.15,87.26,87.69,1163752,88.0,89.15,87.26,87.69,1163752,0.0,1.0
2015-04-09,87.69,88.46,86.62,88.02,991444,87.69,88.46,86.62,88.02,991444,0.0,1.0
2015-04-10,88.7,89.65,87.66,87.91,861319,88.7,89.65,87.66,87.91,861319,0.0,1.0
2015-04-13,87.27,89.57,87.1611,88.4,1706966,87.27,89.57,87.1611,88.4,1706966,0.0,1.0
2015-04-14,86.38,87.4,84.95,87.25,1120073,86.38,87.4,84.95,87.25,1120073,0.0,1.0
2015-04-15,88.18,88.505,85.16,87.11,1345728,88.18,88.505,85.16,87.11,1345728,0.0,1.0
2015-04-16,89.72,90.29,88.3,88.3,1737045,89.72,90.29,88.3,88.3,1737045,0.0,1.0
2015-04-17,84.37,88.125,84.17,87.67,3561180,84.37,88.125,84.17,87.67,3561180,0.0,1.0
2015-04-20,86.11,86.29,84.21,85.0,1677511,86.11,86.29,84.21,85.0,1677511,0.0,1.0
2015-04-21,86.02,87.5,85.83,86.57,952344,86.02,87.5,85.83,86.57,952344,0.0,1.0
2015-04-22,87.59,87.67,85.44,85.9,1055761,87.59,87.67,85.44,85.9,1055761,0.0,1.0
2015-04-23,87.9,88.7,85.64,86.76,904786,87.9,88.7,85.64,86.76,904786,0.0,1.0
2015-04-24,88.53,89.41,87.79,88.46,819934,88.53,89.41,87.79,88.46,819934,0.0,1.0
2015-04-27,87.77,89.52,87.65,88.6,617522,87.77,89.52,87.65,88.6,617522,0.0,1.0
2015-04-28,86.64,88.4,86.245,87.92,885787,86.64,88.4,86.245,87.92,885787,0.0,1.0
2015-04-29,90.22,92.5,85.8,86.15,3585144,90.22,92.5,85.8,86.15,3585144,0.0,1.0
2015-04-30,91.21,91.33,88.96,89.05,1680244,91.21,91.33,88.96,89.05,1680244,0.0,1.0
2015-05-01,89.5,91.87,88.82,91.21,1160525,89.5,91.87,88.82,91.21,1160525,0.0,1.0
2015-05-04,90.74,91.4499,89.37,89.49,753864,90.74,91.4499,89.37,89.49,753864,0.0,1.0
2015-05-05,90.07,92.48,89.06,90.14,1665394,90.07,92.48,89.06,90.14,1665394,0.0,1.0
2015-05-06,90.48,91.3,88.9424,89.97,1111778,90.48,91.3,88.9424,89.97,1111778,0.0,1.0
2015-05-07,89.68,90.23,87.69,90.23,1425375,89.68,90.23,87.69,90.23,1425375,0.0,1.0
2015-05-08,89.51,91.22,89.38,90.26,611093,89.51,91.22,89.38,90.26,611093,0.0,1.0
2015-05-11,90.26,90.48,89.29,89.6,708915,90.26,90.48,89.29,89.6,708915,0.0,1.0
2015-05-12,88.41,89.585,87.5955,89.48,1106881,88.41,89.585,87.5955,89.48,1106881,0.0,1.0
2015-05-13,89.19,89.96,88.41,88.9,868396,89.19,89.96,88.41,88.9,868396,0.0,1.0
2015-05-14,90.85,91.92,88.3,89.51,2248392,90.85,91.92,88.3,89.51,2248392,0.0,1.0
2015-05-15,90.08,90.78,89.55,90.29,955682,90.08,90.78,89.55,90.29,955682,0.0,1.0
2015-05-18,91.9,92.36,90.06,90.25,1186608,91.9,92.36,90.06,90.25,1186608,0.0,1.0
2015-05-19,90.65,92.5,90.54,91.77,925387,90.65,92.5,90.54,91.77,925387,0.0,1.0
2015-05-20,90.43,92.0,88.81,92.0,1637803,90.43,92.0,88.81,92.0,1637803,0.0,1.0
2015-05-21,91.82,92.29,89.71,91.69,1267959,91.82,92.29,89.71,91.69,1267959,0.0,1.0
2015-05-22,92.18,92.72,91.0105,91.7,1458456,92.18,92.72,91.0105,91.7,1458456,0.0,1.0
2015-05-26,92.49,93.62,91.52,91.67,4267803,92.49,93.62,91.52,91.67,4267803,0.0,1.0
2015-05-27,82.0,85.0,81.14,84.03,9322465,82.0,85.0,81.14,84.03,9322465,0.0,1.0
2015-05-28,80.14,82.64,79.7,82.21,4362031,80.14,82.64,79.7,82.21,4362031,0.0,1.0
2015-05-29,78.92,80.02,78.46,79.89,3062218,78.92,80.02,78.46,79.89,3062218,0.0,1.0
2015-06-01,79.09,79.5349,78.24,79.09,2007646,79.09,79.5349,78.24,79.09,2007646,0.0,1.0
2015-06-02,79.8,80.74,78.68,79.61,2205588,79.8,80.74,78.68,79.61,2205588,0.0,1.0
2015-06-03,80.65,80.99,78.56,79.5,2248369,80.65,80.99,78.56,79.5,2248369,0.0,1.0
2015-06-04,78.21,80.2799,77.8,79.97,1983381,78.21,80.2799,77.8,79.97,1983381,0.0,1.0
2015-06-05,79.38,79.58,77.5,78.62,1319971,79.38,79.58,77.5,78.62,1319971,0.0,1.0
2015-06-08,78.04,79.38,77.18,79.27,1313699,78.04,79.38,77.18,79.27,1313699,0.0,1.0
2015-06-09,78.13,78.36,77.05,78.17,896948,78.13,78.36,77.05,78.17,896948,0.0,1.0
2015-06-10,79.6,79.7199,78.144,78.32,1792968,79.6,79.7199,78.144,78.32,1792968,0.0,1.0
2015-06-11,80.06,80.49,79.34,79.99,1507773,80.06,80.49,79.34,79.99,1507773,0.0,1.0
2015-06-12,79.63,80.01,79.03,79.91,1495904,79.63,80.01,79.03,79.91,1495904,0.0,1.0
2015-06-15,79.57,79.695,78.03,78.85,712095,79.57,79.695,78.03,78.85,712095,0.0,1.0
2015-06-16,78.99,79.91,78.5012,79.32,669149,78.99,79.91,78.5012,79.32,669149,0.0,1.0
2015-06-17,79.1,79.5,78.62,79.5,900876,79.1,79.5,78.62,79.5,900876,0.0,1.0
2015-06-18,80.47,80.51,78.74,78.96,1079837,80.47,80.51,78.74,78.96,1079837,0.0,1.0
2015-06-19,79.97,80.48,79.51,80.48,1125220,79.97,80.48,79.51,80.48,1125220,0.0,1.0
2015-06-22,80.35,81.03,80.1,80.37,913004,80.35,81.03,80.1,80.37,913004,0.0,1.0
2015-06-23,81.46,81.54,80.15,80.57,1050226,81.46,81.54,80.15,80.57,1050226,0.0,1.0
2015-06-24,79.2,81.51,78.64,81.2,1113411,79.2,81.51,78.64,81.2,1113411,0.0,1.0
2015-06-25,79.54,80.23,79.137,79.36,710266,79.54,80.23,79.137,79.36,710266,0.0,1.0
2015-06-26,78.6,79.74,77.97,79.74,1290272,78.6,79.74,77.97,79.74,1290272,0.0,1.0
2015-06-29,76.31,78.08,76.11,77.49,1175836,76.31,78.08,76.11,77.49,1175836,0.0,1.0
2015-06-30,76.39,77.27,75.698,77.15,1077569,76.39,77.27,75.698,77.15,1077569,0.0,1.0
2015-07-01,75.9,77.51,75.23,76.96,1277538,75.9,77.51,75.23,76.96,1277538,0.0,1.0
2015-07-02,75.79,76.18,75.16,75.8,821598,75.79,76.18,75.16,75.8,821598,0.0,1.0
2015-07-06,76.68,76.81,74.26,75.1,1554527,76.68,76.81,74.26,75.1,1554527,0.0,1.0
2015-07-07,77.65,78.175,75.43,76.56,1473151,77.65,78.175,75.43,76.56,1473151,0.0,1.0
2015-07-08,76.83,77.71,76.33,76.9,1101242,76.83,77.71,76.33,76.9,1101242,0.0,1.0
2015-07-09,77.96,79.23,77.42,78.3,1293608,77.96,79.23,77.42,78.3,1293608,0.0,1.0
2015-07-10,79.52,79.89,78.71,78.78,1382053,79.52,79.89,78.71,78.78,1382053,0.0,1.0
2015-07-13,79.27,80.3803,78.86,79.91,1192943,79.27,80.3803,78.86,79.91,1192943,0.0,1.0
2015-07-14,82.18,82.97,79.96,80.08,1974882,82.18,82.97,79.96,80.08,1974882,0.0,1.0
2015-07-15,83.21,83.52,81.5815,82.19,2187854,83.21,83.52,81.5815,82.19,2187854,0.0,1.0
2015-07-16,84.45,84.77,83.22,83.25,2261387,84.45,84.77,83.22,83.25,2261387,0.0,1.0
2015-07-17,84.7,84.96,83.9,84.7,2465306,84.7,84.96,83.9,84.7,2465306,0.0,1.0
2015-07-20,84.6,85.25,83.9854,84.76,944652,84.6,85.25,83.9854,84.76,944652,0.0,1.0
2015-07-21,84.77,84.99,83.37,84.59,935759,84.77,84.99,83.37,84.59,935759,0.0,1.0
2015-07-22,83.99,84.86,83.87,84.58,644507,83.99,84.86,83.87,84.58,644507,0.0,1.0
2015-07-23,83.02,84.32,82.5,84.0,1091614,83.02,84.32,82.5,84.0,1091614,0.0,1.0
2015-07-24,82.59,83.9599,82.51,83.41,1092698,82.59,83.9599,82.51,83.41,1092698,0.0,1.0
2015-07-27,81.08,82.57,80.1,81.99,1409025,81.08,82.57,80.1,81.99,1409025,0.0,1.0
2015-07-28,83.15,83.4,79.59,81.56,1296293,83.15,83.4,79.59,81.56,1296293,0.0,1.0
2015-07-29,83.39,83.53,80.88,82.0,1197034,83.39,83.53,80.88,82.0,1197034,0.0,1.0
2015-07-30,83.75,83.79,82.28,83.27,653113,83.75,83.79,82.28,83.27,653113,0.0,1.0
2015-07-31,84.33,84.42,83.32,83.48,965540,84.33,84.42,83.32,83.48,965540,0.0,1.0
2015-08-03,84.0,84.47,83.121,84.27,652712,84.0,84.47,83.121,84.27,652712,0.0,1.0
2015-08-04,82.8,84.37,82.72,83.77,830601,82.8,84.37,82.72,83.77,830601,0.0,1.0
2015-08-05,83.4,84.64,83.32,83.78,893530,83.4,84.64,83.32,83.78,893530,0.0,1.0
2015-08-06,81.92,83.988,80.76,83.52,768141,81.92,83.988,80.76,83.52,768141,0.0,1.0
