date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2015-02-02,49.19,49.57,48.66,49.33,355523,47.5910632626,47.9587112407,47.0782910827,47.7265125177,355523,0.0,1.0
2015-02-03,49.88,50.06,49.29,49.42,255187,48.2586345912,48.4327836334,47.6878127305,47.8135870388,255187,0.0,1.0
2015-02-04,50.12,50.48,49.49,49.52,275905,48.4908333142,48.8391313986,47.8813116664,47.9103365067,275905,0.0,1.0
2015-02-05,51.38,51.49,50.41,50.41,224994,49.7098766098,49.8163010245,48.7714067711,48.7714067711,224994,0.0,1.0
2015-02-06,50.97,51.61,50.76,51.39,212213,49.3132037914,49.9324003859,49.1100299087,49.7195515566,212213,0.0,1.0
2015-02-09,49.83,51.2,49.66,50.85,195658,48.2102598572,49.5357275675,48.0457857618,49.1971044299,195658,0.0,1.0
2015-02-10,50.6,50.74,49.87,50.31,231917,48.9552307601,49.0906800152,48.2489596444,48.6746573032,231917,0.0,1.0
2015-02-11,51.05,51.19,50.18,50.4,301412,49.3906033657,49.5260526207,48.5488829949,48.7617318243,301412,0.0,1.0
2015-02-12,50.78,51.319,50.735,51.23,311085,49.1293798023,49.6508594343,49.0858425418,49.5647524079,311085,0.0,1.0
2015-02-13,51.35,51.42,50.57,50.88,141450,49.6808517694,49.7485763969,48.9262059197,49.2261292702,141450,0.0,1.0
2015-02-17,51.53,51.902,51.265,51.5,183206,49.8550008116,50.2149088322,49.5986147217,49.8259759712,183206,0.0,1.0
2015-02-18,52.36,52.44,51.28,51.29,279118,50.6580213952,50.7354209696,49.6131271419,49.6228020886,279118,0.0,1.0
2015-02-19,53.65,54.0,51.8,52.31,476295,51.9060895312,52.2447126689,50.116224375,50.6096466613,476295,0.0,1.0
2015-02-20,53.75,54.07,53.11,53.73,618050,52.0028389991,52.3124372964,51.3836424045,51.9834891055,618050,0.0,1.0
2015-02-23,54.14,54.19,53.01,53.35,381600,52.3801619239,52.4285366579,51.2868929366,51.6158411275,381600,0.0,1.0
2015-02-24,54.73,54.78,51.46,52.7,642040,52.9509837846,52.9993585185,49.7872761841,50.9869695861,642040,0.0,1.0
