date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2019-12-11,34.46,35.0,32.1,32.75,34635834,34.46,35.0,32.1,32.75,34635834,0.0,1.0
2019-12-12,34.64,37.46,33.43,34.08,8121005,34.64,37.46,33.43,34.08,8121005,0.0,1.0
2019-12-13,37.71,38.32,34.1,34.7,5115689,37.71,38.32,34.1,34.7,5115689,0.0,1.0
2019-12-16,35.8,38.49,34.75,37.82,3946304,35.8,38.49,34.75,37.82,3946304,0.0,1.0
2019-12-17,34.3,35.86,33.3639,35.86,2336471,34.3,35.86,33.3639,35.86,2336471,0.0,1.0
2019-12-18,38.1,38.24,33.51,34.76,4241728,38.1,38.24,33.51,34.76,4241728,0.0,1.0
2019-12-19,37.76,38.3,35.85,37.5,2946784,37.76,38.3,35.85,37.5,2946784,0.0,1.0
2019-12-20,40.0,40.5,37.1,37.9,6497861,40.0,40.5,37.1,37.9,6497861,0.0,1.0
2019-12-23,39.23,40.19,37.86,40.06,667426,39.23,40.19,37.86,40.06,667426,0.0,1.0
2019-12-24,39.63,40.0,38.2005,39.0,180523,39.63,40.0,38.2005,39.0,180523,0.0,1.0
2019-12-26,38.67,39.99,38.42,39.75,330234,38.67,39.99,38.42,39.75,330234,0.0,1.0
2019-12-27,38.49,39.42,37.775,38.82,499673,38.49,39.42,37.775,38.82,499673,0.0,1.0
2019-12-30,38.27,38.9737,37.11,38.61,322480,38.27,38.9737,37.11,38.61,322480,0.0,1.0
2019-12-31,38.52,38.62,37.75,38.32,389672,38.52,38.62,37.75,38.32,389672,0.0,1.0
2020-01-02,38.59,39.12,38.2,38.59,1538794,38.59,39.12,38.2,38.59,1538794,0.0,1.0
2020-01-03,38.22,39.37,37.51,38.44,1207606,38.22,39.37,37.51,38.44,1207606,0.0,1.0
2020-01-06,36.21,37.8,35.6315,37.74,1827192,36.21,37.8,35.6315,37.74,1827192,0.0,1.0
2020-01-07,36.59,36.98,35.51,36.36,828403,36.59,36.98,35.51,36.36,828403,0.0,1.0
2020-01-08,36.89,37.26,35.9,36.64,1771768,36.89,37.26,35.9,36.64,1771768,0.0,1.0
2020-01-09,37.82,37.98,36.16,36.71,1352818,37.82,37.98,36.16,36.71,1352818,0.0,1.0
2020-01-10,37.59,38.8,37.42,37.96,677671,37.59,38.8,37.42,37.96,677671,0.0,1.0
2020-01-13,37.54,38.09,37.41,37.75,299190,37.54,38.09,37.41,37.75,299190,0.0,1.0
2020-01-14,37.15,38.24,37.0,37.78,587846,37.15,38.24,37.0,37.78,587846,0.0,1.0
2020-01-15,37.55,38.01,37.15,37.15,575266,37.55,38.01,37.15,37.15,575266,0.0,1.0
2020-01-16,37.7,38.0,37.6,37.75,1010554,37.7,38.0,37.6,37.75,1010554,0.0,1.0
2020-01-17,38.79,39.89,37.82,38.01,2276678,38.79,39.89,37.82,38.01,2276678,0.0,1.0
2020-01-21,40.59,41.67,39.4,39.88,2412402,40.59,41.67,39.4,39.88,2412402,0.0,1.0
2020-01-22,42.48,43.52,41.5,41.65,2505011,42.48,43.52,41.5,41.65,2505011,0.0,1.0
2020-01-23,41.0,42.89,40.59,42.88,1129447,41.0,42.89,40.59,42.88,1129447,0.0,1.0
2020-01-24,38.53,41.4799,37.92,41.02,2101821,38.53,41.4799,37.92,41.02,2101821,0.0,1.0
2020-01-27,37.61,38.41,35.56,36.5,918321,37.61,38.41,35.56,36.5,918321,0.0,1.0
2020-01-28,39.04,39.31,37.1,37.97,959677,39.04,39.31,37.1,37.97,959677,0.0,1.0
2020-01-29,40.33,40.47,38.89,39.24,814371,40.33,40.47,38.89,39.24,814371,0.0,1.0
2020-01-30,38.89,40.49,38.51,39.86,967445,38.89,40.49,38.51,39.86,967445,0.0,1.0
2020-01-31,40.14,40.74,38.62,39.0,1201669,40.14,40.74,38.62,39.0,1201669,0.0,1.0
2020-02-03,40.46,41.925,39.92,40.18,689568,40.46,41.925,39.92,40.18,689568,0.0,1.0
2020-02-04,38.97,41.54,38.81,40.81,636334,38.97,41.54,38.81,40.81,636334,0.0,1.0
2020-02-05,39.9,40.24,39.13,39.44,400423,39.9,40.24,39.13,39.44,400423,0.0,1.0
2020-02-06,38.3,40.45,37.92,40.22,966598,38.3,40.45,37.92,40.22,966598,0.0,1.0
2020-02-07,37.36,38.375,36.79,38.26,1111806,37.36,38.375,36.79,38.26,1111806,0.0,1.0
2020-02-10,37.32,37.55,35.6,37.22,1246979,37.32,37.55,35.6,37.22,1246979,0.0,1.0
2020-02-11,38.99,39.16,37.36,37.36,753846,38.99,39.16,37.36,37.36,753846,0.0,1.0
2020-02-12,40.91,41.12,39.11,39.11,625660,40.91,41.12,39.11,39.11,625660,0.0,1.0
2020-02-13,41.36,42.05,39.81,40.73,499943,41.36,42.05,39.81,40.73,499943,0.0,1.0
2020-02-14,40.32,41.57,39.58,41.46,582651,40.32,41.57,39.58,41.46,582651,0.0,1.0
2020-02-18,40.94,41.3,40.01,40.5,475757,40.94,41.3,40.01,40.5,475757,0.0,1.0
2020-02-19,42.49,42.866,41.0523,41.26,874096,42.49,42.866,41.0523,41.26,874096,0.0,1.0
2020-02-20,42.99,43.49,41.52,42.49,745589,42.99,43.49,41.52,42.49,745589,0.0,1.0
2020-02-21,42.33,42.8,40.6,42.65,413487,42.33,42.8,40.6,42.65,413487,0.0,1.0
2020-02-24,39.5,41.0,38.81,40.51,1084477,39.5,41.0,38.81,40.51,1084477,0.0,1.0
2020-02-25,37.5,40.1668,37.29,39.71,993052,37.5,40.1668,37.29,39.71,993052,0.0,1.0
2020-02-26,36.2,38.58,35.86,37.56,2063957,36.2,38.58,35.86,37.56,2063957,0.0,1.0
2020-02-27,35.45,36.8,33.72,35.74,3586815,35.45,36.8,33.72,35.74,3586815,0.0,1.0
2020-02-28,34.65,35.14,32.76,34.94,3326517,34.65,35.14,32.76,34.94,3326517,0.0,1.0
2020-03-02,37.15,38.63,35.0,35.06,1591395,37.15,38.63,35.0,35.06,1591395,0.0,1.0
2020-03-03,36.16,38.41,35.8,37.37,1119524,36.16,38.41,35.8,37.37,1119524,0.0,1.0
2020-03-04,38.84,39.36,36.02,36.61,1191082,38.84,39.36,36.02,36.61,1191082,0.0,1.0
2020-03-05,35.76,38.32,35.07,37.98,1008923,35.76,38.32,35.07,37.98,1008923,0.0,1.0
2020-03-06,30.99,34.97,30.1,34.65,4608168,30.99,34.97,30.1,34.65,4608168,0.0,1.0
2020-03-09,26.64,32.0,25.76,28.45,6061781,26.64,32.0,25.76,28.45,6061781,0.0,1.0
2020-03-10,29.95,31.72,27.83,28.43,4227223,29.95,31.72,27.83,28.43,4227223,0.0,1.0
2020-03-11,23.24,29.36,22.92,28.98,4649797,23.24,29.36,22.92,28.98,4649797,0.0,1.0
2020-03-12,17.71,19.0,16.02,18.76,6472790,17.71,19.0,16.02,18.76,6472790,0.0,1.0
2020-03-13,22.39,22.65,18.2506,21.05,3139458,22.39,22.65,18.2506,21.05,3139458,0.0,1.0
2020-03-16,18.54,22.93,18.02,18.59,4292652,18.54,22.93,18.02,18.59,4292652,0.0,1.0
2020-03-17,19.92,20.0,17.65,19.19,1282038,19.92,20.0,17.65,19.19,1282038,0.0,1.0
2020-03-18,17.6,19.82,15.5,19.08,3008282,17.6,19.82,15.5,19.08,3008282,0.0,1.0
2020-03-19,20.9,22.0,16.0002,17.43,2685582,20.9,22.0,16.0002,17.43,2685582,0.0,1.0
2020-03-20,17.94,22.64,17.86,21.0,1771780,17.94,22.64,17.86,21.0,1771780,0.0,1.0
2020-03-23,16.96,18.13,16.41,18.13,2685178,16.96,18.13,16.41,18.13,2685178,0.0,1.0
2020-03-24,19.64,21.0,17.7701,18.12,1814935,19.64,21.0,17.7701,18.12,1814935,0.0,1.0
2020-03-25,23.0,26.1,18.09,19.98,2645949,23.0,26.1,18.09,19.98,2645949,0.0,1.0
2020-03-26,24.83,25.91,23.0,23.0,1460231,24.83,25.91,23.0,23.0,1460231,0.0,1.0
2020-03-27,22.26,23.77,21.66,23.14,954176,22.26,23.77,21.66,23.14,954176,0.0,1.0
2020-03-30,20.58,22.25,20.18,22.14,838816,20.58,22.25,20.18,22.14,838816,0.0,1.0
2020-03-31,19.29,20.705,18.56,20.37,1768708,19.29,20.705,18.56,20.37,1768708,0.0,1.0
2020-04-01,17.93,18.8,17.3,18.46,2092521,17.93,18.8,17.3,18.46,2092521,0.0,1.0
2020-04-02,17.2,18.951,16.655,18.08,2119497,17.2,18.951,16.655,18.08,2119497,0.0,1.0
2020-04-03,17.66,18.55,16.88,17.67,1247188,17.66,18.55,16.88,17.67,1247188,0.0,1.0
2020-04-06,20.4,21.81,18.24,18.76,2071205,20.4,21.81,18.24,18.76,2071205,0.0,1.0
2020-04-07,21.53,22.6,21.08,21.73,1001088,21.53,22.6,21.08,21.73,1001088,0.0,1.0
2020-04-08,21.59,22.57,20.82,22.17,772536,21.59,22.57,20.82,22.17,772536,0.0,1.0
2020-04-09,22.57,24.88,21.9,22.12,1735169,22.57,24.88,21.9,22.12,1735169,0.0,1.0
2020-04-13,21.18,22.64,20.0,22.6,1932456,21.18,22.64,20.0,22.6,1932456,0.0,1.0
2020-04-14,22.78,24.11,21.78,21.78,2171756,22.78,24.11,21.78,21.78,2171756,0.0,1.0
2020-04-15,23.39,24.38,21.18,21.85,2688058,23.39,24.38,21.18,21.85,2688058,0.0,1.0
2020-04-16,25.45,25.7599,23.5,24.61,4314926,25.45,25.7599,23.5,24.61,4314926,0.0,1.0
2020-04-17,26.82,28.09,25.46,26.1,2616407,26.82,28.09,25.46,26.1,2616407,0.0,1.0
2020-04-20,26.93,26.99,25.58,25.78,1359431,26.93,26.99,25.58,25.78,1359431,0.0,1.0
2020-04-21,24.66,26.64,24.3,26.04,836343,24.66,26.64,24.3,26.04,836343,0.0,1.0
2020-04-22,26.02,26.44,24.92,25.42,1043727,26.02,26.44,24.92,25.42,1043727,0.0,1.0
2020-04-23,25.75,26.49,25.09,26.09,1128315,25.75,26.49,25.09,26.09,1128315,0.0,1.0
2020-04-24,22.9,25.87,22.8,25.87,2349940,22.9,25.87,22.8,25.87,2349940,0.0,1.0
2020-04-27,23.78,23.8,21.12,23.09,2513692,23.78,23.8,21.12,23.09,2513692,0.0,1.0
2020-04-28,24.93,25.6,23.92,24.2,1425151,24.93,25.6,23.92,24.2,1425151,0.0,1.0
2020-04-29,25.13,26.67,24.52,25.59,1652668,25.13,26.67,24.52,25.59,1652668,0.0,1.0
2020-04-30,25.16,25.61,24.38,24.86,628195,25.16,25.61,24.38,24.86,628195,0.0,1.0
2020-05-01,23.1,24.57,22.67,24.28,733111,23.1,24.57,22.67,24.28,733111,0.0,1.0
2020-05-04,22.93,23.36,22.5276,22.73,682795,22.93,23.36,22.5276,22.73,682795,0.0,1.0
2020-05-05,22.57,23.76,22.51,23.42,1023557,22.57,23.76,22.51,23.42,1023557,0.0,1.0
2020-05-06,22.89,23.61,22.3251,22.76,2669958,22.89,23.61,22.3251,22.76,2669958,0.0,1.0
2020-05-07,24.42,24.65,23.29,23.38,1192561,24.42,24.65,23.29,23.38,1192561,0.0,1.0
2020-05-08,25.11,25.3391,24.4,24.97,608683,25.11,25.3391,24.4,24.97,608683,0.0,1.0
2020-05-11,25.35,25.97,24.5,24.63,1229680,25.35,25.97,24.5,24.63,1229680,0.0,1.0
2020-05-12,24.86,25.95,24.61,25.38,1150546,24.86,25.95,24.61,25.38,1150546,0.0,1.0
2020-05-13,27.9,29.14,25.65,27.0,5437646,27.9,29.14,25.65,27.0,5437646,0.0,1.0
2020-05-14,26.06,27.13,25.11,27.05,3014756,26.06,27.13,25.11,27.05,3014756,0.0,1.0
2020-05-15,26.51,27.21,25.56,26.1,1184366,26.51,27.21,25.56,26.1,1184366,0.0,1.0
2020-05-18,27.57,27.88,26.83,27.12,973666,27.57,27.88,26.83,27.12,973666,0.0,1.0
2020-05-19,26.5,27.44,26.37,27.21,1178263,26.5,27.44,26.37,27.21,1178263,0.0,1.0
2020-05-20,27.5,27.9,26.5,26.6,1394727,27.5,27.9,26.5,26.6,1394727,0.0,1.0
2020-05-21,28.48,28.98,27.2701,27.5,1363056,28.48,28.98,27.2701,27.5,1363056,0.0,1.0
2020-05-22,28.8,29.29,27.78,28.41,1097666,28.8,29.29,27.78,28.41,1097666,0.0,1.0
2020-05-26,30.92,32.55,29.56,30.0,2700215,30.92,32.55,29.56,30.0,2700215,0.0,1.0
2020-05-27,30.52,32.3719,30.3661,31.46,1982529,30.52,32.3719,30.3661,31.46,1982529,0.0,1.0
2020-05-28,30.43,30.9,29.29,30.61,1407130,30.43,30.9,29.29,30.61,1407130,0.0,1.0
2020-05-29,30.36,30.71,29.19,30.29,1018746,30.36,30.71,29.19,30.29,1018746,0.0,1.0
2020-06-01,30.54,30.97,29.58,29.76,717872,30.54,30.97,29.58,29.76,717872,0.0,1.0
2020-06-02,32.25,32.57,30.51,30.91,1485310,32.25,32.57,30.51,30.91,1485310,0.0,1.0
2020-06-03,34.65,35.66,32.61,33.17,2177293,34.65,35.66,32.61,33.17,2177293,0.0,1.0
2020-06-04,34.68,34.88,33.55,34.64,1106559,34.68,34.88,33.55,34.64,1106559,0.0,1.0
2020-06-05,36.58,37.305,35.6,36.0,2057847,36.58,37.305,35.6,36.0,2057847,0.0,1.0
2020-06-08,41.035,41.39,36.58,36.69,3417926,41.035,41.39,36.58,36.69,3417926,0.0,1.0
2020-06-09,40.71,41.685,38.27,39.595,2322058,40.71,41.685,38.27,39.595,2322058,0.0,1.0
2020-06-10,42.24,42.57,39.7327,41.34,1506073,42.24,42.57,39.7327,41.34,1506073,0.0,1.0
2020-06-11,39.01,40.55,37.62,39.0,2222794,39.01,40.55,37.62,39.0,2222794,0.0,1.0
2020-06-12,41.2,42.6,39.655,40.22,1392407,41.2,42.6,39.655,40.22,1392407,0.0,1.0
2020-06-15,41.76,41.98,39.25,39.83,862342,41.76,41.98,39.25,39.83,862342,0.0,1.0
2020-06-16,43.85,44.99,43.19,43.32,1465430,43.85,44.99,43.19,43.32,1465430,0.0,1.0
2020-06-17,46.27,47.37,43.8,44.5,1744898,46.27,47.37,43.8,44.5,1744898,0.0,1.0
2020-06-18,48.08,48.68,45.44,46.26,1548616,48.08,48.68,45.44,46.26,1548616,0.0,1.0
2020-06-19,47.22,49.08,46.93,48.76,1358507,47.22,49.08,46.93,48.76,1358507,0.0,1.0
2020-06-22,46.45,47.917,46.01,47.37,1054029,46.45,47.917,46.01,47.37,1054029,0.0,1.0
2020-06-23,49.43,49.78,47.2,47.29,1695341,49.43,49.78,47.2,47.29,1695341,0.0,1.0
2020-06-24,44.81,47.36,44.58,46.5916,1885940,44.81,47.36,44.58,46.5916,1885940,0.0,1.0
2020-06-25,46.15,47.4,44.9309,44.97,1112037,46.15,47.4,44.9309,44.97,1112037,0.0,1.0
2020-06-26,43.88,46.34,43.75,45.96,704623,43.88,46.34,43.75,45.96,704623,0.0,1.0
2020-06-29,43.52,44.5,43.12,44.06,759500,43.52,44.5,43.12,44.06,759500,0.0,1.0
2020-06-30,42.01,44.0,41.79,43.07,2786100,42.01,44.0,41.79,43.07,2786100,0.0,1.0
2020-07-01,43.36,44.25,41.76,41.99,3193700,43.36,44.25,41.76,41.99,3193700,0.0,1.0
2020-07-02,44.79,46.83,44.5,46.52,6270600,44.79,46.83,44.5,46.52,6270600,0.0,1.0
2020-07-06,47.59,48.47,45.95,46.1,2249100,47.59,48.47,45.95,46.1,2249100,0.0,1.0
2020-07-07,46.75,48.21,46.46,47.5,1574500,46.75,48.21,46.455,47.5,1574500,0.0,1.0
2020-07-08,47.7,48.21,46.6,47.08,620500,47.7,48.21,46.6,47.08,620500,0.0,1.0
2020-07-09,47.16,48.13,46.24,48.1,713000,47.16,48.13,46.24,48.1,713000,0.0,1.0
2020-07-10,47.01,47.49,46.32,47.0,897800,47.01,47.49,46.32,47.0,897800,0.0,1.0
2020-07-13,45.73,50.63,44.05,47.59,2382500,45.73,50.63,44.05,47.59,2382500,0.0,1.0
2020-07-14,44.62,45.65,43.12,45.65,3369900,44.62,45.65,43.12,45.65,3369900,0.0,1.0
2020-07-15,44.93,45.56,43.92,45.09,1226200,44.93,45.56,43.92,45.09,1226200,0.0,1.0
2020-07-16,42.6,43.48,41.81,42.98,2121800,42.6,43.48,41.81,42.98,2121800,0.0,1.0
2020-07-17,42.59,43.19,41.54,42.92,1294400,42.59,43.19,41.54,42.92,1294400,0.0,1.0
2020-07-20,44.59,44.91,42.39,42.59,1182323,44.59,44.91,42.39,42.59,1182323,0.0,1.0
2020-07-21,44.94,46.45,44.51,45.22,1132207,44.94,46.45,44.51,45.22,1132207,0.0,1.0
2020-07-22,45.64,46.6,45.07,45.4,979452,45.64,46.6,45.07,45.4,979452,0.0,1.0
2020-07-23,44.32,46.38,43.875,45.56,602592,44.32,46.38,43.875,45.56,602592,0.0,1.0
2020-07-24,44.63,44.84,42.95,43.79,1801411,44.63,44.84,42.95,43.79,1801411,0.0,1.0
2020-07-27,47.23,47.85,44.8484,44.92,2000871,47.23,47.85,44.8484,44.92,2000871,0.0,1.0
2020-07-28,47.28,47.5,45.36,46.81,994992,47.28,47.5,45.36,46.81,994992,0.0,1.0
2020-07-29,48.46,48.57,46.74,47.93,1348837,48.46,48.57,46.74,47.93,1348837,0.0,1.0
2020-07-30,47.43,48.06,45.67,47.37,678642,47.43,48.06,45.67,47.37,678642,0.0,1.0
2020-07-31,46.5,47.62,45.6,47.62,544319,46.5,47.62,45.6,47.62,544319,0.0,1.0
2020-08-03,47.1,48.91,46.71,47.1,1282885,47.1,48.91,46.71,47.1,1282885,0.0,1.0
2020-08-04,47.85,48.2299,46.57,46.92,1019807,47.85,48.2299,46.57,46.92,1019807,0.0,1.0
2020-08-05,47.94,49.28,47.75,48.19,683765,47.94,49.28,47.75,48.19,683765,0.0,1.0
2020-08-06,50.0,51.07,48.05,48.12,1748056,50.0,51.07,48.05,48.12,1748056,0.0,1.0
2020-08-07,48.13,49.86,47.23,49.42,1125082,48.13,49.86,47.23,49.42,1125082,0.0,1.0
2020-08-10,47.98,49.2,46.5,48.58,945819,47.98,49.2,46.5,48.58,945819,0.0,1.0
2020-08-11,47.35,49.465,46.82,48.48,1208903,47.35,49.465,46.82,48.48,1208903,0.0,1.0
2020-08-12,46.53,52.9445,44.77,50.13,2607261,46.53,52.9445,44.77,50.13,2607261,0.0,1.0
2020-08-13,45.16,47.38,44.86,46.39,640553,45.16,47.38,44.86,46.39,640553,0.0,1.0
2020-08-14,44.15,45.4,43.63,45.09,864763,44.15,45.4,43.63,45.09,864763,0.0,1.0
2020-08-17,44.02,45.5,43.38,44.21,912530,44.02,45.5,43.38,44.21,912530,0.0,1.0
2020-08-18,44.57,45.3,44.25,44.37,641856,44.57,45.3,44.25,44.37,641856,0.0,1.0
2020-08-19,44.67,45.21,43.85,44.79,913720,44.67,45.21,43.85,44.79,913720,0.0,1.0
2020-08-20,45.14,45.2,43.7385,43.77,1103593,45.14,45.2,43.7385,43.77,1103593,0.0,1.0
2020-08-21,43.52,45.17,43.49,45.11,802722,43.52,45.17,43.49,45.11,802722,0.0,1.0
2020-08-24,46.14,46.81,44.0,44.0,881591,46.14,46.81,44.0,44.0,881591,0.0,1.0
2020-08-25,47.17,47.25,45.6405,46.14,653534,47.17,47.25,45.6405,46.14,653534,0.0,1.0
