,NFLX,MACD_diff,RSI,Buy_Signal,Pos,Sell_Signal,SL,TP
2015-03-20 00:00:00+00:00,61.184938815,-0.47531664663918294,37.67767108653012,0,0,0,0,0
2015-03-23 00:00:00+00:00,60.714225,-0.40846768378532117,36.06321444014739,0,0,0,0,0
2015-03-24 00:00:00+00:00,62.61136596,-0.21529598319525256,46.08955774184116,0,0,0,0,0
2015-03-25 00:00:00+00:00,60.24993975,-0.2243551225206588,38.083966541509355,0,0,0,0,0
2015-03-26 00:00:00+00:00,59.75136882,-0.24029931668311177,36.637033522943064,0,0,0,0,0
2015-03-27 00:00:00+00:00,59.25279789,-0.25917541807694255,35.19692360554157,0,0,0,0,0
2015-03-30 00:00:00+00:00,60.36708249,-0.17538028049298182,40.79793025950986,0,0,0,0,0
2015-03-31 00:00:00+00:00,59.52708333,-0.1559435758321921,38.12292818741264,0,0,0,0,0
2015-04-01 00:00:00+00:00,59.01708384,-0.15644915932010872,36.555753857547806,0,0,0,0,0
2015-04-02 00:00:00+00:00,59.15422656,-0.12777199587091936,37.302153432396544,0,0,0,0,0
2015-04-06 00:00:00+00:00,60.32993967,-0.01573660207588734,43.44492046771451,0,0,0,0,0
2015-04-07 00:00:00+00:00,60.49422522,0.07816195800951609,44.266613382836645,0,0,0,0,0
2015-04-08 00:00:00+00:00,63.04993695,0.3082074695020476,55.176916932298,1,1,0,61,94
2015-04-09 00:00:00+00:00,62.7856515,0.4308597875202256,53.99969384963054,0,1,0,61,94
2015-04-10 00:00:00+00:00,64.93850649,0.6330447346269855,61.25200995913794,0,1,0,61,94
2015-04-13 00:00:00+00:00,67.81136076,0.9189861588192746,68.40943621115125,0,1,0,61,94
2015-04-14 00:00:00+00:00,68.38707447,1.0937422989164831,69.62049722264442,0,1,0,61,94
2015-04-15 00:00:00+00:00,67.92278922,1.1207854873845133,67.3772110743405,0,1,0,61,94
2015-04-16 00:00:00+00:00,80.29277685,1.8703262259831979,83.04887561424705,0,1,0,61,94
2015-04-17 00:00:00+00:00,81.64991835,2.3263453040284436,83.95932782107393,0,1,0,61,94
2015-04-20 00:00:00+00:00,81.05563323,2.444647718572236,81.88527942389993,0,1,0,61,94
2015-04-21 00:00:00+00:00,80.06277708,2.3140665443844526,78.4007333162074,0,1,0,61,94
2015-04-22 00:00:00+00:00,79.66849176,2.0672604056399617,76.99941510116057,0,1,0,61,94
2015-04-23 00:00:00+00:00,79.86563442,1.7935765437556297,77.21867054981075,0,1,0,61,94
2015-04-24 00:00:00+00:00,79.770634515,1.4946614262499414,76.83855298834334,0,1,0,61,94
2015-04-27 00:00:00+00:00,80.86849056,1.2683201151955306,78.17559466039002,0,1,0,61,94
2015-04-28 00:00:00+00:00,80.43706242,0.9988457434759721,76.3112945288527,0,1,0,61,94
2015-04-29 00:00:00+00:00,80.40706245,0.7398043333134554,76.17525798002632,0,1,0,61,94
2015-04-30 00:00:00+00:00,79.4999205,0.44321816437855865,71.99586278393795,0,1,0,61,94
2015-05-01 00:00:00+00:00,79.57563471,0.20036060521851606,72.133289774031,0,1,0,61,94
2015-05-04 00:00:00+00:00,79.2713493,-0.02079725802461052,70.6330989124679,0,1,0,61,94
2015-05-05 00:00:00+00:00,80.79277635,-0.10020060646486062,73.5905943987842,0,1,0,61,94
2015-05-06 00:00:00+00:00,80.07706278,-0.22913322708428296,70.01827580885227,0,1,0,61,94
2015-05-07 00:00:00+00:00,80.74849068,-0.2933046059668243,71.41991491411717,0,1,0,61,94
2015-05-08 00:00:00+00:00,82.0856322,-0.2703681349168052,74.02432362934816,0,1,0,61,94
2015-05-11 00:00:00+00:00,84.277772865,-0.13885624713239864,77.62428807864703,0,1,0,61,94
2015-05-12 00:00:00+00:00,83.37705948,-0.14324770059003278,73.13906904175289,0,1,0,61,94
2015-05-13 00:00:00+00:00,82.87277427,-0.20696491772047976,70.67679069859688,0,1,0,61,94
2015-05-14 00:00:00+00:00,83.83563045,-0.21042496146813772,72.57524582061845,0,1,0,61,94
2015-05-15 00:00:00+00:00,87.60705525,0.0037802939475657382,78.45824333041406,0,1,0,61,94
2015-05-18 00:00:00+00:00,88.26705459,0.14461242850042755,79.29528654011816,0,1,0,61,94
2015-05-19 00:00:00+00:00,88.06848336,0.17695149018602807,78.30937482612828,0,1,0,61,94
2015-05-20 00:00:00+00:00,88.78991121,0.1979028123674773,79.3155992585148,0,1,0,61,94
2015-05-21 00:00:00+00:00,89.00276814,0.17771134857470372,79.61606188178618,0,1,0,61,94
2015-05-22 00:00:00+00:00,88.83848259,0.10831746138763965,78.66626163322013,0,1,0,61,94
2015-05-26 00:00:00+00:00,87.99276915,-0.032011822744177465,73.78630566520184,0,1,0,61,94
2015-05-27 00:00:00+00:00,89.857053,-0.036427089057267104,77.15115167821754,0,1,0,61,94
2015-05-28 00:00:00+00:00,89.50705335,-0.09665000183325478,75.19954440191275,0,1,0,61,94
2015-05-29 00:00:00+00:00,89.15133942,-0.18883946873257962,73.1736233290861,0,1,0,61,94
2015-06-01 00:00:00+00:00,89.00276814,-0.2825824649230628,72.29753184430393,0,1,0,61,94
2015-06-02 00:00:00+00:00,89.12991087,-0.35414553381502545,72.59986718606665,0,1,0,61,94
2015-06-03 00:00:00+00:00,88.80848262,-0.4358747823413158,70.50494813907704,0,1,0,61,94
2015-06-04 00:00:00+00:00,89.34848208,-0.463723862254529,71.96838344416871,0,1,0,61,94
2015-06-05 00:00:00+00:00,90.45990954,-0.4188178810421306,74.74573915866074,0,1,0,61,94
2015-06-08 00:00:00+00:00,89.60419611,-0.4552482480856841,69.07142125293927,0,1,0,61,94
2015-06-09 00:00:00+00:00,92.44990755,-0.30349503158575164,75.68275149043333,0,1,0,61,94
2015-06-10 00:00:00+00:00,95.8713327,-0.004314714444135781,80.95419054199954,0,0,1,61,94
