,NFLX,AAPL,GOOG
2015-02-01 00:00:00+00:00,0.0,0.0,0.0
2015-02-02 00:00:00+00:00,0.0,0.0,0.0
2015-02-03 00:00:00+00:00,0.0,0.0,0.0
2015-02-04 00:00:00+00:00,0.0,0.0,0.0
2015-02-05 00:00:00+00:00,0.0,0.0,0.0
2015-02-06 00:00:00+00:00,0.0,0.0,0.0
2015-02-09 00:00:00+00:00,0.0,0.0,0.0
2015-02-10 00:00:00+00:00,0.0,0.0,0.0
2015-02-11 00:00:00+00:00,0.0,0.0,0.0
2015-02-12 00:00:00+00:00,0.0,0.0,0.0
2015-02-13 00:00:00+00:00,0.0,0.0,0.0
2015-02-17 00:00:00+00:00,0.0,0.0,0.0
2015-02-18 00:00:00+00:00,0.0,0.0,0.0
2015-02-19 00:00:00+00:00,0.0,0.0,0.0
2015-02-20 00:00:00+00:00,0.0,0.0,0.0
2015-02-23 00:00:00+00:00,0.0,0.0,0.0
2015-02-24 00:00:00+00:00,0.0,0.0,0.0
2015-02-25 00:00:00+00:00,0.0,0.0,0.0
2015-02-26 00:00:00+00:00,0.0,0.0,0.0
2015-02-27 00:00:00+00:00,0.0,0.0,0.0
2015-03-02 00:00:00+00:00,0.0,0.0,0.0
2015-03-03 00:00:00+00:00,0.0,0.0,0.0
2015-03-04 00:00:00+00:00,0.0,0.0,0.0
2015-03-05 00:00:00+00:00,0.0,0.0,0.0
2015-03-06 00:00:00+00:00,0.0,0.0,0.0
2015-03-09 00:00:00+00:00,0.0,0.0,0.0
2015-03-10 00:00:00+00:00,0.0,0.0,0.0
2015-03-11 00:00:00+00:00,0.0,0.0,0.0
2015-03-12 00:00:00+00:00,0.0,0.0,0.0
2015-03-13 00:00:00+00:00,0.0,0.0,0.0
2015-03-16 00:00:00+00:00,0.0,0.0,0.0
2015-03-17 00:00:00+00:00,0.0,0.0,0.0
2015-03-18 00:00:00+00:00,0.0,0.0,0.0
2015-03-19 00:00:00+00:00,0.0,0.0,0.0
2015-03-20 00:00:00+00:00,5443.0,11561.0,594.0
2015-03-23 00:00:00+00:00,5485.0,11451.0,595.0
2015-03-24 00:00:00+00:00,5403.0,11680.0,593.0
2015-03-25 00:00:00+00:00,5457.0,11658.0,588.0
2015-03-26 00:00:00+00:00,5489.0,11547.0,590.0
2015-03-27 00:00:00+00:00,5482.0,11529.0,592.0
2015-03-30 00:00:00+00:00,5472.0,11435.0,598.0
2015-03-31 00:00:00+00:00,5482.0,11472.0,595.0
2015-04-01 00:00:00+00:00,5492.0,11412.0,597.0
2015-04-02 00:00:00+00:00,5476.0,11307.0,0.0
2015-04-06 00:00:00+00:00,5433.0,11260.0,-611.0
2015-04-07 00:00:00+00:00,5404.0,11348.0,-609.0
2015-04-08 00:00:00+00:00,5237.0,11500.0,-609.0
2015-04-09 00:00:00+00:00,5268.0,11432.0,-612.0
2015-04-10 00:00:00+00:00,5161.0,11535.0,-621.0
2015-04-13 00:00:00+00:00,5014.0,11726.0,-631.0
2015-04-14 00:00:00+00:00,5006.0,11857.0,-646.0
2015-04-15 00:00:00+00:00,5028.0,11785.0,-642.0
2015-04-16 00:00:00+00:00,4501.0,12531.0,-678.0
2015-04-17 00:00:00+00:00,4462.0,12775.0,-696.0
2015-04-20 00:00:00+00:00,4485.0,12464.0,-680.0
2015-04-21 00:00:00+00:00,4518.0,12469.0,-678.0
2015-04-22 00:00:00+00:00,4538.0,12297.0,-671.0
2015-04-23 00:00:00+00:00,4522.0,12183.0,-661.0
2015-04-24 00:00:00+00:00,4482.0,12006.0,-633.0
2015-04-27 00:00:00+00:00,4494.0,11985.0,0.0
2015-04-28 00:00:00+00:00,4486.0,12090.0,651.0
2015-04-29 00:00:00+00:00,4453.0,12175.0,652.0
2015-04-30 00:00:00+00:00,4414.0,12265.0,653.0
2015-05-01 00:00:00+00:00,4457.0,12031.0,659.0
2015-05-04 00:00:00+00:00,4473.0,12053.0,655.0
2015-05-05 00:00:00+00:00,4357.0,12241.0,663.0
2015-05-06 00:00:00+00:00,4356.0,12206.0,0.0
2015-05-07 00:00:00+00:00,4340.0,12190.0,-661.0
2015-05-08 00:00:00+00:00,4300.0,12048.0,-656.0
2015-05-11 00:00:00+00:00,4217.0,12258.0,-664.0
2015-05-12 00:00:00+00:00,4260.0,12295.0,-672.0
2015-05-13 00:00:00+00:00,4278.0,12256.0,-670.0
2015-05-14 00:00:00+00:00,4254.0,12050.0,-663.0
2015-05-15 00:00:00+00:00,4142.0,12275.0,-680.0
2015-05-18 00:00:00+00:00,4140.0,12229.0,-687.0
2015-05-19 00:00:00+00:00,4132.0,12188.0,-678.0
2015-05-20 00:00:00+00:00,4105.0,12208.0,-676.0
2015-05-21 00:00:00+00:00,4104.0,12110.0,-674.0
2015-05-22 00:00:00+00:00,4127.0,12051.0,-679.0
2015-05-26 00:00:00+00:00,4143.0,12252.0,-685.0
2015-05-27 00:00:00+00:00,4092.0,12130.0,-682.0
2015-05-28 00:00:00+00:00,4100.0,12131.0,-680.0
2015-05-29 00:00:00+00:00,4114.0,12266.0,-690.0
2015-06-01 00:00:00+00:00,4117.0,12228.0,-687.0
2015-06-02 00:00:00+00:00,4093.0,12231.0,-677.0
2015-06-03 00:00:00+00:00,4102.0,12197.0,-675.0
2015-06-04 00:00:00+00:00,4087.0,12297.0,-681.0
2015-06-05 00:00:00+00:00,4054.0,12419.0,-688.0
2015-06-08 00:00:00+00:00,4088.0,12486.0,-696.0
2015-06-09 00:00:00+00:00,4000.0,12644.0,-703.0
2015-06-10 00:00:00+00:00,0.0,12621.0,-696.0
2015-06-11 00:00:00+00:00,0.0,12657.0,-699.0
2015-06-12 00:00:00+00:00,3946.0,12767.0,-701.0
2015-06-15 00:00:00+00:00,3985.0,12780.0,-707.0
2015-06-16 00:00:00+00:00,3938.0,12811.0,-711.0
2015-06-17 00:00:00+00:00,3960.0,12777.0,-706.0
2015-06-18 00:00:00+00:00,3935.0,12699.0,-695.0
2015-06-19 00:00:00+00:00,3946.0,12746.0,-691.0
2015-06-22 00:00:00+00:00,3883.0,12781.0,-696.0
2015-06-23 00:00:00+00:00,3848.0,12841.0,-693.0
