,Ticker,Last,Weights
0,BIG,46.6,3.64
1,NVDA,517.23,3.63
2,AMD,89.83,3.59
3,DHI,69.91,3.53
4,VEEV,258.87,3.52
5,PFSI,58.79,3.51
6,ADBE,483.74,3.50
7,LOW,160.13,3.46
8,WST,261.16,3.43
9,PLMR,70.09,3.43
10,ENTG,92.47,3.09
11,STMP,201.47,3.08
12,AMZN,3104.2,3.06
13,PYPL,210.8,3.06
14,CDNS,115.49,3.05
15,NFLX,493.6,3.01
16,DG,208.98,2.97
17,TSCO,135.58,2.94
18,EBS,81.14,2.93
19,FIZZ,87.97,2.81
20,SNPS,232.77,2.07
21,WDAY,219.48,2.05
22,MRVL,42.56,2.05
23,IPHI,149.09,2.01
24,PKI,143.91,2.00
25,KL,41.13,1.98
26,VRTX,224.38,1.96
27,TMO,461.38,1.96
28,BABA,263.8,1.95
29,XP,37.93,1.93
30,MSFT,211.8,1.01
31,TER,114.02,1.01
32,VIRT,23.59,1.01
33,NDAQ,126.1,1.01
34,ASML,452.89,1.00
35,ATVI,82.58,0.99
36,BERY,53.97,0.98
37,AKAM,104.43,0.97
38,FUTU,43.34,0.96
39,APPS,41.42,0.92
40,IIPR,157.89,0.52
41,INTU,364.18,0.51
42,SCPL,14.26,0.51
43,IR,44.99,0.50
44,PANW,302.15,0.50
45,BMY,60.92,0.49
46,FTNT,125.34,0.49
47,ALXN,117.74,0.49
48,PETS,30.25,0.49
49,HZNP,70.1,0.48
