Date,Open,High,Low,Close,Adj Close,Volume
1/6/2012,1746,1790.199951,27.51,27.65,27.65,21749
1/7/2012,28.58,28.76,27.76,27.799999,27.799999,10828
1/8/2012,28.91,29.809999,28.83,29.67,29.67,198592
1/9/2012,29.59,31.26,29.35,30.219999,30.219999,285152
1/10/2012,30.809999,31.07,30.040001,30.040001,30.040001,50335
1/11/2012,30.129999,30.540001,29.18,30.48,30.48,64563
1/12/2012,30.629999,31.42,30.42,31.209999,31.209999,907156
1/1/2013,31.209999,32.869999,31.209999,32.689999,32.689999,474581
1/2/2013,32.790001,33.130001,32.139999,32.755001,32.755001,140762
1/3/2013,32.529999,33.59,32.529999,33.419998,33.419998,215108
1/4/2013,33.419998,34.450001,32.950001,34.41,34.41,208506
1/5/2013,34.419998,35.73,34.310001,34.869999,34.869999,121466
1/6/2013,34.389999,34.900002,32.830002,33.77,33.77,4342251
1/7/2013,34.095001,35.779999,33.599998,35.549999,35.549999,720886
1/8/2013,35.849998,36.09,34.720001,34.689999,34.689999,1831177
1/9/2013,35.130001,37.389999,34.98,36.470001,36.470001,560933
1/10/2013,36.59,38.400002,35.740002,38.02,38.02,454327
1/11/2013,37.849998,38.75,37.490002,38.669998,38.669998,415888
1/12/2013,38.490002,39.790001,37.540001,39.34,39.34,1507952
1/1/2014,39.34,39.599998,37.799999,37.93,37.93,809328
1/2/2014,37.75,39.880001,37.099998,39.860001,39.860001,1451084
1/3/2014,39.52,40.189999,38.959999,39.849998,39.849998,926751
1/4/2014,40,40.380001,38.970001,40.23,40.23,501718
1/5/2014,40.400002,41.029999,40.040001,41.029999,41.029999,638574
1/6/2014,41.16,42.130001,41,41.869999,41.869999,1064873
1/7/2014,41.849998,42.98,41.220001,41.279999,41.279999,1555441
1/8/2014,40.759998,42.48,40.099998,41.98,41.98,1646315
1/9/2014,42.02,42.330002,40.790001,41.119999,41.119999,656457
1/10/2014,40.919998,41.349998,37.650002,41.259998,41.259998,3029019
1/11/2014,41.200001,42.77,41,42.139999,42.139999,4878903
1/12/2014,41.790001,42.169998,39.720001,41.759998,41.759998,1241848
1/1/2015,41.759998,41.759998,40,40.709999,40.709999,1943273
1/2/2015,40.75,43.400002,40.48,43.080002,43.080002,2012925
1/3/2015,44.009998,44.009998,41.52,42.52,42.52,2570700
1/4/2015,42.209999,44.09,42.200001,43.509998,43.509998,5113631
1/5/2015,43.25,44.779999,42.700001,43.43,43.43,3246578
1/6/2015,43.549999,44.09,42.5,42.509998,42.509998,4435912
1/7/2015,42.759998,43.779999,41.700001,43.380001,43.380001,3378701
1/8/2015,43.139999,43.400002,38.220001,40.709999,40.709999,3893024
1/9/2015,40.25,40.68,37.450001,38.830002,38.830002,4359534
1/10/2015,38.759998,42.23,38.610001,42.029999,42.029999,6518223
1/11/2015,41.77,42.52,40.689999,41.860001,41.860001,2461620
1/12/2015,42.060001,42.32,40.02,41.290001,41.290001,3330479
1/1/2016,41.290001,41.290001,36.299999,38.290001,38.290001,41359587
1/2/2016,38.740002,38.98,36,38.66,38.66,8696803
1/3/2016,38.5,41.220001,38.5,41.009998,41.009998,4026361
1/4/2016,40.529999,42.360001,40.130001,41.330002,41.330002,1764981
1/5/2016,41.330002,42.040001,40.43,41.82,41.82,2099432
1/6/2016,41.799999,42.490002,39.150002,41.23,41.23,3915105
1/7/2016,41.360001,43.080002,40.650002,43.060001,43.060001,2746105
1/8/2016,43.310001,43.759998,42.52,43.16,43.16,3301821
1/9/2016,43.57,44.68,42.189999,43.490002,43.490002,2570899
1/10/2016,43.389999,43.509998,42.200001,42.650002,42.650002,3507839
1/11/2016,42.759998,43.48,41.580002,43.290001,43.290001,7737291
1/12/2016,43.27,44.889999,42.919998,44.389999,44.389999,6392187
1/1/2017,44.389999,46.029999,44.34,45.099998,45.099998,6378073
1/2/2017,45.360001,46.759998,45.220001,46.580002,46.580002,4663327
1/3/2017,46.619999,47.5,46.380001,47.099998,47.099998,5023686
1/4/2017,47.330002,47.98,46.5,47.740002,47.740002,7771738
1/5/2017,47.740002,48.900002,47.57,48.68,48.68,13260968
1/6/2017,48.82,49.450001,48.709999,48.900002,48.900002,9424754
1/7/2017,49.049999,50.400002,48.720001,50.139999,50.139999,4723380
1/8/2017,50.380001,50.57,49.27,50.07,50.07,6682651
1/9/2017,50.310001,51.32,50.02,51.32,51.32,7950159
1/10/2017,51.290001,52.549999,51.279999,52.360001,52.360001,10032956
1/11/2017,52.52,53.459999,51.82,53.349998,53.349998,13486838
1/12/2017,53.41,54.93,52.779999,54.490002,54.490002,14082581
1/1/2018,54.490002,57.869999,54.169998,56.990002,56.990002,15385280
1/2/2018,57.200001,57.290001,52.139999,55.029999,55.029999,11410518
1/3/2018,54.599998,55.889999,52.700001,53.41,53.41,3897908
1/4/2018,53.41,55.119999,52.130001,54.400002,54.400002,5203954
1/5/2018,54.18,55.619999,53.200001,54.509998,54.509998,6173010
1/6/2018,54.709999,55.900002,53.779999,54.650002,54.650002,4359461
1/7/2018,53.950001,56.529999,53.799999,56.150002,56.150002,4571926
1/8/2018,56.18,57.240002,54.889999,56.700001,56.700001,8230402
1/9/2018,56.779999,57.700001,55.700001,57.23,57.23,5429033
1/10/2018,57.02,57.560001,51.310001,52.959999,52.959999,7906284
1/11/2018,52.98,54.77,51.560001,53.23,53.23,10075541
1/12/2018,54.59,54.650002,47.68,49.580002,49.580002,15164654
1/1/2019,49.580002,53.279999,48.43,53.27,53.27,9704876
1/2/2019,53.41,55.32,52.779999,55.02,55.02,5323690
1/3/2019,55.240002,56.299999,53.75,55.59,55.59,10165390
1/4/2019,55.959999,57.700001,55.959999,57.540001,57.540001,10047754
1/5/2019,57.66,57.959999,54.189999,54.5,54.5,8909359
1/6/2019,54.110001,58.169998,53.939999,57.82,57.82,6710463
1/7/2019,58.669998,59.16,57.990002,58.59,58.59,8735300
1/8/2019,57.93,58.619999,55,56.91,56.91,7611805
1/9/2019,56.900002,59.09,56.470001,58.25,58.25,5843226
1/10/2019,58.73,60,56.07,59.509998,59.509998,7630692
1/11/2019,59.880001,61.669998,59.799999,61.450001,61.450001,4561934
1/12/2019,61.540001,63.560001,54.950001,63.029999,63.029999,9313248
1/1/2020,63.029999,64.900002,62.73,62.91,62.91,7031675
1/2/2020,62.91,65.410004,55.849998,56.91,56.91,7554720
1/3/2020,58.400002,60.450001,42.470001,50.630001,50.630001,20293435
1/4/2020,48.509998,50.130001,47.27,50.029999,50.029999,2580945
1/5/2020,null,null,null,null,null,null
1/6/2020,null,null,null,null,null,null
1/7/2020,null,null,null,null,null,null
1/8/2020,null,null,null,null,null,null
1/9/2020,null,null,null,null,null,null
1/10/2020,null,null,null,null,null,null
1/11/2020,null,null,null,null,null,null
6/11/2020,66.919998,67.389999,66.360001,67.120003,67.120003,259612
