Date,Open,High,Low,Close,Adj Close,Volume
1/8/2018,0.9968,1.005,0.9968,0.999,0.974346,3796000
1/9/2018,0.999,0.999,0.99,0.993,0.968494,4323800
1/10/2018,0.995,0.996,0.988,0.991,0.966543,2264700
1/11/2018,0.991,0.996,0.989,0.996,0.97142,606400
1/12/2018,0.996,1.004,0.993,1.002,0.977272,870600
1/1/2019,1.002,1.002,0.996,0.999,0.974346,1696500
1/2/2019,1,1.009,0.999,1.004,0.984035,1517300
1/3/2019,1.003,1.014,1.001,1.01,0.989915,1485600
1/4/2019,1.01,1.02,1.008,1.012,0.991875,2334700
1/5/2019,1.012,1.019,1.011,1.017,0.996776,4085957
1/6/2019,1.016,1.024,1.016,1.023,1.002657,1497200
1/7/2019,1.023,1.04,1.022,1.031,1.010498,2728700
1/8/2019,1.031,1.045,1.03,1.04,1.019319,2116990
1/9/2019,1.04,1.046,1.035,1.039,1.018339,3523240
1/10/2019,1.04,1.046,1.038,1.043,1.022259,12705850
1/11/2019,1.043,1.055,1.043,1.049,1.02814,4603630
1/12/2019,1.049,1.055,1.046,1.051,1.0301,5819960
1/1/2020,1.051,1.055,1.027,1.035,1.014418,13025130
1/2/2020,1.037,1.05,1.033,1.047,1.047,8403120
1/3/2020,1.05,1.054,1.006,1.02,1.02,11996580
1/4/2020,1.02,1.031,1.012,1.029,1.029,5667010
1/5/2020,1.029,1.048,1.027,1.044,1.044,4942000
1/6/2020,1.044,1.053,1.038,1.053,1.053,7836900
1/7/2020,1.052,1.063,1.051,1.062,1.062,5572410
1/8/2020,1.062,1.07,1.058,1.062,1.062,10433120
1/9/2020,1.06,1.075,1.059,1.072,1.072,5943440
1/10/2020,1.071,1.084,1.068,1.079,1.079,7765670
6/11/2020,1.079,1.084,1.079,1.08,1.08,359630
